Bay Area Ultimate Classic 2018,Club - Mixed ,9,6,2018
Dublin,CA,2018-06-09,2018-06-10
https://play.usaultimate.org/events/Bay-Area-Ultimate-Classic-2018/schedule/Mixed/Club-Mixed
Brewcade,1
teamInfo,,"Bay Area, California",wearedonutsultimate@gmail.com,https://www.facebook.com/DonutsUltimate/?pnref=story,https://twitter.com/donuts_ultimate
0,Brianna Bright
0,Jodi McCloskey
0,Thomas Murray
7,Jonathan Goldsmith
00,Juan Ocampo
00,Judith Wang
00,KENDRA CONRAD
00,Lindsay Hedgecock
00,Megan Nguyen
00,MICHAEL LOPEZ
00,Nikki Chang
00,Pradeep Nair
00,Scott Miller
00,Christina Casler
00,Daniel Zakaria
00,Danielle Gendron
00,Davin Lyons
00,Erik Urban
00,Gianna Tesler
00,Jackson Valler
00,Jannon Frank
00,Jeffrey Voss
00,Visakha Hoang
08,Adam Koren
55,Kwai Philpott
77,Alec Surmani
88,Bill Liu
b,r,e,a,k
American Barbecue,4
teamInfo,,"San Francisco, California",www.abbq.org,,@ABBQfamily
0,Alex Pien
0,Alison Main
0,Christy Cheung
0,Cullen Coyne
0,Gabriel Miranda
0,Hannah Louis
0,Isabel Clayter
0,JACOB SURPIN
0,Nicholas Weiss
0,Noel Arsenault
0,Paul Sohn
0,Peter van de Burgt
0,Peter LaFreniere
0,Rebecca Evans
0,ROBERT MERK
0,Sophie Lu
0,Teresa Feng
0,THOMAS LASSETTER
0,Kayla Nowlin
0,Mathilda Farrell
10,Jee Witt
16,Jason Seidler
34,Elizabeth Sohn
99,Xinzhi Zou
99,Maxwell Friedmann
b,r,e,a,k
Buckwild,9
teamInfo,,"Sacramento, California",,https://www.facebook.com/buckwildultimate,https://twitter.com/buckwildulti
0,Alex McCurdy
3,Michael Corley
9,Nina Vollmer
00,Zach Weiss
00,Jonathan Martindill
00,Logan Hanagan
00,Danielle Murray
04,Angela Haas
06,Nick Shepard
07,Kief Zangaro
10,Valorie Smart
10,Raymond Hutten-Czapski
11,Nathan Kumashiro
15,Hannah Willett
16,Savannah Avila
20,Eli Stoever
22,Adam Fischlin
23,Katrina Rowsey
27,STEPH JAMIS
28,Megan Richter
29,Zack Thompson
33,Jeffro Valeros
64,Eric Koo
77,Rebecca Zangaro
88,Annie Holt
89,James Hill
b,r,e,a,k
Hot Stix,16
teamInfo,,"San Francisco, California",,https://www.facebook.com/HotStixUltimate/,
0,Amanda Dean
0,Chris Yan
0,Hannah Aure
0,Sylvia Lewin
00,Vinay Ramasesh
00,Hannah Blackwood
00,Jody Karol
00,Josie Ku
00,LISA TAW
00,Eric Dodds
00,George Lu
00,Griffen Croft
38,Robert  Luo
80,Thomas Sorensen
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Brewcade,VU,15,1,"06/09/2018, 08:00",Pool A,Final
Platypi,DR,15,4,"06/09/2018, 08:00",Pool A,Final
Brewcade,DR,15,1,"06/09/2018, 09:30",Pool A,Final
Platypi,VU,12,3,"06/09/2018, 09:30",Pool A,Final
Brewcade,Platypi,15,5,"06/09/2018, 11:00",Pool A,Final
DR,VU,15,5,"06/09/2018, 11:00",Pool A,Final
pool,Pool B
BW Ultimate,Spoiler Alert,9,7,"06/09/2018, 08:00",Pool B,Final
Firefly,Absolute Zero,14,6,"06/09/2018, 08:00",Pool B,Final
BW Ultimate,Absolute Zero,11,4,"06/09/2018, 09:30",Pool B,Final
Firefly,Spoiler Alert,12,5,"06/09/2018, 09:30",Pool B,Final
BW Ultimate,Firefly,13,6,"06/09/2018, 11:00",Pool B,Final
Absolute Zero,Spoiler Alert,8,11,"06/09/2018, 11:00",Pool B,Final
pool,Pool C
Classy,Sebastopol Orchard,15,2,"06/09/2018, 08:00",Pool C,Final
Alchemy,AC Bandits,15,3,"06/09/2018, 08:00",Pool C,Final
Classy,AC Bandits,13,7,"06/09/2018, 09:30",Pool C,Final
Alchemy,Sebastopol Orchard,12,4,"06/09/2018, 09:30",Pool C,Final
Classy,Alchemy,8,7,"06/09/2018, 11:00",Pool C,Final
AC Bandits,Sebastopol Orchard,11,4,"06/09/2018, 11:00",Pool C,Final
pool,Pool D
American Barbecue,Hot Stix,13,0,"06/09/2018, 08:00",Pool D,Final
Donuts,Buckwild,13,9,"06/09/2018, 08:00",Pool D,Final
American Barbecue,Buckwild,10,7,"06/09/2018, 09:30",Pool D,Final
Donuts,Hot Stix,15,1,"06/09/2018, 09:30",Pool D,Final
American Barbecue,Donuts,7,9,"06/09/2018, 11:00",Pool D,Final
Buckwild,Hot Stix,15,1,"06/09/2018, 11:00",Pool D,Final
b,r,e,a,k
clusters,Crossover
cluster,Crossover 
Platypi,Buckwild,9,7,"06/09/2018, 13:00",,Final
American Barbecue,DR,10,5,"06/09/2018, 13:00",,Final
Firefly,AC Bandits,13,10,"06/09/2018, 13:00",,Final
Alchemy,Spoiler Alert,12,5,"06/09/2018, 13:00",,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Brewcade,BW Ultimate,8,11,"06/10/2018, 12:20",Championship Game,Final
Brewcade,Alchemy,12,7,"06/10/2018, 10:50",Semifinals,Final
Classy,BW Ultimate,9,10,"06/10/2018, 10:50",Semifinals,Final
Brewcade,Firefly,15,7,"06/10/2018, 09:20",Quaterfinals,Final
Donuts,Alchemy,7,10,"06/10/2018, 09:20",Quaterfinals,Final
Classy,American Barbecue,12,9,"06/10/2018, 09:20",Quaterfinals,Final
BW Ultimate,Platypi,12,6,"06/10/2018, 09:20",Quaterfinals,Final
b,r,e,a,k
brackets,Placement Bracket
bracket,3rd Place
Alchemy,Classy,8,11,"06/10/2018, 12:20",3rd Place Game,Final
bracket,5th Place Bracket
Donuts,American Barbecue,5,10,"06/10/2018, 12:20",5th Place Game,Final
Firefly,Donuts,10,11,"06/10/2018, 10:50",5th Place Semifinals,Final
American Barbecue,Platypi,11,5,"06/10/2018, 10:50",5th Place Semifinals,Final
bracket,7th Place 
Firefly,Platypi,9,7,"06/10/2018, 12:20",7th Place Game,Final
bracket,9th Place Bracket
Buckwild,Spoiler Alert,4,10,"06/10/2018, 17:20",9th Place Game,Final
Buckwild,Absolute Zero,8,6,"06/10/2018, 15:50",9th Place Semifinals,Final
AC Bandits,Spoiler Alert,7,12,"06/10/2018, 15:50",9th Place Semifinals,Final
Buckwild,Sebastopol Orchard,15,6,"06/10/2018, 14:20",9th Place Quarterfinals,Final
DR,Absolute Zero,6,9,"06/10/2018, 14:20",9th Place Quarterfinals,Final
AC Bandits,Hot Stix,15,1,"06/10/2018, 14:20",9th Place Quarterfinals,Final
Spoiler Alert,VU,11,4,"06/10/2018, 14:20",9th Place Quarterfinals,Final
bracket,11th Place
Absolute Zero,AC Bandits,10,5,"06/10/2018, 17:20",11th Place Game,Final
bracket,13th Place Bracket
VU,DR,4,13,"06/10/2018, 17:20",13th Place Game,Final
VU,Hot Stix,15,3,"06/10/2018, 15:50",13 place semis,Final
DR,Sebastopol Orchard,10,6,"06/10/2018, 15:50",13 place semis,Final
bracket,15th Place
Hot Stix,Sebastopol Orchard,0,8,"06/10/2018, 17:20",15th Place Game,Final
b,r,e,a,k
