North Central Mixed Regional Championship,Club - Mixed ,22,9,2018
https://play.usaultimate.org/events/North-Central-Mixed-Regional-Championship-2018/schedule/Mixed/Club-Mixed
Drag'n Thrust,1
09,WHITNEY FOSE
11,Mackenzie Carpenter
12,Brian Benge
13,Jay Kinzel
13,Jordan Bauer
14,Osvaldo Velez-Martinez
17,Mark David
18,Grant Wagner
21,Jake Leutenegger
22,Max Carpenter
23,Paul Watson
24,Elizabeth Gates
25,Sarah Garstecki
26,Casey Hagen
28,Ben Ben Hirschman
32,Annie Waniger
44,Lauren Williams
45,Daphne Branham
88,Matthew Branham
96,William Mansfield
99,Wyatt Meyer
b,r,e,a,k
Blitzkrieg,11
0,Meeli Patel
01,Jacob Rickwa
02,Alexander DeMarais
03,Lizzie Stierwalt
04,Julie Turner
05,Frank Storms
10,Brendan Cirillo
11,Ben Stringer
12,Melody DeMarais 
16,Tommy Gebhardt
17,Michael Montesano
20,Mei Lin Branit
23,Jesse Lee
24,Abby Acker
26,Ryan Schroeder
30,Jeffrey Rehm
34,Christina Griese
38,Callie Warren
49,Heather Fielding Gebhardt
51,Amanda Frakes
56,Alan O'Brien
57,Emily Tucker
65,Taylor Hicks
66,Matt Primovic
71,Sydney Nelson
89,David Stierwalt
91,Jill Iwanski
b,r,e,a,k
Mad Udderburn,14
7,Amber Waite
00,Amber Heffernan
00,Andrew Landphier
00,Ben Schewe
00,Brad Ellis
00,David Kurian
00,Julia Sauerhaft
00,Nathan Freeman
00,Roman Ryan
00,Spike Pike
00,Marianna Malin
00,Tessa Berry
01,Grace Compton
02,Kevin Pochatila
03,Jake Wilson
04,Joey Knutson
06,Anders Shropshire
10,Matt Coogan
14,Katherine Magruder
15,John Miller
23,Lizabeth Held
25,Stephanie Smith
27,Clay Schelitzche
32,Amanda Hellestad
33,Aidan Boyle
41,Molly Schelitzche
55,Bo Strauss
b,r,e,a,k
The Chad Larson Experience,5
0,Blair Holck
0,Charlie Hubbard
0,Cody Rohlf
0,Colin Lord
0,Ethan Levine
0,Jack Sanders
0,Janna Coulter
0,Jessica Mazzio
0,Austin Gangel
0,Joel Morton
0,Katherine Goode
0,Linda Morton
0,Megan Halverson
0,Rachel Rohlf
1,Kevin Seiler
5,Matt Stoker
5,Sarah Stoker
6,Scott Hearne
9,Samantha Kokjohn
05,Jimmy Wiesbrock
19,Ben Joerger
23,Lauren Meyer
24,Megan Jameson
33,Peter Miller
55,Patrick Lansdon
61,Kelly Hubbard
99,Dylan DeClerck
b,r,e,a,k
Woodwork,4
0,Andy Woolard
0,Brad Ashley
0,Cara Wilwerding
0,Colin Iglehart
0,Connor Rock
0,Daniel Forsyth
0,Christa Fisher
0,Grant Maynard
0,Julianne Schmitt
0,Kayla Anderson
0,Kersten Hanson
0,James West
0,Rebecca Kramer
0,Tracy Kuper
0,Trevor Rice
3,Richelle Rock
7,Zachery Mahler
11,Austin Wehrwein
13,Cole Petsche
20,Mitch Parker
25,Elaine Sundberg
32,Nicole Lenczowski
33,Emily Wehrwein
42,Chas Busch
51,Isaac Entz
66,William Schmitt
69,Jia Yue Sum
b,r,e,a,k
Thoroughbred,13
0,John Henroid
01,Brandon Parr
02,Bryan Esmond
03,Laura Halfmann-Morris
04,Hannah Volpert-Esmond
05,Nicole Redden
06,Kathleen Horton
07,Michael Faaborg
08,Megan Woodring
09,Stephenie Wang
10,Tim Schwisow
12,Kyle Bowie
13,Max Morgan
15,Marissa Lerner
16,Rachel Dreher
18,Aaron Swaney
19,Cameron Sisler
22,Hannah Aaron
23,Alexander Sextro
26,Grant Eschmann
28,Chase Johnson
29,Mason Zetsch
33,Elizabeth Honigfort
36,Nathan Pyles
37,Mary Hermann
70,Matt Francis
99,Spencer Hollenbach
b,r,e,a,k
panIC,12
0,David Dalton
0,Gabe Etzel
0,Alexis Rose
0,Jessica Derry
0,Nicole Johnson
0,Olivia Brooks
0,Peter Shayman
0,Nathan Gibbons
0,Ryan Spaulding
0,Samantha Bartlett
0,Sean Parker
0,Zane Pennock
0,Zoe Bakken-Heck
4,Sean Schoephorster
8,MEGAN TARASI
20,Rebecca Crown
21,Bryan Brooks
21,James Hean
22,Nick Culver
23,Alexander Rummelhart
24,Thomas Robinson
33,James (Drew) Walters
37,Thomas Kindred
42,Raleke Hughes
66,Tyler Stutzman
99,Dana Demmert
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Drag'n Thrust,Mojo Jojo,13,3,"09/22/2018, 09:00",Pool A
Bird,Pandamonium,13,4,"09/22/2018, 09:00",Pool A
Drag'n Thrust,Pandamonium,13,1,"09/22/2018, 10:45",Pool A
Bird,Mojo Jojo,12,7,"09/22/2018, 10:45",Pool A
Drag'n Thrust,Bird,13,3,"09/22/2018, 12:30",Pool A
Mojo Jojo,Pandamonium,11,12,"09/22/2018, 12:30",Pool A
pool,Pool B
No Touching!,Chalice,13,8,"09/22/2018, 09:00",Pool B
Minnesota Star Power,Hellbenders,13,5,"09/22/2018, 09:00",Pool B
No Touching!,Hellbenders,13,5,"09/22/2018, 10:45",Pool B
Minnesota Star Power,Chalice,6,11,"09/22/2018, 10:45",Pool B
No Touching!,Minnesota Star Power,12,13,"09/22/2018, 12:30",Pool B
Chalice,Hellbenders,11,6,"09/22/2018, 12:30",Pool B
pool,Pool C
NOISE,panIC,13,4,"09/22/2018, 09:00",Pool C
Northern Comfort,Thoroughbred,12,7,"09/22/2018, 09:00",Pool C
NOISE,Thoroughbred,13,1,"09/22/2018, 10:45",Pool C
Northern Comfort,panIC,10,6,"09/22/2018, 10:45",Pool C
NOISE,Northern Comfort,12,9,"09/22/2018, 12:30",Pool C
panIC,Thoroughbred,10,9,"09/22/2018, 12:30",Pool C
pool,Pool D
Woodwork,Blitzkrieg,13,7,"09/22/2018, 09:00",Pool D
The Chad Larson Experience,Mad Udderburn,13,3,"09/22/2018, 09:00",Pool D
Woodwork,Mad Udderburn,11,5,"09/22/2018, 10:45",Pool D
The Chad Larson Experience,Blitzkrieg,13,11,"09/22/2018, 10:45",Pool D
Woodwork,The Chad Larson Experience,10,11,"09/22/2018, 12:30",Pool D
Blitzkrieg,Mad Udderburn,9,10,"09/22/2018, 12:30",Pool D
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
Drag'n Thrust,The Chad Larson Experience,13,8,"09/22/2018, 14:15",1st Place Semis
NOISE,No Touching!,9,11,"09/22/2018, 14:15",1st Place Semis
Drag'n Thrust,No Touching!,13,7,"09/23/2018, 12:30",1st Place Finals
bracket,2nd Place Bracket
No Touching!,NOISE,13,7,"09/23/2018, 14:15",2nd Place Finals
Chalice,NOISE,7,13,"09/23/2018, 12:30",2nd Place Semis
Northern Comfort,Mad Udderburn,12,6,"09/22/2018, 14:15",2nd Place Play In
Pandamonium,Chalice,9,13,"09/22/2018, 14:15",2nd Place Play In
Bird,Minnesota Star Power,8,13,"09/22/2018, 14:15",2nd Place Play In
panIC,Woodwork,8,13,"09/22/2018, 14:15",2nd Place Play In
Northern Comfort,Chalice,8,13,"09/23/2018, 09:00",2nd Place Prequarters
Minnesota Star Power,Woodwork,13,8,"09/23/2018, 09:00",2nd Place Prequarters
The Chad Larson Experience,Chalice,12,13,"09/23/2018, 10:45",2nd Place Quarters
Minnesota Star Power,NOISE,5,13,"09/23/2018, 10:45",2nd Place Quarters
bracket,7th Place
Northern Comfort,Woodwork,12,8,"09/23/2018, 10:45",7th Place
bracket,9th Place Bracket
Mad Udderburn,Pandamonium,7,13,"09/23/2018, 09:00",9th Place Semis
Bird,panIC,13,8,"09/23/2018, 09:00",9th Place Semis
Pandamonium,Bird,8,13,"09/23/2018, 10:45",9th Place Finals
bracket,11th Place
Mad Udderburn,panIC,8,10,"09/23/2018, 10:45",11th Place
bracket,13th Place Bracket
Mojo Jojo,Blitzkrieg,13,5,"09/23/2018, 09:00",13th Place Semis
Thoroughbred,Hellbenders,12,10,"09/23/2018, 09:00",13th Place Semis
Mojo Jojo,Thoroughbred,13,9,"09/23/2018, 10:45",13th Place Finals
bracket,15th Place 
Blitzkrieg,Hellbenders,10,13,"09/23/2018, 10:45",15th Place
b,r,e,a,k
