Midwest Throwdown 2018,College - Women ,3,3,2018
Columbia,MO,2018-03-03,2018-03-04
https://play.usaultimate.org/events/Midwest-Throwdown-2018/schedule/Women/CollegeWomen/
Washington University,6
teamInfo,iBex,"Des Moines, Iowa",,https://www.facebook.com/DrakeiBex/,https://twitter.com/drake_ibex
coaches,Rebekah Coenen
0,Aili Huss
06,Rachel Stumphauzer
07,Anna Bruns
12,Grace Mikelsons
16,Cassandra Veglahn
18,Jessica Brown
22,Reanna Campbell
23,Anna Austin
24,Anna Shewmaker 
25,Sophia Siegel
33,Madeline Cheek
42,Isabel Trujillo
79,Annemiek Arkema
b,r,e,a,k
North Park,22
teamInfo,Allihopa,"Chicago, Illinois",,,
0,Abby Gentile
0,Abby  Imperial
0,Daria  Johnson
0,Ellie Manderfeld
0,Erin Penn
0,Grace Jang
0,Jessica Torres
0,Jessica Rosell
0,Julie Spencer
0,Kajsa Meyer
0,Kara Lownsberry
0,Katie Gustafson
0,Kierra Daniels
0,Kiersten Bixby
0,Kysa Sager
0,Maggie Johnson
0,Margaret Fernald
0,Mary  Parenti
0,Michaela Scholte
0,Shannon Cahill
0,Tobiah Agurkis
2,Hannah Sahyouni
10,Jennifer Mueller
17,Erin Staurseth
28,Simone Carroll
45,Hannah Lewis
b,r,e,a,k
Grinnell College,14
teamInfo,Grinnellen Degenerates,"Grinnell, Iowa",,,
0,Allison Rogers
0,Allison Risser
0,Alyssa Hyndman
0,Bella Butzirus
0,Cecilia Bergman
0,Clare Magalaner
0,Crys Moosman
0,Elise Brod
0,Eva Sarai
0,Eva Gemrich
0,Hana Lord
0,Jin Komerska
0,Julia Dursztman
0,Julia Fay
0,Kathryn Yetter
0,Lauren Edwards
0,Lucie Duffy
0,Marley Mullin
0,Marli Remash
0,Mary Rose Bernal
0,Sam Walker
0,Shamiram Yousef
0,Sophie Macklem-Johnson
0,Tulah Fuchs
b,r,e,a,k
Texas-Dallas,19
teamInfo,MonStars,"Richardson, Texas",,,
3,Jenna Paterson
06,Caroline Hammer
09,Madison Nickerson
12,Abigail Evans
18,Jamie Eriksson
20,Amy Whitaker
21,Katy Elder
22,Gabrielle Spurlin
23,Meiline Troeung
24,Ashlyn Stuberfield
41,Nuala Keany
52,Elizabeth Jilson
69,Bristol Lovoy
73,Louisa Xie
94,Sarah  Sachak 
96,Brisa Diaz
b,r,e,a,k
Wisconsin (B),30
teamInfo,Atropa,"Madison, Wisconsin",https://win.wisc.edu/organization/womensultimate,https://www.facebook.com/groups/421591531301929/?bookmark_t=group,
0,Carly Serketich
0,Hannah Rapp
0,Julianna Kuecker
0,Katharine Lewer
0,Katherine Magruder
0,Katie Fan
0,Lacie Schroeder
0,Laura Borth
0,Aikum Talwar
0,Stephanie  Blumenthal
0,Taylor Srebnick
4,Lindsey Tushman
9,Sarah Mancina
10,Ansley Williams
13,Annalise Ho
b,r,e,a,k
Kansas (B),27
teamInfo,Betty Ultimate B,"Lawrence, Kansas",modules/common/www.bettyultimate.com,https://www.facebook.com/pages/Betty-Ultimate/144061402213,https://twitter.com/bettyultimate
0,Audrey Brooker
0,Bailey Dobbins
0,Brooklyn Mussman
0,Caroline  Hwang
0,Chidera Okoye
0,Ella Nordell-Morris
0,Grace Brandt
0,Shannon Nelson
0,Spencer Riley
0,Tatum Boyer
0,Taylor Hicks
0,Laurel Thompson
0,Roxanne Blackhurst
2,Bailey Boswell
6,Sally (Yueyang) Jiang
44,Brenna Niemuth
55,Julia McElroy 
70,Beth Arneson
b,r,e,a,k
Purdue,15
teamInfo,AMOC,"West Lafayette, Indiana",http://purduewomensultimate.weebly.com/,https://www.facebook.com/amocultimate/,https://twitter.com/PurdueWomensUlt
0,Elisabeth Freeman
0,Hannah Mackin Schenck
0,Megan Ricks 
0,Sarah McGinness
0,Zoe Graves
02,Carly Schofield
03,Haley Schroeder
04,Maggie Kline
05,Megan Jarriel
07,Heather Strathearn
11,Margaret Nelson
12,Shannon Jones
17,Mary Mulligan
24,Caitlyn Corcoran
25,Zaty Fazil
28,Emily Ashburn
34,Darien Rodriguez
63,Jhoanna Sadural
69,Emma Roberts
75,Emily Nadler
b,r,e,a,k
St Benedict,18
teamInfo,Rapture,"St. Joseph, Minnesota",,,@CSB_Rapture
0,Hailey Sabin
1,Natalie McGlinch
2,Daysy Rojas
3,Madyson Johnson
6,Cassie Renckens
7,Emily Walsh
8,Meghan Hayden
9,Kayla  Albers
10,Gabrielle Miner
11,Alexandria Daggett
12,Nicole Nye
13,Ally Wilson
14,Maggie  Grunow 
15,Hannah Windschitl
16,Allison Grodnick
17,Alexandria Erickson
18,Mariah Williams
20,Sara Laufers
21,Mariel Culloton
22,Kristen Rezac
24,Hailey Shoemaker
25,Jaime Purdie
27,Elizabeth Zobitz
33,Johannah Frisby
b,r,e,a,k
Minnesota-Duluth,23
teamInfo,LakEffect,"Duluth, Minnesota",https://bulldoglink.d.umn.edu/organization/umdwomensultimatefrisbee,https://www.facebook.com/groups/401771953206863/,https://twitter.com/UMDLakEffect
0,Heather McGahan
4,Sadie Hedger
7,Madeline Crockett
10,Shannon Mathews
12,Camille Marsten
17,Sarah McDonald
22,Sam Munkeby
24,Mackenzie Olson
27,Leah Barrett
28,ALLISON UREVIG
31,Kelly Chase
33,Alyssa Kleppe
70,Hannah Peterson
b,r,e,a,k
Marquette,26
teamInfo,Moxie,"Milwaukee, Wisconsin",,,@MoxieUltimate
0,Garce  Savini
2,Jessica O'Young
5,Nicole Githens
08,Marielle Billig
10,Bria Osterberg
12,Sarah Bergstrom
19,Sheila Connelly
21,Andrea Thiltgen
23,Suzanne Britten
33,Katelyn Pisellini
69,Lizabeth Raffel
b,r,e,a,k
Washington University (B),31
teamInfo,Locamotive),"St.Louis, Missouri",,https://www.facebook.com/twoWUs,https://twitter.com/wuwuisLOCA
0,Abbie Wolfe
0,Ana Calvo
0,Brooke Felsheim
0,Ciara Greene
0,Coco Oan
0,Danealle Parchment
0,Jadey Sadoff
0,Katie Ewald
0,Maggie Brown
0,Molly Harback
0,Parvathi Narayan
0,Rachel Katz
0,Raeka Attari
0,Ria Jasuja
0,Samantha Wapnick
0,Shanthini Baskar
0,Taylor Shishido
0,Ellen Dai
3,Astrella Sjarfi
08,Abby Rubin
36,Devin Ryan
42,Emily Byrn
b,r,e,a,k
Wisconsin-Eau Claire,24
teamInfo,SOL,"Eau Claire, Wisconsin",http://uwecwomensultimate.wixsite.com/solultimatefrisbee,https://www.facebook.com/pages/UWEC-SOL-Ultimate/119434234738605,https://twitter.com/SOLultimate
02,Heidi Overeem
04,Michaela Blomberg
05,Megan Wojtasiak
06,Emily Dalhoff
09,Samantha Miller
10,Alexa Unrein
12,Makayla Jones-Klausing
13,Laura Cullen
14,Jessica Hendrickson
16,Caitlin Williams
17,GRACE PIERSTORFF
21,Samantha Gellerup
22,Natalie Cooper
23,Hallie Hancock
25,Morgan  Wilde
26,Ellie Hanisch
35,Alexa Miller
60,Paige Murphy
65,Abby Jacobson
77,Ashley Wurster
b,r,e,a,k
Missouri S&T,16
teamInfo,Miner Threat,"Rolla, Missouri",,,
0,Ashley Longrie
0,Baylee Godat
0,Catherine Mittlieder
0,Madison Stiebel
0,Madison White
0,Nicole Kelly
0,Rachel Althage
0,Stevie Sieren
0,Erin Mann
2,Courtney Munch
16,Ele Hanson
19,Kelly Dunlap
b,r,e,a,k
Luther,17
teamInfo,Freya,"Decorah, Iowa",,https://www.facebook.com/pages/Freya-Ultimate/155989471091880,https://twitter.com/FreyaUltimate
02,Emma Hitz-Kelly
03,Madeleine Ross
04,Sara Suri
05,Maureen Donohue
06,Ann Holmes
08,Rachel Koller
09,Madison Brauer
10,Alexis Hove
11,Rozlyn Paradis
12,Mackenzie  Miller
13,Hannah Stenoien
15,Nina Johnson
18,Cassie Kiener
20,Ashley Veeser
21,Cora Egherman
24,Hanna Doerr
26,Sarah Eachus
28,Annika Jensen
30,Jennifer Hickey
33,Hallie Simon
55,Gracie Velasco
78,Kjerstin Nelson
b,r,e,a,k
Missouri,25
teamInfo,TerrorMizzou,"Columbia, Missouri",,,
0,Lauren Parker
0,Lindsay Fink
0,Natalie Sherbrooke
1,Natalie Gilliam
9,Annie Dolan
19,Gillian Schulte
28,Jessica Reid
55,Haley Morrison
81,Genevieve Jones
88,Elizabeth Woods
b,r,e,a,k
s,t,a,g,e,s
pools,PP W
pool,Pool A
Kansas,Chicago,12,7,"03/03/2018, 11:00",Pool A,Final
Washington University,Iowa,11,5,"03/03/2018, 11:00",Pool A,Final
Kansas,Iowa,10,5,"03/03/2018, 13:00",Pool A,Final
Washington University,Chicago,10,4,"03/03/2018, 13:00",Pool A,Final
Kansas,Washington University,5,15,"03/03/2018, 15:00",Pool A,Final
Chicago,Iowa,13,11,"03/03/2018, 15:00",Pool A,Final
pool,Pool B
Minnesota,Triangle Tourists,7,13,"03/03/2018, 09:00",Pool B,Final
Wisconsin,Illinois,14,5,"03/03/2018, 09:00",Pool B,Final
Minnesota,Illinois,14,1,"03/03/2018, 13:00",Pool B,Final
Wisconsin,Triangle Tourists,3,15,"03/03/2018, 13:00",Pool B,Final
Minnesota,Wisconsin,13,9,"03/03/2018, 15:00",Pool B,Final
Triangle Tourists,Illinois,15,3,"03/03/2018, 15:00",Pool B,Final
pool,Pool C
Iowa State,St Olaf,13,6,"03/03/2018, 09:00",Pool C,Final
Colorado State,Northwestern,7,9,"03/03/2018, 09:00",Pool C,Final
Iowa State,Northwestern,12,6,"03/03/2018, 11:00",Pool C,Final
Colorado State,St Olaf,12,4,"03/03/2018, 11:00",Pool C,Final
Iowa State,Colorado State,7,9,"03/03/2018, 15:00",Pool C,Final
St Olaf,Northwestern,6,15,"03/03/2018, 15:00",Pool C,Final
pool,Pool D
Truman State,Tulsa,13,3,"03/03/2018, 09:00",Pool D,Final
Drake,Northwestern (B),6,8,"03/03/2018, 09:00",Pool D,Final
Truman State,Drake,8,0,"03/03/2018, 10:30",Pool D,Final
Northwestern (B),Tulsa,8,3,"03/03/2018, 12:00",Pool D,Final
Truman State,Northwestern (B),7,1,"03/03/2018, 13:30",Pool D,Final
Drake,Tulsa,5,9,"03/03/2018, 15:00",Pool D,Final
Wisconsin-Milwaukee,Northwestern (B),7,8,"03/04/2018, 12:30",Pool D,Final
Wisconsin-Milwaukee,Drake,8,3,"03/04/2018, 02:00",Pool D,Final
Wisconsin-Milwaukee,Tulsa,11,3,"03/04/2018, 03:30",Pool D,Final
Truman State,Wisconsin-Milwaukee,8,3,"03/04/2018, 05:00",Pool D,Final
pool,Pool E
Grinnell College,Wisconsin (B),8,4,"03/03/2018, 09:00",Pool E,Final
North Park,Kansas (B),12,3,"03/03/2018, 09:00",Pool E,Final
Grinnell College,North Park,6,13,"03/03/2018, 10:30",Pool E,Final
Texas-Dallas,Kansas (B),11,5,"03/03/2018, 10:30",Pool E,Final
Kansas (B),Wisconsin (B),7,9,"03/03/2018, 12:00",Pool E,Final
Texas-Dallas,North Park,5,10,"03/03/2018, 12:00",Pool E,Final
Grinnell College,Kansas (B),9,5,"03/03/2018, 13:30",Pool E,Final
Texas-Dallas,Wisconsin (B),12,1,"03/03/2018, 13:30",Pool E,Final
Grinnell College,Texas-Dallas,11,8,"03/03/2018, 15:00",Pool E,Final
North Park,Wisconsin (B),11,3,"03/03/2018, 15:00",Pool E,Final
pool,Pool F
Purdue,Minnesota-Duluth,9,10,"03/03/2018, 09:00",Pool F,Final
Purdue,Washington University (B),13,1,"03/03/2018, 10:30",Pool F,Final
Minnesota-Duluth,Marquette,8,4,"03/03/2018, 10:30",Pool F,Final
Marquette,Washington University (B),7,6,"03/03/2018, 12:00",Pool F,Final
Purdue,Marquette,7,3,"03/03/2018, 13:30",Pool F,Final
Minnesota-Duluth,Washington University (B),12,4,"03/03/2018, 15:00",Pool F,Final
St Benedict,Marquette,8,7,"03/03/2018, 16:00",Pool F,Final
St Benedict,Minnesota-Duluth,9,4,"03/03/2018, 19:00",Pool F,Final
St Benedict,Washington University (B),10,3,"03/03/2018, 20:30",Pool F,Final
Purdue,St Benedict,12,3,"03/03/2018, 22:00",Pool F,Final
pool,Pool G
Luther,Missouri,12,4,"03/03/2018, 09:00",Pool G,Final
Luther,Wisconsin-Eau Claire,9,12,"03/03/2018, 11:00",Pool G,Final
Wisconsin-Eau Claire,Missouri,14,2,"03/03/2018, 13:00",Pool G,Final
Missouri S&T,Wisconsin-Eau Claire,10,11,"03/03/2018, 16:00",Pool G,Final
Missouri S&T,Missouri,15,1,"03/03/2018, 18:00",Pool G,Final
Missouri S&T,Luther,10,8,"03/03/2018, 20:00",Pool G,Final
b,r,e,a,k
brackets,BP W
bracket,CHAMPIONSHIP W
Colorado State,Triangle Tourists,7,14,"03/04/2018, 14:30",FINALS W,Final
Wisconsin,Colorado State,10,11,"03/04/2018, 12:30",SEMIS W,Final
Triangle Tourists,Iowa State,13,5,"03/04/2018, 12:30",SEMIS W,Final
Washington University,Wisconsin,6,8,"03/04/2018, 10:30",QUARTERS W,Final
Colorado State,Minnesota,11,10,"03/04/2018, 10:30",QUARTERS W,Final
Triangle Tourists,Chicago,14,8,"03/04/2018, 10:30",QUARTERS W,Final
Iowa State,Illinois,14,7,"03/04/2018, 10:30",QUARTERS W,Final
Washington University,Wisconsin-Eau Claire,13,2,"03/04/2018, 08:30",PRE-Q W,Final
Wisconsin,Northwestern,11,8,"03/04/2018, 08:30",PRE-Q W,Final
Colorado State,Truman State,12,2,"03/04/2018, 08:30",PRE-Q W,Final
Minnesota,Iowa,13,11,"03/04/2018, 08:30",PRE-Q W,Final
Triangle Tourists,Purdue,15,1,"03/04/2018, 08:30",PRE-Q W,Final
Chicago,St Olaf,9,6,"03/04/2018, 08:30",PRE-Q W,Final
Iowa State,North Park,12,7,"03/04/2018, 08:30",PRE-Q W,Final
Kansas,Illinois,8,9,"03/04/2018, 08:30",PRE-Q W,Final
bracket,3RD PLACE W
Wisconsin,Iowa State,13,10,"03/04/2018, 14:30",3RD PLACE W,Final
bracket,T-5TH PLACE W [1]
Washington University,Minnesota,8,12,"03/04/2018, 14:30",T-5TH PLACE W [1],Final
bracket,T-5TH PLACE W [2]
Chicago,Illinois,9,12,"03/04/2018, 14:30",T-5TH PLACE W [2],Final
bracket,9TH PLACE W
Northwestern,Kansas,14,3,"03/04/2018, 14:30",9TH PLACE W,Final
Northwestern,Iowa,11,6,"03/04/2018, 12:30",9TH SEMIS W,Final
Purdue,Kansas,6,11,"03/04/2018, 12:30",9TH SEMIS W,Final
Wisconsin-Eau Claire,Northwestern,0,15,"03/04/2018, 10:30",9TH QUARTERS W,Final
Truman State,Iowa,5,9,"03/04/2018, 10:30",9TH QUARTERS W,Final
Purdue,St Olaf,11,7,"03/04/2018, 10:30",9TH QUARTERS W,Final
North Park,Kansas,8,9,"03/04/2018, 10:30",9TH QUARTERS W,Final
bracket,T-13TH PLACE W [1]
Wisconsin-Eau Claire,Truman State,6,7,"03/04/2018, 14:30",T-13TH PLACE W [1],Final
bracket,T-13TH PLACE W [2]
St Olaf,North Park,9,6,"03/04/2018, 14:30",T-13TH PLACE W [2],Final
bracket,17TH PLACE W
Texas-Dallas,St Benedict,5,11,"03/04/2018, 21:30",17TH PLACE W,Final
Minnesota-Duluth,Texas-Dallas,7,10,"03/04/2018, 12:30",17TH SEMIS W,Final
St Benedict,Grinnell College,14,10,"03/04/2018, 19:30",17TH SEMIS W,Final
Missouri S&T,Minnesota-Duluth,10,11,"03/04/2018, 15:30",17TH QUARTERS W,Final
Northwestern (B),Texas-Dallas,2,11,"03/04/2018, 08:30",17TH QUARTERS W,Final
St Benedict,Luther,13,7,"03/04/2018, 15:30",17TH QUARTERS W,Final
Grinnell College,Wisconsin-Milwaukee,8,7,"03/04/2018, 22:30",17TH QUARTERS W,Final
bracket,19TH PLACE W
Minnesota-Duluth,Grinnell College,9,15,"03/04/2018, 14:30",19TH PLACE W,Final
bracket,21ST PLACE W
Missouri S&T,Luther,4,5,"03/04/2018, 21:30",21ST PLACE W,Final
Missouri S&T,Northwestern (B),14,2,"03/04/2018, 19:30",21ST SEMIS W,Final
Luther,Wisconsin-Milwaukee,12,7,"03/05/2018, 02:30",21ST SEMIS W,Final
bracket,23RD PLACE W
Northwestern (B),Wisconsin-Milwaukee,1,9,"03/05/2018, 04:30",23RD PLACE W,Final
bracket,25TH PLACE W
Missouri,Marquette,10,7,"03/04/2018, 12:30",25TH PLACE W,Final
Missouri,Tulsa,10,6,"03/04/2018, 10:30",25TH SEMIS W,Final
Marquette,Wisconsin (B),9,8,"03/04/2018, 10:30",25TH SEMIS W,Final
bracket,27TH PLACE W
Tulsa,Wisconsin (B),9,8,"03/04/2018, 12:30",27TH PLACE W,Final
b,r,e,a,k
pools,29TH PLACE PP W
pool,Pool H
Kansas (B),Washington University (B),6,5,"03/04/2018, 10:30",Pool H,Final
Drake,Washington University (B),9,10,"03/04/2018, 12:30",Pool H,Final
Drake,Kansas (B),7,10,"03/04/2018, 14:30",Pool H,Final
b,r,e,a,k
