Philly Invite 2018 ,Club - Mixed ,7,7,2018
Norristown,PA,2018-07-07,2018-07-08
https://play.usaultimate.org/events/Philly-Invite-2018-/schedule/Mixed/Club-Mixed
Loco,1
1,Abigail Thompson
2,Elizabeth Archibald
5,Christopher Horton
9,Nicole Vasoll
10,"Mariel  Weigel ""Wabs"""
12,Antonio Brewer
12,Casey Banta-Ryan
14,Seval Kanik
18,Harris Yudin
26,Vincent Rienzi
84,Matt Lubitz
97,Kelly Skewis
b,r,e,a,k
Turnstyle,17
teamInfo,,"New York, New York",https://turnstyleultimate.weebly.com/,https://www.facebook.com/turnstyleultimate/,https://twitter.com/TurnstyleUlti
0,Evan Pliskin
0,Janae Stewart
0,Jamie Mercado
0,Kyle Chylinski
0,Laura Kaplan-Weisman
0,Marshall Pollack
0,Mazahidul Islam
0,Melanie Sawyer
0,Keith Dobson
0,Phillip Hou
0,Rachel Tornheim
6,David Gallagher
7,Muhaiminul Haque
7,Phil Enock
7,Khunsa Amin
21,Jonathan Chylinski
24,Jiwon You
36,Kevin Mercado
40,Sora Kim
52,Joshua Olin
73,Caleb Fine
b,r,e,a,k
Jughandle,2
teamInfo,,"Princeton, New Jersey",,,https://twitter.com/TeamJughandle
0,Andrew Auyeung
0,Cara Silvestri
0,Colin Kochenash
0,Emily  Cai
0,Emma Ignaszewski
0,Jessica Renninger
0,Jimmy Wang
0,Kristi Huang
0,Harrison Treegoob
0,Jeff Shipkin
0,Natalia De Jesus
0,Rebecca Halleran
0,Thomas Johnson
2,Funing Zhang
6,Dmitry Suvorov
6,Ryan Anderson
9,Charles Cannon
10,Mathieu Savarit-Cosenza
11,Mason Compton
18,Emily Yin
21,Elizabeth Melillo
22,David Harrison
42,Lucas  Richie
88,Jessica Louie
b,r,e,a,k
Birds,18
teamInfo,,"Long Island, New York",,https://www.facebook.com/pages/Frisbee-of-Long-Island-FLI/389689407841902,https://twitter.com/fliultimate
0,Brandon Eng
0,Brian Walsh
0,Chris Walsh
0,Allison Dowling
0,John Shelley
0,Marisa Gargaro
0,Matthew Auletta
0,Madison Cannon
0,Madison Asher
0,Veronica Auletta
1,May Patino
8,Angela Petrus
10,Patricia Burks
11,Josiah Zoodsma
15,James Green
17,Whitney McCarthy
21,Christopher Cabot
22,Marisa Taliercio
24,Benjamin Sokolowsky
30,Jessica Jolley
31,Collin Bartoldus
38,Will Burks
40,Justin Thomas
42,Kevin Burke
54,Daniel Stern
96,Eric Cannella
b,r,e,a,k
The Process,10
teamInfo,,"Philadelphia, Pennsylvania",,,
0,Andrew Haviland
0,Andrew Elliott
0,ASHLEY POTTER
0,Brian Carney
0,Brian Doherty
0,Bryce Wiedenbeck
0,Chris Schauble
0,Emma  Brown
0,Frances Taschuk
0,Jules Burnstein
0,Lilly Dupuis
0,MATTHEW CONGDON
0,Melissa Baker
0,Emilie Mohler
0,Sarah Gleeson
0,"Wint ""Olivia"" Oo"
1,Francesca Corna
8,Liz Hart
13,Joseph Brennecke
13,ALISA LI
14,Lauren Howard
33,Adam Federbusch
36,Kyle Golrick
44,Nicholas Moon
88,Jacob Kesselman
b,r,e,a,k
Buffalo Lake Effect,7
teamInfo,,"Buffalo, New York",,https://www.facebook.com/groups/50331329455/,
0,Bethany Ortquist
0,Brandon Kahler
0,Daniel Wang
0,Dave Schneggenburger
0,Erica Stamboulian
0,George Scheibel
0,James Erb
0,Jennine Kanaby
0,Jessica Brownschidle
0,Jessie Chiello
0,Jonathan Bain
0,Katie Bilicki
0,Maddie Beale
0,Michael Mooney
0,Molly Booi
0,Paul Sperr
0,Sarah Tulin
0,Sean Bowers
0,Timothy (TJ) Burns
0,Zachary Flint
1,Jeffrey Harvey
3,Richard Milleville
9,Michael Kanaby
9,Jonathan Gill
11,David Mohan
18,Kevin O'Connor
61,Kristin Poinar
b,r,e,a,k
Stoke,15
teamInfo,,"West Chester, Pennsylvania",,,
00,Adriene Khon
00,Andrew Landes
00,Austin Doucette
00,Brett Good
00,Brittney Brown
00,Calvin Green
00,Charles Villano
00,Colton Doering
00,Damon Leeper
00,Daniel Sax
00,Edwin Finley
00,Eric Lu
00,Jack Steketee
00,Jake Murray
00,Jessie Furey
00,Kelsey Aikens
00,Kristen Henry
00,Leanne Beyer
00,Liv Stanley
00,Nayah Cruz
00,Stephanie Coward
00,Sydney Eller
00,Tate Gugino
b,r,e,a,k
Chaotic Good,3
teamInfo,,"Cambridge, Massachusetts",www.chaoticgoodultimate.com,www.facebook.com/chaoticgoodulti,www.twitter.com/chaoticgoodulti
coaches,Axis Sivitz
0,Andrew Applegate
0,Benjamin Rosenfeld
0,Delaney Reardon
0,Elliot Sakach
0,EMILY HEATH
0,Jaime Benites
0,Kathryn Haapala
0,Kayla Huddell
0,Kevin O'Brien
0,Maya Stokes
0,Natalie Gould
0,Ryan Kelley
0,Varun Pattani
1,Shawna Zielstorff
5,Raymond Tetreault
6,Lauren Bertino
9,Lisa Liu
9,Andrew Yale
10,Olivia Player
11,Jacob Dummeldinger
20,Brandon Nadres
26,Hannah Barnstone
33,Nick Jewell
44,Katherine Buckingham 
99,Dan Huddell
b,r,e,a,k
Garbage Plates,6
teamInfo,,"Rochester, New York",,,
0,Akash Patel
0,ALEXANDER NEE
0,Bradford Montgomery
0,CARTER MIDDLETON
0,Cassidy Strassner
0,Daniel Horrigan
0,Dudley Loew
0,Emmett Wilson
0,KATIE VAUGHAN
0,Ken (KJ) Dziak
0,Kyle Morgan
0,Madeline Schwenker-Punnett
0,Marisa Wilson
0,Matthew Rybak
0,Matthew Cameron
0,Evan Blumberg
4,Fayth Kim
10,Erin Sullivan
11,Briana Newman
13,William Johnson
20,Becky Gravenstede
30,Malachi Schultz
88,Nate August
b,r,e,a,k
Powermove,11
teamInfo,,"New York, New York",,,
0,Alex Becker
0,Anna Hermann
0,Brandon Beeler
0,Brianna Goldberg
0,Camille Victoria Delgado
0,Celeste Royo
0,Clair Beltran
0,Daniel Siegel
0,Devon Harvey
0,Drew Leventhal
0,Eric Zimmerman
0,Harper Gany-Beitler
0,Hy Ha
0,Jennifer Song
0,Jessica Chen
0,Kylie Sterling
0,Noah Igra
0,Oscar Kohut
0,Rebecca Cawkwell
0,Jose Sosa
4,Josh Winward
7,Zach Bark
22,Jordan Chow
b,r,e,a,k
Sabotage,14
teamInfo,,"Philadelphia, Pennsylvania",,https://www.facebook.com/Sabotage-Ultimate-1574253482867837/?fref=ts,
0,AUDREY INDEN
0,Chen Zhou
0,Christina Leschinsky
0,Dan Benedict
0,Jeffrey Zhou
0,John Gardner
0,Kaitlin Phillips
0,Karen Fields
0,LAUREN SCHONEKER
0,Liz Gardner
0,DOV GOLDMAN
0,Rachel Bova
0,Rebecca Solnit
0,Seth Tannenbaum
0,Victoria Vale
1,Alex Peters
9,Alexandra Wittchen
08,Andrew Wisor
10,David Boyer
13,Brian Koch
14,Mike Alexander
15,David Kiefer
22,Beth Burke
24,Jeffrey Hsieh
36,Kent Hubert
42,Patrick Reilly
44,Nathanael Grefe
b,r,e,a,k
Philadelphia Forge (Mixed),19
teamInfo,Mixed,"Philadelphia, Pennsylvania",,,
coaches,Michael Gentile
0,Bethany  Eldridge
0,Brian Arnold
0,Caroline Noone
0,Jonathan (Johnny) Saldivar
0,Olivia Thornton
0,Victoria Lee
10,Claire Fukuchi
15,Layne Dodge
17,Nathaniel Hess
33,Christina Holgado
37,Milena Korzekwa
43,Matthew Hess
47,Nate Little
69,J'Lynn Matthews
84,Saamir Baker
b,r,e,a,k
Grand Army,5
teamInfo,,"Brooklyn, New York",,https://www.facebook.com/GrandArmyUltimate,https://www.twitter.com/grandarmymixed
0,Alex Eacker
0,Alicia Monfre
0,Andrew Werblin
0,Christopher Cox
0,Darren Defreeuw
0,Elizabeth Merritt
0,Gina Stees
0,Henry Zhang
0,Jae Lee
0,Jeannine Opie
0,Jimmy Chen
0,Kyle Blaeuer
0,Miranda Moore
0,Miriam Nielsen
0,Josette (Josie) Pratt
0,Kevin Hsu
0,Sean Petterson
11,Hayley Manning
13,John Sakon
14,Brianna Dayer
15,Helen Samuel
17,Kevin Donlin
69,Peter Luo
b,r,e,a,k
Distelfink,4
teamInfo,,"Lancaster, Pennsylvania",,,
0,Maya Karl
0,Tom Pribicko
05,Anthony Bowers
05,Corryn Vento
06,Jordan Roof
07,Bradley Dussinger
07,Elise Colomb
08,Kadi McCoy
09,Kerianne Durkin
09,Kristin Thomas
10,Matthew Stilley
11,Tim Hushon
12,Lindsey King
13,Ashlynn Trimmer
15,Christopher Man
15,Rebecca Holmes
16,Stacey Daniels
17,David Naylor jr
21,Derek Bigley
22,Nicole Singiser
25,Ethan Krokonko
26,Angela Martin
28,Jacob Farnham
42,Daniel Slesinski
49,Ian Preston
49,Jordan Winey
b,r,e,a,k
The Bandits,12
teamInfo,,"Montclair, New Jersey",,https://www.facebook.com/banditsnjmixedultimate/,
0,Eleanor Beckwith
4,Robert Altieri
03,Sarah Durando
04,Alyssa Willis
08,Alex Greene
09,Brett Bealer
11,Daniel Marlow
12,Kaitlyn Dermen
13,James Nabial
14,Joseph Friedman
15,Casey Lynch
17,Iris Kim
18,Raz Blau
24,Steven Willis
25,Benjamin Nichols
28,Luz Bueno
29,Ryan Cullinane
31,Patrick  Rehain 
33,Bonnie Marlow
34,Adriana Tirado
35,Rae Conklin
38,ANDREW LOPRESTI
49,Jason Thompson
53,Wes Halter
70,Robert Patten
97,SEAN TAYLOR
98,Kyle Dew
b,r,e,a,k
Philly Twist,20
teamInfo,,"Philadelphia, Pennsylvania",bitmap.philly@gmail.com,https://www.facebook.com/TwistUltimate/,https://twitter.com/philly_twist
0,Caroline O'Brien
0,Elizabeth Cravens
0,FRANKLIN LI
0,Jenny Zhang
0,Matt Ferreri
0,Melissa Frankil
0,Samuel Wedegaertner
2,Jamie McClintock
3,Stephen Wolff
4,Emily Gallagher
7,Ben Fournier
13,Amanda Farah
22,Doug Fowler
33,Keala Tekolste
54,Robert Vander Meulen
55,Timothy Brubaker
56,Lauren Feder
78,Keith Zuckerman
80,Christopher Cruz
87,Chris Lake
b,r,e,a,k
Unlimited Swipes,13
teamInfo,,"New York, New York",http://www.swipesultimate.com,https://www.facebook.com/swipesultimate/,https://www.twitter.com/swipesultimate
0,Adam Smith
0,Erin Casey
0,Julie Ha
0,Kelsey McDermott
0,Kendall Payne
3,Allie Hinsberg
5,Michael Valdez
9,Meghan Goodale
06,Michael Settles
10,Asher Woodbury
12,Terence To
13,Antonio Valentin
13,Adam Wesley
16,Madeline Abel
25,Patrick Sheil
26,Arianna Munro
26,Anthony Havens
33,Alexandria Vawter Istok
39,Christopher Hranj
48,S T
52,Patrick Stewart
73,Bohao Liu
93,Matthew Goodale
95,Connor Dougherty
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Loco,Turnstyle,15,1,"07/07/2018, 09:00",Pool A,Final
Sparkle Ponies,Peep Show,14,12,"07/07/2018, 09:00",Pool A,Final
Loco,Sparkle Ponies,15,7,"07/07/2018, 10:45",Pool A,Final
The Feminists,Peep Show,15,6,"07/07/2018, 10:45",Pool A,Final
Peep Show,Turnstyle,15,5,"07/07/2018, 12:30",Pool A,Final
The Feminists,Sparkle Ponies,11,12,"07/07/2018, 12:30",Pool A,Final
Loco,Peep Show,15,5,"07/07/2018, 14:15",Pool A,Final
The Feminists,Turnstyle,15,4,"07/07/2018, 14:15",Pool A,Final
Loco,The Feminists,15,5,"07/07/2018, 16:00",Pool A,Final
Sparkle Ponies,Turnstyle,15,9,"07/07/2018, 16:00",Pool A,Final
pool,Pool B
Jughandle,Birds,15,9,"07/07/2018, 09:00",Pool B,Final
The Process,Stoke,15,5,"07/07/2018, 09:00",Pool B,Final
Jughandle,The Process,15,9,"07/07/2018, 10:45",Pool B,Final
Buffalo Lake Effect,Stoke,13,8,"07/07/2018, 10:45",Pool B,Final
Stoke,Birds,12,15,"07/07/2018, 12:30",Pool B,Final
Buffalo Lake Effect,The Process,10,11,"07/07/2018, 12:30",Pool B,Final
Jughandle,Stoke,13,7,"07/07/2018, 14:15",Pool B,Final
Buffalo Lake Effect,Birds,8,12,"07/07/2018, 14:15",Pool B,Final
Jughandle,Buffalo Lake Effect,13,8,"07/07/2018, 16:00",Pool B,Final
The Process,Birds,11,15,"07/07/2018, 16:00",Pool B,Final
pool,Pool C
Chaotic Good,Philadelphia Forge (Mixed),15,1,"07/07/2018, 09:00",Pool C,Final
Powermove,Sabotage,11,10,"07/07/2018, 09:00",Pool C,Final
Chaotic Good,Powermove,13,7,"07/07/2018, 10:45",Pool C,Final
Garbage Plates,Sabotage,15,6,"07/07/2018, 10:45",Pool C,Final
Sabotage,Philadelphia Forge (Mixed),15,6,"07/07/2018, 12:30",Pool C,Final
Garbage Plates,Powermove,12,6,"07/07/2018, 12:30",Pool C,Final
Chaotic Good,Sabotage,15,7,"07/07/2018, 14:15",Pool C,Final
Garbage Plates,Philadelphia Forge (Mixed),13,3,"07/07/2018, 14:15",Pool C,Final
Chaotic Good,Garbage Plates,12,9,"07/07/2018, 16:00",Pool C,Final
Powermove,Philadelphia Forge (Mixed),15,3,"07/07/2018, 16:00",Pool C,Final
pool,Pool D
Distelfink,Philly Twist,15,3,"07/07/2018, 09:00",Pool D,Final
The Bandits,Unlimited Swipes,14,8,"07/07/2018, 09:00",Pool D,Final
Distelfink,The Bandits,14,6,"07/07/2018, 10:45",Pool D,Final
Grand Army,Unlimited Swipes,15,8,"07/07/2018, 10:45",Pool D,Final
Unlimited Swipes,Philly Twist,7,11,"07/07/2018, 12:30",Pool D,Final
Grand Army,The Bandits,15,8,"07/07/2018, 12:30",Pool D,Final
Distelfink,Unlimited Swipes,15,5,"07/07/2018, 14:15",Pool D,Final
Grand Army,Philly Twist,14,9,"07/07/2018, 14:15",Pool D,Final
Distelfink,Grand Army,9,12,"07/07/2018, 16:00",Pool D,Final
The Bandits,Philly Twist,12,10,"07/07/2018, 16:00",Pool D,Final
b,r,e,a,k
brackets,Top 12 Bracket
bracket,1st Place
Loco,Jughandle,13,7,"07/08/2018, 13:45",Finals,Final
Birds,Powermove,9,11,"07/08/2018, 08:30",Pre-Quarters,Final
Garbage Plates,The Process,12,10,"07/08/2018, 08:30",Pre-Quarters,Final
The Feminists,Distelfink,10,11,"07/08/2018, 08:30",Pre-Quarters,Final
Sparkle Ponies,The Bandits,15,9,"07/08/2018, 08:30",Pre-Quarters,Final
Loco,Powermove,15,0,"07/08/2018, 10:15",Quarters,Final
Grand Army,Garbage Plates,11,9,"07/08/2018, 10:15",Quarters,Final
Chaotic Good,Distelfink,13,9,"07/08/2018, 10:15",Quarters,Final
Jughandle,Sparkle Ponies,14,9,"07/08/2018, 10:15",Quarters,Final
Loco,Grand Army,15,7,"07/08/2018, 12:00",Semis,Final
Chaotic Good,Jughandle,8,12,"07/08/2018, 12:00",Semis,Final
bracket,3rd Place
Grand Army,Chaotic Good,5,14,"07/08/2018, 13:45",3rd Place Finals,Final
bracket,Tie for 5th
Powermove,Distelfink,3,15,"07/08/2018, 13:45",Tie for 5th,Final
bracket,Tie for 5th
Garbage Plates,Sparkle Ponies,7,15,"07/08/2018, 13:45",Tie for 5th,Final
bracket,9th Place
Birds,The Feminists,11,10,"07/08/2018, 12:00",9th Place Semis,Final
The Bandits,The Process,13,11,"07/08/2018, 12:00",9th Place Semis,Final
Birds,The Bandits,8,12,"07/08/2018, 13:45",9th Place Finals,Final
bracket,11th Place
The Feminists,The Process,15,10,"07/08/2018, 13:45",11th Place Final,Final
b,r,e,a,k
pools,13th Place Pool
pool,Pool E
Peep Show,Sabotage,15,13,"07/08/2018, 08:30",Pool E,Final
Buffalo Lake Effect,Philly Twist,11,10,"07/08/2018, 08:30",Pool E,Final
Peep Show,Philly Twist,13,8,"07/08/2018, 10:15",Pool E,Final
Buffalo Lake Effect,Sabotage,12,9,"07/08/2018, 10:15",Pool E,Final
Sabotage,Philly Twist,13,7,"07/08/2018, 12:00",Pool E,Final
Peep Show,Buffalo Lake Effect,9,8,"07/08/2018, 12:00",Pool E,Final
b,r,e,a,k
pools,17th Place Pool
pool,Pool F
Turnstyle,Philadelphia Forge (Mixed),11,9,"07/08/2018, 08:30",Pool F,Final
Stoke,Unlimited Swipes,11,9,"07/08/2018, 08:30",Pool F,Final
Turnstyle,Unlimited Swipes,8,13,"07/08/2018, 10:15",Pool F,Final
Stoke,Philadelphia Forge (Mixed),14,5,"07/08/2018, 10:15",Pool F,Final
Turnstyle,Stoke,2,15,"07/08/2018, 12:00",Pool F,Final
Philadelphia Forge (Mixed),Unlimited Swipes,5,11,"07/08/2018, 12:00",Pool F,Final
b,r,e,a,k
