Great Lakes Men's Regionals,Club - Men ,12,9,2015
West Chester,OH,2015-09-12,2015-09-13
https://play.usaultimate.org/events/Great-Lakes-Mens-Regionals-2015/schedule/Men/Club-Men/
HIGH FIVE,1
teamInfo,,"Rockford, Illinois",,https://www.facebook.com/spinitchultimate,https://twitter.com/spinitchrkfd
0,Bradley Doherty
0,Matt Marshall
0,Zach Badertscher 
0,Austin Mackey
0,Kyle Schnoor
0,KEITH KLECKLER
0,JASON PECK
0,samuel kloweit
0,ZACH COFFEY
0,Lovie Garcia
0,Jeremy Penze
0,ben kluzak
0,Stephan Scicluna
0,Henry Patterson
2,Colan Dray
5,Eric Bens
10,Stephen Lunde
16,Wesley Groom
19,John Morton
19,Karl Fauerbach
21,Jacob Knabe
23,Jacob Schoff
71,Kraig Johnston
73,Kaleb Mertz
87,ZACH NELSON
b,r,e,a,k
s,t,a,g,e,s
brackets,Bracket Play
bracket,1st Place Bracket
HIGH FIVE,Chicago Machine,15,8,"09/13/2015, 13:00",1st Place Finals,Final
HIGH FIVE,Brickyard,15,5,"09/12/2015, 15:00",1st Place Semis,Final
Smokestack,Chicago Machine,11,15,"09/12/2015, 15:00",1st Place Semis,Final
HIGH FIVE,Enigma,15,8,"09/12/2015, 13:00",1st Place Quarters,Final
Brickyard,Black Market,15,11,"09/12/2015, 11:00",1st Place Quarters,Final
Smokestack,Beachfront Property,15,13,"09/12/2015, 13:00",1st Place Quarters,Final
Haymaker,Chicago Machine,3,15,"09/12/2015, 13:00",1st Place Quarters,Final
HIGH FIVE,Maverick,15,3,"09/12/2015, 11:00",1st Place Prequarters,Final
Enigma,Kentucky Flying Circus,13,12,"09/12/2015, 11:00",1st Place Prequarters,Final
Brickyard,Black Market II,15,7,"09/12/2015, 09:00",1st Place Prequarters,Final
Pocket City Approach,Black Market,9,15,"09/12/2015, 09:00",1st Place Prequarters,Final
Smokestack,Bounty Hunters,15,10,"09/12/2015, 09:00",1st Place Prequarters,Final
Black Sheep,Beachfront Property,7,15,"09/12/2015, 09:00",1st Place Prequarters,Final
Haymaker,Spoiler,14,6,"09/12/2015, 09:00",1st Place Prequarters,Final
Spin-Itch,Chicago Machine,1,15,"09/12/2015, 09:00",1st Place Prequarters,Final
bracket,2nd Place Bracket
Chicago Machine,Black Market,15,8,"09/13/2015, 15:00",2nd Place Finals,Final
Brickyard,Black Market,15,16,"09/13/2015, 13:00",2nd Place Semis,Final
Beachfront Property,Brickyard,13,15,"09/13/2015, 11:00",2nd Place Quarters,Final
Black Market,Smokestack,15,11,"09/13/2015, 11:00",2nd Place Quarters,Final
Haymaker,Beachfront Property,7,13,"09/13/2015, 09:00",2nd Place Prequarters,Final
Black Market,Enigma,15,6,"09/13/2015, 09:00",2nd Place Prequarters,Final
Haymaker,Kentucky Flying Circus,13,8,"09/12/2015, 15:00",2nd Place Play Ins 2,Final
Beachfront Property,Pocket City Approach,15,5,"09/12/2015, 15:00",2nd Place Play Ins 2,Final
Black Market,Bounty Hunters,15,5,"09/12/2015, 15:00",2nd Place Play Ins 2,Final
Enigma,Spoiler,15,14,"09/12/2015, 15:00",2nd Place Play Ins 2,Final
Maverick,Kentucky Flying Circus,10,15,"09/12/2015, 13:00",2nd Place Play Ins 1,Final
Black Market II,Pocket City Approach,13,15,"09/12/2015, 13:00",2nd Place Play Ins 1,Final
Bounty Hunters,Black Sheep,15,12,"09/12/2015, 11:00",2nd Place Play Ins 1,Final
Spoiler,Spin-Itch,15,9,"09/12/2015, 13:00",2nd Place Play Ins 1,Final
bracket,13th Place Bracket
Maverick,Black Sheep,15,7,"09/13/2015, 11:00",13th Place Finals,Final
Maverick,Black Market II,15,6,"09/13/2015, 09:00",13th Place Semis,Final
Black Sheep,Spin-Itch,15,4,"09/13/2015, 09:00",13th Place Semis,Final
bracket,15th Place 
Black Market II,Spin-Itch,15,7,"09/13/2015, 11:00",15th Place,Final
bracket,9th Place A
Kentucky Flying Circus,Pocket City Approach,15,11,"09/13/2015, 11:00",9th Place A,Final
bracket,9th Place B
Bounty Hunters,Spoiler,15,10,"09/13/2015, 11:00",9th Place B,Final
b,r,e,a,k
