Revolution 2023,Club - Mixed ,8,7,2023
San Francisco,CA,2023-07-08,2023-07-09
https://play.usaultimate.org/events/Revolution-2023/schedule/Mixed/Club-Mixed
LIT Ultimate,1
0,Kate Zemke
0,Lydia Yiu
0,Lydia Auch
0,Malachi Wickman
0,Marcela Vazquez
0,Nico Gurney
0,Skylohr Taylor
0,Winston Chang
0,Zachary Ormsby
13,Miles Burnette
23,Eric Ma
25,Jenna Borges
26,Devin Oliver
38,Conor McNamara
b,r,e,a,k
Robot,11
teamInfo,,"Santa Barbara, California",,,
0,A. WILLIAM LORENTSON
0,Catrina Sada
0,Danielle Purdy
0,Garrett Stouffer
0,Leilani Borrego
0,Madelyn Cruz
0,Victoria Tonascia
01,Joshua Lyder
07,Steven Moliterno
12,Trung Pham
17,Hannah Stepanek
19,Ann Lee
33,Kristin Reid
52,Erick Lankey
54,Andrew Lorentson
66,Risa Lewis
70,Tom Drtina
74,Andrew Kirchhoff
90,Kevin Kirchhoff
99,Sophia Eli Esteban
b,r,e,a,k
Spoiler Alert,14
teamInfo,,"Los Angeles, California",,https://www.facebook.com/SpoilerAlertUltimate/,@Spoileralertult
0,Alison Elliott
0,Allie Spaccarelli
0,Amanda Ring
0,Andrew LeMaster
0,Andrew Whittle
0,Anna Sheppard
0,Cynthia Love
0,Drew Conley
0,Megan  Stock
0,Renee Wilkening
0,Stephen Nachreiner
4,Theodore Lannert
6,Alison Yoho
11,Carley Blayney
13,Alex Tacescu
14,Anthony Paoli
17,Benjamin Aiga
18,Patrick Miller
23,Sara Herta
55,Reilly Dalleska
57,Kyle Stinson
71,DEREK LAY
82,Ariel Rascoe
87,Brandon Cooper
b,r,e,a,k
Birds of Paradise,16
teamInfo,,"San Diego, California",,https://www.facebook.com/BirdsUltimateSD/,
0,Alejandro Roman
0,Amita Stowitts
0,Andrew Jarrett
0,Ashley Shen
0,Ashley Easley
0,Brandon Segraves
0,Catherine Paulson
0,Lucas Hsiong
0,Mackenzie Wong
0,Michael Duong
0,Gloria Lee
0,Shawn Olsavsky
0,Steven Ramirez
0,Tori Buss
9,Robert Clayton
14,John Geller
14,Shannon Temple
24,Andrew Wells
33,Shih-Ting Huang
36,Sumon Chattopadhyay
50,Sindhana Selvi Pannir Sivajothi
87,Ryan Trinh
99,Christian Stowers
b,r,e,a,k
Air Throwmads,19
teamInfo,,"San Mateo, California",,,
0,Konrad Chan
03,Kyra Pesso
04,Cindy Solomon
06,Clara Mays
08,Sarah Bloom
09,Aaron Gemmell
10,Kara Horwald
11,Sebastian Coslow
15,Grace Meltesen-Lee
17,Karen Ge
21,Jacob Steinhardt
23,Carlton Downey
24,Bryan Hunt
26,Jon Stewart
27,Nina Roguski
32,Dennis McCartney
33,Kaizad Taraporevala
38,Samantha Lee
58,Peter Roguski
71,Herbert Chang
82,Malcolm Deck
88,Sicong Li
91,Ryan Melone
99,Chelsea Verhasselt
b,r,e,a,k
Quails,20
teamInfo,,"Sacramento , California",www.sactowndisc.club,,
0,Alexander Sood
0,Amanda Krack
0,Ashish Shenoy
0,Ben Driscoll
0,Chamberlain Segrest
0,Darby Maguire
0,Emi Perry
0,Erik Beck
0,Haley Williams
0,Joseph Marcus
0,Karols Ginting
0,Katie Wikler
0,Kristen Ritchey
0,Marcelle Sprackling
0,Matthew Javitt
0,Melanie Tieu
0,Ricardo Cazares
0,Scott Ballinger
0,Sean Griffin
0,Stefanie Kramer
8,Aaron Fleisch
9,Matthew Luk
50,Simon Kriech
55,Joseph Mirabile
69,alex williams
73,Steven Zurawski
b,r,e,a,k
VU,17
teamInfo,,"San Francisco, California",https://www.vampireultimate.com/,https://www.facebook.com/VampireUltimate/,
0,Adam Berman
0,Amberly Malone
0,Anne Chamberlain
0,Annette Chen
0,Deborah Park
0,Ian Brown
0,Jake Wellins
0,Scott McMahon
0,Tamsin Stringer
3,Aldyn Markle
6,Patrick Huston
8,Aseem Kishore
9,Dominique Frideger
12,William Baskin
15,Sophie Nadler
17,Matthew Burkert
20,Satoru Ishii
21,Amy Sullivan
22,Tristan You
29,Nicholas Guo
31,Samantha Hirsch
32,Guadalupe Arbelaez Uribe
33,Eric Lauterbach
b,r,e,a,k
DR,18
teamInfo,,"Berkeley, California",https://www.instagram.com/dr_ulti,,
0,Elvys Dang
0,Jonathan Marr
0,Jules Fogarty
0,Kate Kraft
0,Loriann Hom
0,Marianne Olson
0,Nic Domek
0,Owen Churchill
0,Vishal Yadav
1,Halleh Balch
2,Danielle Tishkoff Chidester
8,Joseph Gorelik
9,Matthew Weymer
16,Brendan Champlin
16,Danielle Ngo
17,Eli Weiss
24,David Whiteneck
24,Joey Durkin
44,Jacob Buckley
54,Elizabeth Kirk
55,Kelly Billings
76,Annie Joss
77,Mikah Keetch
80,Scott Beamer
98,Kiana Hu
b,r,e,a,k
Moonlight Ultimate,21
teamInfo,,"San Jose, California",https://discord.com/invite/8swKNEGjpt,https://www.facebook.com/MoonlightUltimate,
 ,Imogen
0,James Talbot
0,Joseph Donovan
0,Julia Reisler
0,Dillon Einck
0,Emily Nguyen
0,Eric Shen
0,Felix Liu
0,Christina Lin
0,Deepta Gupta
0,Raymond Feng
0,Sophia Castillo
0,Zinnia Cooperrider
5,Brighid Bugos
7,Danielle Zigulich
10,Carl Rodriguez
13,Ben Johnson
17,Fernando Rivera
17,Helinna Leone
30,Desiree Minkler
43,Gabriel Gatewood-Wolfe
73,Matthew Luu
75,Bodie Shargel
84,Andrew Chen
b,r,e,a,k
s,t,a,g,e,s
pools,Top Bracket Pool Play
pool,Pool A
LIT Ultimate,Hive,0,0,"07/08/2023, 09:30",Pool A,Scheduled
Donuts,Sunshine,0,0,"07/08/2023, 09:30",Pool A,Scheduled
LIT Ultimate,Sunshine,0,0,"07/08/2023, 11:00",Pool A,Scheduled
LIT Ultimate,Donuts,0,0,"07/08/2023, 12:30",Pool A,Scheduled
Hive,Sunshine,0,0,"07/08/2023, 12:30",Pool A,Scheduled
Donuts,Hive,0,0,"07/08/2023, 14:00",Pool A,Scheduled
pool,Pool B
Tower,American Barbecue,0,0,"07/08/2023, 09:30",Pool B,Scheduled
BW Ultimate,Cutthroat,0,0,"07/08/2023, 09:30",Pool B,Scheduled
Tower,Cutthroat,0,0,"07/08/2023, 11:00",Pool B,Scheduled
Tower,BW Ultimate,0,0,"07/08/2023, 12:30",Pool B,Scheduled
American Barbecue,Cutthroat,0,0,"07/08/2023, 12:30",Pool B,Scheduled
BW Ultimate,American Barbecue,0,0,"07/08/2023, 14:00",Pool B,Scheduled
b,r,e,a,k
pools,Mid Bracket Pool Play
pool,Pool C
Nebula,Grit City,0,0,"07/08/2023, 09:30",Pool C,Scheduled
Mango,Grit City,0,0,"07/08/2023, 11:00",Pool C,Scheduled
Nebula,Shipwreck,0,0,"07/08/2023, 11:00",Pool C,Scheduled
Mango,Shipwreck,0,0,"07/08/2023, 12:30",Pool C,Scheduled
Mango,Nebula,0,0,"07/08/2023, 14:00",Pool C,Scheduled
Shipwreck,Grit City,0,0,"07/08/2023, 14:00",Pool C,Scheduled
pool,Pool D
Robot,Spoiler Alert,0,0,"07/08/2023, 11:00",Pool D,Scheduled
Firefly,Spoiler Alert,0,0,"07/08/2023, 12:30",Pool D,Scheduled
Firefly,Robot,0,0,"07/08/2023, 14:00",Pool D,Scheduled
b,r,e,a,k
pools,Bottom Bracket Pool Play
pool,Pool E
Air Throwmads,Quails,0,0,"07/08/2023, 09:30",Pool E,Scheduled
Birds of Paradise,Quails,0,0,"07/08/2023, 11:00",Pool E,Scheduled
Birds of Paradise,Air Throwmads,0,0,"07/08/2023, 12:30",Pool E,Scheduled
pool,Pool F
DR,Moonlight Ultimate,0,0,"07/08/2023, 09:30",Pool F,Scheduled
VU,Moonlight Ultimate,0,0,"07/08/2023, 11:00",Pool F,Scheduled
VU,DR,0,0,"07/08/2023, 12:30",Pool F,Scheduled
b,r,e,a,k
clusters,E & F Crossover
b,r,e,a,k
clusters,Crossover Games
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
bracket,3rd Place
bracket,5th Place
bracket,7th Place
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place
bracket,11th Place
bracket,13th Place
bracket,15th Place
b,r,e,a,k
brackets,17th Place Bracket
bracket,17th Place
bracket,19th Place
bracket,20th Place
b,r,e,a,k
