Club Terminus 2023,Club - Men ,8,7,2023
Peachtree City,GA,2023-07-08,2023-07-09
https://play.usaultimate.org/events/Club-Terminus-2023/schedule/Men/Club-Men/
Charleston Heat Stroke,9
10,Larry Farmer Jr
11,Christopher Empie
21,Micah Smith
27,Wyatt Driskell
44,Levi Branan
53,Jacob Gowan
55,John Blair
61,Chris Bauer
72,Jake Montgomery
b,r,e,a,k
Nashville Mudcats,15
teamInfo,,"Nashville, Tennessee",,,
0,Aaron Jolly
0,Christian Cendrowski
0,Eli Zelle
0,Felix Curley
0,Hunter Beard
0,Julian Delamaza
0,Kyle Maples
0,Luke Cornelius
0,Maguire Heady
0,Michael Alberts
0,Miles Littlefield
0,Sterling Grant
0,Zach Jones
3,Paul Michael
4,Richard Ly
8,Jack Waite
13,Tomer Poole-Dayan
13,Philip Hood
14,David Pham
19,William Dickens
20,Richard Salmon
29,Zachary Zimmerman
34,Ben Moody
38,Jack Kelleher
58,Armando Olivares
96,Dillon Knight
b,r,e,a,k
El Niño,7
teamInfo,,"Oakland Park, Florida",http://elninoultimate.com,,https://twitter.com/ElNinoUltimate
0,Carlos Hernandez
0,John Williamson
0,Kevin Rooney
0,Luis Paz
0,Victor Marquez
1,Nicholas LaRue
7,Bryant Grafton
8,Tyler Hedges
11,Christian Luneburg
15,Daren Ruiz
15,Wes Geisenberger
17,Louis Nagle
18,Daniel Zambrano 
19,Christian Villar
20,Anthony Lopez
21,Anish Indhupuru
22,Edwin Sanchez
26,Alejandro Paredes
27,Francisco Benito-Agostini
63,Jason Warley
99,Carlos Nunez
b,r,e,a,k
Delirium,3
teamInfo,,"Kennesaw, Georgia",,,
00,Caleb Myatt
00,Charles Loudermilk
00,Chase Miller
00,Cole Chanler
00,Cole Krucke
00,Eric Sinkler
00,Evan Marshall
00,Ian Maddox
00,Jack Stephenson
00,Jake Powell
00,Jesus Gonzalez
00,Jon Ross Ingley
00,Madison Head
00,Neil Barry
00,Nigel Hagley
00,Ross Barnes
00,Ryan Murphy
00,Ryan Flick
00,Ryan Hill
00,Sam Rose
00,Sam Batson
00,William Fleming
00,William Lindquist
00,Zach Brennan
26,Sam Diffin
69,Samuel Trent
b,r,e,a,k
UpRoar,6
teamInfo,,"Tampa Bay, Florida",,https://www.facebook.com/TampaBayUpRoar,https://twitter.com/TampaBayUpRoar
0,Alexander Rodriguez
0,Garrett Knobel
0,Henry  Soto Anselmi
0,Jack  Wisner 
0,Jhoan Castellanos
0,Joshua Webb
0,Juan Miguel Arias medina
0,Julián  Cortés 
0,Kyle Krukowski
0,Michael Kromer
0,Quinn Hunziker
0,Ronald Peterman
0,Samuel Scherer
0,Thomas Theunissen
0,Thomas Wilkinson III
1,Jacob Clary
2,Matt Ryan
4,Jaime Perez
7,Ryan Hiser
8,Justin Montalbano
9,David Witte
22,Jacob Lane
37,Caleb Posey
43,Dean Stupar
66,Matthew Mcdonald
69,Stephen Krajeski
b,r,e,a,k
Raptor,14
teamInfo,,"Orlando, Florida",,,
0,Shane Voshell
0,Thomas Orchanian
02,T Davis
04,Ben Kuykendall
05,Michael Mills
09,Anthony Vogt
12,Travis Catron
15,Tyler  Leeds
15,Caleb Gonzalez
19,Alex Mayes
20,Jacques St-Laurent
21,Chris O'Connor
22,Avi Zucker
23,Brandon Allen
25,Carlos Huerta
26,Connor Clemente
27,Aaron leitschuh
28,Andrew Dizney
36,Jacob Pickett
44,Matteo Magnan
44,Andres Barnola
74,John Fonte
81,Eric Kieffer
84,James Lingelbach
85,Eric Tumelty
88,David Pinheiro
b,r,e,a,k
Space Cowboys,11
teamInfo,,"Greenville, South Carolina",,https://www.facebook.com/groups/spacecowboysultimate/,https://twitter.com/SpaceCowboysUlt
0,Brandon Stem
1,Trip Crowley
2,Logan McMillen
3,Andrew Allen
5,Ian Stone
6,Ethan Phillips
7,Austin McCallum
8,Jonathan Brennan
9,Thomas Loar
12,Matthew Kizer
13,Jacob Luksik
15,Matt Green
18,Jake Barton
19,Kenneth Peters
20,Quentin Fossing
21,David Wingo
22,Caleb  Gunter
24,Lucas Skidmore
25,Alex Leblanc
27,Jacob Goyne
29,Cameron Ramsey
39,MICHAEL PREUS
44,James Lowell
50,Kevin Peters
88,BLAKE HUFFMAN
99,michael hayes
b,r,e,a,k
Hooch,5
teamInfo,,"Atlanta, Georgia",,,https://twitter.com/HoochUltimate
0,Zachary Hart
01,Ashton HIll
02,Lyle Caballes
03,Sam Merritt
04,Bradley Seuntjens
05,Curtis Landry
06,Matthew Fazzalaro
07,Daniel Knight
08,Skyler Pitts
11,Johnny Griffing
13,Joseph Griffing
17,"Alexander ""Sascha"" Vogel"
19,Collin Cassidy
21,Kofi Reeves-Miller
23,Collin Hill
25,Robert Hunt
27,Owen Mork
30,Kyle Johnson
33,Edward Stephens
37,Kolbie Carrell
39,Antoine Cava
47,David van Pelt
50,Charles Huff
81,Carter Neuman
87,Gino Mattace
88,Luke Cranor
b,r,e,a,k
Alliance,4
teamInfo,,"Birmingham, Alabama",,,
8,Jordan Gibbs
01,Shane  Denman 
03,Tyler  Menix
05,Cam Copeland
09,Lee Thomas
11,Joseph Sucgang
12,Joshua Bowers
12,Jeffrey Martin
13,Noah Angles
16,William Weems
17,Devin Kelly
19,Joseph Gilroy
20,Mitch Parker
21,Matthew Green
22,Scott Landers
25,Blake Stratton
28,Reid Thackerson
31,Andrew Letson
44,Landon Sagle
69,Michael Poe
70,Joshua  Logan
71,Justin Weaver
96,Nace Allen
97,Dalton Brewer
98,Seth Newton
99,Cross Jenkins
b,r,e,a,k
Queen City Kings,13
teamInfo,,"Charlotte, North Carolina",,,
0,Brooks Fleming
0,Daniel Papazian
0,Daniel Eure
0,Erik Kirby
0,Gautam Das
0,Jack Walsh
0,Jake Hutchinson
0,Malcolm Duellman
0,Matthew Alexander
0,Max Povejsil
0,Shawn Cook
0,Tyler Lucas
4,Nicholas Lopez
5,Jeffy Joshy
8,Jackson  Dye
12,Nathan Silvestri
14,Simon Jenkins
19,Jordan Knox
24,Parker Shahdad
99,George Bumgardner
b,r,e,a,k
Tennessee Folklore,12
teamInfo,,"Knoxville, Tennessee",,,
0,Bryan Griffith
0,Jesse Parker
1,Patrick Stroud
3,MICHAEL KOPSTEIN
7,Nathan Cooper
8,Brandon Clackum
15,Matthew Peterson
24,Matthew Sui
25,Mark Filer
27,Kevin Zakiewicz
31,Jack Barrow
40,Skyler Swafford
42,Timothy Lumsdaine
44,Kyle Dolwick
45,Luke Buckner
46,Charles Wilt
55,Austin Lillis
89,Dylan Elder
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Lost Boys,Little Red Wagon,0,0,"07/08/2023, 09:00",Pool A,Scheduled
Dyno,Charleston Heat Stroke,11,13,"07/08/2023, 09:00",Pool A,Final
Lost Boys,Charleston Heat Stroke,0,0,"07/08/2023, 10:45",Pool A,Scheduled
Dyno,Little Red Wagon,0,0,"07/08/2023, 10:45",Pool A,Scheduled
Lost Boys,Dyno,0,0,"07/08/2023, 12:30",Pool A,Scheduled
Charleston Heat Stroke,Little Red Wagon,0,0,"07/08/2023, 14:15",Pool A,Scheduled
pool,Pool B
baNC,Nashville Mudcats,0,0,"07/08/2023, 09:00",Pool B,Scheduled
El Niño,Black Lung,8,12,"07/08/2023, 09:00",Pool B,Final
baNC,Black Lung,13,6,"07/08/2023, 10:45",Pool B,Final
El Niño,Nashville Mudcats,0,0,"07/08/2023, 10:45",Pool B,Scheduled
baNC,El Niño,13,8,"07/08/2023, 12:30",Pool B,Final
Black Lung,Nashville Mudcats,0,0,"07/08/2023, 14:15",Pool B,Scheduled
pool,Pool C
Delirium,Raptor,0,0,"07/08/2023, 09:00",Pool C,Scheduled
UpRoar,Space Cowboys,12,9,"07/08/2023, 10:45",Pool C,Final
Delirium,Space Cowboys,13,5,"07/08/2023, 12:30",Pool C,Final
UpRoar,Raptor,0,0,"07/08/2023, 12:30",Pool C,Scheduled
Delirium,UpRoar,0,0,"07/08/2023, 14:15",Pool C,Scheduled
Space Cowboys,Raptor,0,0,"07/08/2023, 14:15",Pool C,Scheduled
pool,Pool D
Alliance,Queen City Kings,12,8,"07/08/2023, 09:00",Pool D,Final
Hooch,Tennessee Folklore,13,5,"07/08/2023, 10:45",Pool D,Final
Alliance,Tennessee Folklore,11,5,"07/08/2023, 12:30",Pool D,Final
Hooch,Queen City Kings,13,7,"07/08/2023, 12:30",Pool D,Final
Alliance,Hooch,0,0,"07/08/2023, 14:15",Pool D,Scheduled
Tennessee Folklore,Queen City Kings,0,0,"07/08/2023, 14:15",Pool D,Scheduled
b,r,e,a,k
brackets,CHAMPIONSHIP
bracket,CHAMPIONSHIP
b,r,e,a,k
brackets,3rd Place
bracket,3rd Place
b,r,e,a,k
brackets,5th Place
bracket,5th Place
b,r,e,a,k
brackets,7th Place
bracket,7th Place
b,r,e,a,k
brackets,9th Place
bracket,9th Place
b,r,e,a,k
brackets,11th Place
bracket,11th Place
b,r,e,a,k
brackets,13th Place
bracket,13th Place
b,r,e,a,k
brackets,15th Place
bracket,15th Place
b,r,e,a,k
