Stanford Open,College - Men ,4,2,2023
Stevinson,CA,2023-02-04,2023-02-05
https://play.usaultimate.org/events/Stanford-Open/schedule/Men/CollegeMen/
Gold Rush,1
24,Theodore McGowan
31,Nathan Crawford
69,Colter Mason
73,Max Brown
b,r,e,a,k
Cal Poly-SLO (B),6
teamInfo,SLOB,"San Luis Obispo, California",,,
0,Layne Sutton
0,Owen  Lutz
0,Sam Fossa
0,Tate Johnson
0,Toby Ishikawa
3,Paul Nassar
00,Kamron Kelley
01,Jack Toyama
02,Drew Larson
04,Quintan Davis
06,Garrett Kunkler
07,Chris  Athens
08,Jasper Mors
09,Kieran Collins
10,Ethan Nikcevich
11,Cole Aymond
12,Ryan Porch
13,Beau Usry
14,Marcus Hawley
15,Matthew Lu
16,Zachary Wallpe
17,Alec Gibbs
18,Zach Kwast
19,Luca Perri
20,Benjamin Hunter
20,Josh Hall
22,Pierce Spielman
24,Joshua Hutchinson
27,Landon Block
28,Wyatt Barnes
63,Robert Cushing
69,Caleb Rosen
70,Aleksandr Breit
75,Colin Schmitt
88,Daniel Monge
98,Brandon Howell
99,Colin Moore
99,Owen Peay
b,r,e,a,k
Santa Clara University (B),14
teamInfo,SCRATCH,"Santa Clara, California",,,
0,Andrew Kimball
0,David Rogers
0,Matthew Rothrock
0,Peter Sandberg
2,Kieran Greeley
13,Andrew Minocha
17,James Freeman
19,Matthew Ding
61,Ryan Lam
77,Patrick Rager
b,r,e,a,k
Loyola Marymount,5
teamInfo,Lions,"Los Angeles, California",,https://www.facebook.com/groups/1146553248769383/,https://twitter.com/UltimateLMU
0,Joseph Rhee
0,Liam Woodruff
0,Scott Andersen
1,Brett Koehn
8,Kellen Hill
9,Jacob Walter
17,John Fogg
22,Connor Cioth
51,Nathan Kuczmarski
66,William Simon
b,r,e,a,k
Nevada-Reno,12
teamInfo,Elevation Ultimate,"Reno, Nevada",https://nevadaultimate.weebly.com/,https://www.facebook.com/NevadaUltimate/,https://twitter.com/nevadaultimate
0,Brody Moreno-McClure
0,David Leonhardt
0,Davis Berry
0,Erick Bandala Sanchez
0,Logan Beffort
0,Malachite Nelson
0,Marcus Fredrickson
0,Nicolas Olson
0,Rodney Wolfgang
0,Thomas Kolvet
0,Zachary Wilhite
2,Douglas Pieplow
8,Spencer Lee
33,Jeremiah Haumeder
35,Christopher Carter
55,Jonathon Lau
77,Jack Stinson
95,Justin MacQuiddy
b,r,e,a,k
Cal Poly Humboldt,4
teamInfo,Humboldt State Buds,"Arcata, California",,,
0,Andre Sargissian
0,Collin Silva
0,Cori Muller
0,David Christal
0,Donovan Wakeman
0,Elias Simon
0,Leo Kepcke
0,Mathias Hall
0,Matthew Smith
0,Max Rivera
0,Scott Estepa
0,Trenton Sissom
0,Joaquin Bartosh
13,Kenny Kurbat
23,Evan Vieira
b,r,e,a,k
California (B),13
teamInfo,Ursa Minor,"Berkeley, California",,,
coaches,Ayush Sharma
0,Arvind Ramakrishnan
0,Arya Bastani
0,Benjamin Karish
0,Benjamin Karni
0,Boyang Gan
0,Brian Zheng
0,Charlie Cooper
0,ChenYou (Yoyo) Tang
0,Christopher Liang
0,Garrett Baltz
0,Haoyang Zhu
0,Jessica Lee
0,Michael Karish
0,Samuel Du
0,Staten Maughan
0,Vinay Agrawal
0,Xavier Sim
9,Matthew Weymer
24,Andrew Shen
36,Peter Rowley
49,Joong Won Lee
96,Sriram Sridhar
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Gold Rush,San Jose State,13,4,"02/04/2023, 08:00",Pool A,Final
"California State University, Chico",Washington (B),9,11,"02/04/2023, 08:00",Pool A,Final
Gold Rush,"California State University, Chico",13,5,"02/04/2023, 09:30",Pool A,Final
Puget Sound,Washington (B),8,11,"02/04/2023, 09:30",Pool A,Final
Washington (B),San Jose State,7,9,"02/04/2023, 11:00",Pool A,Final
Puget Sound,"California State University, Chico",9,2,"02/04/2023, 11:00",Pool A,Final
Gold Rush,Washington (B),11,8,"02/04/2023, 12:30",Pool A,Final
Puget Sound,San Jose State,8,4,"02/04/2023, 12:30",Pool A,Final
Gold Rush,Puget Sound,12,4,"02/04/2023, 14:00",Pool A,Final
"California State University, Chico",San Jose State,6,7,"02/04/2023, 15:30",Pool A,Final
pool,Pool B
Santa Clara University,Portland,13,4,"02/04/2023, 08:00",Pool B,Final
Claremont,California-Santa Cruz (B),13,1,"02/04/2023, 08:00",Pool B,Final
Santa Clara University,Claremont,11,8,"02/04/2023, 09:30",Pool B,Final
Stanford (B),California-Santa Cruz (B),8,6,"02/04/2023, 09:30",Pool B,Final
California-Santa Cruz (B),Portland,8,10,"02/04/2023, 11:00",Pool B,Final
Stanford (B),Claremont,3,12,"02/04/2023, 11:00",Pool B,Final
Santa Clara University,California-Santa Cruz (B),13,3,"02/04/2023, 14:00",Pool B,Final
Stanford (B),Portland,7,8,"02/04/2023, 14:00",Pool B,Final
Santa Clara University,Stanford (B),12,2,"02/04/2023, 15:30",Pool B,Final
Claremont,Portland,10,2,"02/04/2023, 15:30",Pool B,Final
pool,Pool C
California-Davis,Occidental,11,6,"02/04/2023, 09:30",Pool C,Final
Cal Poly-SLO (B),Santa Clara University (B),13,3,"02/04/2023, 09:30",Pool C,Final
Cal Poly-SLO (B),Occidental,7,10,"02/04/2023, 12:30",Pool C,Final
California-Davis,Santa Clara University (B),13,0,"02/04/2023, 12:30",Pool C,Final
Occidental,Santa Clara University (B),10,4,"02/04/2023, 14:00",Pool C,Final
California-Davis,Cal Poly-SLO (B),8,5,"02/04/2023, 14:00",Pool C,Final
pool,Pool D
Cal Poly Humboldt,Nevada-Reno,6,12,"02/04/2023, 11:00",Pool D,Final
Loyola Marymount,California (B),10,9,"02/04/2023, 11:00",Pool D,Final
Loyola Marymount,Nevada-Reno,9,8,"02/04/2023, 12:30",Pool D,Final
Cal Poly Humboldt,California (B),10,3,"02/04/2023, 12:30",Pool D,Final
Nevada-Reno,California (B),9,7,"02/04/2023, 14:00",Pool D,Final
Cal Poly Humboldt,Loyola Marymount,6,10,"02/04/2023, 15:30",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,3rd Place
Occidental,California-Davis,8,10,"02/05/2023, 14:00",3rd place,Final
bracket,5th place
Cal Poly-SLO (B),Washington (B),10,8,"02/05/2023, 14:00",5th Finals,Final
Cal Poly-SLO (B),Nevada-Reno,11,7,"02/05/2023, 12:30",Quarters Defeat,Final
Washington (B),Loyola Marymount,10,4,"02/05/2023, 12:30",Quarters Defeat,Final
bracket,7th Place
Nevada-Reno,Loyola Marymount,5,13,"02/05/2023, 14:00",7th Finals,Final
bracket,9th place
Claremont,Cal Poly Humboldt,11,5,"02/05/2023, 12:30",9th Finals,Final
Claremont,Puget Sound,8,7,"02/05/2023, 09:30",Pre-Quarters Defeat,Final
Cal Poly Humboldt,Portland,12,2,"02/05/2023, 11:00",Pre-Quarters Defeat,Final
bracket,11th Place
Puget Sound,Portland,12,8,"02/05/2023, 12:30",11th finals,Final
bracket,13th Place
San Jose State,California (B),7,6,"02/05/2023, 09:30",13th Place,Final
San Jose State,Santa Clara University (B),12,5,"02/05/2023, 08:00",4 Seeds,Final
Stanford (B),California (B),4,10,"02/05/2023, 08:00",4 Seeds,Final
bracket,15th Place
"California State University, Chico",California-Santa Cruz (B),7,6,"02/05/2023, 11:00",15th finals,Final
Santa Clara University (B),"California State University, Chico",7,10,"02/05/2023, 09:30",Pre 15th,Final
Stanford (B),California-Santa Cruz (B),4,10,"02/05/2023, 09:30",Pre 15th,Final
bracket,Championship
Gold Rush,Santa Clara University,8,9,"02/05/2023, 14:00",Finals,Final
Gold Rush,California-Davis,11,9,"02/05/2023, 12:30",Semis,Final
Santa Clara University,Occidental,12,7,"02/05/2023, 12:30",Semis,Final
Cal Poly-SLO (B),Gold Rush,2,13,"02/04/2023, 00:00",Quarters,Final
Nevada-Reno,California-Davis,7,10,"02/05/2023, 11:00",Quarters,Final
Washington (B),Santa Clara University,9,10,"02/05/2023, 11:00",Quarters,Final
Occidental,Loyola Marymount,12,7,"02/05/2023, 11:00",Quarters,Final
Claremont,Cal Poly-SLO (B),5,8,"02/05/2023, 08:00",PreQuarters,Final
Nevada-Reno,Puget Sound,10,9,"02/05/2023, 08:00",PreQuarters,Final
Washington (B),Cal Poly Humboldt,13,5,"02/05/2023, 09:30",PreQuarters,Final
Occidental,Portland,10,7,"02/05/2023, 09:30",PreQuarters,Final
bracket,17th Place
Santa Clara University (B),Stanford (B),8,11,"02/05/2023, 12:30",17th Finals,Final
b,r,e,a,k
