2023 Southeast Men's Regional Championship,Club - Men ,23,9,2023
Advance,NC,2023-09-23,2023-09-24
https://play.usaultimate.org/events/2023-Southeast-Mens-Regional-Championship/schedule/Men/Club-Men/
Chain Lightning,1
0,Braden Beebe
0,Cody Havens
0,Isaiah Mason
0,Jeffrey Flanagan
0,Neil Taylor
0,Nicholas Amendolare
0,Philip Throckmorton
0,Pryce Bevins
0,Ridge Carter
0,Steele Davies
2,James Russnogle
4,Jeremiah Branson
5,Samuel Good
7,Daniel Robinson
10,Jared Beazley
11,Ethan Baughman
12,Nicolas Lanas
18,Jacob Flowers
18,Yanni Killebrew
20,LUKE HUDGIN
20,David Wilkins
21,Carson Chamberlain
24,Fletcher Hare
28,Charles Cianciolo
b,r,e,a,k
Bloom,15
teamInfo,,"Orlando, Florida",,,
0,Chris Que
03,August Specht
04,Christopher Patrick
05,Robert Matthew Hankin
07,Michael Berg
08,Sean Chaney
10,Adrian Arreaza
11,Bryant Grafton
11,Ryan Rodriguez
13,Cory Radcliff
15,Udaykiran Gudipudi
16,Kyle O'Connor
18,Andrew Cox
19,Alex Schmoling
22,Tim Lootens
23,Aidan Earnest
25,Reese Holiday
26,Scott Sakow
29,Clayton Partlow
46,Robert Jones
50,Oscar Patterson
53,Wazan Hoshino
55,Bradley  Paul
88,Thomas Milana
97,Nolan McGinley
99,Ty Lim
b,r,e,a,k
s,t,a,g,e,s
pools,Clipped Pools
pool,Pool A
Chain Lightning,Second Nature,13,4,"09/23/2023, 09:00",Pool A,Final
Delirium,Little Red Wagon,13,11,"09/23/2023, 09:00",Pool A,Final
Chain Lightning,Delirium,13,3,"09/23/2023, 10:45",Pool A,Final
Little Red Wagon,Second Nature,10,12,"09/23/2023, 10:45",Pool A,Final
pool,Pool B
Ring of Fire,Hooch,13,1,"09/23/2023, 09:00",Pool B,Final
baNC,Space Cowboys,12,10,"09/23/2023, 09:00",Pool B,Final
Ring of Fire,baNC,13,4,"09/23/2023, 10:45",Pool B,Final
Space Cowboys,Hooch,4,13,"09/23/2023, 10:45",Pool B,Final
pool,Pool C
Raleigh-Durham United,Queen City Kings,13,3,"09/23/2023, 09:00",Pool C,Final
Cash Crop 2,Alliance,10,12,"09/23/2023, 09:00",Pool C,Final
Raleigh-Durham United,Alliance,13,11,"09/23/2023, 10:45",Pool C,Final
Cash Crop 2,Queen City Kings,13,4,"09/23/2023, 10:45",Pool C,Final
pool,Pool D
UpRoar,Bloom,13,4,"09/23/2023, 09:00",Pool D,Final
Tanasi,Lost Boys,8,9,"09/23/2023, 09:00",Pool D,Final
UpRoar,Lost Boys,11,8,"09/23/2023, 10:45",Pool D,Final
Tanasi,Bloom,13,7,"09/23/2023, 10:45",Pool D,Final
b,r,e,a,k
clusters,Saturday CrossOvers
cluster,Pool Reseeds
Chain Lightning,Raleigh-Durham United,13,7,"09/23/2023, 12:30",,Final
Ring of Fire,UpRoar,13,1,"09/23/2023, 12:30",,Final
Second Nature,Cash Crop 2,10,13,"09/23/2023, 12:30",,Final
Hooch,Tanasi,8,11,"09/23/2023, 12:30",,Final
Alliance,Delirium,12,13,"09/23/2023, 12:30",,Final
Lost Boys,baNC,10,13,"09/23/2023, 12:30",,Final
Little Red Wagon,Queen City Kings,13,8,"09/23/2023, 12:30",,Final
Space Cowboys,Bloom,13,6,"09/23/2023, 12:30",,Final
b,r,e,a,k
brackets,Brackets
bracket,Championship
Chain Lightning,Delirium,15,12,"09/24/2023, 09:00",Semis,Final
Raleigh-Durham United,Ring of Fire,0,0,"09/24/2023, 09:00",Semis,Scheduled
Chain Lightning,Tanasi,15,7,"09/23/2023, 14:25",Quarters,Final
Delirium,UpRoar,14,9,"09/23/2023, 14:25",Quarters,Final
Raleigh-Durham United,baNC,15,7,"09/23/2023, 14:25",Quarters,Final
Cash Crop 2,Ring of Fire,4,15,"09/23/2023, 14:25",Quarters,Final
bracket,3rd - Game2Go
Tanasi,UpRoar,0,0,"09/24/2023, 09:00",3rd Quarters,Scheduled
baNC,Cash Crop 2,0,0,"09/24/2023, 09:00",3rd Quarters,Scheduled
bracket,5th - Select Flight Placement
bracket,7th - Select Flight Play-in
bracket,9th - Placement
Hooch,Alliance,0,0,"09/24/2023, 09:00",9th Semis,Scheduled
Little Red Wagon,Second Nature,0,0,"09/24/2023, 09:00",9th Semis,Scheduled
Hooch,Queen City Kings,15,11,"09/23/2023, 16:10",9th Quarters,Final
Space Cowboys,Alliance,7,15,"09/23/2023, 16:10",9th Quarters,Final
Lost Boys,Little Red Wagon,12,15,"09/23/2023, 16:10",9th Quarters,Final
Second Nature,Bloom,15,11,"09/23/2023, 16:10",9th Quarters,Final
bracket,11th - Placement
bracket,13th - Placement
Queen City Kings,Space Cowboys,0,0,"09/24/2023, 09:00",13th Semis,Scheduled
Lost Boys,Bloom,0,0,"09/24/2023, 09:00",13th Semis,Scheduled
bracket,15th - Placement
b,r,e,a,k
