2023 Men's Northwest Plains Sectional Championship,Club - Men ,9,9,2023
Hartland,WI,2023-09-09,2023-09-10
https://play.usaultimate.org/events/2023-Mens-Northwest-Plains-Sectional-Championship/schedule/Men/Club-Men/
Sub Zero,1
69,Tucker Hoffman
b,r,e,a,k
Spin Doctors,17
teamInfo,,"Rochester, Minnesota",https://instagram.com/rochestermnultimate?igshid=Y2I2MzMwZWM3ZA==,,
0,Andrew Napier
0,BLAKE HAGAN
0,Bryan Bauman
0,Creighton Gerber
0,David Thomas
0,John Anderson
0,Joseph Brown
0,Matthew Tse
0,Peyton Schneider
1,Christian Johnson
2,Grant Waldron
6,Joseph Gottwald
7,Wesley Sorum
10,Ryan Butler
12,Robert Owen
21,Nolan Caples
21,Brent Gothmann
33,Jay Puffer
84,Tate Goretzki
97,Quincy Wittman
b,r,e,a,k
HouSE,4
teamInfo,,"Kenosha, Wisconsin",,https://www.facebook.com/HouSEultimate/,
00,Tim Pecharich
01,Nick Lilla
03,Blake Kiefner
04,Luke Ehlert
05,Justin Rummelhart
06,Nick Robinson
07,David Ashmore
08,Conner Bousson
09,Kyle Baker
10,Matt Freer
10,Scott Wenzel
12,David Zickus
14,Nick Waring
15,Ryan O'Reilly
16,Benjamin Tompkins
19,Karl Fauerbach
20,Brett Robinson
22,Jacob Stock
23,Jacob Brodkorb
24,Jay Lewer
26,Jimmy Chaudoin
29,Zachary Kozmer
34,Justin Brockmann
47,Matthew Rodway
85,Gabe Vordick
88,Jonah Koehlert
b,r,e,a,k
MKE,6
teamInfo,,"Milwaukee, Wisconsin",mkeultimateclub@gmail.com,https://www.facebook.com/MKEUltimate/,https://twitter.com/MKE_ultimate
0,Abraham Frolichstein-Appel
0,Alex Henige
0,Elliot Shager
0,John Wall
0,Jordan Liff
0,Joseph Branca
0,Kyle Gasiorowicz
0,Kyle East
0,Patrick Guarasci
0,Peter Kuenzle
0,Jack Loomis
4,Reid Lancaster
7,Samuel Dirks
12,Nicholas Becker
13,Glenn Kaboskey
13,Damon Woodward
14,Alex Martinich
14,Jackson Seltzer
15,Jack Dipaolo
17,Elias Magallanes Jr.
19,Ryan Waller
24,Jack Drolen
39,Francis Nuguid
b,r,e,a,k
Timber,13
teamInfo,,"Appleton, Wisconsin",,https://www.facebook.com/TimberUltimate/,https://twitter.com/TimberUltimate
0,Benjamin Romnek
0,Bryan Cook
0,Gabe Retzlaff
0,Ian  Ottone
0,Kirk Prince
0,Peyton Winkelman
0,Zackory Runke
4,Anthony Moore
5,Brian Ristau
5,Jack Kiel
7,Logan Mueller
9,Aaron Lichtenwalner 
12,Chad Heldt
15,Daniel Rowan
19,Christian Piccioni
23,Ryan Zdroik
25,Ben Schoenebeck
38,Quest Meyer
39,Benjamin Tittle
55,Thomas Umlauf
69,Logan Roy
76,Caleb Smith
77,Andrew Novak
93,Thomas Doro
96,Joshua Van Abel
99,Daniel Lang
b,r,e,a,k
UFO,15
teamInfo,,"Apple Valley, Minnesota",,,
0,nathan shannon
00,Nikolas Popp
00,Robbie McChesney
00,Sam Kellander
00,Taelor Hunter
00,Thomas Walker
00,Tim Pumper
00,Benjamin Hanson
00,Brady Campbell
00,Brennan Collins
00,Brian Christiansen
00,Carl Rosamilia
00,Gabriel Jagt
00,Graham Dommer
00,Hunter Ketterling
00,Jacob Lofstad
00,John Stevenson
00,Jonathan Edwards
00,Joshua Edwards
00,Kohl Sparrman
00,Levi Smetana
00,Max Hess
12,Timothy Morgenstern
49,Sam Morgenstern
b,r,e,a,k
s,t,a,g,e,s
pools,Chili's Pool Play
pool,Pool A
NOMAD,THE BODY,13,6,"09/09/2023, 09:00",Pool A,Final
Dinkytown Doughboys,Rubicon Rapids,13,8,"09/09/2023, 09:00",Pool A,Final
Sub Zero,Rubicon Rapids,13,5,"09/09/2023, 11:00",Pool A,Final
Dinkytown Doughboys,NOMAD,9,13,"09/09/2023, 11:00",Pool A,Final
Sub Zero,THE BODY,13,4,"09/09/2023, 13:00",Pool A,Final
Rubicon Rapids,NOMAD,12,13,"09/09/2023, 13:00",Pool A,Final
Sub Zero,NOMAD,13,2,"09/09/2023, 15:00",Pool A,Final
Dinkytown Doughboys,THE BODY,13,11,"09/09/2023, 15:00",Pool A,Final
Sub Zero,Dinkytown Doughboys,13,1,"09/10/2023, 09:00",Pool A,Final
Rubicon Rapids,THE BODY,13,8,"09/10/2023, 09:00",Pool A,Final
pool,Pool B
DCVIII,Milwaukee Revival,13,3,"09/09/2023, 09:00",Pool B,Final
Knights of Ni,Nomads,13,8,"09/09/2023, 09:00",Pool B,Final
Mallard,Nomads,13,5,"09/09/2023, 11:00",Pool B,Final
Knights of Ni,DCVIII,13,5,"09/09/2023, 11:00",Pool B,Final
Mallard,Milwaukee Revival,13,3,"09/09/2023, 13:00",Pool B,Final
Nomads,DCVIII,13,9,"09/09/2023, 13:00",Pool B,Final
Mallard,DCVIII,13,4,"09/09/2023, 15:00",Pool B,Final
Knights of Ni,Milwaukee Revival,13,2,"09/09/2023, 15:00",Pool B,Final
Mallard,Knights of Ni,13,11,"09/10/2023, 09:00",Pool B,Final
Nomads,Milwaukee Revival,13,3,"09/10/2023, 09:00",Pool B,Final
b,r,e,a,k
brackets,Chili's Bracket
bracket,Chili's Championship
Sub Zero,Mallard,0,0,"09/10/2023, 11:00",Chili's Championship,Scheduled
bracket,Chili's 2nd Place Bracket
NOMAD,Nomads,0,0,"09/10/2023, 11:00",Chili's 2nd Place Quarters,Scheduled
Dinkytown Doughboys,Knights of Ni,10,15,"09/10/2023, 11:00",Chili's 2nd Place Quarters,Final
bracket,Chili's 5th Place Gauntlet
Rubicon Rapids,Milwaukee Revival,15,8,"09/10/2023, 11:00",Chili's Parking Lot,Final
THE BODY,DCVIII,0,0,"09/10/2023, 11:00",Chili's Parking Lot,Scheduled
bracket,Chili's Consolation
b,r,e,a,k
pools,Applebee's Pool Play
pool,Pool Y
General Strike,DINGWOP,15,6,"09/09/2023, 09:00",Pool Y,Final
Bux,Spin Doctors,15,6,"09/09/2023, 09:00",Pool Y,Final
General Strike,Spin Doctors,15,4,"09/09/2023, 11:00",Pool Y,Final
Bux,DINGWOP,14,12,"09/09/2023, 11:00",Pool Y,Final
General Strike,Bux,15,8,"09/09/2023, 13:00",Pool Y,Final
DINGWOP,Spin Doctors,15,12,"09/09/2023, 13:00",Pool Y,Final
pool,Pool Z
HouSE,Timber,15,8,"09/09/2023, 09:00",Pool Z,Final
MKE,UFO,15,14,"09/09/2023, 09:00",Pool Z,Final
HouSE,UFO,15,10,"09/09/2023, 11:00",Pool Z,Final
MKE,Timber,12,10,"09/09/2023, 11:00",Pool Z,Final
HouSE,MKE,15,12,"09/09/2023, 13:00",Pool Z,Final
Timber,UFO,13,10,"09/09/2023, 13:00",Pool Z,Final
b,r,e,a,k
brackets,Applebee's Bracket
bracket,Applebee's Championship
General Strike,HouSE,15,7,"09/10/2023, 11:00",Applebee's Championship,Final
bracket,Applebee's 2nd Place Bracket
Bux,MKE,0,0,"09/10/2023, 11:00",Applebee's 2nd Place Semis,Scheduled
bracket,Applebee's 4th Place Gauntlet
DINGWOP,Timber,15,12,"09/10/2023, 11:00",Applebee's Lobby,Final
DINGWOP,UFO,15,11,"09/10/2023, 09:00",Applebee's Parking Lot,Final
Spin Doctors,Timber,7,15,"09/10/2023, 09:00",Applebee's Parking Lot,Final
bracket,Applebee's Consolation
UFO,Spin Doctors,0,0,"09/10/2023, 11:00",Applebee's Bar,Scheduled
b,r,e,a,k
brackets,Chili's vs Applebee's
bracket,Chili's vs Applebee's Championship
b,r,e,a,k
