2023 Men's East Coast Sectional Championship,Club - Men ,9,9,2023
Knoxville,TN,2023-09-09,2023-09-10
https://play.usaultimate.org/events/2023-Mens-East-Coast-Sectional-Championship/schedule/Men/Club-Men/
Delirium,2
17,Max Williams
20,Simon Austin
24,Patrick Thompson
27,Nathaniel Mondragon
31,Cayman Bickerstaff
34,Taylor  Austin 
36,Kaden Wittig
42,Jaxon Turner
44,Jude Crandell
68,Aaron Tafoya
98,Noah Ayers
b,r,e,a,k
Lost Boys,3
teamInfo,,"Columbia, South Carolina",mailto:lbfrisbee@gmail.com,https://www.facebook.com/lbultimate/,https://twitter.com/TheLostBoysUlti
0,Michael Miller
3,Ethan Johnson
5,Brandon Wider
6,Luke Hatchl
01,Kyle Woodberry
02,Adam Chase
07,William Carmichael
08,Matthew Hogue
10,Colin Sauls
11,Nicholas Headden
12,Johnnie Lynch
13,Tyler Catton
15,Corey Bennett
16,Clarence Frady
18,Chris Wilson
22,Matthew Herbst
23,John Bonas
24,Stephen Trello
25,Jacob Brunson
29,Daniel Ouk
36,Alexander Cartledge
52,Kevin Halprin
64,Jacob Blackman
81,Deven Riley
83,Cleve Fisher
88,Gavin Russell
b,r,e,a,k
Charleston Heat Stroke,6
teamInfo,,"Charleston, South Carolina",,https://www.facebook.com/CharlestonHeatStroke,https://twitter.com/HeatStrokeCHS
0,Blake Paulson
0,Brett Egger
0,Cannon Yarborough
0,David VanAuker
0,Hunter Nadeau
0,Joseph DiPaula
0,Justin Morrison
0,Paul Marotta
0,Ryan Saffa
0,Sean Timmons
0,Stephen Young
0,Sylvester Norris
0,Will Harris
1,Nicholas Hocking
3,Adam Bailey
5,Aaron Crockett
6,Hussain Bhagat
7,Gabriel Sammons
8,Mike Sasko
10,Sean Erdenbrack
13,Ryan Wartenberg
18,Oddom Vong
22,Matt Hunt
25,Sambath Vong
29,Brian Shonka
90,Robert Davenport
b,r,e,a,k
Music City Mafia,11
teamInfo,,"Murfreesboro , Tennessee",,,
5,Zachary Steffey
11,Marshall  Hodges 
11,Matthew Carmichael
19,Khamkorn Inthavong
22,Andy Warrick
23,Charles Kidd
33,Evan Snyder
59,Brian Vilayphanh
67,Nathan Lamb
83,Nate Niles
84,John Ransburgh
85,Zane Ransburgh
88,Bryan Hughes
90,Shelby Salkar
91,Zeke Plewniak
92,Brendn Swam
93,John Cordwell III
94,Eugene Michael Campos
96,Joshua Alger
99,Nathanael Parsons
b,r,e,a,k
Pulp,14
teamInfo,,"Atlanta, Georgia",,,
0,Daniel Nickas
0,Dean Damon
0,Dylan Plemper
0,Eric Zhang
0,Gabriel Hall
0,Grayson Stone
0,Harrison Coorey
0,Jacob Sencer
0,Jesse Rider
0,Aaron Selby
0,Justin Davis
0,Ki Greene
0,Lucas Kim
0,Miguel Urena
0,Raphael Nelson
0,Ricky Davis
0,Satya Thota
0,Sreekar Bommireddy
0,Warren Chang
0,Will Hutchinson
9,Nolan Baxendell
14,Toby Fuller
19,Krish Patel
20,Ammon Longenecker
89,Jordan Leslie
95,Reed Karman
b,r,e,a,k
Little Red Wagon,4
teamInfo,,"Atlanta, Georgia",,,
0,Andrew Chung
0,Alex Liu
0,Cole Flournoy
0,DANIEL  PRICE
0,Ishaan Dave
0,Jacob Slade
0,Jason Evans
0,Mac Little
0,Michael Price
0,Michael-Angelo Humm
1,Jonathan Su
2,Andrew Thai
3,Matthew Knowles
6,Aubrey Roberts
7,Christopher Zuo
8,Samuel Munnis
9,Amatheon Bohan
10,Adam Burgess
11,Matthew Shu
11,Robert Roper
33,Devon Rogers
39,Jarrett Swanson
42,Jon Fey
72,Rylan Gordon
91,Matthew Allan
b,r,e,a,k
Python,13
teamInfo,,"Atlanta, Georgia",,,
02,Carter Tegen
05,Neil Barry
06,Raymond Jia
09,Nikos Verlenden
12,Alex Broering
14,Alden Rosakranse
16,Kevin Fan
22,Ephraim Connor
24,Matthew Mills
26,Keller Smith
39,Philip Emry
46,Brendan McCluskey
77,Flavius Penescu
81,Sean Jung
88,Peter Gardner
b,r,e,a,k
Hooch,5
teamInfo,,"Atlanta, Georgia",,,https://twitter.com/HoochUltimate
0,Zachary Hart
6,Matthew Fazzalaro
01,Ashton HIll
02,Lyle Caballes
03,Sam Merritt
04,Bradley Seuntjens
05,Curtis Landry
07,Daniel Knight
08,Skyler Pitts
11,Johnny Griffing
13,Joseph Griffing
17,"Alexander ""Sascha"" Vogel"
19,Collin Cassidy
21,Kofi Reeves-Miller
23,Collin Hill
25,Robert Hunt
27,Owen Mork
30,Kyle Johnson
33,Edward Stephens
37,Kolbie Carrell
39,Antoine Cava
47,David van Pelt
50,Charles Huff
87,Gino Mattace
88,Luke Cranor
b,r,e,a,k
Nashville Mudcats,12
teamInfo,,"Nashville, Tennessee",,,
0,Casey Rose
0,Christian Cendrowski
0,Eli Zelle
0,Felix Curley
0,Foster Palmer 
0,Hunter Beard
0,Julian Delamaza
0,Kyle Maples
0,Liran Federmann
0,Luke Cornelius
0,Maguire Heady
0,Miles Littlefield
0,Aaron Jolly
0,Sterling Grant
3,Paul Michael
4,Richard Ly
8,Jack Waite
9,JohnThomas Atema
13,Philip Hood
14,David Pham
19,William Dickens
20,Richard Salmon
26,Jeffrey Burris
29,Zachary Zimmerman
58,Armando Olivares
96,Dillon Knight
b,r,e,a,k
Tanasi,1
teamInfo,,"Tennessee, Tennessee",,,https://twitter.com/TanasiUltimate
0,Alex Stevenson
0,Ben Anderson
0,Braden Beebe
0,Cody Havens
0,Isaiah Mason
0,Jeffrey Flanagan
0,Neil Taylor
0,Nicholas Amendolare
0,Philip Throckmorton
0,Pryce Bevins
0,Ridge Carter
0,Steele Davies
2,James Russnogle
4,Jeremiah Branson
5,Samuel Good
7,Daniel Robinson
10,Jared Beazley
11,Ethan Baughman
12,Nicolas Lanas
18,Jacob Flowers
18,Yanni Killebrew
20,LUKE HUDGIN
20,David Wilkins
21,Carson Chamberlain
24,Fletcher Hare
28,Charles Cianciolo
b,r,e,a,k
Atlanta Arson,8
teamInfo,,"Atlanta, Georgia",,,https://twitter.com/atlantaarson
0,Caleb Yu
0,Carlo Vanni
0,Christian  Montufar
0,Adam Goodwin
0,Daniel Pham
0,Evan Amon
0,Gabe Borda
0,Galen Ramsey
0,Jaden Medley-Fowlkes
0,Maxwell Lopez
0,Robert Mobley
0,Krishan Chib
0,Kyle Mullins
0,Zo Lightfoot
1,Spencer Pennington
1,Jay Burnett
3,Harrison  Briggs 
4,Vinny Nguyen
11,Lee Phan
16,Tanjid Mitul
20,Bryce Jackson
20,Dacree Harden
24,Elliott Park
29,Kai Diez
66,Jaylon Boone
69,John Broling
b,r,e,a,k
Tennessee Folklore,9
teamInfo,,"Knoxville, Tennessee",,,
0,Jesse Parker
0,Mark Strazzer
0,Sean Geran
0,Stephen Poulos
0,Teveraishe  Mushayamunda
1,Patrick Stroud
3,MICHAEL KOPSTEIN
7,Nathan Cooper
8,Brandon Clackum
10,Chris Epps
11,Nathan Kenner
13,Cody Brady
13,Andrew Simonsen
15,Matthew Peterson
24,Matthew Sui
25,Mark Filer
27,Kevin Zakiewicz
40,Skyler Swafford
42,Timothy Lumsdaine
44,Kyle Dolwick
45,Luke Buckner
46,Charles Wilt
55,Austin Lillis
89,Dylan Elder
b,r,e,a,k
s,t,a,g,e,s
pools,4-Team Clipped
pool,Pool B
Delirium,Power Point Ultimate,13,2,"09/09/2023, 09:45",Pool B,Final
Space Cowboys,Dyno,13,6,"09/09/2023, 09:45",Pool B,Final
Delirium,Space Cowboys,13,9,"09/09/2023, 11:30",Pool B,Final
Dyno,Power Point Ultimate,13,2,"09/09/2023, 11:30",Pool B,Final
pool,Pool C
Lost Boys,Pulp,13,4,"09/09/2023, 09:45",Pool C,Final
Charleston Heat Stroke,Music City Mafia,13,11,"09/09/2023, 09:45",Pool C,Final
Lost Boys,Charleston Heat Stroke,13,11,"09/09/2023, 11:30",Pool C,Final
Music City Mafia,Pulp,13,10,"09/09/2023, 11:30",Pool C,Final
pool,Pool D
Little Red Wagon,Python,13,9,"09/09/2023, 09:45",Pool D,Final
Hooch,Nashville Mudcats,13,8,"09/09/2023, 09:45",Pool D,Final
Little Red Wagon,Hooch,13,8,"09/09/2023, 11:30",Pool D,Final
Nashville Mudcats,Python,8,13,"09/09/2023, 11:30",Pool D,Final
b,r,e,a,k
pools,3-Team
pool,Pool A
Tanasi,Tennessee Folklore,13,5,"09/09/2023, 08:00",Pool A,Final
Atlanta Arson,Tennessee Folklore,12,11,"09/09/2023, 09:45",Pool A,Final
Tanasi,Atlanta Arson,13,4,"09/09/2023, 11:30",Pool A,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship
Tanasi,Little Red Wagon,13,8,"09/09/2023, 15:20",Semis,Final
Lost Boys,Delirium,1,3,"09/09/2023, 15:20",Semis,In Progress
Tanasi,Space Cowboys,13,9,"09/09/2023, 13:35",Quarters,Final
Charleston Heat Stroke,Little Red Wagon,11,12,"09/09/2023, 13:35",Quarters,Final
Lost Boys,Python,13,12,"09/09/2023, 13:35",Quarters,Final
Atlanta Arson,Delirium,5,12,"09/09/2023, 13:35",Quarters,Final
bracket,Play-In Games: 2nd
Space Cowboys,Charleston Heat Stroke,12,10,"09/09/2023, 15:20",Quarters Losers,Final
Python,Atlanta Arson,11,8,"09/09/2023, 15:20",Quarters Losers,Final
bracket,Play-In Games: 4th
bracket,Game to Go: 6th
Tennessee Folklore,Hooch,6,13,"09/09/2023, 15:20",Cross Winnners,Final
Music City Mafia,Dyno,5,13,"09/09/2023, 15:20",Cross Winnners,Final
Tennessee Folklore,Power Point Ultimate,13,4,"09/09/2023, 13:35",Crossovers,Final
Pulp,Hooch,4,13,"09/09/2023, 13:35",Crossovers,Final
Music City Mafia,Nashville Mudcats,13,11,"09/09/2023, 13:35",Crossovers,Final
bracket,Placement Games: 8th
bracket,Placement Games: 11th
b,r,e,a,k
pools,Placement Games: 13th
pool,13th Pool
Power Point Ultimate,Pulp,0,0,"09/09/2023, 15:20",13th Pool,In Progress
Pulp,Nashville Mudcats,0,0,"09/10/2023, 11:30",13th Pool,Scheduled
Power Point Ultimate,Nashville Mudcats,0,0,"09/10/2023, 13:30",13th Pool,Scheduled
b,r,e,a,k
