TCT Select Flight East 2023,Club - Men ,29,7,2023
Columbus,OH,2023-07-29,2023-07-30
https://play.usaultimate.org/events/TCT-Select-Flight-East-2023/schedule/Men/Club-Men/
GOAT,1
0,Jesus Gonzalez
0,Ryan Hill
0,Sam Rose
0,Sam Batson
0,Zach Brennan
4,Eric Sinkler
7,Jack Stephenson
9,Madison Head
10,Evan Marshall
13,Jake Powell
13,Ryan Murphy
14,Ryan Flick
14,Charles Loudermilk
22,Jon Ross Ingley
26,Sam Diffin
69,Samuel Trent
b,r,e,a,k
Phantom,2
teamInfo,,"Philadelphia , Pennsylvania",,https://www.facebook.com/phillyphantom,https://twitter.com/PhillyPhantomU
0,Allan Michel
0,Andrew Haviland
0,Avery Campbell
0,David Brandolph
0,Mark Philipson
0,Matt Carter
0,Matthew Brenfleck
0,Jeffrey Zhou
0,Jordan Ciccarone
0,Peter Cauchy
0,Will Zamsky
1,David Snead
8,Pasta (Max) Weiler
10,Josh Lane
12,Michael  Maroon 
13,Matthew Ellis
13,Brice Dunn
17,Devin Foster
17,James Pollard
17,Alexander (Zander) Lutz
18,Adam Novak
22,Dylan Smith
23,Ian Dietrich
24,Cole Salomon
25,Nate Long
b,r,e,a,k
Fungi,8
teamInfo,,"Denver, Colorado",,https://www.facebook.com/fungiUltimate,
0,Fabian Galván
0,Greg Olson
0,James Miller
0,Max Van Sickle
0,Morgan Scott
0,Oliver Cunningham
0,Patrick Ellsworth
0,Sam Ruiz Harding
0,Shaan Narayan
0,Stiveen Gualdron
0,Aaron Wida
2,Rodrigo  Gould Rodriguez
3,John Miller
11,Colton Steiner
13,Theodore Watkins
15,Abe Gambert
33,Adam Federbusch
b,r,e,a,k
Beacon,15
teamInfo,,"Grand Rapids, Michigan",,,https://twitter.com/BeaconUlti
01,Gabe Ecenbarger
02,Justin Perticone
04,Trevor Polisuk-Balfour
05,Zachary Turner
06,Jordan Gabrielse
07,Ryan Lee
11,Michael Mansfield
14,Sawyer Fil
15,Alex Bertoia
17,Stephen Vossler
18,Malachi Neil
21,Justin Von Kulajta Winn
22,Chase Rospond 
25,Brendan Schwalm
27,Colin Fremeau
30,Austin Masselink
34,Colin Beauregard
49,Nathan Zock
51,Joseph Cubitt
54,Aaron Schwieterman
55,Sean Clark
61,Caleb Stanish
76,Conrad Nguyen
77,Matthew Martell
81,Alec DenBraber
84,Michael Weber
b,r,e,a,k
Lantern,9
teamInfo,,"Boston, Massachusetts",https://www.instagram.com/lanternultimate/?hl=en,,https://twitter.com/lanternultimate
00,Brendan Blaney
02,Alan Yi
03,Derek Wiseman
04,Evan Hu
05,Thomas Dougherty
06,Igor Smola
07,Daniel Benson
08,Nathan Brown
09,Sung-Jae Park
10,Brian Walsh
11,Alexander Fick
12,Michael Carando
13,Matt Kolk
17,John Repucci
19,John Buchanan
22,Matt Rizzo
23,John-Paul Saggal
25,Matthew Ayers
26,Matthew LePere
33,Chase Flint
35,Russell Katz
37,Dylan Baroody
62,Cody Karjadi
63,Griffin Smith
73,Eric Peters
75,Benjamin Ma
b,r,e,a,k
Blueprint,3
teamInfo,,"Brooklyn, New York",,,https://twitter.com/nyc_blueprint
0,Carter Wang
0,Christopher Bond
0,Dillon Cooke
0,Evan Ma
0,Jeffrey Voss
0,John Kern
0,Johnny Frohlichstein
0,Max Cohen
0,Nicolas Leitmann-Niimi
0,Noam Fisherman
0,Owen Marschall
0,Ruozhou Ye
0,Samuel Pollack
0,Samuel Ross
4,Jordan Richmond
7,Walter Roosa
10,Andrew Edelman
11,Patrick Stegemoeller
15,Daniel Meiland
16,Joseph Copeland
25,Drew Schnaudigel
31,Aron Szanto
69,Garrett Wibbelsman
b,r,e,a,k
Mallard,5
teamInfo,,"Minneapolis, Minnesota",https://www.mplsmallard.com/,https://www.facebook.com/mplsmallard,https://twitter.com/mplsmallard
coaches,Tyler Smith
0,Kenji Her
01,Adam Meckstroth
03,Simon Mulrooney
04,Thomas Donahue
07,Erik Aadalen
08,Cash Barber
09,Tom Duret
10,Anthony Jirele
12,Ryan Welch
13,Josh Kautz
14,Michael Kovash
16,Peter Helgeson
16,William Johnson
20,Blake Trantina
23,Alex Tsvetkov
24,Theodore McGowan
27,Jonah Engelmann
30,Becker Mathie
57,Owen Schigiel
69,Owen Gin
73,Jordan Wright
77,Alejandro (Alex) Perez
86,John Helgeson
b,r,e,a,k
DeMo,14
teamInfo,,"Des Moines, Iowa",,,https://twitter.com/demoultimate
0,Ben Masterson
0,Ben Ransom
0,Brett DeHoogh
0,Camden Boyde
0,Huynh Vo
0,Jeremy Marchesani
0,Niko Beauchamp
0,Oliver Bostian
3,Richard TeKippe
3,Collin Lamb
5,Dillon Crowell
9,Scott Wilson
10,Robert Mitchell McCarthy
11,Matt Adams
12,Jason Chen
13,Evan Ford
17,Timothy Swanson
20,Tony Abdel-Malek
23,Hunter May
25,Cody Sevcik
33,Austin DeHoogh
41,Brian Goode
45,Devon Lord
62,Justin  Hua
69,Jacob Thomae
71,Dayton Wright
b,r,e,a,k
CITYWIDE Special,12
teamInfo,,"Philadelphia, Pennsylvania",,https://www.facebook.com/citywidespecial/,https://twitter.com/cwultimate
0,Aaron Liu
0,Colin Clapper
0,Constantine (Dino) Cangelosi
0,Dylan Edelman
0,Francesco Russo
0,Iain Tracton
0,Logan Piercy
0,Shawn Lanzillo
4,Ryan Bukovsky
5,David Ellis
10,Chris Dixon
21,Patrick Oniate
25,Giovanni Ruggirello
26,Max Vandervelden
29,Chris Vanni
35,Adam Weingast
80,Christopher Cruz
b,r,e,a,k
Phoenix,13
teamInfo,,"Ottawa, ON, Ontario CA",ottawaopenultimate%20AT%20gmail%20DOT%20com,https://www.facebook.com/ottawa.phoenix,https://twitter.com/phoenixultimate
coaches,Luke Phelan
0,Andrew Hodge
0,Brandon Adibe
0,Kayle Campbell
0,Khirode Robertson
0,Eric Zhuang
0,Paul Mensah
0,Samuel Dupont-Gratton
0,Samuel Tremblay-Larochelle
0,Martin Gallant
0,Mike Lee
0,Thomas Stanton
4,Alec Arsenault
10,Geoff Bevan
19,Simon Walker
22,Marcus Bordage
22,Liam Daigeler
23,Desmond Staples
24,Paul Renaud
65,Jonah Munoz
78,Ian Wallace
81,Cameron Kennedy
94,Logan Keillor
96,Patrick Mapp
b,r,e,a,k
Lost Boys,11
teamInfo,,"Columbia, South Carolina",mailto:lbfrisbee@gmail.com,https://www.facebook.com/lbultimate/,https://twitter.com/TheLostBoysUlti
0,Michael Miller
1,Kyle Woodberry
2,Adam Chase
5,Brandon Wider
6,Luke Hatchl
7,William Carmichael
8,Matthew Hogue
10,Colin Sauls
11,Nicholas Headden
12,Johnnie Lynch
15,Corey Bennett
16,Clarence Frady
18,Chris Wilson
22,Matthew Herbst
23,John Bonas
24,Stephen Trello
25,Jacob Brunson
29,Daniel Ouk
52,Kevin Halprin
64,Jacob Blackman
81,Deven Riley
88,Cleve Fisher
b,r,e,a,k
Colonels,4
teamInfo,,"Louisville, Kentucky",https://louisvilleultimate.org/,https://www.facebook.com/colonelsfrisbee/,https://twitter.com/colonelsfrisbee
02,Daniel Alpiger  
03,Ryan Fehrenbacher
04,Jonathan Gerth
05,Andrew Hipskind
07,Nathan Sevenish
08,Andrew DePuy
10,Rick Stewart
11,Daniel Harrison
13,Joe Wilkie
15,Joseph Dininger
16,Nathan Davis
17,Seth Gudeman
18,Amal Patel
23,Elliot Hawkins
24,Jared Payne
25,Justin Rankin
31,Bradley Kennis
33,Nick Galbreath
43,Nathan Stippler
60,Corey Hardesty
69,Drew Happe
72,Benjamin Landry
73,Noah Rickelman
91,Matthew Wilhite
93,Richard Murt
b,r,e,a,k
Red Wolves,6
teamInfo,,"Washington D.C., District of Columbia",https://instagram.com/redwolvesultimate,,
0,Beau De Koninck
0,Jeffrey  Zhou
0,Matthew Callen
0,Noah Sawyer
0,Oliver Walke
0,Rhys Gretsch
0,Vincent Chen
2,Jacob  Sheedy
4,Samuel Morrall
5,Andrew Sington
9,Charles Baird
14,Devin Holland
17,Christopher King
21,August Wagner
22,Ryan Kelly
23,Ryan Ward
24,Gregory Cho
25,Ezra Tinsky
28,Matthew Thornton
28,Roger Zeng
31,Kobe Oley
44,Matthew Chamberlain
44,Eric Yoon
44,Cole Snavely
63,Jon Pressimone
80,Liam Dunn
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
GOAT,Delirium,13,5,"07/29/2023, 12:00",Pool A,Final
Alamode,Flying Dutchmen,13,8,"07/29/2023, 12:00",Pool A,Final
GOAT,Flying Dutchmen,0,0,"07/29/2023, 15:00",Pool A,Scheduled
Alamode,Delirium,0,0,"07/29/2023, 15:00",Pool A,Scheduled
GOAT,Alamode,0,0,"07/29/2023, 18:00",Pool A,Scheduled
Delirium,Flying Dutchmen,0,0,"07/29/2023, 18:00",Pool A,Scheduled
pool,Pool B
Phantom,Lantern,15,11,"07/29/2023, 12:00",Pool B,Final
Fungi,Beacon,10,9,"07/29/2023, 12:00",Pool B,Final
Phantom,Beacon,0,0,"07/29/2023, 15:00",Pool B,Scheduled
Fungi,Lantern,0,0,"07/29/2023, 15:00",Pool B,Scheduled
Phantom,Fungi,0,0,"07/29/2023, 18:00",Pool B,Scheduled
Lantern,Beacon,0,0,"07/29/2023, 18:00",Pool B,Scheduled
pool,Pool C
Blueprint,CITYWIDE Special,11,7,"07/29/2023, 12:00",Pool C,Final
Mallard,DeMo,11,8,"07/29/2023, 12:00",Pool C,Final
Blueprint,DeMo,0,0,"07/29/2023, 15:00",Pool C,Scheduled
Mallard,CITYWIDE Special,0,0,"07/29/2023, 15:00",Pool C,Scheduled
Blueprint,Mallard,0,0,"07/29/2023, 18:00",Pool C,Scheduled
CITYWIDE Special,DeMo,0,0,"07/29/2023, 18:00",Pool C,Scheduled
pool,Pool D
Colonels,Lost Boys,10,11,"07/29/2023, 12:00",Pool D,Final
Red Wolves,Phoenix,8,10,"07/29/2023, 12:00",Pool D,Final
Colonels,Phoenix,0,0,"07/29/2023, 15:00",Pool D,Scheduled
Red Wolves,Lost Boys,0,0,"07/29/2023, 15:00",Pool D,Scheduled
Colonels,Red Wolves,0,0,"07/29/2023, 18:00",Pool D,Scheduled
Lost Boys,Phoenix,0,0,"07/29/2023, 18:00",Pool D,Scheduled
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Final
b,r,e,a,k
brackets,Placement Brackets
bracket,Third Place
bracket,Fifth Place Bracket
bracket,Seventh Place
bracket,Ninth Place Bracket
bracket,Eleventh Place
bracket,Thirteenth Place Bracket
bracket,Fifteenth Place
b,r,e,a,k
