Huck Finn,College - Men ,1,4,2023
O'Fallon,IL,2023-04-01,2023-04-02
https://play.usaultimate.org/events/Huck-Finn1/schedule/Men/CollegeMen/
Washington University,1
0,Zach Jaromin
1,Augustine Hauge
3,Aidan Thomas
5,Zachary Koh
7,London Williams
8,Patrick Schwartz
10,Michael Rauch
11,Daniel Harrison
15,Mark Valenzuela
23,Caleb Hutchison
25,Alfredo Huete
28,Marc Chahoud
50,Colin Stevens
69,Connor Wozniak
69,Chris Walsh
69,Marshall Horton
69,Michel Domenella
69,William Theisen
78,Kevin Wakakuwa
b,r,e,a,k
Vanderbilt,9
teamInfo,Armada,"Nashville, Tennessee",,,https://twitter.com/VUarmada
0,George Gunter
0,Hanwo Jiang
0,Isaac Schapiro
0,Jansen Hammock
0,John Mountel
0,Julian Delamaza
0,Kai Mehra
0,Keiji Chan
0,Marius Schueller
0,Matthew Helou
0,Nate Eshleman
0,Ben Walton
0,Daniel Negash
0,Danny Rosen
0,William Wildridge
7,Timothy Jacob
10,David Atwood
13,David McFarlane
37,David Evans
42,Xueyuan Jia
45,Ethan Jones
99,Enrique Abreu-Ramos
b,r,e,a,k
Iowa State,2
teamInfo,ISUC,"Ames, Iowa",https://www.stuorg.iastate.edu/isuc,https://www.facebook.com/IowaStateUltimate,https://twitter.com/ISUltimate
0,Ellery Sabado
0,Andrew Grotenhuis
0,Jeremy Marchesani
0,Matthew Glanzmann
0,Noah Arends
0,Owen Jewell
0,Ramon Puente Jr.
0,Luke Walsh
0,Malcolm Chow
0,Stephen Mann
1,Logan Castle
13,Gabriel Schoepke
14,Will Hager
24,Abram Demo
27,Wonsuk Jung
32,Matt Johnson
32,Holden Fahnhorst
33,Sean Fjellman
41,Brian Goode
42,Tanner Holtz
57,Jason Luciani
62,Justin  Hua
72,Thomas Glass
73,Jordan Wright
99,Jacob  Shockley
b,r,e,a,k
Missouri,3
teamInfo,Missouri,"Columbia, Missouri",,https://www.facebook.com/University-of-Missouri-Mens-Ultimate-Frisbee-Club-485959944787244,https://twitter.com/MizClubMFrisbee
coaches,Ryan Tray
0,Alex Leary
0,Alexander Bernier
0,Alon Barzilay
0,Brian Jorgensen
0,Christian Marble
0,Christopher Ave
0,Cooper George-Lander
0,Eric Holtmeyer
0,Evan Dobson
0,Jamison Martin
0,John Marsh
0,Lukas Reinbold
0,Matt Guzman
0,Matthew Kaminsky
0,Michael Rashford
0,Quentin  Corpuel
0,Sam Mallet
0,Thomas Jamison
3,Drew Clutes
5,Landon Evans
6,Zachary Sweeney
11,Ashton Kautzner
12,Spencer Keith
27,Evan Schreiner
37,Nathan Sneller
69,Mario Tran
85,Hunter Latson
88,Christian Holzl
98,Richard Adams 
b,r,e,a,k
Purdue,6
teamInfo,Undue Ultimate,"West Lafayette, Indiana",https://purduemensultimate.wordpress.com/2016/05/28/about-undue-ultimate/,https://www.facebook.com/pages/Purdue-Ultimate-Frisbee/128269583915564,https://twitter.com/UndueUltimate
0,Aidan Broy
0,Alan Chi
0,Alex Rybak
0,Alex Kelley
0,Cian Flaherty
0,Jack Walter
0,Jake Heimlich
0,John Hanish
0,Matthew Imm
0,Max Egendoerfer
0,Samuel Bourne
0,Zhizhen Zhou
5,Jackson Moore
6,Richard Tang
7,Eric Hoy
10,Kole Pempek
13,Eric Palia
18,Benjamin Harris
22,Logan Williams
37,Paul Braun
43,Benjamin Spergel
66,Sam Kadrofske
69,Ray Ye
76,Chandler Moy
80,Jason Haehl
b,r,e,a,k
Alabama,7
teamInfo,Yellow Hammer,"Tuscaloosa, Alabama",alabamaultimate.wordpress.com,https://www.facebook.com/AlabamaUltimate/,twitter.com/bama_ultimate
0,Aidan Joyce
0,Arden Markin
0,Ben Anderson
0,Brady Grogan
0,Devin Kelly
0,Foster Palmer 
0,Jeffrey Martin
0,Lachlan Campbell
0,LaNolan Billingsley
0,Morgan Knight
0,Nace Allen
0,Spencer Young
0,Steven Ladenberger
0,Trey Besch
0,William Nash
2,Scott Landers
2,Garrett Murphy
7,Jacob Ham
7,Joseph Gilroy
8,Logan Ashwell
16,Thomas Orchanian
26,Dalton Brewer
56,Benjamin Miralaeff
57,Dylan Doherty
69,Zachary Powers
84,Joshua Lewis
b,r,e,a,k
Indiana,10
teamInfo,HoosierMama?s,"Bloomington, Indiana",hoosiermamas.org,https://www.facebook.com/HoosierMamas/,https://twitter.com/Hoosier_Mamas?lang=en
0,Achyuta Murli
0,Aidan Ball
0,Chris Azar
0,Collin Rassel
0,Conner Blalack
0,Dylan Herman
0,Ethan Meyers
0,Jack Galle
0,Jacob Moore
0,JaJuan Sanders
0,John Tyndall
0,Jonathan Gerth
0,Nathaniel Wells
0,Rafael Gomez
0,Robert Erickson
0,Rowland Sorrick
0,Will Quigley
4,Dylan Herthoge
4,Cameron Thatcher
6,Andrew Vetne
11,David Woods
12,Jonathon Mangan
13,Gage Koon
14,Stephen Conner Henderson
18,AJ  Humbert
21,Jeremy Keusch 
25,George Peterson
69,Liam Mulligan
b,r,e,a,k
Wisconsin-Milwaukee,11
teamInfo,Black Cat,"Milwaukee, Wisconsin",,https://www.facebook.com/BlackCatUltimate?ref=br_tf,@BlaCkatUltimate
0,Donte  Buckingham 
03,Jackson McCausland
06,Leo Ohkerrmann
15,Charlie Benforado
16,Joseph Mueller
20,Kyle East
22,Jack Loomis
23,Zachary Vosberg
24,Justin Stubbe
35,Jonny Holstead
37,James Kaine
42,Elliot Shager
45,Colton Smith
48,Blair Weber
55,Charles Waechter
69,Benjamin Michalak
69,Reid Lancaster
72,Connor Schuberth
74,Alex Martinich
74,Josh Lopez
77,Alex Henige
88,Ryan Waller
94,Shiv Patel
b,r,e,a,k
Grinnell,14
teamInfo,Grinnellephants,"Grinnell, Iowa",,,https://twitter.com/Grinnellephants
0,Benjamin Shulman
0,Cole Beattie
0,Collin Thomas-Green
0,Joseph Barrows
08,Noah Fehr
10,Sam Bigham
11,William Norry
20,Jack Connelly
21,Fergus Braun
22,Ishai Melamede
24,Jacob  Cowan
27,Chris Dickinson
29,Ori Shaham
31,Duncan Lambert
34,Jeremy Trachtenberg
44,Duncan Steele-Maley
52,Solomon Golden
64,Eamon Worden
65,Jonny Bachman
68,Harold MacArthur
76,Zade Mullin
87,Dominic D’Ascenzo
b,r,e,a,k
Chicago,15
teamInfo,Fission,"Chicago, Illinois",http://junkultimate.weebly.com/,https://www.facebook.com/UChicagoUltimate/,https://twitter.com/UChi_Fission
b,r,e,a,k
Florida State,18
teamInfo,DUF,"Tallahassee, Florida",,https://www.facebook.com/FSUltimate,https://twitter.com/DUFtrainroll
0,Alexandro Garcia
0,Andrew Dill
0,August Specht
0,Ben Reid
0,Ben Brodie
0,Bodie Cole
0,Bradley Gonzalez
0,Chris Que
0,Clayton Partlow
0,James Wingfield
0,Jonathan Larios
0,Kenny Hill
0,Kevin Ziegler
0,Michael Berg
0,Nathan Lowrie
0,Dominic Pawlusiak
0,Hunter  Strayhorn
0,Ulysses Ellis
0,Zachary Fisher
2,Jack Powell
7,Nicholas Polo
10,Seth Hibel
17,Sam Swartz
18,Liam McConnell
26,Scott Sakow
37,Daniel Siegel
50,Oscar Patterson
b,r,e,a,k
John Brown,19
teamInfo,Ironfist,"Siloam Springs, Arkansas",,https://www.facebook.com/jbultimate,https://twitter.com/JBUIronfist
0,Aaron Spangler
0,Andrew Headley
0,Caleb Schwing
0,Coleman Pringle
0,David Belvardi
0,Luke Medcalf
0,Luke Fields
1,Lukas Croson
5,Samuel Johnson
8,Luke Dishman
9,Aaron Devine
10,Ethan Tolley
11,Corban Samoff
16,Connor Walsh
47,Jackson Macdonald
50,Jacob Wakefield
57,Matthew Alberg
81,Joel Stennett
b,r,e,a,k
St. Olaf,12
teamInfo,Berzerkers,"Northfield, Minnesota",https://zerksultimate.weebly.com/,https://www.facebook.com/stozerks/,https://twitter.com/zerksultimate?lang=en
coaches,Caleb Szydlo,Aidan Clements
00,Eric Crosby Lehmann
01,Grady Conquergood
02,Henry Geffert
03,Matthew Kompelien
07,Cade Ashland
09,Owen Lehmkuhl
10,Daniel Brown
11,Will Brandt
12,Josh Stanton
13,Luke Bleers
14,Carter Petrella
16,Taro Jelinek
17,Cade O'Fallon
19,Jonas Geere
19,Sean Rogers
21,Trevor Laugen
22,Carter Schafer
32,Justin Vorndran
37,Karsten Wennerlund
39,Kai Assef
69,Quinn Munson
77,Jesse Laursen
b,r,e,a,k
Illinois,13
teamInfo,Rise,"Champaign, Illinois",http://www.illiniultimate.com/#/home,https://www.facebook.com/pages/Illinois-Ultimate/139887979390815,https://twitter.com/Illinois_Rise
0,Eli Artemakis
2,Griffin Kelley
3,Dean Gottlieb
7,Timothy Sheehan
8,Patrick Driscoll
9,Kai Tang
10,Kevin Zhang
13,JT Kirages
17,William Voss
19,Dave Kiaupa
20,Evan Driscoll
21,Alex Zheng
22,Ryan Roach
23,Maximus Nelson
24,Kevin Lui
25,Simon Perez
27,Jack Joshi
28,Andy Kennedy
29,Sean Hickey
33,Trevor Scott
40,Emil Weisfeld
44,Evan Benjamin
44,Daniel Sawai
49,Nathan Zock
51,Michael Iarrapino
68,Kai Bowen
70,Kevin Zhou
75,Matthew Rylander
86,Kevin Tan
b,r,e,a,k
Kentucky,16
teamInfo,KULT,"Lexington, Kentucky",http://www.kyultimate.com/,,https://twitter.com/KYUltimate
0,Garrett Hamilton
0,Joseph Stachnik
0,Paul Diddle
03,Alex Reichert
04,Shane McCarthy
05,Isaac Madill
09,Nathan Haynie
10,Andy Clark
11,Gabriel Shir
11,Reece Rode
12,Cole Bernstein
13,Dominic Busby
19,Austin Rhea
20,Nathan Riffell
21,Patrick Crossland
28,Benjamin Lindemuth
30,Ethan Gutberlet
41,Benjamin Diddle
42,Kenneth Hodge
55,John Blair
63,Joseph Lindemuth
b,r,e,a,k
Missouri S&T,17
teamInfo,Miner Threat,"Rolla, Missouri",https://www.minerthreatultimate.com/,https://www.facebook.com/groups/8025742180/,https://mobile.twitter.com/minerclub_ulti
0,Aidan Tow
0,Austin King
0,Calvin Curran
0,Colin Munch
0,Gino Lanasa
0,Kevin Wyle
0,Nicholas Mincemeyer
0,Nicholas Mincemeyer
0,Shane Keeton
02,Ray Mauntel
03,Wesley Fransen
07,Owen Thoms
11,Nick Gentry
13,Keaton Black
16,Sam Papin
22,Aidan Byrne
27,Brandyss Sherman-Hall
28,Zachary Sanders
32,Kyle Johnson
34,Thomas O'Hanlon
40,Michael Lahmeyer
64,Kenneth Stanley
66,Zachary Lopez
81,Zachary Szatkowski
b,r,e,a,k
Michigan State,20
teamInfo,ARC,"East Lansing, Michigan",,https://www.facebook.com/michiganstateultimate,https://www.twitter.com/MSUARCUltimate
coaches,Dan Donovan
0,Aiden Rudy
0,James Kloss
0,Jonna Frayer
0,Noah Sawyer
0,Will Zamsky
0,Zac Hintz
1,Ramy Abueita
2,Joseph Sogno
3,Ben Plumstead
6,Marc Canellas-Salles
7,Sam Metz
9,Hayden Monk
10,Brian Hough
12,Andrew Vieregge
14,Jake Blatt
15,Tyler Paparella
16,Ryan Medendorp
18,Neil Proefrock
21,Joseph Flynn
22,Jaden Hanold
23,Joey Fishkind
24,David Zoldan
32,Elliot Davis
44,Matthew Chamberlain
50,Luke Hartfield
63,Dean Golminas
b,r,e,a,k
Saint Louis,21
teamInfo,Archangel,"St. Louis, Missouri",,,https://twitter.com/Archangel_SLU
0,AJ Ciaramitaro
0,Alex Davis
0,Ardi Hoxhaj 
0,Brian Weigus
0,Charles Twenter
0,Conor Corcoran
0,Daniel Juergens
0,Derian Ryker
0,Grant Gorman
0,Henry Davis
0,Ian Roudebush
0,Jared Thornberry
0,Mason Kimbarovsky
0,Samuel Liu
0,Tamish Sapkota
0,Timothy Convery
0,Trenton Schultz
0,Victor Geiser
0,Waleed Abdulla
0,Willow Parker
2,Ryan Hilty
3,Michael McCormick
3,Gabriel Bissland
11,Patrick McLaughlin
17,Santiago Lopez
23,Max Yue
27,Stuart Montgomery
34,William Drexler
69,Stephen Rashford
b,r,e,a,k
Boston University,24
teamInfo,Boston University,"Boston, Massachusetts",https://www.facebook.com/BU.Ultimate,https://www.facebook.com/BU.Ultimate,https://twitter.com/ozonepilots
0,Austin Chee
0,Avery Smith
0,Bohui Lu
0,Daniel Greiner
0,David Zhong
0,Gabriel Cohen
0,Hong Wei Gerald Wang
0,James Strand
0,Jeremy Gay
0,Matthew Kweon
0,Michael Guo
0,Ram Sundaram
0,Victor  Jiang
0,William Maharry
0,Xiaojie (Aaron) Li
0,Zackary Furnari
0,Kai Imery
0,Keller Rentz-Baker
20,John Lunt
53,Leo  Yuan
b,r,e,a,k
Arizona State,25
teamInfo,Prime,"Tempe, Arizona",,,https://twitter.com/ASU_Ultimate
0,Adam Douillet
0,Alex Van Der Geest
0,Alvin Miles
0,Brendan Keith
0,Caleb Christensen
0,Derek Benavidez
0,Emory Koeppel
0,Hainuo Jiang
0,Jaiden McGuinness-Cook
0,Clinton Warner
0,Ke Li
0,Martin Fuller
0,Maxwell Bregman
0,Sashit Vijay
1,Roman Smith
2,Braden Distel
3,Joshua Saad
7,Austin  Cottarel
8,Santiago Duque-Baird
13,Andrew MacIsaac
21,Robert Davenport
22,Khoji Ybarra
32,Seth Kristal
42,Christopher Sowards
66,Andrew Brandenburg
76,Connor Garrison
b,r,e,a,k
DePaul,28
teamInfo,DUC,"Chicago, Illinois",http://www.instagram.com/depaulultimate,,https://twitter.com/depaultimate
2,Carter Altruda
3,Peter Stergios
3,Tate Newby
4,Peter Thompson
5,Elias Smith
6,Lachlan Bond
7,Daniel Finney
9,Carlos Avila
10,Ian MacKimm
11,Quinn Williams
12,Galen Sienicki
14,Samuel Tagle
15,Jaden Simpson
16,Turner Pahl
17,Alexander  Espinosa 
22,Chuck Rogers
25,Benjamin Davis
28,Eli Hoffmann
32,Junior Zambrano
35,Nate Burleyson
37,Tim Tran
38,Peter Milburn
47,Alex Kielbasa
51,Aiden Rathmann
b,r,e,a,k
Marquette,22
teamInfo,Birdhouse,"Milwaukee, Wisconsin",https://www.birdhouseultimate.com/home,https://www.facebook.com/marquetteultimate,https://twitter.com/BirdhouseMU
7,Luke Marciniak
03,Robbie McChesney
04,Gabe Gonzalez
05,Vincent Ricciardi
08,Joseph Branca
09,Jonathan Snell
11,Sean Bishop
14,Jackson Seltzer
17,Michael Donlin
19,Evan Frias
20,Isaac  Shimek
23,Gunnar Thompson
28,Kyle Reader
30,Sean Habash
33,nathan shannon
39,Francis Nuguid
44,Benjamin Bolz
80,JJ Mansour
84,Bruce Deal
85,John Wall
88,Johnathan Mika
b,r,e,a,k
Georgia State,23
teamInfo,Underground,"Atlanta, Georgia",,www.facebook.com/gsuultimate,https://twitter.com/GSUnderground
0,Chip Seidenberg
0,Christian  Montufar
0,Aly Jiwani
0,Jaden Medley-Fowlkes
0,Jeremiah Liu
0,Maxwell Lopez
0,Michael Copeland
0,Misael Hernandez
0,Robert Mobley
0,Tabish Rayani
0,Wesley Patrick
0,William Sales
1,Spencer Pennington
3,Harrison  Briggs 
4,Shaheer Khan
5,Isaac Marder
8,Joey Hassett
9,Charles Myers
11,Lee Phan
16,Tanjid Mitul
21,Andrew Frazer
24,Elliott Park
36,Eric Frega
60,Sho Dixon
b,r,e,a,k
Illinois State,26
teamInfo,Gnomes,"Normal, Illinois",,https://www.facebook.com/Illinois-State-Ultimate-223013237713080/timeline/,https://twitter.com/isugnomes?lang=en
0,Adrian Esquivel
0,Alessandro Gibson
0,Axel Baumeister
0,Blake McKee
0,Brandon Hill
0,Carter Whitlow
0,Cody  Wyatt
0,Dillon Yocum
0,Elliott Tubbs
0,Ethan  Moore 
0,Joseph Murphy
0,Joseph Baker
0,Juan Cirilo  Fulgencio 
0,Kacper Wujda
0,Logan Dudley
0,Riley Hendron
0,Thomas  Diveley
1,Sean Dickerson
2,Riley Fortune
5,Luke Brigman
23,Joe Cercello
24,Truman Arie
32,Jonathan Gancarczyk
b,r,e,a,k
Central Michigan,27
teamInfo,Chippewas,"Mount Pleasant, Michigan",,,
0,Luke Bekins
8,Jared McHugh
07,Noah Kudwa
11,Adam Pompilius
14,Aaron Kline
21,Michael McHugh
29,Andrei Smoler Coelho
30,Brendan Gyolai
40,Kyle  Loomis
55,Ethan Coomes
64,Zack Brown
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pools
pool,Tier 1 Pool A
Washington University,Vanderbilt,0,0,"04/01/2023, 08:00",Tier 1 Pool A,Scheduled
Cincinnati,Notre Dame,0,0,"04/01/2023, 08:00",Tier 1 Pool A,Scheduled
Washington University,Cincinnati,0,0,"04/01/2023, 09:30",Tier 1 Pool A,Scheduled
Emory,Notre Dame,0,0,"04/01/2023, 09:30",Tier 1 Pool A,Scheduled
Notre Dame,Vanderbilt,0,0,"04/01/2023, 11:00",Tier 1 Pool A,Scheduled
Emory,Cincinnati,0,0,"04/01/2023, 11:00",Tier 1 Pool A,Scheduled
Washington University,Notre Dame,0,0,"04/01/2023, 12:30",Tier 1 Pool A,Scheduled
Emory,Vanderbilt,0,0,"04/01/2023, 12:30",Tier 1 Pool A,Scheduled
Washington University,Emory,0,0,"04/01/2023, 14:00",Tier 1 Pool A,Scheduled
Cincinnati,Vanderbilt,0,0,"04/01/2023, 14:00",Tier 1 Pool A,Scheduled
pool,Tier 1 Pool B
Iowa State,Indiana,0,0,"04/01/2023, 08:00",Tier 1 Pool B,Scheduled
Purdue,Alabama,0,0,"04/01/2023, 08:00",Tier 1 Pool B,Scheduled
Iowa State,Purdue,0,0,"04/01/2023, 09:30",Tier 1 Pool B,Scheduled
Missouri,Alabama,0,0,"04/01/2023, 09:30",Tier 1 Pool B,Scheduled
Alabama,Indiana,0,0,"04/01/2023, 11:00",Tier 1 Pool B,Scheduled
Missouri,Purdue,0,0,"04/01/2023, 11:00",Tier 1 Pool B,Scheduled
Iowa State,Alabama,0,0,"04/01/2023, 12:30",Tier 1 Pool B,Scheduled
Missouri,Indiana,0,0,"04/01/2023, 12:30",Tier 1 Pool B,Scheduled
Iowa State,Missouri,0,0,"04/01/2023, 14:00",Tier 1 Pool B,Scheduled
Purdue,Indiana,0,0,"04/01/2023, 14:00",Tier 1 Pool B,Scheduled
pool,Tier 2 Pool C
Wisconsin-Milwaukee,John Brown,0,0,"04/01/2023, 08:00",Tier 2 Pool C,Scheduled
Chicago,Florida State,0,0,"04/01/2023, 08:00",Tier 2 Pool C,Scheduled
Wisconsin-Milwaukee,Chicago,0,0,"04/01/2023, 09:30",Tier 2 Pool C,Scheduled
Grinnell,Florida State,0,0,"04/01/2023, 09:30",Tier 2 Pool C,Scheduled
Florida State,John Brown,0,0,"04/01/2023, 11:00",Tier 2 Pool C,Scheduled
Grinnell,Chicago,0,0,"04/01/2023, 11:00",Tier 2 Pool C,Scheduled
Wisconsin-Milwaukee,Florida State,0,0,"04/01/2023, 12:30",Tier 2 Pool C,Scheduled
Grinnell,John Brown,0,0,"04/01/2023, 12:30",Tier 2 Pool C,Scheduled
Wisconsin-Milwaukee,Grinnell,0,0,"04/01/2023, 14:00",Tier 2 Pool C,Scheduled
Chicago,John Brown,0,0,"04/01/2023, 14:00",Tier 2 Pool C,Scheduled
pool,Tier 2 Pool D
St. Olaf,Michigan State,0,0,"04/01/2023, 08:00",Tier 2 Pool D,Scheduled
Kentucky,Missouri S&T,0,0,"04/01/2023, 08:00",Tier 2 Pool D,Scheduled
St. Olaf,Kentucky,0,0,"04/01/2023, 09:30",Tier 2 Pool D,Scheduled
Illinois,Missouri S&T,0,0,"04/01/2023, 09:30",Tier 2 Pool D,Scheduled
Missouri S&T,Michigan State,0,0,"04/01/2023, 11:00",Tier 2 Pool D,Scheduled
Illinois,Kentucky,0,0,"04/01/2023, 11:00",Tier 2 Pool D,Scheduled
St. Olaf,Missouri S&T,0,0,"04/01/2023, 12:30",Tier 2 Pool D,Scheduled
Illinois,Michigan State,0,0,"04/01/2023, 12:30",Tier 2 Pool D,Scheduled
St. Olaf,Illinois,0,0,"04/01/2023, 14:00",Tier 2 Pool D,Scheduled
Kentucky,Michigan State,0,0,"04/01/2023, 14:00",Tier 2 Pool D,Scheduled
pool,Tier 3 Pool E
Saint Louis,Arizona State,0,0,"04/01/2023, 08:00",Tier 3 Pool E,Scheduled
Boston University,DePaul,0,0,"04/01/2023, 08:00",Tier 3 Pool E,Scheduled
Saint Louis,DePaul,0,0,"04/01/2023, 09:30",Tier 3 Pool E,Scheduled
Boston University,Arizona State,0,0,"04/01/2023, 09:30",Tier 3 Pool E,Scheduled
Saint Louis,Boston University,0,0,"04/01/2023, 11:00",Tier 3 Pool E,Scheduled
Arizona State,DePaul,0,0,"04/01/2023, 11:00",Tier 3 Pool E,Scheduled
pool,Tier 3 Pool F
Marquette,Illinois State,0,0,"04/01/2023, 08:00",Tier 3 Pool F,Scheduled
Georgia State,Central Michigan,0,0,"04/01/2023, 08:00",Tier 3 Pool F,Scheduled
Marquette,Central Michigan,0,0,"04/01/2023, 09:30",Tier 3 Pool F,Scheduled
Georgia State,Illinois State,0,0,"04/01/2023, 09:30",Tier 3 Pool F,Scheduled
Marquette,Georgia State,0,0,"04/01/2023, 11:00",Tier 3 Pool F,Scheduled
Illinois State,Central Michigan,0,0,"04/01/2023, 11:00",Tier 3 Pool F,Scheduled
b,r,e,a,k
brackets,Sunday Championship Barcket
bracket,Sunday Championship Barcket
bracket,3rd place game
bracket,5th place bracket
bracket,7th place game
b,r,e,a,k
brackets,15th place bracket
bracket,15th place bracket
bracket,17th place game
bracket,19th place bracket
bracket,21st place game
b,r,e,a,k
pools,9th place round robin
pool,Pool G
pool,Pool H
b,r,e,a,k
clusters,Tier 3 Saturday Crossovers
b,r,e,a,k
pools,23rd Place Pools
pool,Pool X
pool,Pool Y
b,r,e,a,k
clusters,Sunday Placement Games
b,r,e,a,k
