Heavyweights 2023,Club - Men ,8,7,2023
Aurora and Montgomery,IL,2023-07-08,2023-07-09
https://play.usaultimate.org/events/Heavyweights-2023/schedule/Men/Club-Men/
Nomads,9
teamInfo,,"Apple Valley, Minnesota",,,
0,Benjamin Hanson
0,Benjamin Fuller
0,Brady Campbell
0,Brennan Collins
0,Brian Christiansen
0,David Collom
0,Jonathan Edwards
0,Joshua Edwards
0,Levi Smetana
0,nathan shannon
0,Nikolas Popp
0,Peter Gardner
0,Sam Kellander
2,Eric Holter
2,John Stevenson
20,Taelor Hunter
24,Kohl Sparrman
35,Joshua Anderson
b,r,e,a,k
Scoop,16
teamInfo,,"Akron/Cleveland, Ohio",,,
69,Andrew Truax 
69,Brandon Sasser
69,Christopher Auman
69,Garrett Holman
69,Griffin Slesinger
69,Kaiden Cairns
69,Mario Sotelo
69,Mark Hribar
69,Matthew March
69,Matthew Bloom
69,Michael Atkinson
69,Noah Spaetti
69,Philip Saba
69,Ryan Bailey
69,Tom Duellman
69,Vikas Balu
69,Vincent Innocenzi
b,r,e,a,k
Kenji's BBB,15
teamInfo,,"Roseville, Minnesota",,,
0,Akos Konkoly
0,Alex Tsvetkov
0,Andrew Barnard
0,Austin Gin
0,Benjamin Brauer
0,Brandon Macho
0,Brenden Baty
0,Kenji Her
0,Levi Dohman
0,Maximilian Dewberry
0,Nathaniel Astrom
0,Owen Cloutier
5,Owen Gin
10,Anthony Jirele
16,Peter Helgeson
17,Paul Liang
22,Jaxson Baty
28,Anthony Doan
36,Reese Grailer
57,Owen Schigiel
86,John Helgeson
88,Evan Ellis
b,r,e,a,k
STL Lounar,2
teamInfo,,"St. Louis, Missouri",,https://www.facebook.com/STL-Lounar-109283871717037,
coaches,Joseph Barzilai
0,Delmar Tarrago
02,Ray Mauntel
03,Cameron Freeman
04,Brandon Skoba
05,Landon Evans
07,Ryan Hays
08,Joel Brown
09,Nicholas Jeschke
10,Matthew Niemer
13,Ian McNamara
15,Ben Clark
16,Kevin DeAngelis
17,Drew Law
18,Cody Curran
19,Joshua Gabella
20,John Marsh
21,Jaime Befeler
22,Kyle Johnson
25,Unmil Patel
27,Sam Jordan-Wood
28,Elie Weitzman
35,Benjamin Reimler
44,Bryan Dunbar
77,Lincoln Grench
88,Evan Dobson
98,Drake Hill
b,r,e,a,k
Chimney,7
teamInfo,,"Cleveland, Ohio",,,
0,Alex Warrington
0,Barry McCoy
0,Jarrell Imamura
0,Josh Shamburger
0,Leo Narbonne
0,Jacob Rollins
0,Matthew Sullivan
0,Nathaniel Poshkus
0,Ryan Coneway
0,Sean Newell
0,Tristan Greiner
2,Malachi Marshall
4,Jacob Bultman
4,Ben Fuguet
6,Jacob Warmath
8,Graham Galts
13,Benjamin March
14,Osvaldo Velez-Martinez
21,Ben Alexander
55,Samuel Marshall
61,Derek Lin
b,r,e,a,k
HouSE,18
teamInfo,,"Kenosha, Wisconsin",,https://www.facebook.com/HouSEultimate/,
0,Nick Waring
0,Tim Pecharich
6,Nick Robinson
01,Nick Lilla
05,Justin Rummelhart
07,David Ashmore
08,Conner Bousson
09,Kyle Baker
10,Matt Freer
10,Scott Wenzel
11,James Firth Fountain
13,Blake Kiefner
15,Ryan O'Reilly
16,Benjamin Tompkins
19,Karl Fauerbach
20,Brett Robinson
22,Jacob Stock
26,Jimmy Chaudoin
29,Zachary Kozmer
47,Matthew Rodway
77,Curtis Knaack
b,r,e,a,k
NOMAD,10
teamInfo,,"Edina / St. Louis Park , Minnesota",https://www.nomadultimate.com/home,,
0,Danny Shope
0,James (Jac) Cullen
01,James Harvey
02,Luke Rubin
03,Ross Krueger
06,Beau Finley 
07,Isaiah  Klepfer 
08,Eli Schmelzer
11,Eli Lessin Burris
12,Jack Mintz
16,Joe McGurgan
17,Aaron Casey-Fix
21,Mikey Wagner
22,Boden Oelhafen
23,J Calvin Rice-Slothower
27,Harris deNeui
31,Ben O’claire
33,Brett Duncan
34,James Briscoe
43,Jacob Muench
44,Graham Imholte
66,Clayton Rabe
69,Joe  Wagner
97,Owen Mitchell
98,Luke Walsh
99,Jim Shope
b,r,e,a,k
Knights of Ni,3
teamInfo,,"Golden Valley, Minnesota",,,https://twitter.com/ulti_ni
0,Alex Kozitza
0,Brian LaFrance
0,Holden Fahnhorst
0,Jack Dupee
0,Jacob Ode
0,Erik Quam
0,Lucas Kempf
0,Matthew Racky
0,Michael Ruble
0,Peter Eklund
4,Jason Finkelstein
5,Brendon Sackey
8,Kunal Rath
9,Joe Simonelli
10,Nick  Snyder
11,Justin Wollin
13,Michael Seffren
21,Cody Rondeau
25,Mitchell Allen
26,Sam Resnick
28,Greg Cepuran
44,Ethan Ode
52,Max Lang
74,Jakob Yedo
77,Patrick Eikens
84,Jake Kretschmer
b,r,e,a,k
Trident II,11
teamInfo,,"Chicago, Illinois",,,https://twitter.com/Trident2Ulti
coaches,Robert Gross
0,Joseph Thachet
0,Joshua Vierke
0,Kellen Klapatch
0,Ellery Sabado
0,Ishaan Dua
0,Nicholas Messerges
0,Owen Jewell
0,Turner Pahl
0,Will Setchell
1,Alex Straczek
2,Dexter Straczek
7,Bill SooHoo
8,Teddy Kamin
10,Mario Moran
17,Daniel Grosch
19,Dylan Magahis
24,Dylan Mcgarr
24,Lukas Kersh
25,Jake Swalec
35,Zach Eiden
69,Sai Girap
b,r,e,a,k
Diesel,6
teamInfo,,"Ann Arbor, Michigan",,,
0,Alex Barber
0,Austin Engel
0,Benjamin Clark
0,Brendan Parzynski
0,Dom Zampardo
0,Erik Huemiller
0,Jack Schmader
0,Samuel Ingham
0,Simeon  Russell  
0,Tyler Paparella
2,Isaac Plamondon
5,John-Mark Toth
5,Jon Gibson
7,Jack Bembenek
12,Andrew Vieregge
24,Jonathon Jamison
32,Elliot Davis
40,Benjamin Cheer
58,Samuel Pierson
76,Matthew Bell
85,Dafeng Chen
b,r,e,a,k
DCVIII,14
teamInfo,,"Madison , Wisconsin",,,
0,Haoyang Yan
0,Jack Larson
0,Jonathan Schlaefer
0,Koby Seaborne
0,Malek Champion
0,Maxwell Garland 
0,Noah Fehr
0,Ronaldo Lopez Vega
0,Simi Fadiran
0,Stephen Mann
0,Zachary Cestkowski
4,Ardian Yudawan
07,Griffin Glassel
12,Eric Koran
13,Ryan Munger
16,Jay Lonetree
23,Max Junga
26,Saul Diaz
35,Henry Lyne
42,Nicholas Gueldner
55,Joshua Wang
55,Ben Baird
77,Kian Dilweg
88,Kieran Mandli
b,r,e,a,k
STL Moonar,19
teamInfo,,"St. Louis, Missouri",,,
0,Ardian Hoxhaj 
0,Jackson Hogan
0,Joe Rosenberg
0,Jonah Feinstein
0,JP Torack
0,Drew Steinhubl
0,Kevin Wyle
0,Mitchell Oldham
0,Payton Jaggie
0,Sena Murray
0,Steven James Richardson
0,Tamish Sapkota
0,Tom Dupor
1,Nathan Kamp
2,Kelly Mauntel
22,Aidan Byrne
24,Adam Sherberg
27,Evan Schreiner
44,David Higuchi
81,Zachary Szatkowski
b,r,e,a,k
I-69,4
teamInfo,,"Indianapolis, Indiana",,,
69,Andrew Sin
69,Anthony Grigoletti
69,Chris Strawn
69,CJ Knarr
69,Cole Hyzer
69,Drew Galle
69,Gavin Hensley
69,Hank Havlin
69,Ian Vilevac
69,Jack Kempe
69,Jake Wahl
69,Jesse Rumsey
69,Joel Close
69,Jonathan Holladay
69,Mace Chope
69,Matthew Weaver
69,Nathan Hershberger
69,Nathan Bussberg
69,Nathaniel Close
69,Noah  Wahl
69,Ryan McCann
69,Sedrik Sweet
69,William Lilegdon
b,r,e,a,k
NOx,13
teamInfo,,"Kansas City, Missouri",,,
0,Andre Coates
0,Bryce Badgley
0,Erick  Neilson
0,Galen Wienstroer
0,Josiah Burger
0,Karl Kraemer
0,Steven Burdge
2,Jacob Rickwa
4,Kieu Duong
7,Handel Aiken
9,Creighton Miller
11,John Badgley
12,Mark Yonker
13,Chris Basinski
14,Elijah Ray
15,Joseph Davis
25,Joe Miller
27,Brandyss Sherman-Hall
44,Brennan Travis
53,Brett Dare
56,Alan O'Brien
69,Tyler Kalm
71,Austin Heineman
87,Brandon Spicer
b,r,e,a,k
Trident III,20
teamInfo,,"Chicago, Illinois",,,https://twitter.com/Trident2Ulti
coaches,Robert Gross
0,Alexander Kirages
0,Andrew Gubernick
0,Benjamin Michalak
0,Blake Lundin
0,Erikas Paulauskas
0,Justin Davis
0,Michael Murawski
0,Michael Wormley
0,Mitch Whisner
0,Ryan Shore
0,Shivam Boghra
0,Joel Peterson
1,Jeremiah Matthews
2,Joe Sidrys
11,Jacob Ngo
16,Tyler Boyer
22,Justin Arney
24,Garrett Murphy
42,Tanner Holtz
53,Joe Berry
55,Alessandro Gibson
76,Steven Wagner
b,r,e,a,k
Timber,12
teamInfo,,"Appleton, Wisconsin",,https://www.facebook.com/TimberUltimate/,https://twitter.com/TimberUltimate
0,Benjamin Romnek
0,Bryan Cook
0,Gabe Retzlaff
0,Ian  Ottone
0,Joseph Stonebraker
0,Kai Assef
0,Kirk Prince
0,Luke Rospert
0,Peyton Winkelman
0,Zackory Runke
4,Anthony Moore
5,Jack Kiel
7,Logan Mueller
9,Aaron Lichtenwalner 
12,Chad Heldt
19,Christian Piccioni
25,Ben Schoenebeck
38,Quest Meyer
39,Benjamin Tittle
55,Thomas Umlauf
69,Logan Roy
76,Caleb Smith
80,Luke Mantel
93,Thomas Doro
96,Joshua Van Abel
b,r,e,a,k
Riverside,5
teamInfo,,"Austin, Texas",http://riversideultimate.org,https://www.facebook.com/RiversideUltimate/,https://twitter.com/riversideulti
coaches,Charles Mehrotra,Adam Croissant
0,Aaron Ogdee
0,Christopher Weathers
0,David Brockhoff
0,Johnathan Roniger
0,Kegan Wakefield
0,Kyle Jasany
0,Landen Muennink
0,Maxwell Marion
0,Michael Farrugia
0,Michael Clark
0,Paul Lowe
3,Jonathan Zygarlenski
7,Lamson Nguyen
8,Noah Sheets
16,Jon Olson
23,Will Goodwin
28,Trevor Sawatzky
30,Ethan Swan
44,Ethan Banner
73,Mark Hansen
74,Sean Kuylen
86,Jordan Richter
88,Reid Pannell
b,r,e,a,k
s,t,a,g,e,s
pools,M PP
pool,Pool A
Colonels,UFO,13,6,"07/08/2023, 09:00",Pool A,Final
Nomads,Scoop,13,5,"07/08/2023, 09:00",Pool A,Final
Colonels,Nomads,0,0,"07/08/2023, 10:45",Pool A,Scheduled
MKE,Scoop,0,0,"07/08/2023, 10:45",Pool A,Scheduled
Scoop,UFO,0,0,"07/08/2023, 12:30",Pool A,Scheduled
MKE,Nomads,0,0,"07/08/2023, 12:30",Pool A,Scheduled
Colonels,Scoop,0,0,"07/08/2023, 14:15",Pool A,Scheduled
MKE,UFO,0,0,"07/08/2023, 14:15",Pool A,Scheduled
Colonels,MKE,0,0,"07/08/2023, 16:00",Pool A,Scheduled
Nomads,UFO,0,0,"07/08/2023, 16:00",Pool A,Scheduled
pool,Pool B
STL Lounar,HouSE,13,6,"07/08/2023, 09:00",Pool B,Final
NOMAD,Kenji's BBB,5,13,"07/08/2023, 09:00",Pool B,Final
STL Lounar,NOMAD,0,0,"07/08/2023, 10:45",Pool B,Scheduled
Chimney,Kenji's BBB,0,0,"07/08/2023, 10:45",Pool B,Scheduled
Kenji's BBB,HouSE,0,0,"07/08/2023, 12:30",Pool B,Scheduled
Chimney,NOMAD,0,0,"07/08/2023, 12:30",Pool B,Scheduled
STL Lounar,Kenji's BBB,0,0,"07/08/2023, 14:15",Pool B,Scheduled
Chimney,HouSE,0,0,"07/08/2023, 14:15",Pool B,Scheduled
STL Lounar,Chimney,0,0,"07/08/2023, 16:00",Pool B,Scheduled
NOMAD,HouSE,0,0,"07/08/2023, 16:00",Pool B,Scheduled
pool,Pool C
Knights of Ni,STL Moonar,13,6,"07/08/2023, 09:00",Pool C,Final
Trident II,DCVIII,12,11,"07/08/2023, 09:00",Pool C,Final
Knights of Ni,Trident II,0,0,"07/08/2023, 10:45",Pool C,Scheduled
Diesel,DCVIII,0,0,"07/08/2023, 10:45",Pool C,Scheduled
DCVIII,STL Moonar,0,0,"07/08/2023, 12:30",Pool C,Scheduled
Diesel,Trident II,0,0,"07/08/2023, 12:30",Pool C,Scheduled
Knights of Ni,DCVIII,0,0,"07/08/2023, 14:15",Pool C,Scheduled
Diesel,STL Moonar,0,0,"07/08/2023, 14:15",Pool C,Scheduled
Knights of Ni,Diesel,0,0,"07/08/2023, 16:00",Pool C,Scheduled
Trident II,STL Moonar,0,0,"07/08/2023, 16:00",Pool C,Scheduled
pool,Pool D
I-69,Trident III,13,7,"07/08/2023, 09:00",Pool D,Final
Timber,NOx,7,13,"07/08/2023, 09:00",Pool D,Final
I-69,Timber,0,0,"07/08/2023, 10:45",Pool D,Scheduled
Riverside,NOx,0,0,"07/08/2023, 10:45",Pool D,Scheduled
NOx,Trident III,0,0,"07/08/2023, 12:30",Pool D,Scheduled
Riverside,Timber,0,0,"07/08/2023, 12:30",Pool D,Scheduled
I-69,NOx,0,0,"07/08/2023, 14:15",Pool D,Scheduled
Riverside,Trident III,0,0,"07/08/2023, 14:15",Pool D,Scheduled
I-69,Riverside,0,0,"07/08/2023, 16:00",Pool D,Scheduled
Timber,Trident III,0,0,"07/08/2023, 16:00",Pool D,Scheduled
b,r,e,a,k
brackets,M BP
bracket,M CHAMPIONSHIP
bracket,M 3RD PLACE GAME
bracket,M 5TH PLACE BRACKET
bracket,M 7TH PLACE GAME
bracket,M 9TH PLACE BRACKET
bracket,M 11TH PLACE GAME
bracket,M 13TH PLACE BRACKET
bracket,M 15TH PLACE GAME
bracket,M 17TH PLACE BRACKET
bracket,M 19TH PLACE GAME
b,r,e,a,k
