Southeast Club Men's Regional Championship 2021,Club - Men ,2,10,2021
Bermuda Run,NC,2021-10-02,2021-10-03
https://play.usaultimate.org/events/Southeast-Club-Mens-Regional-Championship-2021/schedule/Men/Club-Men/
Ring of Fire,1
00,Rashaad Saunders
00,Richard Rudnicki
00,Roscoe Dick
00,Sam Boyarsky
00,TJ McCourt
14,Stephen Poulos
79,Matt Bode
b,r,e,a,k
The Expendables,4
teamInfo,,"Raleigh, North Carolina",,,
0,Chris Gibson
0,Chuck Cantone
0,David Snoke
0,Derrick Marcey
0,Dustin Travaglini
0,George Guthrie
0,Joseph Connelly
0,Matthew Thomas
0,Roosevelt Ward
0,Ryan Chard
0,Stephen Bender
0,Tim Monahan
0,Joshua Hartzog
1,Tobias Brooks
1,Ty Naquin
5,Taylor Pope
5,Brandon Perales
8,Josh Mullen
11,Jared Inselmann
12,Joey Cretella
18,Vincent Calderon
19,Ethan Bolthouse
52,Kamron Daftari
b,r,e,a,k
Raleigh-Durham United,5
teamInfo,,"Raleigh, North Carolina",,,https://twitter.com/rduultimate
01,Josiah Gamble
02,Bailey Laberteaux
03,Casey Degnan
04,Spencer Olmsted
05,George Lampron
09,Frederick Hennighausen
10,Jacob Louie
11,Robert Locke
13,Ramzi Cope-Musleh
14,John Kost
15,John Laney
18,Jacob Ramsey
20,Jared  Anderson
21,Danny Wilson-Simpson
22,Albert Yuan
25,Jake Gallagher
27,Caleb Louie
35,Myles Grady
37,Lucas Meade
42,Jonathanc Callahan
43,Jake Rovner
44,Dillon Bruer
71,Clint McSherry
72,Nathaniel Donaher
73,Andrew Vande Berg
87,Benj Thomsen
b,r,e,a,k
Space Cowboys,14
teamInfo,,"Greenville, South Carolina",,https://www.facebook.com/groups/spacecowboysultimate/,https://twitter.com/SpaceCowboysUlt
0,Alex Leblanc
0,Andrew  Lamberson
0,Benjamin Cram
0,Chris Sayad
0,Evan Miyasato
0,Ian Stone
0,Jack Cioffi
0,Jake Chipper
0,James Lowell
0,Jonathan  Duen
0,Luke Philbin
0,Michael  Berros
0,Mitchell Fanning
0,Thomas Loar
0,William Shields
2,Ian Robinson
3,Andrew Allen
3,William Cathey
4,Ryland Bristow
7,Brock Stephan
10,Chris Dwight
13,Jacob Luksik
15,Hunter Hamvas
21,Andrew Brownlow
91,Kenneth Peters
95,Zechariah Lin
b,r,e,a,k
Tampa Tempest,11
teamInfo,,"Tampa, Florida",https://www.instagram.com/tampatempest/,,https://twitter.com/tempesttampa
6,Fabiano Almeida
00,Ronald Peterman
02,Matt Ryan
03,Jason Cento
04,Alex Bullock
07,Saral Kumar
08,Evan Ihlenfeldt
10,Nayan Patel
11,Mohammed Judeh
15,Donovan Murphy
21,Trevorn Hodge
22,Kyle Krukowski
23,Tyler Hebert
24,Nicholas Stambo
27,Darren Bradley
29,Andy Chiang
29,Shane Voshell
31,Nick  Joyce
34,Tucker Berens 
42,Russell Paul
53,Timothy Chafin
53,Scott DeLuca
67,Jason Kirkpatrick
69,Matthew Walker
88,Delton Howard
99,Thomas Theunissen
b,r,e,a,k
s,t,a,g,e,s
brackets,Saturday Prelims A1
bracket,Mini Bracket A
Ring of Fire,Right Coast,13,4,"10/02/2021, 11:50",Mini A Finals,Final
Ring of Fire,Swarm,13,2,"10/02/2021, 10:10",Mini A Semis,Final
Rush Hour ATL,Right Coast,9,10,"10/02/2021, 10:10",Mini A Semis,Final
b,r,e,a,k
brackets,Saturday Prelims A2
bracket,Mini Bracket A
Swarm,Rush Hour ATL,12,8,"10/02/2021, 11:50",Mini A 3rd place,Final
b,r,e,a,k
pools,Saturday Prelims B
pool,Pool B
Chain Lightning,UpRoar,13,4,"10/02/2021, 08:30",Pool B,Final
Lost Boys,UpRoar,13,6,"10/02/2021, 10:10",Pool B,Final
Chain Lightning,Lost Boys,13,7,"10/02/2021, 11:50",Pool B,Final
b,r,e,a,k
brackets,Saturday Prelims C1
bracket,Mini Bracket C
Tanasi,El Niño,11,9,"10/02/2021, 11:50",Mini C Finals,Final
Tanasi,Barefoot,13,7,"10/02/2021, 10:10",Mini C Semis,Final
El Niño,Bash Bros,11,6,"10/02/2021, 10:10",Mini C Semis,Final
b,r,e,a,k
brackets,Saturday Prelims C2
bracket,Mini Bracket C
Barefoot,Bash Bros,12,11,"10/02/2021, 11:50",Mini C 3rd place,Final
b,r,e,a,k
brackets,Saturday Prelims D1
bracket,Mini Bracket D
The Expendables,Raleigh-Durham United,11,13,"10/02/2021, 11:50",Mini D Finals,Final
The Expendables,Space Cowboys,13,11,"10/02/2021, 10:10",Mini D Semis,Final
Raleigh-Durham United,Tampa Tempest,13,3,"10/02/2021, 10:10",Mini D Semis,Final
b,r,e,a,k
brackets,Saturday Prelims D2
bracket,Mini Bracket D
Space Cowboys,Tampa Tempest,10,11,"10/02/2021, 11:50",Mini D 3rd place,Final
b,r,e,a,k
brackets,2nd Place Bracket
bracket,2nd Place Bracket
Chain Lightning,Tanasi,13,6,"10/03/2021, 12:40",Game to Go,Final
Raleigh-Durham United,Tanasi,9,12,"10/03/2021, 10:50",Backdoor semis,Final
Raleigh-Durham United,Lost Boys,13,7,"10/03/2021, 09:00",Backdoor quarters,Final
Tanasi,The Expendables,12,10,"10/03/2021, 09:00",Backdoor quarters,Final
El Niño,Lost Boys,9,13,"10/02/2021, 15:30",Backdoor pre-quarters,Final
Right Coast,The Expendables,9,13,"10/02/2021, 15:30",Backdoor pre-quarters,Final
El Niño,Tampa Tempest,12,8,"10/02/2021, 13:40",2v3 crossovers,Final
Swarm,Lost Boys,8,13,"10/02/2021, 13:40",2v3 crossovers,Final
Right Coast,UpRoar,13,11,"10/02/2021, 13:40",2v3 crossovers,Final
Barefoot,The Expendables,8,13,"10/02/2021, 13:40",2v3 crossovers,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Ring of Fire,Chain Lightning,13,11,"10/03/2021, 10:50",Finals,Final
Ring of Fire,Raleigh-Durham United,13,4,"10/02/2021, 13:40",Semis,Final
Chain Lightning,Tanasi,13,10,"10/02/2021, 13:40",Semis,Final
b,r,e,a,k
brackets,Consolations 5th-12th brackets
bracket,9th place bracket
Rush Hour ATL,Space Cowboys,13,9,"10/03/2021, 10:50",9th finals,Final
Rush Hour ATL,Swarm,13,8,"10/03/2021, 09:00",9th Semis,Final
UpRoar,Space Cowboys,7,13,"10/03/2021, 09:00",9th Semis,Final
Tampa Tempest,Rush Hour ATL,6,13,"10/02/2021, 15:30",9th Quarters,Final
Swarm,Bash Bros,13,2,"10/02/2021, 15:30",9th Quarters,Final
Barefoot,Space Cowboys,9,10,"10/02/2021, 15:30",9th Quarters,Final
bracket,11th place bracket
Swarm,UpRoar,7,13,"10/03/2021, 10:50",11th finals,Final
bracket,7th place bracket
El Niño,Right Coast,13,7,"10/03/2021, 09:00",7th place finals,Final
bracket,5th place optional game
Lost Boys,The Expendables,10,11,"10/03/2021, 10:50",5th place finals,Final
b,r,e,a,k
pools,Consolations 13th-15th pool
pool,Pool C
Bash Bros,Barefoot,F,W,"10/03/2021, 09:00",Pool C,Final
Tampa Tempest,Barefoot,7,11,"10/03/2021, 10:50",Pool C,Final
Tampa Tempest,Bash Bros,W,F,"10/03/2021, 12:40",Pool C,Final
b,r,e,a,k
