Stanford Open 2024,College - Men ,3,2,2024
Stevinson,CA,2024-02-03,2024-02-04
https://play.usaultimate.org/events/Stanford-Open-2024/schedule/Men/CollegeMen/
Gold Rush,1
27,Jonah Engelmann
31,Will DeGasparis
33,Ambrose Vellequette
37,Holden Abramonte
44,Brendan Jones
88,Declan Lavery
98,David Rogers
b,r,e,a,k
Loyola Marymount,9
teamInfo,Lions,"Los Angeles, California",,https://www.facebook.com/groups/1146553248769383/,https://twitter.com/UltimateLMU
0,Frankie Schulz
0,Liam Woodruff
0,Miles Marti
7,Joseph Rhee
8,Kellen Hill
9,Jacob Walter
13,Ben Johnson
13,Paul Callahan
20,Joshua Amador
21,Albert Malhotra
22,Connor Cioth
23,Jake Cousino
28,William  Preucil 
51,Nathan Kuczmarski
66,William Simon
67,Lucas Miller
77,Tony Zheng
95,Julius Rockczar
b,r,e,a,k
Chico State,16
teamInfo,Chico State,"Chico, California",,,
0,Bodhi O'Brien
0,Dane Wright
0,Elliott Schwarz
0,Erik Stenstrom
0,Garrett Holt
0,Alexander Ballou
0,Kaleb Paige
0,Marco Rice
0,Milton Diaz
0,Noa Grossi
0,Reilly Bernal
0,Ryan Niizawa
0,Ryan Branca
5,Kyle Miller
21,Benjamin Laplante
66,Spencer Carr
83,Gavin Tyler Tilles
85,Benjamin Santiago-Kemp
88,Owen Onatanian
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Gold Rush,Oregon State (B),13,5,"02/03/2024, 08:00",Pool A,Final
San Jose State,Portland,7,9,"02/03/2024, 08:00",Pool A,Final
Gold Rush,San Jose State,0,0,"02/03/2024, 09:30",Pool A,Scheduled
Claremont,Portland,0,0,"02/03/2024, 09:30",Pool A,Scheduled
Portland,Oregon State (B),0,0,"02/03/2024, 11:00",Pool A,Scheduled
Claremont,San Jose State,0,0,"02/03/2024, 11:00",Pool A,Scheduled
Gold Rush,Portland,0,0,"02/03/2024, 12:30",Pool A,Scheduled
Claremont,Oregon State (B),0,0,"02/03/2024, 12:30",Pool A,Scheduled
Gold Rush,Claremont,0,0,"02/03/2024, 14:00",Pool A,Scheduled
San Jose State,Oregon State (B),0,0,"02/03/2024, 14:00",Pool A,Scheduled
pool,Pool B
Seven Hills Bx,Puget Sound,13,4,"02/03/2024, 08:00",Pool B,Final
Washington (B),Cal State-Long Beach,13,8,"02/03/2024, 08:00",Pool B,Final
Seven Hills Bx,California-Santa Cruz (B),0,0,"02/03/2024, 09:30",Pool B,Scheduled
Puget Sound,Cal State-Long Beach,0,0,"02/03/2024, 09:30",Pool B,Scheduled
Cal State-Long Beach,California-Santa Cruz (B),0,0,"02/03/2024, 11:00",Pool B,Scheduled
Washington (B),Puget Sound,0,0,"02/03/2024, 11:00",Pool B,Scheduled
Seven Hills Bx,Cal State-Long Beach,0,0,"02/03/2024, 12:30",Pool B,Scheduled
Washington (B),California-Santa Cruz (B),0,0,"02/03/2024, 12:30",Pool B,Scheduled
Seven Hills Bx,Washington (B),0,0,"02/03/2024, 14:00",Pool B,Scheduled
Puget Sound,California-Santa Cruz (B),0,0,"02/03/2024, 14:00",Pool B,Scheduled
pool,Pool C
Occidental,Cal Poly-Humboldt,13,8,"02/03/2024, 08:00",Pool C,Final
Cal Poly-SLO (B),California (B),11,9,"02/03/2024, 08:00",Pool C,Final
Cal Poly-SLO (B),Cal Poly-Humboldt,0,0,"02/03/2024, 11:00",Pool C,Scheduled
Occidental,California (B),0,0,"02/03/2024, 11:00",Pool C,Scheduled
Cal Poly-Humboldt,California (B),0,0,"02/03/2024, 12:30",Pool C,Scheduled
Cal Poly-SLO (B),Occidental,0,0,"02/03/2024, 12:30",Pool C,Scheduled
pool,Pool D
Santa Clara,Loyola Marymount,0,0,"02/03/2024, 08:00",Pool D,Scheduled
California-Davis,Chico State,13,2,"02/03/2024, 08:00",Pool D,Scheduled
Loyola Marymount,Chico State,0,0,"02/03/2024, 09:30",Pool D,Scheduled
California-Davis,Santa Clara,0,0,"02/03/2024, 09:30",Pool D,Scheduled
California-Davis,Loyola Marymount,0,0,"02/03/2024, 11:00",Pool D,Scheduled
Santa Clara,Chico State,0,0,"02/03/2024, 11:00",Pool D,Scheduled
b,r,e,a,k
brackets,Bracket Play
bracket,Championship 
bracket,3rd Place
bracket,5th Place
bracket,7th Place
bracket,9th Place
bracket,11th Place
bracket,13th Place
bracket,15th Place
bracket,17th Place
b,r,e,a,k
