Great Lakes D-I College Men's Regionals,College - Men ,27,4,2024
Zeeland,MI,2024-04-27,2024-04-28
https://play.usaultimate.org/events/Great-Lakes-D-I-College-Mens-Regionals-2024/schedule/Men/CollegeMen/
Illinois,1
teamInfo,HoosierMama?s,"Bloomington, Indiana",hoosiermamas.org,https://www.facebook.com/HoosierMamas/,https://twitter.com/Hoosier_Mamas?lang=en
00,Camilo Santiago
00,Charlie Riedel
00,Collin Rassel
00,Conner Blalack
00,David Woods
00,Ethan Meyers
00,Ethan Uribe
00,Ethan  Teske
00,Evan Taylor
00,George Peterson
00,Hayden Bosch
00,Jack Galle
00,Jacob Moore
00,Jeremy Weese
00,John Tyndall
00,Jonathan Gerth
00,Nicky Walker
00,Noah Rowland 
00,Rowland Sorrick
00,Sam Berebitsky
00,Will Quigley
00,Aidan Ball
06,Andrew Vetne
b,r,e,a,k
Ball State,11
teamInfo,Cardinals,"Muncie, Indiana",,,
00,Adam Boesen
00,David Masengale
00,Deeleiloh Allie
00,dylan barkey
00,Elijah Whitman
00,Ellis Reed
00,Ethan Elliott-Halinski
00,Jack Eads
00,jagger Orick 
00,Luke Titus
00,Sam Marshall
00,Tyler Robertson
00,Wade Schaeffer
00,William Sullivan
03,Trey  Koch 
11,Kelsen Bartley
21,Nick Galbreath
43,Nathan Stippler
69,Harper Dotas
72,Gavin Grossman
b,r,e,a,k
Michigan (B),14
teamInfo,Michigan-B,"Ann Arbor, Michigan",http://www.magnumultimate.com,,https://x.com/bagnUMultimate?s=20
00,Corbin Fleming-Dittenber 
00,Erich Zhang
00,William Bushey
02,Will Dulaney
04,Kyle Fischer
06,Jiayou Liu
07,Aidan Nakhleh
08,Chad Cao
10,Lucas Reading Sunol
13,Marcus Schubert
16,Alejandro Roa Quintero
17,Kenneth Pontikes
22,Jonah Farabi
23,Jonah Traub 
30,Leo Huyghe
33,Jake Rivett
37,Jack Miller
42,Chris van Lent
55,Alexander He
56,Nathan Mills
57,Roger Stobert
68,Jerry Mao
69,Troy Cramer
88,Mekhi PhillipsRincher
b,r,e,a,k
Michigan State,3
teamInfo,ARC,"East Lansing, Michigan",,https://www.facebook.com/michiganstateultimate,https://www.twitter.com/MSUARCUltimate
0,Jaden Hanold
00,James Kloss
00,Joey Fishkind
00,Joseph Flynn
00,Joseph Sogno
00,Luke Hartfield
00,Marc Canellas-Salles
00,Matthew Martell
00,Aiden Rudy
00,Ben Plumstead
00,Connor Griffin
00,David Zoldan
00,Dean Golminas
00,Noah Sawyer
00,Sam Metz
00,Samuel Pierson
00,Tyler Paparella
00,Will Zamsky
00,Zac Hintz
00,Elton Howard
00,Hayden Monk
00,Jack Bembenek
32,Elliot Davis
44,Matthew Chamberlain
b,r,e,a,k
Chicago,6
teamInfo,Fission,"Chicago, Illinois",http://junkultimate.weebly.com/,https://www.facebook.com/UChicagoUltimate/,https://twitter.com/UChi_Fission
0,Aiden Tandiono
0,Ben Brink
0,Caleb Friedman
0,Christopher Nowak
0,Cory McCormack
0,Derek Hsu
0,Emmanuel Abayev
0,Gabriel Chalker
0,Gavin Kelly
0,Han Zhang
0,Joseph Kaplan
0,Malank Goel
0,Matthew Wieseltier
0,Michael Hlavaty
0,Nathaniel Alden
0,Quinn Hauck
0,Tom Dupor
0,Trevor Ung
0,Tuhin Ghosh
0,Josh Edington
5,Peter Deckerman
6,Jocelyn Sun
00,Joseph Sifakis
00,Leon Tan
10,Eliot Lajaunie
11,Daniel Ruskay-Kidd
13,Dylan Zhou
18,Dale Decatur
28,Grant Harris
b,r,e,a,k
Grand Valley,10
teamInfo,Lakers,"Allendale, Michigan",,,
coaches,Alex Bertoia
01,Garrett McFarlane
02,Alec Detzel
03,Blake Baumann
04,Gabe Ecenbarger
06,Jordan Gabrielse
07,Caleb Westhouse
08,Elijah Ernst
12,Jacob Timmer
13,Andreas Hardgrave
15,Zachary Veenstra
16,George Sipiora
17,Grant Bush
18,Malachi Neil
19,Max Mensik
22,Harrison Smith
26,Dennis Rennells
35,Benjamin Martinek
58,Todd Leatherman
69,Isaac Hagedorn
b,r,e,a,k
Michigan State (B),15
teamInfo,Riot Control,"East Lansing, Michigan",,,
0,Ruggero Soto-Ricci
1,Owen Somerville
2,Hung Nguyen
7,Shawn Weng
9,Alexander Nessel
10,Langston King
11,Ethan Fox
12,Benjamin Cys
13,Danny Wojda
14,Lucas Venegas Cabrera
17,Grant Males
18,Tristan Bakker
20,Kamden Walworth
21,Chris Sellers
22,Ryan Schewe
24,Landon Gardella
36,Eric Adler
50,Grant Davis
54,Matthew Peña
64,Cameron Dick
65,Noah Greenberg
79,Henry Holcomb
81,Finn Weinstein
87,Naythan McKuras
90,Ryan Courtney
b,r,e,a,k
Purdue,4
teamInfo,Undue Ultimate,"West Lafayette, Indiana",https://purduemensultimate.wordpress.com/2016/05/28/about-undue-ultimate/,https://www.facebook.com/pages/Purdue-Ultimate-Frisbee/128269583915564,https://twitter.com/UndueUltimate
00,Aidan Broy
00,Alan Chi
00,Alex Kelley
00,Andrew Sin
00,Benjamin Spergel
00,Chase Fehrenbacher
00,Christiaan Sengers
00,Cian Flaherty
00,Daniel Kelley
00,Elijah Gornik
00,John Hanish
00,John Snitzer
00,Jonathan Jackson
00,Kevin Asaro
00,Kole Pempek
00,Logan Williams
00,Matthew Imm
00,Nickolas Azanov
00,Owen Edwards
00,Rohit Aralikar
00,Samuel Bourne
00,Scott Gilden
00,Spencer Walsh
00,William Lilegdon
00,Zhizhen Zhou
13,Eric Palia
76,Chandler Moy
b,r,e,a,k
Notre Dame,9
teamInfo,Papal Rage,"Notre Dame, Indiana",https://ndultimate.wordpress.com/,,@ndultimate
00,Augustine Hauge
00,Henry Lytle
00,Michael Rauch
02,Tanner Filion
03,Colin Knapp
04,Sean Miranda
05,Zachary Koh
06,Brian Wagner
07,London Williams
08,Patrick Schwartz
09,William Theisen
11,Daniel Harrison
12,Luke Brennan
13,Frazier Dougherty
14,Carson Nickel
15,Mark Valenzuela
16,Andrew Canzano
19,Jacob Hepler
22,Jack Cataldo
24,James Longhurst
25,Alfredo Huete
28,Marc Chahoud
50,Colin Stevens
59,Camden Wozniak
78,Kevin Wakakuwa
99,Zeping Chen
b,r,e,a,k
Northwestern,5
teamInfo,Lake Effect,"Evanston, Illinois",https://www.nutultimate.com,,
0,Hari Maheswaran
0,Nathan Rachwalski
1,Isidore Donnelly
2,Bernie Waldman
4,Kevin Su
5,Gabriel Bassin
6,Andrew Shen
7,Jett House
8,Ian Falck
11,Jordan Bass
13,Jack Daenzer
20,Kevin Ji
21,Benjamin  Fried
22,Charlie Geci
24,Ayush Gaggar
35,Albert Luo
37,Ezra Danzig
42,Ezra Rich
44,Ethan Less
55,Jack Peckham
68,Emmett Broustis 
88,Elijah Hansen
97,Julian Baldwin
b,r,e,a,k
Purdue (B),16
teamInfo,CTRL-Z,"West Lafayette, Indiana",,,
0,Jacob Davis
0,Justin Tate
0,Kelly Rezek-Te Winkle
0,Matai Loveman
0,Michael Martin
0,Noah Burkhardt
0,Omar Mostafa
0,Robert Neitzke
0,Alex Kovach
0,Benjamin  Whitehill
0,Caden Jarausch
0,Grant White
0,Sam Singh
0,Ty Banks
0,Vladislav Kharitonov
0,Will Maciejewski
0,William Wahlberg
9,Samuel Yager
14,Diego Morales
24,Daniel Spillane
25,Henry Cooper
69,Sai Girap
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Illinois,Loyola-Chicago,12,5,"04/27/2024, 10:00",Pool A,Final
Kentucky,Southern Illinois-Edwardsville,8,9,"04/27/2024, 10:00",Pool A,Final
Illinois,Southern Illinois-Edwardsville,15,6,"04/27/2024, 12:00",Pool A,Final
Kentucky,Loyola-Chicago,10,9,"04/27/2024, 12:00",Pool A,Final
Illinois,Kentucky,15,7,"04/27/2024, 14:00",Pool A,Final
Loyola-Chicago,Southern Illinois-Edwardsville,4,13,"04/27/2024, 14:00",Pool A,Final
pool,Pool B
Michigan,Ball State,15,2,"04/27/2024, 10:00",Pool B,Final
Indiana,Michigan (B),14,7,"04/27/2024, 10:00",Pool B,Final
Michigan,Michigan (B),15,3,"04/27/2024, 12:00",Pool B,Final
Indiana,Ball State,15,5,"04/27/2024, 12:00",Pool B,Final
Michigan,Indiana,15,7,"04/27/2024, 14:00",Pool B,Final
Ball State,Michigan (B),13,10,"04/27/2024, 14:00",Pool B,Final
pool,Pool C
Michigan State,Grand Valley,13,10,"04/27/2024, 10:00",Pool C,Final
Chicago,Michigan State (B),15,0,"04/27/2024, 10:00",Pool C,Final
Michigan State,Michigan State (B),15,1,"04/27/2024, 12:00",Pool C,Final
Chicago,Grand Valley,14,8,"04/27/2024, 12:00",Pool C,Final
Michigan State,Chicago,11,8,"04/27/2024, 14:00",Pool C,Final
Grand Valley,Michigan State (B),15,1,"04/27/2024, 14:00",Pool C,Final
pool,Pool D
Purdue,Notre Dame,13,11,"04/27/2024, 10:00",Pool D,Final
Northwestern,Purdue (B),14,10,"04/27/2024, 10:00",Pool D,Final
Purdue,Purdue (B),15,1,"04/27/2024, 12:00",Pool D,Final
Northwestern,Notre Dame,12,15,"04/27/2024, 12:00",Pool D,Final
Purdue,Northwestern,15,6,"04/27/2024, 14:00",Pool D,Final
Notre Dame,Purdue (B),15,3,"04/27/2024, 14:00",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Indiana,Grand Valley,0,0,"04/27/2024, 16:00",Play-In,In Progress
Chicago,Ball State,0,0,"04/27/2024, 16:00",Play-In,In Progress
Kentucky,Notre Dame,0,0,"04/27/2024, 16:00",Play-In,In Progress
Northwestern,Southern Illinois-Edwardsville,0,0,"04/27/2024, 16:00",Play-In,In Progress
bracket,3rd Place
bracket,5th Place Bracket
bracket,7th Place
b,r,e,a,k
brackets,9th Place Consolation Bracket
bracket,9th Place Bracket
bracket,11th Place
bracket,13th Place Bracket
bracket,15th Place
b,r,e,a,k
