Revolution 2024,Club - Mixed ,6,7,2024
San Francisco,CA,2024-07-06,2024-07-07
https://play.usaultimate.org/events/Revolution-2024/schedule/Mixed/Club-Mixed
BW Ultimate,1
teamInfo,,"Culver City, California",,,
0,Baker Sharp
0,Alison Elliott
0,Joseph Giampaoli
0,Manasi Deshpande
0,Sadie Abernathy
0,Shirley Zhang
1,Luke Hart-Moynihan
14,Mora Camplair
15,Bryan  Cloutier
16,Michael Hayden
18,Christopher Moetell
23,Elissa Diaz
25,Devon Stuart
26,Alex Roper
30,Andrew Chen
51,Ethan Barron
88,Lauren Nyczak
b,r,e,a,k
Moonlight Ultimate,16
teamInfo,,"San Jose, California",https://discord.com/invite/8swKNEGjpt,https://www.facebook.com/MoonlightUltimate,
b,r,e,a,k
Spoiler Alert,11
teamInfo,,"Los Angeles, California",,https://www.facebook.com/SpoilerAlertUltimate/,@Spoileralertult
0,Alexandra Scholefield
0,Alison Yoho
0,Andrew Whittle
0,Cynthia Love
0,DEREK LAY
0,Drew Conley
0,Josiah Gamble
0,Katrina Rizzuto
0,Megan  Stock
0,Megan Lannert
0,Samantha Huddleston
0,Stephen Nachreiner
0,Sulekha Kishore
04,Theodore Lannert
11,Carley Blayney
14,Anthony Paoli
17,Benjamin Aiga
18,Patrick Miller
23,Sara Herta
27,Mei-Lien Converse
57,Kyle Stinson
88,Jason Paul
b,r,e,a,k
Firefly,12
teamInfo,,"San Francisco, California",www.fireflyultimate.com,facebook.com/fireflydisc,
coaches,Nicholas Davis,Chris Godek
0,Aaron Chin
0,Abe McKay
0,Alexander Tovar
0,Alisa Yu
0,Amanda Cornfeld
0,Brenton Kimmi
0,Caleb Kumar
0,David Adams
0,Ivana Monson
0,Jessica Beering
0,Karek Walker
0,Lydia Auch
0,Malachi Wickman
0,Marcela Vazquez
0,Zachary Ormsby
0,Zoe Zaorski
5,Suk lyn Lim
17,Helinna Leone
19,Edward Cao
23,Eric Ma
23,Veera Sethuraman
37,Frances Hamkins-Indik
42,Bob Madden
69,Stephen Crowe
b,r,e,a,k
Quails,17
teamInfo,,"Sacramento , California",www.sactowndisc.club,,
0,Alexander Sood
0,Ashish Shenoy
0,Ben Driscoll
0,Chamberlain Segrest
0,Darby Maguire
0,Emi Perry
0,Erika Sanchez-Chopitea
0,Ezekiel Dohmen
0,Grace Horne
0,Jacob Ode
0,Jennie Harkness
0,Joseph Marcus
0,Karols Ginting
0,Katie Wikler
0,Kristen Ritchey
0,Melanie Tieu
8,Aaron Fleisch
9,Matthew Luk
17,Sean Shields
55,Joseph Mirabile
72,Zaray Buenrostro
b,r,e,a,k
Birds of Paradise,18
teamInfo,,"San Diego, California",,https://www.facebook.com/BirdsUltimateSD/,
0,Aaron Zeng
0,Alejandra Garcia
0,Ari Berk
0,Ashley Shen
0,Clayton Nagle
0,Iris Kubler-Dudgeon
0,Jamie Hong
0,Jasmine Allred
0,Jing Cheng
0,Catherine Paulson
0,Justen Hitchcock
0,Mackenzie Wong
0,Shawn Olsavsky
0,Steven Cheng
0,Thomas Gerhart
0,Tori Buss
0,Trina Elley Javellana
14,John Geller
15,Lynette Nguyen
17,Christille Jave Vega
19,Brandon Segraves
24,Andrew Wells
27,Landon Block
33,Shih-Ting Huang
36,Sumon Chattopadhyay
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
BW Ultimate,Robot,0,0,"07/06/2024, 10:35",Pool A,Scheduled
American Barbecue,Sego,0,0,"07/06/2024, 10:35",Pool A,Scheduled
BW Ultimate,Sego,0,0,"07/06/2024, 12:10",Pool A,Scheduled
American Barbecue,Robot,0,0,"07/06/2024, 12:10",Pool A,Scheduled
BW Ultimate,American Barbecue,0,0,"07/06/2024, 13:45",Pool A,Scheduled
Robot,Sego,0,0,"07/06/2024, 13:45",Pool A,Scheduled
pool,Pool B
California Burrito,Cutthroat,0,0,"07/06/2024, 10:35",Pool B,Scheduled
Donuts,Mango,0,0,"07/06/2024, 10:35",Pool B,Scheduled
California Burrito,Mango,0,0,"07/06/2024, 12:10",Pool B,Scheduled
Donuts,Cutthroat,0,0,"07/06/2024, 12:10",Pool B,Scheduled
California Burrito,Donuts,0,0,"07/06/2024, 13:45",Pool B,Scheduled
Cutthroat,Mango,0,0,"07/06/2024, 13:45",Pool B,Scheduled
pool,Pool C
Igneous Ultimate,VU,0,0,"07/06/2024, 09:00",Pool C,Scheduled
Igneous Ultimate,Air Throwmads,0,0,"07/06/2024, 10:35",Pool C,Scheduled
VU,Air Throwmads,0,0,"07/06/2024, 12:10",Pool C,Scheduled
pool,Pool D
Octonauts,Moonlight Ultimate,0,0,"07/06/2024, 09:00",Pool D,Scheduled
DR,Moonlight Ultimate,0,0,"07/06/2024, 10:35",Pool D,Scheduled
DR,Octonauts,0,0,"07/06/2024, 12:10",Pool D,Scheduled
pool,Pool E
Spoiler Alert,Quails,0,0,"07/06/2024, 10:35",Pool E,Scheduled
Firefly,Birds of Paradise,0,0,"07/06/2024, 10:35",Pool E,Scheduled
Spoiler Alert,Birds of Paradise,0,0,"07/06/2024, 12:10",Pool E,Scheduled
Firefly,Quails,0,0,"07/06/2024, 12:10",Pool E,Scheduled
Spoiler Alert,Firefly,0,0,"07/06/2024, 13:45",Pool E,Scheduled
Quails,Birds of Paradise,0,0,"07/06/2024, 13:45",Pool E,Scheduled
b,r,e,a,k
clusters,Crossovers
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
bracket,3rd Place
bracket,5th Place
bracket,7th Place
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place
bracket,11th Place 
bracket,13th Place 
bracket,15th Place 
bracket,17th Place
b,r,e,a,k
