2024 Southeast Men's Regional Championship,Club - Men ,21,9,2024
Bermuda Run,NC,2024-09-21,2024-09-22
https://play.usaultimate.org/events/2024-Southeast-Mens-Regional-Championship/schedule/Men/Club-Men/
Ring of Fire,1
teamInfo,,"Atlanta, Georgia",,https://www.facebook.com/pages/Chain-Lightning-Ultimate/188026257831,https://twitter.com/ATLchain
4,Austin Taylor
01,Brett Hulsmeyer
02,Andrew Thai
03,Patrick Earles
05,Michael Fairley
06,Aidan Downey
07,Parker Bray
08,Lukas McClamrock
09,Kenni Taylor
10,Max Thorne
11,Tyler Randall
16,Edward Ramsey
17,Hayden Austin-Knab
18,Adam Miller
19,Tannon Hedges
20,Jeremy Langdon
21,Coleman Tappero
22,Tanner Robinson
23,Francisco Fernandez
24,Nikos Verlenden
34,Bradley Fleming
36,Nick Spiva
44,Mike Kobyra
55,Chris Youngblood
83,Michael-Angelo Humm
87,Trenton Spinks
b,r,e,a,k
Boneyard,7
teamInfo,,"Triangle, North Carolina",,https://www.facebook.com/boneyardultimate,https://twitter.com/boneyardUlt
0,Roosevelt Ward
00,Shane Sisco
00,Taylor Pope
00,Tim Monahan
00,Tristan Green
00,Casey Degnan
00,David Snoke
00,Aaron Saylor
00,Ben Dieter
00,Brian Casey
00,Eric Martin
00,George Lampron
00,Jared Inselmann
00,Jarrett Bowen
00,Joey Cretella
00,Josh Berkowitz
00,Josh Mullen
00,Joshua Hartzog
00,Matt Zumbrum
00,Matthew Thomas
00,Michael Pannone
00,Michael Panna
00,Noah Saul
17,Brian Clark
66,Jeff Loperfido
84,David Richardson
b,r,e,a,k
Second Nature,13
teamInfo,,"Huntsville, Alabama",,,
0,Benjamin Forton
0,Gideon Miller
0,Horace Wilson
0,Jason Tran
0,Jere Goldsmith
0,Joshua Kolby
0,Matthew Street
0,Reyn Pilgrim
0,Zach Wanger
3,Corey Sweet
4,Riley Bong
5,Steven Deng
8,Logan Ashwell
13,Peter Masaki
14,Tanner Coleman
15,Dominic Kenyon
18,Alec Minnicks
21,Wesley Seat
25,Jake Brouwer
34,John Shields
38,William Cox
54,Riley Park
54,Elijah McKinley
55,Aaron Aberle
78,Gunnar Etzkorn
99,Colby Bong
b,r,e,a,k
Cookie Mon$terz,12
teamInfo,,"$, Mississippi",,,
0,Andrew Ohrberg
0,Noah Carpenter
1,Vivesh Patel
1,Will Kalahar
2,Drake Robertson
5,Daniel Grisham
7,Daniel Jones
7,Ethan Kilpatrick
7,Peyton Raggio
12,Grant Houston
12,Luke Hatcher
12,Aaliyan Mohammed 
14,Eli Justice
15,Noah Windham
16,Braxton  Whitt
16,William Clark
18,Trey  Leonard
18,Daniel Lancaster
22,Nate Thomas
33,Drew Laird
34,Timothy Griffith
44,Joel Salazar
99,Julian McMillian
b,r,e,a,k
Raleigh-Durham United,3
teamInfo,,"Raleigh, North Carolina",https://www.instagram.com/rduultimate/,,https://twitter.com/rduultimate
0,Matthew Nightingale
1,Terrence Mitchell
2,Bailey Laberteaux
3,Myles Grady
4,Houston Parks
5,Samuel Good
6,Henri Lessard
7,Colin White
8,Cam Bellando
10,Jacob Louie
12,William Coffin
13,John Wellers
14,Brayden Morrison
21,Caleb Louie
22,Angelo Olcese
22,Luke Duan
23,Gavin Russell
34,Marcus Rovner
41,Luke Huffman
42,Christopher Nelson
44,Dillon Bruer
49,Daniel Ferriter
71,Clint McSherry
72,Nathaniel Donaher
73,Andrew Vande Berg
91,Noah Krumme
b,r,e,a,k
Tanasi,9
teamInfo,,"Tennessee, Tennessee",,,https://twitter.com/TanasiUltimate
0,Alex Stevenson
0,Braden Beebe
0,Jahmes Morgan
0,Jeffrey Flanagan
0,Neil Taylor
0,Philip Throckmorton
0,Pryce Bevins
0,Steele Davies
0,Timothy Lumsdaine
3,Jared Beazley
6,Ethan Phillips
7,Daniel Robinson
10,Jackson Bushore
10,Zeke Plewniak
11,Liam Savona
11,Marshall  Hodges 
14,Colin Flowers
15,Jack Wellons
18,Yanni Killebrew
20,David Wilkins
21,Carson Chamberlain
28,Charles Cianciolo
29,Hayden Chappel
37,David Evans
80,William Fleming
85,Aaron Wilder
b,r,e,a,k
Alliance,6
teamInfo,,"Alabama, Alabama",,,
1,Shane  Denman 
3,Tyler  Menix
4,James  Poe
5,Cam Copeland
7,Dustin Register
10,Noah Runyan
11,Joseph Sucgang
12,Josh Bowers
12,Jeffrey Martin
13,Noah Angles
14,Brandon Beers
17,Evan Marshall
18,Ron Warren
20,Mitchell Parker
21,Matthew Green
22,Isaiah Rutledge
23,Joshua Thomas
25,Blake Stratton
30,David Allen
33,Martin Newman
42,Fletcher Hare
49,Grayson Smith
69,Caleb Byers
80,Jake Givens
83,Ryan Landry
95,Zachary Powers
b,r,e,a,k
Bloom,16
teamInfo,,"Orlando, Florida",,,
01,Xavier Muzquiz
03,Tim Lootens
04,Brandon Dessingue
05,Michael Mills
06,cole koffarnus
08,TIMOTHY LEE
09,Jacob Radford
10,Adrian Arreaza
12,Travis Catron
13,Kyle O'Connor
14,Carson  Wright
15,Tyler  Leeds
18,Andrew Cox
20,Sean Peskin
22,Scott Landers
23,Aidan Earnest
28,Trevyr Massey
30,Frank Noboa
46,Robert Jones
49,Cameron Genest
53,Wazan Hoshino
55,Bradley  Paul
77,Tom Schenk
81,Eric Kieffer
88,Matt Chandler
99,Christopher Patrick
b,r,e,a,k
Florida Untied,4
teamInfo,,"Ocala, Florida",https://www.instagram.com/untiedultimate?igsh=MWVmYTJtcDJ2YjB4cQ==,,https://twitter.com/UntiedUltimate
0,David Witte
02,William OBryan
04,August Specht
05,Justin Montalbano
06,Alex Nelson
07,Ryan Hiser
08,Jaime Perez
09,Clayton Partlow
10,Michael Arbutine
11,Jacob Clary
12,Jarett Cox
13,Bhagya Patel
14,Anthony Lopez
15,Dustin Travaglini
20,Joshua Webb
22,Joel Fromkin
23,Logan Diehl
24,Stephen Krajeski
25,Unmil Patel
28,Ryan Thomas
54,Jack Clydesdale
55,Moses Jaffa
87,Lucas de Almeida Neves Aguiar
88,Luke Alexander
91,Garrett Knobel
99,Samson Bienstock
b,r,e,a,k
Cash Crop 2,5
teamInfo,,"Chapel Hill, North Carolina",,,
0,Daniel Zhang
2,Samuel Redinbo
4,Alex Fiordalisi
6,Seth Fried
7,Eli Fried
8,Aiden Fields
9,Nathan Ludington
10,Watkins Parker
11,Reed Burkert
12,Bailey Roberts
13,Jack McCleary
14,Bodhi Harmony
15,John Laney
16,Brian Trowbridge
17,Wesley Britt
18,Jake Schwartz
19,Matthew Barcellos
22,Matti Lee
23,Ramzi Cope-Musleh
24,Kalen Morrison
25,Jayden Feagans
27,Jason Manning
34,Noah Bush
77,Daniel Zhu
87,Aaron Wei
88,Henry Chen
b,r,e,a,k
Little Red Wagon,10
teamInfo,,"Atlanta, Georgia",,,
0,Alex Winsness
0,Alex Liu
0,Andrew Chung
0,Cole Flournoy
0,Daniel Price
0,Ishaan Dave
0,Jacques Perivier
0,Jason Evans
0,Matthew Davidorf
0,Matthew Hardman
0,Michael Price
0,Victor Lesniewski
3,Matthew Knowles
7,Christopher Zuo
8,Samuel Munnis
10,Adam Burgess
12,Jeremy Sanders
13,Flavius Penescu
33,Devon Rogers
35,Drew Wentworth
39,Jarrett Swanson
42,Jon Fey
63,Zubair Abdulla
72,Rylan Gordon
81,Joseph Burns
91,Matthew Allan
b,r,e,a,k
Atlanta Arson,15
teamInfo,,"Atlanta, Georgia",,,https://twitter.com/atlantaarson
0,Caleb Yu
0,Carlo Vanni
0,Christian  Montufar
0,Elias Heanue
0,Evan Amon
0,Galen Ramsey
0,Garrett Pellan
0,Hamilton Mebius
0,Jaden Medley-Fowlkes
0,Lucas Kim
0,Maxwell Lopez
0,Samuel Diquattro
2,Krishan Chib
3,Harrison  Briggs 
4,Vinny Nguyen
4,Zephren Collinson
9,Foster Boales
11,Lee Phan
16,Tanjid Mitul
20,Dacree Harden
24,Elliott Park
29,Kai Diez
30,Austin Hegmon
66,Jaylon Boone
69,John Broling
73,Gabe Borda
b,r,e,a,k
s,t,a,g,e,s
pools,Clipped Pools
pool,Pool A
Ring of Fire,Hooch,13,7,"09/21/2024, 09:00",Pool A,Final
baNC,Lost Boys,12,11,"09/21/2024, 09:00",Pool A,Final
Ring of Fire,baNC,13,7,"09/21/2024, 11:00",Pool A,Final
Lost Boys,Hooch,6,13,"09/21/2024, 11:00",Pool A,Final
pool,Pool B
Chain Lightning,Second Nature,13,4,"09/21/2024, 09:00",Pool B,Final
Boneyard,Cookie Mon$terz,13,6,"09/21/2024, 09:00",Pool B,Final
Chain Lightning,Boneyard,13,11,"09/21/2024, 11:00",Pool B,Final
Cookie Mon$terz,Second Nature,11,13,"09/21/2024, 11:00",Pool B,Final
pool,Pool C
Raleigh-Durham United,Bloom,13,4,"09/21/2024, 09:00",Pool C,Final
Alliance,Tanasi,8,13,"09/21/2024, 09:00",Pool C,Final
Raleigh-Durham United,Tanasi,13,5,"09/21/2024, 11:00",Pool C,Final
Alliance,Bloom,13,11,"09/21/2024, 11:00",Pool C,Final
pool,Pool D
Florida Untied,Atlanta Arson,13,11,"09/21/2024, 09:00",Pool D,Final
Cash Crop 2,Little Red Wagon,13,8,"09/21/2024, 09:00",Pool D,Final
Florida Untied,Cash Crop 2,13,11,"09/21/2024, 11:00",Pool D,Final
Little Red Wagon,Atlanta Arson,12,11,"09/21/2024, 11:00",Pool D,Final
b,r,e,a,k
clusters,Saturday CrossOvers
cluster,Pool Reseeds
Ring of Fire,Raleigh-Durham United,15,6,"09/21/2024, 13:00",,Final
Chain Lightning,Florida Untied,15,5,"09/21/2024, 13:00",,Final
Hooch,Alliance,4,15,"09/21/2024, 13:00",,Final
Boneyard,Little Red Wagon,15,10,"09/21/2024, 13:00",,Final
Tanasi,baNC,8,15,"09/21/2024, 13:00",,Final
Cash Crop 2,Second Nature,15,5,"09/21/2024, 13:00",,Final
Lost Boys,Bloom,15,11,"09/21/2024, 13:00",,Final
Cookie Mon$terz,Atlanta Arson,11,15,"09/21/2024, 15:00",,Final
b,r,e,a,k
brackets,Brackets
bracket,Championship
Ring of Fire,Chain Lightning,0,0,"09/22/2024, 11:00",Finals,Scheduled
Ring of Fire,Florida Untied,15,8,"09/22/2024, 09:00",Semis,Final
Raleigh-Durham United,Chain Lightning,12,15,"09/22/2024, 09:00",Semis,Final
Ring of Fire,Boneyard,15,10,"09/21/2024, 15:00",Quarters,Final
baNC,Florida Untied,13,14,"09/21/2024, 15:00",Quarters,Final
Raleigh-Durham United,Cash Crop 2,15,12,"09/21/2024, 15:00",Quarters,Final
Alliance,Chain Lightning,1,15,"09/21/2024, 15:00",Quarters,Final
bracket,3rd - Game2Go
Boneyard,baNC,0,0,"09/22/2024, 09:00",3rd Quarters,Scheduled
Cash Crop 2,Alliance,0,0,"09/22/2024, 09:00",3rd Quarters,Scheduled
bracket,Select Flight Play-In - 7th
bracket,Placement - 9th
Little Red Wagon,Bloom,15,7,"09/22/2024, 09:00",9th quarters,Final
Atlanta Arson,Hooch,0,0,"09/22/2024, 09:00",9th quarters,Scheduled
Second Nature,Lost Boys,0,0,"09/22/2024, 09:00",9th quarters,Scheduled
Cookie Mon$terz,Tanasi,2,15,"09/22/2024, 09:00",9th quarters,Final
bracket,Placement - 11th
bracket,Placement - 13th
bracket,Placement - 15th
bracket,Select Flight Placement - 5th
b,r,e,a,k
