Commonwealth Cup Weekend 2 2024,College - Women ,24,2,2024
Martinsville and Axton,VA,2024-02-24,2024-02-25
https://play.usaultimate.org/events/Commonwealth-Cup-Weekend-2-2024/schedule/Women/CollegeWomen/
Tufts,1
0,Yvonne Trenh
3,Ai-Li Hollander
10,Wilhelmina Graff
13,Sungshil Johnson
15,Caroline Eldridge
19,Lila Brady
23,Mary He
b,r,e,a,k
Ohio State,11
teamInfo,Fever,"Columbus, Ohio",https://www.scarletfeverulti.com/,www.facebook.com/OSUFever,https://twitter.com/FeverUltimate
b,r,e,a,k
SUNY-Binghamton,3
teamInfo,Big Bear,"Binghamton , New York",https://bigbearultimate.wordpress.com/,https://www.facebook.com/binghamtonultimate/,
coaches,Danica Vasa
0,Sarah Landman
5,Melissa Torchio
b,r,e,a,k
Carnegie Mellon,4
teamInfo,Money Mellons,"Pittsburgh, Pennsylvania",https://www.andrew.cmu.edu/user/ultimate/mmellons/,,https://twitter.com/cmwultimate
0,Dorie Yue
0,Emily Ma
0,Eunbean Lee
0,Isabella Krisky
0,Karen Li
0,Kj Suggs
0,Maddie Philhower
0,Manaen Hu
0,Mia Sanborn
0,Michelle Bank
0,Sam Leong
0,Tippi Li
0,Tzushan Chu
4,Kailey Rugani
5,Audi Lin
09,Victoria Chen
24,Ella Maxwell
25,Chen Ye
36,Lucy Gunther
47,Kai Yen Amanda Koh
48,Marissa Ma
b,r,e,a,k
Michigan,9
teamInfo,Flywheel,"Ann Arbor, Michigan",http://www.flywheelultimate.com,,https://www.twitter.com/UMichFlywheel
coaches,Tracey Lo
0,Amiya Johnson
0,Breanna Campbell
0,Bria Stocker
0,Calliope Cutchins
0,Claire Mollen
0,Clara Moss
0,Constanza Capriles
0,Emma Scznsny
0,Erica Clarke
0,Gwendolyn McGuire
0,Rebecca Zhang
0,Reegan Ketzenberger
0,Sophia Harvey
0,Vivian Kaufman
0,Maeve Magura Comey
0,Meghan Quigley
0,Zejun Li
11,Wen Chi Kwok
13,Celia Flory
15,Emma Remien
22,Charlotte Andreasen
23,Rachel Barkan
44,Lauren Moore
77,Katrina McGuire
b,r,e,a,k
North Carolina State,10
teamInfo,Jaga Monsta,"Raleigh, North Carolina",,https://www.facebook.com/pages/J%C3%A4ga-NCSU-Womens-Ultimate/153552627991990,https://twitter.com/NCSUJagaMonsta
0,Caitlin McDade
0,Christel Schober-Colburn
0,Elizabeth Sieburg
0,Emily Boldor
0,Rachel Leiner
0,Rithika Vatchavai
0,Sarah Spall
4,Isabella Bevans
11,Darcy Boast
13,Mara Fischer
14,Ellen Yu
20,Noah Cole
b,r,e,a,k
Pennsylvania,13
teamInfo,Venus,"Philadelphia, Pennsylvania",https://sites.google.com/view/venus-penn-ultimate/home?authuser=1,https://www.facebook.com/VenusUltimate,https://twitter.com/venusultimate
coaches,Jackson Dolan,Emilie Mohler,Ashika Mani
4,Sylvia Erdely
8,Thaovy Mai
9,Tatum Jenkins
11,Lilian Liu
12,Sravya Dandamudi
13,Becky Chen
14,Sukhmani Grover
15,Caroline Bach
18,Poppy Wagner
19,Grace Maroon
22,Morgan West
24,Jianwei Li
25,Dagny Lott
26,Lydia Mendoza
32,Chaily Derecskey
34,Madeline Scott
36,Emma Wennberg
43,Roni Itkin-Ofer
61,Olivia Mayfryer
75,Alanna Marte
77,Caroline Li
b,r,e,a,k
Georgia Tech,20
teamInfo,Wreck,"Atlanta, Georgia",https://wreckultimate.wordpress.com/,https://www.facebook.com/gtwrecku/,@GTWreckU
0,Elfin Wiriyan
0,Eva Flom
0,Flynn Coyne
0,Anna Lisner
0,Audrey Boardman
0,MacKenzie York
0,Makena  Bongcaron 
0,Nooree Husnani
0,Rene Hahn
0,Sarai Colorado-landero
0,Sherry Adadi
0,Sophie Michelsen
6,Taylor Daniels
14,Efiotu Jagun
17,Victoria Malcolm
36,Ruoshi Gao
41,Gloria Wu
49,Gennie Mansi
70,Caitlin Aycock
b,r,e,a,k
MIT,28
teamInfo,sMITe,"Cambridge, Massachusetts",http://scripts.mit.edu/~womens-ult/,https://www.facebook.com/ultismite,https://twitter.com/ultismite
0,Elinor Poole-Dayan
3,Jillian Stark
4,Kavya Anbarasu
02,Jessica Xu
05,Elizabeth Tupaj
09,Lilli Hirth
14,Deepta Gupta
15,Kristin He
16,Brooke Rethman
18,Lili Wilson
22,Kelton Aldridge
23,Lillian Yeazell
24,Jenny Li
30,Joules Provenzano
33,Anna Arpaci-Dusseau
40,Caitlin Lian
42,Mikaela Finlay
66,Veronika Pister
81,Leala Nakagawa
b,r,e,a,k
Connecticut,29
teamInfo,UConn Women's Ultimate,"Storrs, Connecticut",,,
coaches,Matthew Kearney
0,Aisling Hinchey
0,Allyson Kaider
0,Amanda Sagers
0,Anna Abou-Francis
0,Carley Parente
0,Carmen Lo
0,Elizabeth Doyle
0,Grace Wanderling
0,Jenna Gall
0,Juliana Rush
0,Kayla Pollman
0,Isabella Rubin
0,Rachel Murphy
0,Sofia Soriano
3,Sabine Lucas
3,Jahne Carrenard
13,Amelia Colombo
22,Melissa Tian
46,Hyunah Boo
b,r,e,a,k
South Carolina,14
teamInfo,Scorch Ultimate,"Columbia, South Carolina",https://www.instagram.com/scorchultimate/,https://www.facebook.com/scorchultimate/,https://twitter.com/ScorchUltimate
0,Ashley King
0,Carlynn Rychener
0,Corrie LaBelle
0,Anna Bogdan
0,Elle Rose
0,Jaden Conner
0,Sarah Luna
0,Savanna Pierson
0,Sophia Scimemi
0,Tristin Ray
0,Virginia Arnold
0,Erin Kemp
4,Elizabeth Williams
9,Annie Maier
16,Emma Britt
24,Edy McGoldrick
25,Gabriella Cruz
26,Zora Bergey
48,Erin  McDonough
b,r,e,a,k
Penn State,19
teamInfo,Crisis,"University Park, Pennsylvania",https://psuwomensultimate.weebly.com/,,https://twitter.com/crisisultimate
0,Adelina Piraino
0,Annalie Ayers
0,Brooke Sherman
0,Devynn Quigley
0,Haley Young
0,Isabella Vergona
0,Mary Cate McCarthy
0,Natalie Babitzke
0,Victoria Lenze
16,Marissa Palumbo
18,Olivia Steinberg
b,r,e,a,k
Harvard,22
teamInfo,Quasar,"Cambridge, Massachusetts",https://sites.google.com/view/harvard-womens-ultimate-team/home?pli=1,,https://twitter.com/QuasarUltimate
10,Isabel Laguarda
11,Emma Salafsky
14,Eliza Knapp
17,Angelina Ng
44,Bailey Plaman
b,r,e,a,k
Maryland,27
teamInfo,Helpful Corn,"College Park, Maryland",https://sites.google.com/site/umdwomensultimate/,https://www.instagram.com/umdwultimate/,https://twitter.com/UMD_HelpfulCorn
coaches,Daniel Hartsoe
05,Alys Shah
07,Larissa Sakaria
09,Hannah Holloway
10,Vanessa Fan
11,Isabella Wahl
13,Charlotte Krisetya
14,Zoe Barbour
17,Macy Donahoe
19,Whitney Orloff
22,Ellen Rauck
23,Annika Kuchel
24,Jeanette Meek
26,Christina Lee
35,Ella Kesler
47,Maddie Brennan
66,Sarah Joffrion
b,r,e,a,k
Duke,15
teamInfo,Swerve,"Durham, North Carolina",https://sites.duke.edu/wultimate/,https://www.facebook.com/DukeSwerve/,https://twitter.com/dukeswerve
0,Alice Haystead
0,Amy Huang
0,Angelina Huang
0,Carla Pollen
0,Ella Andonov
0,Hope Hanson
0,Janie Dubberke
0,Kaylee Matteis
0,Kendall Barton
0,Olivia Fu
0,Piper Epstein
0,Rachel  Song
0,Rose Cassidy
0,Sydney Neal
0,TINA LI
0,Tylie Friedland
0,Veronika Kostina
1,Anne Crowley
6,Ashley Talwar
11,Lindsey Hua
b,r,e,a,k
Massachusetts,18
teamInfo,Zoola A,"Amherst, Massachusetts",,https://www.facebook.com/pages/Lady-Zoo-Ultimate-Frisbee/124773454891,https://twitter.com/ladyzooultimate
coaches,Ben Ayres
0,Emilie Poutasse
0,Eva Beqiri
0,Julia Leifer
0,Kira O'Neill
0,Marsela Leverone
0,Megan  Di Giovanni
0,Morgan Banta-Ryan
0,Olivia Trummel
0,Olivia Paolillo
0,Sabrina Erickson
0,Samantha Van Horn
0,Anna Betz
0,Anna Broyard
0,Annika  Liston 
0,Corina Page
8,Elsbeth Wendell
b,r,e,a,k
Columbia,23
teamInfo,Chimera,"New York , New York",,,https://twitter.com/cultimatewomen
coaches,Kaylee Viets
0,Grace Perrin
0,Hughlyn Hiu Ling Wong
0,Mandy Meliker
0,Naomi Miller
0,Sareena Parikh
0,Talia Sachs
0,Vicky Wei
24,Eastelle Ding
b,r,e,a,k
Temple,26
teamInfo,TUF,"Philadelphia, Pennsylvania",,,
0,Diana Henne
0,Emma Corso
0,Sollande Sibblies
3,Julia Kraynak
5,Linda Liu
6,Brianna DeShaw
11,Megan Noonan
12,Samantha Thomas
14,Maddie Grande
15,Anya Rainwater
20,Ruby Ginsburg
28,Margaret Zimmer
31,Emma Hambleton
34,Nyerah Talley
66,Kelly Meinert
72,Sofia Taboada
76,Angelina Ngo
88,Grace Hodges
96,Marcella Macalalag
b,r,e,a,k
Brown,16
teamInfo,Shiver,"Providence, Rhode Island",,,
b,r,e,a,k
Ohio,17
teamInfo,Stacked Cats,"Athens, Ohio",https://sites.google.com/site/stackedou/home%20,,https://twitter.com/StackedOU
07,Jessica Funk
09,Ashleigh Harrison
11,Morgan Hayden
12,Danica Kollmorgen
17,Kalli Teeters
18,Anastasia Petroff
22,Lindsey Rodgers
26,Avery Chialastri
28,Madi Moen
30,Jennie Koomar
39,Ella Karmol
b,r,e,a,k
Virginia Tech,24
teamInfo,Burnettes,"Blacksburg, Virginia",https://vtburnettes.wordpress.com/,,https://twitter.com/vtburnettes
0,Abby Haycock
0,Aleksandra Lyubovskaya
0,Aliza Krasnopoler
0,Alva Gutierrez Abad
0,Anna Perkins
0,Anna Thomas
0,breanna andrus
0,Callie Wood
0,Cora Jones
0,Genevieve  Martinisko
0,Grace Wright
0,Grace Brotherson
0,Grace Hawkinson
0,Izolina Travers
0,Lauren Fuller
0,Lily Smeltzer
0,Melanie Hempel
0,Meredith DePuy
0,Myra Kariuki
0,Rebecca Walyus
0,Riley Price
0,Sarah Cohoon
26,Helen Burch
b,r,e,a,k
Purdue,25
teamInfo,Xpress,"West Lafayette, Indiana",http://purduewomensultimate.weebly.com/,https://www.facebook.com/xpressultimate/,https://twitter.com/PurdueWomensUlt
04,Leanna Sequeira
07,Marlo Weber
11,Amelia Farquharson
12,Paulina Marengo
13,Lydia Harris
15,Abby  Wiedeman
16,Lizzy Nobbe
17,Eleanor Eck
19,Kaitlyn Mackenzie Lee
21,Riley Dickson
24,Emma Armstrong
27,Elizabeth Jones
28,Natalie Suopys
32,Lauren Mikell
33,Ashlynn Smith
36,Mia Martinez
38,Mary McGregor
55,Alicia Ader
72,Ava Moseley
77,Sarah Whitesides
99,Louisa Davis
b,r,e,a,k
s,t,a,g,e,s
pools,W PP
pool,Pool A
Tufts,Georgia,0,0,"02/24/2024, 09:00",Pool A,Scheduled
Notre Dame,Virginia,0,0,"02/24/2024, 09:00",Pool A,Scheduled
Tufts,Virginia,0,0,"02/24/2024, 10:45",Pool A,Scheduled
Notre Dame,Georgia,0,0,"02/24/2024, 10:45",Pool A,Scheduled
Tufts,Notre Dame,0,0,"02/24/2024, 14:15",Pool A,Scheduled
Georgia,Virginia,0,0,"02/24/2024, 14:15",Pool A,Scheduled
pool,Pool B
Chicago,Yale,0,0,"02/24/2024, 09:00",Pool B,Scheduled
Pittsburgh,Ohio State,0,0,"02/24/2024, 09:00",Pool B,Scheduled
Chicago,Ohio State,0,0,"02/24/2024, 12:30",Pool B,Scheduled
Pittsburgh,Yale,0,0,"02/24/2024, 12:30",Pool B,Scheduled
Chicago,Pittsburgh,0,0,"02/24/2024, 14:15",Pool B,Scheduled
Yale,Ohio State,0,0,"02/24/2024, 14:15",Pool B,Scheduled
pool,Pool C
SUNY-Binghamton,Michigan,0,0,"02/24/2024, 10:45",Pool C,Scheduled
Carnegie Mellon,North Carolina State,0,0,"02/24/2024, 10:45",Pool C,Scheduled
SUNY-Binghamton,North Carolina State,0,0,"02/24/2024, 12:30",Pool C,Scheduled
Carnegie Mellon,Michigan,0,0,"02/24/2024, 12:30",Pool C,Scheduled
SUNY-Binghamton,Carnegie Mellon,0,0,"02/24/2024, 14:15",Pool C,Scheduled
Michigan,North Carolina State,0,0,"02/24/2024, 14:15",Pool C,Scheduled
pool,Pool D
Pennsylvania,Connecticut,0,0,"02/24/2024, 09:00",Pool D,Scheduled
Georgia Tech,MIT,0,0,"02/24/2024, 10:45",Pool D,Scheduled
MIT,Connecticut,0,0,"02/24/2024, 12:30",Pool D,Scheduled
Pennsylvania,MIT,0,0,"02/24/2024, 14:15",Pool D,Scheduled
Georgia Tech,Connecticut,0,0,"02/24/2024, 14:15",Pool D,Scheduled
Pennsylvania,Georgia Tech,0,0,"02/24/2024, 16:00",Pool D,Scheduled
pool,Pool E
South Carolina,Harvard,0,0,"02/24/2024, 09:00",Pool E,Scheduled
Penn State,Maryland,0,0,"02/24/2024, 09:00",Pool E,Scheduled
South Carolina,Maryland,0,0,"02/24/2024, 10:45",Pool E,Scheduled
Penn State,Harvard,0,0,"02/24/2024, 10:45",Pool E,Scheduled
South Carolina,Penn State,0,0,"02/24/2024, 12:30",Pool E,Scheduled
Harvard,Maryland,0,0,"02/24/2024, 12:30",Pool E,Scheduled
pool,Pool F
Duke,Columbia,0,0,"02/24/2024, 10:45",Pool F,Scheduled
Massachusetts,Temple,0,0,"02/24/2024, 10:45",Pool F,Scheduled
Duke,Temple,0,0,"02/24/2024, 12:30",Pool F,Scheduled
Massachusetts,Columbia,0,0,"02/24/2024, 12:30",Pool F,Scheduled
Duke,Massachusetts,0,0,"02/24/2024, 14:15",Pool F,Scheduled
Columbia,Temple,0,0,"02/24/2024, 14:15",Pool F,Scheduled
pool,Pool G
Brown,Virginia Tech,0,0,"02/24/2024, 10:45",Pool G,Scheduled
Ohio,Purdue,0,0,"02/24/2024, 10:45",Pool G,Scheduled
Brown,Purdue,0,0,"02/24/2024, 12:30",Pool G,Scheduled
Ohio,Virginia Tech,0,0,"02/24/2024, 12:30",Pool G,Scheduled
Brown,Ohio,0,0,"02/24/2024, 14:15",Pool G,Scheduled
Virginia Tech,Purdue,0,0,"02/24/2024, 14:15",Pool G,Scheduled
b,r,e,a,k
brackets,W BP
bracket,CHAMPIONSHIP BRACKET
bracket,3RD PLACE GAME
bracket,5TH PLACE GAME
bracket,7TH PLACE GAME
bracket,T-9TH BRACKET (1)
bracket,T-13TH BRACKET (1)
bracket,T-9TH BRACKET (2)
bracket,T-13TH GAME (2)
bracket,17TH PLACE BRACKET
bracket,19TH PLACE GAME
bracket,21ST PLACE BRACKET
bracket,23RD PLACE GAME
b,r,e,a,k
pools,CONSOLATION PP
pool,Pool H
b,r,e,a,k
