Huck Finn 2024,College - Men ,30,3,2024
O'Fallon,IL,2024-03-30,2024-03-31
https://play.usaultimate.org/events/Huck-Finn-2024/schedule/Men/CollegeMen/
Washington University,1
68,Emmett Broustis 
88,Elijah Hansen
97,Julian Baldwin
b,r,e,a,k
Vanderbilt,20
teamInfo,Armada,"Nashville, Tennessee",,,https://twitter.com/VUarmada
0,Julian Delamaza
1,Brinnan Smith
3,Cathal Malin
4,Julian Rosenberg
6,Stanley Zheng
7,Timothy Jacob
8,Justin Kong
9,Ben Walton
11,Caleb Boyer
12,Travis Siebe
13,David McFarlane
14,Stephen Hodulik
15,Ethan Jones
17,Kai Mehra
19,Marius Schueller
21,John Mountel
23,Matthew Helou
28,George Gunter
29,Danny Rosen
30,Eleazar Rodriguez Lang
37,Justin Yoo
42,Xueyuan Jia
50,Nate Eshleman
55,Isaac Schapiro
66,Andres Becerra
95,Joseph  Bahk
99,Andrew Overdeck
b,r,e,a,k
Central Florida,8
teamInfo,Dogs of War,"Orlando, Florida",,https://www.facebook.com/CentralFloridaUltimate,https://twitter.com/PupsofConflict
b,r,e,a,k
Chicago,11
teamInfo,Fission,"Chicago, Illinois",http://junkultimate.weebly.com/,https://www.facebook.com/UChicagoUltimate/,https://twitter.com/UChi_Fission
0,Aiden Tandiono
0,Ben Brink
0,Caleb Friedman
0,Christopher Nowak
0,Cory McCormack
0,Derek Hsu
0,Joseph Kaplan
0,Joseph Sifakis
0,Josh Edington
0,Leon Tan
0,Malank Goel
0,Matthew Wieseltier
0,Michael Hlavaty
0,Nathaniel Alden
0,Emmanuel Abayev
0,Gabriel Chalker
0,Gavin Kelly
0,Quinn Hauck
0,Tom Dupor
0,Trevor Ung
0,Tuhin Ghosh
0,Han Zhang
5,Peter Deckerman
6,Jocelyn Sun
10,Eliot Lajaunie
11,Daniel Ruskay-Kidd
13,Dylan Zhou
18,Dale Decatur
28,Grant Harris
b,r,e,a,k
Michigan Tech,16
teamInfo,DiscoTech,"Houghton, Michigan",,,https://twitter.com/DiscoTechUlti
coaches,Michael Merwin,Aaron Wildenborg
0,Justin Marshall
1,Donn Bacon
2,Ben Resar
3,Kelty Blastic
4,Nick Doerr
5,Aidan Sheppard
6,Hayden Huckins
8,Rivers DeShano
9,Samuel Mayer
10,Liam Guenin
10,Colin Vander Beek
11,Ryan Schwartz
12,Isaac Couling
14,Hugh Hanlon
15,Tom Dolan
16,Joshua Duer
17,Hieu Theriault
20,Ryan Cole
22,Peyton Vandegriend
23,Colin Donajkowski
24,Jack O'Connor
28,Joshua Kozlowski
33,Quinten Burlew
45,Matthew Oujiri
48,Michael Friese
69,Chandler Carey
77,Trace Wilke
82,Noah Bortle 
85,Christian Conway
87,Clayton Donajkowski
95,Zach Dix
98,Mark Fieweger
99,Thomas McClelland
b,r,e,a,k
Ohio,19
teamInfo,Trout,"Athens, Ohio",,https://www.facebook.com/ohioultimate/,https://twitter.com/OUultimate
0,Luke McKenrick
01,Nathan Swindell
04,Carter Limbert
05,Alex Berhosky
07,Ian Knaus
11,Andrew Thompson
14,Ryan  Baxley
17,Dalton Muck
17,Benjamin Heindrichs
20,Nick Becker
23,Walker Branson
25,Jack Connelly
26,Christo Siegel
32,Declan Haas
47,Jelani Walker 
49,Jack Lazenby
81,james brennan
b,r,e,a,k
Colorado State,9
teamInfo,Hibida,"Fort Collins, Colorado",,,https://twitter.com/csuhibida
0,Aidan Williams
0,Charlie Knott
0,Davis Lenz
0,Davis Cutforth
0,Dexter Shafer-White
0,Drew “Just a Baby” Grant
0,Eli Chase
0,Hunter Cunningham
0,Jacob Evans
0,Kyle Finkel
0,Markus Olson
0,Nathaniel Goodwin
0,Nolan Pardyjak
0,Rory Lenny
0,Samuel Marek
0,Zach Monahan
0,Flynn Nyman
0,Franz Reiser
6,Campbell Darlington
12,Linus Mallett
28,Zane Tschirhart
46,Axel Williams
69,Daniel Lucas
69,Griffin Geving
88,Emmett Donnelly
b,r,e,a,k
Stanford,10
teamInfo,Stanford Men's Ultimate Team,"Stanford, California",,,
0,Declan Murphy Zink
0,Delfino Li
0,Denzel Cofie 
0,Egan Tardif
0,Eli Meyers
0,Everett Lee
0,Henry Boeschen
0,James Talbot
0,Alex Ecker
0,Alexander Belfiore
0,Benjamin Chen
0,Benjamin Fernandez
0,Joshua Koch
0,Leo Jacoby
0,Max Lee
0,Morgan Wyatt
0,Sepehr Asgari
10,Charles Shi
12,Charlie Shors
20,Matan Abrams
26,Max Vandervelden
34,Toby Frager
48,Brendon Gu
88,Shiley Einav
89,Jerred Smith
b,r,e,a,k
Kentucky,17
teamInfo,KULT,"Lexington, Kentucky",http://www.kyultimate.com/,,https://twitter.com/KYUltimate
0,Garrett Hamilton
01,Joshua Alden
02,Colby Wort
03,Alex Reichert
04,Shane McCarthy
05,Isaac Madill
08,James Powell
09,Nathan Haynie
11,Reece Rode
11,Gabriel Shir
12,Cole Bernstein
13,Dominic Busby
16,Jack DeLong
18,Henry Walke
20,Nathan Riffell
21,Noel Houser
23,Andrew Bacarella
26,Owen Woodward
30,Ethan Gutberlet
39,Joseph Lindemuth
42,Kenneth Hodge
59,Jacob Vejar
72,Andrew Blair
85,Dominic Gates
b,r,e,a,k
Arkansas,18
teamInfo,Ludicrous Speed,"Fayetteville, Arkansas",,,https://twitter.com/uofaultimate?lang=en
coaches,Jody Ayers
0,Adam Donaldson
0,Austen Lee
0,Cole Peterson
0,Luke Price
0,Mason Cooper
0,Matt Markiewicz
0,Matthew Vawter
0,Mike Finocchiaro
0,Kasen Embrey
0,Reed Eschmann
0,Richard Pride
0,Tyler Phelan
0,Tyson Brown
0,Vincent Asaro
5,Tanner Thornberry
7,Jake Dahl
8,Kele Estes-Beard
9,Ben Morgan
13,Aidan Ayers
16,Roman Bearman
18,Joan Garcia
23,Cooper Fulton
25,Nathan Reynolds
71,Tommy  Medford
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Washington University,Purdue,0,0,"03/30/2024, 09:00",Pool A,Scheduled
Alabama,St Olaf,0,0,"03/30/2024, 09:00",Pool A,Scheduled
Washington University,Alabama,0,0,"03/30/2024, 10:30",Pool A,Scheduled
Virginia,St Olaf,0,0,"03/30/2024, 10:30",Pool A,Scheduled
St Olaf,Purdue,0,0,"03/30/2024, 12:00",Pool A,Scheduled
Virginia,Alabama,0,0,"03/30/2024, 12:00",Pool A,Scheduled
Washington University,St Olaf,0,0,"03/30/2024, 13:30",Pool A,Scheduled
Virginia,Purdue,0,0,"03/30/2024, 13:30",Pool A,Scheduled
Washington University,Virginia,0,0,"03/30/2024, 15:00",Pool A,Scheduled
Alabama,Purdue,0,0,"03/30/2024, 15:00",Pool A,Scheduled
pool,Pool B
Indiana,Mississippi State,0,0,"03/30/2024, 10:30",Pool B,Scheduled
Iowa State,Oklahoma,0,0,"03/30/2024, 10:30",Pool B,Scheduled
Indiana,Oklahoma,0,0,"03/30/2024, 12:00",Pool B,Scheduled
Iowa State,Mississippi State,0,0,"03/30/2024, 12:00",Pool B,Scheduled
Indiana,Iowa State,0,0,"03/30/2024, 13:30",Pool B,Scheduled
Mississippi State,Oklahoma,0,0,"03/30/2024, 13:30",Pool B,Scheduled
pool,Pool C
Colorado College,Northwestern,0,0,"03/30/2024, 09:00",Pool C,Scheduled
Wisconsin-Milwaukee,Vanderbilt,0,0,"03/30/2024, 09:00",Pool C,Scheduled
Colorado College,Vanderbilt,0,0,"03/30/2024, 10:30",Pool C,Scheduled
Wisconsin-Milwaukee,Northwestern,0,0,"03/30/2024, 10:30",Pool C,Scheduled
Colorado College,Wisconsin-Milwaukee,0,0,"03/30/2024, 12:00",Pool C,Scheduled
Northwestern,Vanderbilt,0,0,"03/30/2024, 12:00",Pool C,Scheduled
pool,Pool D
Central Florida,Mississippi State,0,0,"03/30/2024, 09:00",Pool D,Scheduled
Chicago,Ohio,0,0,"03/30/2024, 09:00",Pool D,Scheduled
Central Florida,Ohio,0,0,"03/30/2024, 10:30",Pool D,Scheduled
Chicago,Mississippi State,0,0,"03/30/2024, 10:30",Pool D,Scheduled
Central Florida,Chicago,0,0,"03/30/2024, 13:30",Pool D,Scheduled
Mississippi State,Ohio,0,0,"03/30/2024, 13:30",Pool D,Scheduled
pool,Pool E
Colorado State,Kentucky,0,0,"03/30/2024, 09:00",Pool E,Scheduled
Stanford,Arkansas,0,0,"03/30/2024, 09:00",Pool E,Scheduled
Colorado State,Arkansas,0,0,"03/30/2024, 12:00",Pool E,Scheduled
Stanford,Kentucky,0,0,"03/30/2024, 12:00",Pool E,Scheduled
Colorado State,Stanford,0,0,"03/30/2024, 13:30",Pool E,Scheduled
Kentucky,Arkansas,0,0,"03/30/2024, 13:30",Pool E,Scheduled
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
bracket,3rd Place Game
bracket,5th Place Bracket
bracket,7th Place Game
b,r,e,a,k
pools,9th Place Round Robin
pool,Pool F
b,r,e,a,k
brackets,14th Place Bracket
bracket,14th Place Bracket
bracket,16th Place Game
bracket,18th Place Bracket
bracket,20th Place Game
b,r,e,a,k
