2024 USA Ultimate D-III College Championships,College - Men ,18,5,2024
Milwaukee,WI,2024-05-18,2024-05-20
https://play.usaultimate.org/events/2024-USA-Ultimate-D-3-College-Championships/schedule/Men/CollegeMen/
Middlebury,1
Lewis & Clark,Davenport,12,13,"05/18/2024, 10:45",Pool A,Final
Middlebury,Lewis & Clark,15,12,"05/18/2024, 13:00",Pool A,Final
Davenport,Oberlin,15,11,"05/18/2024, 13:00",Pool A,Final
pool,Pool B
Oklahoma Christian,Berry,13,10,"05/18/2024, 08:30",Pool B,Final
Richmond,Rochester,15,11,"05/18/2024, 08:30",Pool B,Final
Oklahoma Christian,Rochester,15,9,"05/18/2024, 10:45",Pool B,Final
Richmond,Berry,15,14,"05/18/2024, 10:45",Pool B,Final
Oklahoma Christian,Richmond,14,9,"05/18/2024, 15:15",Pool B,Final
Berry,Rochester,12,15,"05/18/2024, 15:15",Pool B,Final
pool,Pool C
St Olaf,Bates,15,14,"05/18/2024, 08:30",Pool C,Final
Franciscan,Missouri S&T,15,7,"05/18/2024, 08:30",Pool C,Final
St Olaf,Missouri S&T,15,7,"05/18/2024, 10:45",Pool C,Final
Franciscan,Bates,14,12,"05/18/2024, 10:45",Pool C,Final
St Olaf,Franciscan,15,10,"05/18/2024, 15:15",Pool C,Final
Bates,Missouri S&T,13,11,"05/18/2024, 15:15",Pool C,Final
pool,Pool D
Whitman,Carleton College-CHOP,14,12,"05/18/2024, 08:30",Pool D,Final
Williams,Claremont,13,6,"05/18/2024, 08:30",Pool D,Final
Whitman,Claremont,15,11,"05/18/2024, 10:45",Pool D,Final
Williams,Carleton College-CHOP,15,7,"05/18/2024, 10:45",Pool D,Final
Whitman,Williams,8,15,"05/18/2024, 13:00",Pool D,Final
Carleton College-CHOP,Claremont,15,7,"05/18/2024, 13:00",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place
Richmond,Bates,0,0,"05/19/2024, 08:30",Prequarterfinal,Scheduled
Franciscan,Rochester,0,0,"05/19/2024, 08:30",Prequarterfinal,Scheduled
Whitman,Lewis & Clark,0,0,"05/19/2024, 08:30",Prequarterfinal,Scheduled
Davenport,Carleton College-CHOP,0,0,"05/19/2024, 08:30",Prequarterfinal,Scheduled
bracket,5th Place
bracket,5th Place
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place
bracket,11th Place
b,r,e,a,k
pools,13th Place Round Robin
pool,Pool E
Oberlin,Missouri S&T,0,0,"05/19/2024, 08:30",Pool E,Scheduled
Berry,Claremont,0,0,"05/19/2024, 08:30",Pool E,Scheduled
Oberlin,Claremont,0,0,"05/19/2024, 10:45",Pool E,Scheduled
Berry,Missouri S&T,0,0,"05/19/2024, 10:45",Pool E,Scheduled
Oberlin,Berry,0,0,"05/20/2024, 08:30",Pool E,Scheduled
Missouri S&T,Claremont,0,0,"05/20/2024, 08:30",Pool E,Scheduled
b,r,e,a,k
