2024 East Coast Men's Sectional Championship,Club - Men ,7,9,2024
Chattanooga,TN,2024-09-07,2024-09-08
https://play.usaultimate.org/events/2024-East-Coast-Mens-Sectional-Championship/schedule/Men/Club-Men/
Little Red Wagon,1
37,Nathaniel Bieling
39,Michael Preus
49,Aaron Baymiller
70,Patrick Kuzbary
77,Michael Hultquist
88,Blake Huffman
b,r,e,a,k
Hex Panthers,16
teamInfo,,"Chattanooga, Tennessee",,,
0,Craig Wong
0,David Hanks
0,Derek Ziesmer
0,Ed Fox
0,Jamon Green
0,Kiley Hector
0,Maddox Russak
0,Maranda Mays
0,Noah Long lll
0,Sean Fredenburg
0,Tony Brown
3,Nate Barnard
5,Jason Cass
65,Steve Widoff
b,r,e,a,k
Lost Boys,2
teamInfo,,"Columbia, South Carolina",mailto:lbfrisbee@gmail.com,https://www.facebook.com/lbultimate/,https://twitter.com/TheLostBoysUlti
0,Cameron Ramsey
0,Michael Miller
0,William Caspino
1,Nicholas Hocking
2,Adam Chase
5,Aaron Crockett
6,Brandon Wider
6,David VanAuker
8,Matthew Hogue
11,Nicholas Headden
12,Logan McMillen
13,Joel Wooten
13,Tyler Catton
15,Corey Bennett
17,Joseph  Cammarata
18,Chris Wilson
21,Michael Cote
21,Stephen Trello
22,Matthew Herbst
23,Kyle Woodberry
25,Sambath Vong
29,Daniel Ouk
34,Ethan Johnson
64,Jacob Blackman
83,Cleve Fisher
84,Jacob McClary
b,r,e,a,k
Charleston Heat Stroke,7
teamInfo,,"Charleston, South Carolina",charlestonopenulty@gmail.com,https://www.instagram.com/heatstroke_ultimate,
0,Jett Kirshtein
0,Joseph DiPaula
0,Justin Morrison
0,Logan Johnston
0,Luis Molina
0,Matt Hardie
0,Blake Paulson
0,Brett Egger
0,Cannon Yarborough
0,Carter Limbert
0,Hunter Poe
0,Sean Timmons
0,Sylvester Norris
0,Will Harris
0,Will McDonald
6,Hussain Bhagat
8,Mike Sasko
13,Ryan Wartenberg
18,Oddom Vong
25,Andrew Zavada
26,Christian Gaeta
37,Wes Copenhaver
95,Tyler Myers
b,r,e,a,k
Power Point Ultimate,15
teamInfo,,"Augusta, Georgia",,,
0,Brock Billings
0,Zachary Bloodworth
3,Connor Mark
3,Dante Tollefson
4,Ashton Tucker
5,Josh Warner
7,Richard Murphy
17,Max Williams
20,Simon Austin
23,Hiren Patel
24,Patrick Thompson
34,Taylor  Austin 
36,Kaden Wittig
68,Aaron Tafoya
69,AJ Dyer
91,Gerald Renato
98,Noah Ayers
b,r,e,a,k
Watchmen,10
teamInfo,,"Nashville, Tennessee",,,https://x.com/NashWatchmen?s=20
2,Ben Adams
5,Zachary Steffey
9,William Rollins
10,Daniel Caracappa
12,Zachary De Craene
13,Spencer Kerch
16,Davis Camp
19,Khamkorn Inthavong
22,Andy Warrick
25,Brandon Bagwell
29,Kanu Shetkar
34,James Shaw
37,Levi Spellmeyer
55,Cole Jennings
77,Malachi Johnson 
93,Evan Snyder
96,Lyle Cox
99,Collin Temple
99,Carson Jones
b,r,e,a,k
Tanasi,3
teamInfo,,"Tennessee, Tennessee",,,https://twitter.com/TanasiUltimate
0,Alex Stevenson
0,Braden Beebe
0,Jahmes Morgan
0,Jeffrey Flanagan
0,Neil Taylor
0,Philip Throckmorton
0,Pryce Bevins
0,Steele Davies
0,Timothy Lumsdaine
3,Jared Beazley
6,Ethan Phillips
7,Daniel Robinson
10,Jackson Bushore
10,Zeke Plewniak
11,Liam Savona
11,Marshall  Hodges 
14,Colin Flowers
15,Jack Wellons
18,Yanni Killebrew
20,David Wilkins
21,Carson Chamberlain
28,Charles Cianciolo
29,Hayden Chappel
37,David Evans
80,William Fleming
85,Aaron Wilder
b,r,e,a,k
Atlanta Arson,6
teamInfo,,"Atlanta, Georgia",,,https://twitter.com/atlantaarson
0,Caleb Yu
0,Carlo Vanni
0,Christian  Montufar
0,Elias Heanue
0,Evan Amon
0,Galen Ramsey
0,Garrett Pellan
0,Hamilton Mebius
0,Jaden Medley-Fowlkes
0,Lucas Kim
0,Maxwell Lopez
0,Samuel Diquattro
2,Krishan Chib
3,Harrison  Briggs 
4,Vinny Nguyen
4,Zephren Collinson
9,Foster Boales
11,Lee Phan
16,Tanjid Mitul
20,Dacree Harden
24,Elliott Park
29,Kai Diez
30,Austin Hegmon
66,Jaylon Boone
69,John Broling
73,Gabe Borda
b,r,e,a,k
Dyno,11
teamInfo,,"Atlanta, Georgia",,,
0,Austin Thomas
0,Charles Huff
0,Chase Miller
0,Christian Thomas
0,Adam Granade
0,Aidan Pietruszka
0,Evan Davies
0,Evan Burnley
0,Joshua Ngotiaoco
0,Kishan Patel
0,Kody Cotton
0,Lucas Maurer
0,Grady Freeman
0,Ravi Kodali
0,sam granade
6,Aubrey Roberts
10,Nicholas Andrews
14,Matthew Greenberg
15,Richard Bragg
18,Patrick Ufer
23,Eric Trollinger
35,Josh Breeden
62,Ross Barnes
92,Geoffrey 'Bo' Price
b,r,e,a,k
Atlanta Outlaws,14
teamInfo,,"Atlanta, Georgia",,,
0,Ben Campion
0,Cade Jones
0,Collin McGee
0,Earl Harris
0,Ganden Fung
0,Harrison Barrett
0,Jack Lam
0,Jacob Grinberg
0,Joshua Perlmutter
0,Keir Mitchell
0,Keller Smith
0,Luke Tu
0,Matthew Riddle
0,Alex Kaylor
0,Miguel de los Reyes
0,Mitchell Glore
0,Reid Barry
0,Santiago Garcia-Lavanchy
0,Sean Jung
0,Trevor Bragg
1,Spencer Pennington
7,Owen Hammond-Lee
8,Victor Ochoa-Lorenzo
9,Amatheon Bohan
27,Abenezer Diribssa
69,Michael Catucci
b,r,e,a,k
Hooch,5
teamInfo,,"Atlanta, Georgia",,,https://twitter.com/HoochUltimate
0,Kyle Johnson
0,Zachary Hart
3,Sam Merritt
01,William Lindquist
02,Lyle Caballes
04,Bradley Seuntjens
05,Ashton HIll
06,Curtis Landry
08,Charles Loudermilk
12,Jeffrey Oravic
13,Joseph Griffing
15,Ryan Flick
16,Kolbie Carrell
17,Alexander (Sascha) Vogel
18,Matthew Entrekin
19,Collin Cassidy
20,Austin Poole
21,Ferry Akbar Buchanan
22,Skyler Pitts
23,Stephen Mckinney
25,Robert Hunt
33,Edward Stephens
39,Antoine Cava
47,David van Pelt
52,Kevin Halprin
58,Jon Ross Ingley
b,r,e,a,k
Carolina Summer,4
teamInfo,,"Greenville, South Carolina",,,
0,Austin McCallum
0,Brandon Loggins
0,Bryan Anders
0,Bryn Barton
0,Alex Leblanc
0,Drew Ficarotta
0,J Seymour
0,John Bonas
0,Josh Leister
0,Joshua Ferguson
0,Matthew Ellison
0,Matthew Kizer
0,Nick Ellison
0,Paolo Arce
0,Ryan Stokes
0,Stephen Finley
0,Thomas Loar
0,Wesley Hall
3,Adam Bailey
3,Andrew Allen
10,Chris Dwight
15,Matt Green
16,Clarence Frady
28,Jamie Nickels
93,Nathan Freystaetter
99,Michael Hayes
b,r,e,a,k
Harvest Moon,12
teamInfo,,"Cumming, Georgia",,,
coaches,Madison Head
2,Moses McNutt
3,Timothy Schultz
6,Robert Martinez
7,Joshua Peavy
8,Caleb Heizer
10,Reid Hawkins
11,Isaac Smith
13,Connor Case
14,Aniketh Muddala
15,Spencer Jenkins
17,Ryan Cross
21,Dane Perry
24,Travis Welch
30,Clay Wells
31,Jonathan Bell
33,James Clark
40,George Bennett Clark
42,Seth Tracy
44,Syed  Gillani
54,Trevor Foster
60,David William Petmecky
77,Angel Villeda-Gracia
90,Ben Llena
b,r,e,a,k
Tennessee Folklore,13
teamInfo,,"Knoxville, Tennessee",,,
8,Braeden McLain
02,Joe Neglia
07,Caleb Batchelder
11,Adam Abdelrahman
14,Garrett Berger
19,John Smith
20,William Acker
21,Brady Terechenok
22,Stephen Thrasher
25,Mark Filer
28,John Fang
33,Skyler Swafford
36,Joshua Epstein
39,Elijah Greene
42,Sterling Burnett
44,Kyle Dolwick
48,Jackson Lange
53,Josh Laughrun
55,Austin Lillis
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play- Clipped
pool,Pool A
Little Red Wagon,Hex Panthers,13,2,"09/07/2024, 09:00",Pool A,Final
Nocturnal,Space Cowboys,13,9,"09/07/2024, 09:00",Pool A,Final
Little Red Wagon,Nocturnal,13,8,"09/07/2024, 11:00",Pool A,Final
Space Cowboys,Hex Panthers,13,4,"09/07/2024, 11:00",Pool A,Final
pool,Pool B
Lost Boys,Power Point Ultimate,13,3,"09/07/2024, 09:00",Pool B,Final
Charleston Heat Stroke,Watchmen,13,1,"09/07/2024, 09:00",Pool B,Final
Lost Boys,Charleston Heat Stroke,11,10,"09/07/2024, 11:00",Pool B,Final
Watchmen,Power Point Ultimate,7,13,"09/07/2024, 11:00",Pool B,Final
pool,Pool C
Tanasi,Atlanta Outlaws,13,3,"09/07/2024, 09:00",Pool C,Final
Atlanta Arson,Dyno,13,8,"09/07/2024, 09:00",Pool C,Final
Tanasi,Atlanta Arson,13,7,"09/07/2024, 11:00",Pool C,Final
Dyno,Atlanta Outlaws,12,9,"09/07/2024, 11:00",Pool C,Final
pool,Pool D
Carolina Summer,Tennessee Folklore,13,4,"09/07/2024, 09:00",Pool D,Final
Hooch,Harvest Moon,13,3,"09/07/2024, 09:00",Pool D,Final
Carolina Summer,Hooch,12,13,"09/07/2024, 11:00",Pool D,Final
Harvest Moon,Tennessee Folklore,13,6,"09/07/2024, 11:00",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship Bracket
Little Red Wagon,Tanasi,0,0,"09/08/2024, 11:00",Champ Finals,Scheduled
Little Red Wagon,Hooch,15,10,"09/07/2024, 15:00",Champ Semis,Final
Tanasi,Lost Boys,11,10,"09/07/2024, 15:00",Champ Semis,Final
Little Red Wagon,Charleston Heat Stroke,15,4,"09/07/2024, 13:00",Champ Quarters,Final
Atlanta Arson,Hooch,10,11,"09/07/2024, 13:00",Champ Quarters,Final
Tanasi,Carolina Summer,15,5,"09/07/2024, 13:00",Champ Quarters,Final
Nocturnal,Lost Boys,7,13,"09/07/2024, 13:00",Champ Quarters,Final
bracket,2nd-4th Place
Lost Boys,Hooch,0,0,"09/08/2024, 11:00",2nd Place Semis,Scheduled
Lost Boys,Charleston Heat Stroke,13,8,"09/08/2024, 09:00",2nd Place Quarters,Final
Nocturnal,Hooch,10,14,"09/08/2024, 09:00",2nd Place Quarters,Final
Charleston Heat Stroke,Atlanta Arson,11,10,"09/07/2024, 15:00",2nd Place PreQs,Final
Carolina Summer,Nocturnal,11,13,"09/07/2024, 15:00",2nd Place PreQs,Final
bracket,5th Place Game-to-Go
Dyno,Charleston Heat Stroke,0,0,"09/08/2024, 11:00",5th Place Semis,Scheduled
Nocturnal,Atlanta Arson,0,0,"09/08/2024, 11:00",5th Place Semis,Scheduled
Carolina Summer,Dyno,9,12,"09/08/2024, 09:00",5th Place Quarters,Final
Space Cowboys,Atlanta Arson,9,13,"09/08/2024, 09:00",5th Place Quarters,Final
Hex Panthers,Dyno,4,15,"09/07/2024, 15:00",5th Place PreQs,Final
Harvest Moon,Space Cowboys,9,14,"09/07/2024, 15:00",5th Place PreQs,Final
Power Point Ultimate,Hex Panthers,10,11,"09/07/2024, 13:00",5th Place Bracket Rd. 1,Final
Tennessee Folklore,Dyno,10,15,"09/07/2024, 13:00",5th Place Bracket Rd. 1,Final
Harvest Moon,Atlanta Outlaws,15,5,"09/07/2024, 13:00",5th Place Bracket Rd. 1,Final
Watchmen,Space Cowboys,6,15,"09/07/2024, 13:00",5th Place Bracket Rd. 1,Final
b,r,e,a,k
brackets,Placement Games
bracket,7th-8th Place
bracket,9th-10th Place
Carolina Summer,Space Cowboys,0,0,"09/08/2024, 11:00",9th-10th Place,Scheduled
bracket,11th-12th Place
Hex Panthers,Harvest Moon,7,15,"09/08/2024, 09:00",11th-12th Place,Final
bracket,13th-16th Place Bracket
Tennessee Folklore,Atlanta Outlaws,0,0,"09/08/2024, 11:00",13th-14th Place Final,Scheduled
Power Point Ultimate,Tennessee Folklore,12,15,"09/08/2024, 09:00",13-16 Round 1,Final
Atlanta Outlaws,Watchmen,15,7,"09/08/2024, 09:00",13-16 Round 1,Final
bracket,15th-16th Place
Power Point Ultimate,Watchmen,0,0,"09/08/2024, 11:00",15th-16th Place,Scheduled
b,r,e,a,k
