Cat Fight,College - Men ,22,2,2014
Lexington,KY,2014-02-22,2014-02-23
https://play.usaultimate.org/events/Cat-Fight/schedule/Men/CollegeMen/
Kansas,1
18,Shane Gorbett
22,Alec Weyneth
24,Sam Schurer
25,Graydon Weaver
27,Stephen Telepak
30,Zachary Ford
54,MATTHEW WASSERMAN
57,Max Richards
66,CHRISTOPHER ALONZO
75,Jonathan Metz
b,r,e,a,k
Georgia State,10
teamInfo,Underground,"Atlanta, Georgia",modules/common/gsuultimate.com,modules/common/www.facebook.com/gsuultimate,https://twitter.com/GSUnderground
0,NEAL ANDREWS
0,Chunghyun Kim
0,Alex Waxman
0,Nigel Hagley
0,David Kandler
0,Kenneth Escoe
0,SEAN CLANCY
0,Kenta Kawaguchi
0,Christopher Walsh
0,JUSTIN JINKS
6,Aubrey Roberts
7,SEAN SOUTHARD
8,BRETT NELSON
9,Brian Boggs
11,Nate Washington
44,NATHAN  HARDCASTLE
87,Trenton Spinks
b,r,e,a,k
Louisville,15
teamInfo,UofLtimate,"Louisville, Kentucky",,,
0,Ray Yeager
1,Logan Stanley
5,Charles Allen
8,Conor King
14,LOGAN HYMAN
16,Samuel Nwosu
17,Nick Potter
18,Tess McGrew
23,Major Robertson
27,KYLE BALDWIN
34,Eric Brinkman
67,Jared Stephens
69,Steven Schweinhart
78,Kevin Carrico
99,Joshua Jackson
b,r,e,a,k
Southern Indiana,18
teamInfo,DiscJockeys,"Evansville, Indiana",http://usiultimatefrisbee.weebly.com/,,
0,Jesse Wyatt
02,Joseph  Cowser
03,Kyle Rasnake
06,DREW COLES
12,Chapin Kelley
14,Zachary Wilderman
17,Aaron  Costlow
18,Kyle Wood
19,Craig Wilmes
21,Dillon Yearby
27,REID WANINGER
31,Brian Wilson
37,ABRAHAM MAZE
42,Mitchell Morton
44,Brandon Penning
45,SAMUEL ENGELS
49,Derek Berggren
55,JACOB LESAGE
66,Matt Becker
73,Noah Rickelman
77,Daniel Hasty
97,EDUARDO RODRIGUEZ
b,r,e,a,k
Eastern Michigan,3
teamInfo,Fighting Hellfish,"Ypsilanti, Michigan",,,https://twitter.com/emuhellfish
5,Austin Engel
6,James Highsmith
7,Jonathan Lee
8,Trey Taliaferro
11,Andrew Adler
15,Alexander Belanger
16,JACOB NOEL
17,BRENNAN FLYNN
19,SCOTT DICKSON
21,ALEX THEISS
22,Joshua Osinski
25,GARY GRANT
27,GRANT FURNIER
36,Daniel Boynton
55,Johnny Bansfield
b,r,e,a,k
North Carolina-Asheville,6
teamInfo,UNC Asheville Bulldogs,"Asheville, North Carolina",,https://www.facebook.com/bulldogultimateunca,https://twitter.com/UNCAshUltimate
0,John (Jack) Derbyshire
0,Kyle Noel
0,Gabriel Matza
0,Cory Oskardmay
3,Jonathon Withrow
5,TYLER HAITHCOCK
6,Jonathan (Hugo) Sowder
7,JOSEPH BAKER
11,Noah Decker
14,Ryan Loll
15,EVAN JONSON
18,Jeremy Gage
19,Charles Bridger
20,Buck Bowman
22,JU-SUNG KIM
27,Johnny Reynolds
34,Aaron Stern
37,Dan Pungello
42,ALERIC FOX
44,ARTHUR SHAIN
52,Quentin Northcutt
55,ALEXANDER VEILLEUX
71,Clint McSherry
83,SHAWN SPITZER
85,Ari Livanos
87,Chad Gerber
88,Samuel Fontaine
b,r,e,a,k
Union (Tennessee),19
teamInfo,Union Jaxx,"Jackson, Tennessee",,https://www.facebook.com/jaxxclubultimate,https://twitter.com/jaxxultimate
b,r,e,a,k
Miami (Ohio),14
teamInfo,The Boogiemen,"Oxford, Ohio",,,
00,Roberto Rodriguez
00,Logan Steingass
01,SAM GETTLEMAN
02,ANTHONY MEESE
05,CONNOR BROWN
06,MATT LEKH
08,Joe Kowalkowski
09,Riley Collins
11,Eric Whitley
12,Alex Williams
14,Calvin Garza
15,Josh North
20,JOHN DUPEE
21,Jon Bellis
37,Dillon de Medeiros
44,Andrew Gardner
47,Daniel Roth
66,NICHOLAS HIGGINS
88,NATHANIEL FINNEY
b,r,e,a,k
Kentucky,11
teamInfo,KULT,"Lexington, Kentucky",http://www.kyultimate.com/,,https://twitter.com/KYUltimate
0,Wei Yang
0,Andrew Jacobs
0,Kyle Cornell
0,CHESTON ROBBINS II
0,Adam Garner
0,Christopher Meriwether
0,DEVIN DAVIDSON
0,STEPHEN CHAN
0,JON BULLENS
0,ROBERT GAGALA
0,Rodion Svynarenko
0,Sanders Platt
0,EDWARD LANNOM
0,Charles Cunningham
0,Brandon Guyton
0,RYAN ADAMS
0,Daniel White
0,Gordon Kaye
4,Michael Rudy
10,Larry Farmer Jr
13,Michael Harr
27,Wyatt Driskell
63,Gabriel Cabrera
69,Pramod Venkatesh
73,Neville Fogarty
94,Austin Obenauf
99,David Mathews
b,r,e,a,k
Xavier,5
teamInfo,B.L.O.B.,"Cincinnati, Ohio",http://www.xavier.edu/clubsports/ultimate-frisbee/index.cfm,,https://twitter.com/BLOB_ultimate
01,ALEX TILFORD
03,Frank Ontaneda
05,Alexander Riahi
06,Raymond Humienny
10,Hector Rivera
11,Michael Lopez
13,John Cassidy
15,Luke Byerly
17,Warren Jeff Ullery
18,BEN KELTY
21,DUSTIN ISOP
22,PATRICK MUELLER
23,Patrick Cannell
26,Jacob Lamier
27,DANIEL HEROLD
33,BRIAN FALLON
34,KEVIN CAVANAGH
44,JACOB NOLL
55,NATE O'BRIEN
b,r,e,a,k
Indiana Wesleyan,13
teamInfo,Huck Dynasty,"Greenwood, Indiana",,https://www.facebook.com/IWUultimate,https://twitter.com/IWU_Ultimate
00,Robert Burchell IV
01,Andrew Warren
02,Zakk Mabrey
03,Micah Osbron
05,Nikolas Evans
07,CALEB LIGHT
09,Liz DeMoss
12,Nick Martens
13,Derric Gowan
14,Kiana Broadley
25,Peter McNaught
37,Travis Carpenter
43,LEVI LEHMAN
b,r,e,a,k
Kenyon,4
teamInfo,SERF,"Gambier, Ohio",,,
0,Rehan Bhatti
0,Samuel Ross
0,Jackson Todd
0,Max Dugan
0,Thomas Piper
0,Shaun Stewart
0,ALEXANDER PIJANOWSKI
0,KYLE AARONSON
0,TIM KOTOWSKI
0,DAN KIPP
0,SCHUYLER LONGMORE
0,COREY BARBER-BOCKELMAN
0,Ian Round
0,ROB HEAVNER
0,Eli Kernis
0,Lewis Thompson
0,HANNING WONG
0,JOHN RANCATORE
0,John Thompson
0,Will Kyle
0,SCOTT MATUS
0,KEVIN ZHANG
8,Dominic Camperchioli
42,HENRY UPTON
b,r,e,a,k
Eastern Illinois,12
teamInfo,Reaper,"Charleston, Illinois",,,
0,AARON FAGALDE
0,ALEX LORE
2,Byron A Arellano
4,RYAN BROWN
12,Caleb Gurujal
13,Alex Castillo
32,GEORGE JONES
34,DERRIC MEYER
51,Nathan Page
57,MIKE HINZE
80,NATHAN KISSEL
91,CLAYTON COFFMAN
b,r,e,a,k
Middle Tennessee State,20
teamInfo,Lightning,"Murfreesboro, Tennessee",modules/common/www.mtsuultimate.com,modules/common/www.facebook.com/mtsuultimate,www.twitter.com/mtsuultimate
0,JORDAN ESTRADA
03,Daniel Moreland
08,Patrick Parris
10,PATRICK SIMS
13,Matthew Benson
17,Nathaniel Rosenberg
19,NATHAN TILTON
23,Matthew Smith
24,AARON BRYMER
25,MATT TUCKER
25,THOMAS PELUSO
33,Jovi Chittaphong
33,Robert Johnson
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Kansas,Illinois State,13,4,"02/22/2014, 12:30",Pool A,Final
Northwestern (B),Western Kentucky,11,9,"02/22/2014, 12:30",Pool A,Final
Oberlin,Western Kentucky,13,6,"02/22/2014, 02:00",Pool A,Final
Illinois State,Northwestern (B),11,4,"02/22/2014, 02:00",Pool A,Final
Kansas,Northwestern (B),13,2,"02/22/2014, 03:30",Pool A,Final
Oberlin,Illinois State,13,5,"02/22/2014, 03:30",Pool A,Final
Kansas,Oberlin,11,8,"02/22/2014, 05:00",Pool A,Final
Illinois State,Western Kentucky,13,10,"02/22/2014, 05:00",Pool A,Final
Kansas,Western Kentucky,13,6,"02/22/2014, 23:00",Pool A,Final
Oberlin,Northwestern (B),13,10,"02/22/2014, 23:00",Pool A,Final
pool,Pool B
Louisville,Southern Indiana,13,2,"02/22/2014, 12:30",Pool B,Final
Ohio Wesleyan,Southern Indiana,13,6,"02/22/2014, 02:00",Pool B,Final
Illinois,Louisville,13,2,"02/22/2014, 03:30",Pool B,Final
Illinois,Ohio Wesleyan,13,8,"02/22/2014, 05:00",Pool B,Final
Illinois,Georgia State,13,10,"02/22/2014, 12:30",Pool B,Final
Georgia State,Louisville,10,7,"02/22/2014, 14:00",Pool B,Final
Ohio Wesleyan,Georgia State,10,6,"02/22/2014, 15:30",Pool B,Final
Georgia State,Southern Indiana,13,4,"02/22/2014, 17:00",Pool B,Final
Illinois,Southern Indiana,13,0,"02/22/2014, 23:00",Pool B,Final
Ohio Wesleyan,Louisville,13,5,"02/22/2014, 23:00",Pool B,Final
pool,Pool C
Eastern Michigan,Kentucky,13,5,"02/22/2014, 12:30",Pool C,Final
Miami (Ohio),Union (Tennessee),10,9,"02/22/2014, 12:30",Pool C,Final
Kentucky,Miami (Ohio),11,9,"02/22/2014, 02:00",Pool C,Final
North Carolina-Asheville,Union (Tennessee),13,4,"02/22/2014, 02:00",Pool C,Final
North Carolina-Asheville,Kentucky,13,4,"02/22/2014, 03:30",Pool C,Final
Eastern Michigan,Miami (Ohio),13,1,"02/22/2014, 03:30",Pool C,Final
Eastern Michigan,North Carolina-Asheville,12,9,"02/22/2014, 05:00",Pool C,Final
Kentucky,Union (Tennessee),3,13,"02/22/2014, 05:00",Pool C,Final
Eastern Michigan,Union (Tennessee),13,5,"02/22/2014, 23:00",Pool C,Final
North Carolina-Asheville,Miami (Ohio),12,4,"02/22/2014, 23:00",Pool C,Final
pool,Pool D
Kenyon,Eastern Illinois,6,13,"02/22/2014, 12:30",Pool D,Final
Indiana Wesleyan,Middle Tennessee State,12,5,"02/22/2014, 12:30",Pool D,Final
Eastern Illinois,Indiana Wesleyan,9,7,"02/22/2014, 02:00",Pool D,Final
Xavier,Middle Tennessee State,12,2,"02/22/2014, 02:00",Pool D,Final
Xavier,Eastern Illinois,10,5,"02/22/2014, 03:30",Pool D,Final
Kenyon,Indiana Wesleyan,11,4,"02/22/2014, 03:30",Pool D,Final
Kenyon,Xavier,5,8,"02/22/2014, 05:00",Pool D,Final
Eastern Illinois,Middle Tennessee State,3,13,"02/22/2014, 05:00",Pool D,Final
Kenyon,Middle Tennessee State,10,5,"02/22/2014, 23:00",Pool D,Final
Xavier,Indiana Wesleyan,9,13,"02/22/2014, 23:00",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place
Ohio Wesleyan,Illinois,5,13,"02/23/2014, 13:30",1st Finals,Final
North Carolina-Asheville,Ohio Wesleyan,7,10,"02/23/2014, 12:00",1st Semis,Final
Eastern Michigan,Illinois,9,11,"02/23/2014, 12:00",1st Semis,Final
North Carolina-Asheville,Georgia State,11,4,"02/23/2014, 09:00",1st Prequarters,Final
Ohio Wesleyan,Union (Tennessee),10,8,"02/23/2014, 09:00",1st Prequarters,Final
Oberlin,Kenyon,9,8,"02/23/2014, 09:00",1st Prequarters,Final
Eastern Illinois,Illinois State,13,11,"02/23/2014, 09:00",1st Prequarters,Final
Kansas,North Carolina-Asheville,6,9,"02/23/2014, 10:30",1st Quarters,Final
Xavier,Ohio Wesleyan,5,8,"02/23/2014, 10:30",1st Quarters,Final
Eastern Michigan,Oberlin,15,4,"02/23/2014, 10:30",1st Quarters,Final
Illinois,Eastern Illinois,13,4,"02/23/2014, 10:30",1st Quarters,Final
bracket,3rd Place
North Carolina-Asheville,Eastern Michigan,8,12,"02/23/2014, 13:30",3rd Place,Final
bracket,5th Place
Kansas,Eastern Illinois,13,5,"02/23/2014, 12:00",5th Semis,Final
Xavier,Oberlin,9,13,"02/23/2014, 12:00",5th Semis,Final
Kansas,Oberlin,6,11,"02/23/2014, 13:30",5th Finals,Final
bracket,7th Place
Eastern Illinois,Xavier,0,1,"02/23/2014, 13:30",7th Place,Scheduled
bracket,9th Place
Georgia State,Union (Tennessee),7,9,"02/23/2014, 10:30",9th Semis,Final
Kenyon,Illinois State,5,7,"02/23/2014, 10:30",9th Semis,Final
Union (Tennessee),Illinois State,8,11,"02/23/2014, 12:00",9th Finals,Final
bracket,11th Place
Kenyon,Georgia State,12,5,"02/23/2014, 13:30",11th Place,Final
bracket,13th Place
Kentucky,Indiana Wesleyan,9,12,"02/23/2014, 12:00",13th Finals,Final
Northwestern (B),Middle Tennessee State,10,8,"02/23/2014, 09:00",13th Quarters,Final
Louisville,Kentucky,7,11,"02/23/2014, 09:00",13th Quarters,Final
Miami (Ohio),Southern Indiana,1,0,"02/23/2014, 09:00",13th Quarters,Final
Indiana Wesleyan,Western Kentucky,13,2,"02/23/2014, 09:00",13th Quarters,Final
Northwestern (B),Kentucky,9,13,"02/23/2014, 10:30",13th Semis,Final
Indiana Wesleyan,Miami (Ohio),10,9,"02/23/2014, 10:30",13th Semis,Final
bracket,15th Place
Miami (Ohio),Northwestern (B),9,5,"02/23/2014, 13:30",15th Place,Final
bracket,17th Place
Louisville,Middle Tennessee State,6,9,"02/23/2014, 12:00",17th Semis,Final
Western Kentucky,Southern Indiana,13,10,"02/23/2014, 12:00",17th Semis,Final
Middle Tennessee State,Western Kentucky,10,8,"02/23/2014, 13:30",17th Finals,Final
bracket,19th Place
Louisville,Southern Indiana,8,10,"02/23/2014, 13:30",19th Place,Final
b,r,e,a,k
