Huckfest,Club - Men ,12,7,2014
Decatur,AL,2014-07-12,2014-07-13
https://play.usaultimate.org/events/Huckfest/schedule/Men/Club-Men/
Prairie Fire,1
Prairie Squids,Howlers,15,13,"07/12/2014, 10:30",Pool D,Final
Queen City Thunder,Prairie Squids,13,14,"07/12/2014, 13:15",Pool D,Final
Howlers,Freaky Too,15,9,"07/12/2014, 13:15",Pool D,Final
pool,Pool E
Smokestack,Pocket City Approach,15,8,"07/12/2014, 08:30",Pool E,Final
Shotgun,Riders of Brohan,15,4,"07/12/2014, 08:30",Pool E,Final
Smokestack,Riders of Brohan,15,2,"07/12/2014, 10:30",Pool E,Final
Shotgun,Pocket City Approach,16,15,"07/12/2014, 10:30",Pool E,Final
Smokestack,Shotgun,15,10,"07/12/2014, 13:15",Pool E,Final
Pocket City Approach,Riders of Brohan,15,1,"07/12/2014, 13:15",Pool E,Final
pool,Pool F
Crude Ultimate,Blade,10,15,"07/12/2014, 08:30",Pool F,Final
Jurassic,Lagniappe,15,10,"07/12/2014, 08:30",Pool F,Final
Crude Ultimate,Lagniappe,15,6,"07/12/2014, 10:30",Pool F,Final
Jurassic,Blade,6,15,"07/12/2014, 10:30",Pool F,Final
Crude Ultimate,Jurassic,15,6,"07/12/2014, 13:15",Pool F,Final
Blade,Lagniappe,15,10,"07/12/2014, 13:15",Pool F,Final
b,r,e,a,k
clusters,Crossovers
cluster,Crossovers
Prairie Fire,Freaks Uv Nature,15,4,"07/12/2014, 15:15",,Final
Six Pack,Space City Ignite,15,13,"07/12/2014, 15:15",,Final
Ironmen,Howlers,15,6,"07/12/2014, 15:15",,Final
Cash Crop,Shotgun,15,7,"07/12/2014, 15:15",,Final
CaSTLe,Crude Ultimate,15,10,"07/12/2014, 15:15",,Final
Kentucky Flying Circus,Blade,15,6,"07/12/2014, 15:15",,Final
Jockamo,Smokestack,10,13,"07/12/2014, 15:15",,Final
Strong Hand,Prairie Squids,15,11,"07/12/2014, 15:15",,Final
Queen City Thunder,Riders of Brohan,15,4,"07/12/2014, 15:15",,Final
Pocket City Approach,Lagniappe,15,12,"07/12/2014, 15:15",,Final
Jurassic,Freaky Too,15,13,"07/12/2014, 15:15",,Final
PLEX,Southern Hospitality,16,14,"07/12/2014, 16:15",,Final
b,r,e,a,k
brackets,Sunday Brackets
bracket,1st Place
Prairie Fire,PLEX,13,5,"07/13/2014, 13:45",1st Place,Final
Prairie Fire,Cash Crop,13,4,"07/13/2014, 12:00",Semifinals,Final
Six Pack,PLEX,10,12,"07/13/2014, 12:00",Semifinals,Final
Prairie Fire,Kentucky Flying Circus,13,1,"07/13/2014, 10:15",Quarterfinals,Final
Southern Hospitality,Cash Crop,7,13,"07/13/2014, 10:15",Quarterfinals,Final
Six Pack,Freaks Uv Nature,13,8,"07/13/2014, 10:15",Quarterfinals,Final
PLEX,Ironmen,13,8,"07/13/2014, 10:15",Quarterfinals,Final
Space City Ignite,Kentucky Flying Circus,10,13,"07/13/2014, 08:30",Pre-Quarters,Final
Cash Crop,Strong Hand,14,12,"07/13/2014, 08:30",Pre-Quarters,Final
Freaks Uv Nature,Smokestack,13,10,"07/13/2014, 08:30",Pre-Quarters,Final
Ironmen,CaSTLe,13,9,"07/13/2014, 08:30",Pre-Quarters,Final
bracket,5th Place
Kentucky Flying Circus,Southern Hospitality,6,9,"07/13/2014, 13:45",5th Place,Final
Kentucky Flying Circus,Freaks Uv Nature,12,11,"07/13/2014, 12:00",Round Name,Final
Southern Hospitality,Ironmen,12,11,"07/13/2014, 12:00",Round Name,Final
bracket,9th Place
Space City Ignite,Strong Hand,13,7,"07/13/2014, 12:00",9th Place,Final
Space City Ignite,Smokestack,13,10,"07/13/2014, 10:15",Round Name,Final
Strong Hand,CaSTLe,13,3,"07/13/2014, 10:15",Round Name,Final
bracket,Chumpionship
Jockamo,Crude Ultimate,13,4,"07/13/2014, 13:45",13th Place,Final
Blade,Jockamo,6,13,"07/13/2014, 12:00",S-13th,Final
Prairie Squids,Crude Ultimate,9,13,"07/13/2014, 12:00",S-13th,Final
Blade,Queen City Thunder,13,11,"07/13/2014, 10:15",Q-13th,Final
Jockamo,Howlers,13,6,"07/13/2014, 10:15",Q-13th,Final
Prairie Squids,Pocket City Approach,14,12,"07/13/2014, 10:15",Q-13th,Final
Crude Ultimate,Shotgun,13,7,"07/13/2014, 10:15",Q-13th,Final
Queen City Thunder,Lagniappe,13,4,"07/13/2014, 08:30",PQ-13th,Final
Howlers,Riders of Brohan,13,4,"07/13/2014, 08:30",PQ-13th,Final
Pocket City Approach,Jurassic,13,6,"07/13/2014, 08:30",PQ-13th,Final
Shotgun,Freaky Too,13,11,"07/13/2014, 08:30",PQ-13th,Final
bracket,17th Place
Howlers,Shotgun,1,0,"07/13/2014, 13:45",17th Place,Final
Queen City Thunder,Howlers,7,13,"07/13/2014, 12:00",Round Name,Final
Pocket City Approach,Shotgun,6,12,"07/13/2014, 12:00",Round Name,Final
bracket,21st Place
Lagniappe,Jurassic,0,0,"07/13/2014, 12:00",21st Place,Scheduled
Lagniappe,Freaky Too,13,8,"07/13/2014, 10:15",Round Name,Final
Jurassic,Riders of Brohan,13,9,"07/13/2014, 10:15",Round Name,Final
bracket,11th Place
Smokestack,CaSTLe,0,1,"07/13/2014, 12:00",11th Place,Final
bracket,19th Place (If Played)
Queen City Thunder,Pocket City Approach,0,0,"07/13/2014, 13:45",19th Place,Scheduled
bracket,23rd Place
Freaky Too,Riders of Brohan,13,6,"07/13/2014, 12:00",23rd Place,Final
b,r,e,a,k
