Chicago Invite College,College - Men ,28,3,2014
Chicago,IL,2014-03-28,2014-03-30
https://play.usaultimate.org/events/Chicago-Invite-College/schedule/Men/CollegeMen/
North Dakota State,28
teamInfo,DUC,"Chicago, Illinois",modules/common/depaultimate.weebly.com,https://www.facebook.com/DePaulUltimateClub,https://twitter.com/depaultimate
0,CHARLES DIETERLE
0,Daniel Farber
4,Jacob Ward
5,Adam Klopfenstein
9,CHRISTOPHER HEIN
12,Matt Finley
14,Ciaran Shaughnessy
16,Andrew Gubernick
23,NATHAN MCDUFFEE
24,NICHOLAS JANICH
72,Amir Badri
b,r,e,a,k
St Mary's (Minnesota),14
teamInfo,MUTs,"Winona, Minnesota",,,
0,Spencer Holtorf
0,Trish Nguyen
0,PETER JOHNSON
0,Joseph Gargaro
0,JACOB HOLZER
0,Ryan Menden
0,Anthony Garoutte
0,Eric Amerling
0,Brian Propp
0,RUDY SCHUEBEL
0,John Ethen
0,Dan Fino
21,JOHN YOUNGKRANTZ
23,Nicholas Thell
b,r,e,a,k
North Texas,46
teamInfo,Illeagles,"Denton, Texas",,,
0,Eian Brent
0,Micah Rehfuss
0,Aramis Dixon
0,MITCHELL WALKER
0,DANIEL ZIEGLER
0,David Lowell
0,JACOB YOUNGBLOOD
0,BRIAN TU
0,VICTOR LINEROS
5,Leith McMillan
7,DOUGLAS FENDERSON
12,SCOTT RICHARDSON
b,r,e,a,k
Notre Dame (B),15
teamInfo,Opus D's,"Notre Dame, Indiana",,,
0,CHRISTOPHER GROCE
0,John Lane
0,Donald Fillion
0,Brian Randall
0,Daniel Fitzgerald
0,JAMES OLSEN
0,QUINN DOLAN
0,Sean Driscoll
0,ANDREW DESANTIS
0,JAY MICHUDA
5,Benjamin Israel
7,Mark Paluta
9,Keith (Jacob) Kinnard
14,Andrew McNally
33,Jack Klamer
64,John Szigety
73,KYLE MCCALL
87,BRIAN GAOUETTE
b,r,e,a,k
Illinois (B),18
teamInfo,Boomland,"Urbana, Illinois",,,
2,JEFFREY ZHU
7,TOM SCHWERMIN
9,MICHAEL CHEN
13,MARK PETERSON
19,ALEX GUY
20,Jarred Elliott
25,Paul Mondi
29,Ben Foster
32,DANIEL  CHEN
33,William Case
42,Thomas Winter
45,Kyle Gomez
50,FRANK LONG
52,MATTHEW PEREK
53,Ryan Kurtz
54,KARUN KOPPULA
57,Jonathan Alton
61,Connor Guest
67,Sam Scully
75,Eric Badger
77,John Miller
85,Benjamin Wang
99,Michael Macon
b,r,e,a,k
Wisconsin (C),50
teamInfo,Wisconsin - C,"Madison, Wisconsin",,,
0,SIDNEY SMITH
0,RILEY BENSON
0,MATTHEW BONELLO
3,Matthew Owens
9,MICHAEL SCHULENBERG
69,Danny Gollin
b,r,e,a,k
Illinois State (B),47
teamInfo,Gnomes B,"Normal, Illinois",,https://www.facebook.com/pages/Illinois-State-Ultimate/223013237713080,https://twitter.com/isugnomes
0,BEN ZEEB
0,ROSS HARTMAN
0,Victor Aldegren
0,Luke Schoenhofen
0,Zach Delegatto
0,Brayden Miller
4,Ryan Fitzgerald 
11,Zachary Ciaglia
44,Patrick Schmidt
b,r,e,a,k
Wisconsin-Milwaukee (B),16
teamInfo,Blackout,"Milwaukee, Wisconsin",,https://www.facebook.com/BlackCatUltimate,https://twitter.com/BlaCkatUltimate
0,brenden nihart
0,TAMIR KLEIN
0,J Asencion Giles
0,MICHAEL GARDNER
0,ETHAN KLEIN
5,ZACHARY HAMADA
16,Robert Penner
19,Nathaniel Wurzer
21,Adam Grujic
29,Mike Armstrong
94,LOGAN MCDERMOTT
b,r,e,a,k
Indiana (B),17
teamInfo,HoosierDaddy!s,"Bloomington, Indiana",,,
0,Hillel Sapir
0,Jackson Sills
0,Kal Wu
0,Joshua Duncan
0,JAMES SMALL
0,JONATHAN SMALL
0,Michael Kokot
0,Henrik Oetinger
0,BENJAMIN CALVERT-ROSENBERGER
0,Paul Bean
0,DANIEL SMEDEMA
0,LEVI Home
0,Rollen Dice
17,ALEXANDER VAN HALEN
40,Jacob Lucas
43,Caleb Ritchey
56,Patrick Nieto
77,KYLE ROCKERSHOUSEN
81,TREVOR OWENS
b,r,e,a,k
Purdue (B),48
teamInfo,Undue Ultimate - B ,"West Lafayette, Indiana",http://web.ics.purdue.edu/~ultimate/,https://www.facebook.com/pages/Purdue-Ultimate-Frisbee/128269583915564,https://twitter.com/UndueUltimate
0,JAMES TAY
0,SAMUEL STODDARD
0,Dalton Chaffee
0,JOSHUA ALGREM
0,NIRAL  SHAH
0,COLE FARMER
0,Jared Kassebaum
0,Raffy Salcedo
7,Michael Reed
24,Darrell Cheu
37,Aaron Subkow
42,Brian Holland
b,r,e,a,k
s,t,a,g,e,s
brackets,Friday Bonus
bracket,Friday Bonus #1
North Dakota State,Toledo,13,8,"03/28/2014, 16:00",Friday Bonus #1,Final
bracket,Friday Bonus #2
Marquette,Loyola-Chicago,11,13,"03/28/2014, 16:00",Friday Bonus #2,Final
bracket,Friday Bonus #3
Wheaton (Illinois),North Park,13,3,"03/28/2014, 16:00",Friday Bonus #3,Final
bracket,Friday Bonus #4
Nebraska,Nebraska-Omaha,8,13,"03/28/2014, 16:00",Friday Bonus #4,Final
bracket,Friday Bonus #5
North Dakota State,Wheaton (Illinois),6,13,"03/28/2014, 17:30",Friday Bonus #5,Final
bracket,Friday Bonus #6
Nebraska,Marquette,13,9,"03/28/2014, 17:30",Friday Bonus #6,Final
bracket,Friday Bonus #7
Nebraska-Omaha,Loyola-Chicago,7,13,"03/28/2014, 17:30",Friday Bonus #7,Final
bracket,Friday Bonus #8
Toledo,North Park,6,9,"03/28/2014, 17:30",Friday Bonus #8,Final
b,r,e,a,k
pools,Pool Play
pool,Pool A
Missouri,Kansas,11,10,"03/29/2014, 09:00",Pool A,Final
Michigan State University,Wright State,4,13,"03/29/2014, 09:00",Pool A,Final
Michigan State University,Kansas,9,10,"03/29/2014, 12:00",Pool A,Final
Missouri,Wright State,13,7,"03/29/2014, 12:00",Pool A,Final
Kansas,Wright State,10,13,"03/29/2014, 13:30",Pool A,Final
Missouri,Michigan State University,13,1,"03/29/2014, 13:30",Pool A,Final
pool,Pool B
Notre Dame,Oregon State,10,9,"03/29/2014, 10:30",Pool B,Final
Washington University,Ohio Wesleyan,13,8,"03/29/2014, 10:30",Pool B,Final
Washington University,Oregon State,13,5,"03/29/2014, 12:00",Pool B,Final
Notre Dame,Ohio Wesleyan,11,9,"03/29/2014, 12:00",Pool B,Final
Washington University,Notre Dame,13,2,"03/29/2014, 15:00",Pool B,Final
Ohio Wesleyan,Oregon State,13,7,"03/29/2014, 15:00",Pool B,Final
pool,Pool C
Case Western Reserve,Illinois State,13,1,"03/29/2014, 09:00",Pool C,Final
St John's,Wheaton (Illinois),12,7,"03/29/2014, 09:00",Pool C,Final
Case Western Reserve,Wheaton (Illinois),13,4,"03/29/2014, 10:30",Pool C,Final
St John's,Illinois State,11,6,"03/29/2014, 10:30",Pool C,Final
Case Western Reserve,St John's,13,6,"03/29/2014, 13:30",Pool C,Final
Illinois State,Wheaton (Illinois),8,10,"03/29/2014, 13:30",Pool C,Final
pool,Pool D
Winona State,Purdue,4,13,"03/29/2014, 10:30",Pool D,Final
Indiana Wesleyan,Wisconsin-Whitewater,13,6,"03/29/2014, 10:30",Pool D,Final
Winona State,Wisconsin-Whitewater,11,7,"03/29/2014, 12:00",Pool D,Final
Indiana Wesleyan,Purdue,10,9,"03/29/2014, 12:00",Pool D,Final
Winona State,Indiana Wesleyan,10,8,"03/29/2014, 15:00",Pool D,Final
Purdue,Wisconsin-Whitewater,9,8,"03/29/2014, 15:00",Pool D,Final
pool,Pool E
North Park,American,11,10,"03/29/2014, 09:00",Pool E,Final
North Dakota State,Eastern Illinois,9,10,"03/29/2014, 09:00",Pool E,Final
North Park,Eastern Illinois,10,9,"03/29/2014, 13:30",Pool E,Final
North Dakota State,American,8,11,"03/29/2014, 13:30",Pool E,Final
North Park,North Dakota State,12,6,"03/29/2014, 15:00",Pool E,Final
American,Eastern Illinois,13,9,"03/29/2014, 15:00",Pool E,Final
pool,Pool F
Missouri S&T,Western Michigan,11,9,"03/29/2014, 09:00",Pool F,Final
Wisconsin-Parkside,Olivet Nazarene University,13,12,"03/29/2014, 09:00",Pool F,Final
Missouri S&T,Olivet Nazarene University,5,13,"03/29/2014, 12:00",Pool F,Final
Wisconsin-Parkside,Western Michigan,9,7,"03/29/2014, 12:00",Pool F,Final
Missouri S&T,Wisconsin-Parkside,13,7,"03/29/2014, 13:30",Pool F,Final
Western Michigan,Olivet Nazarene University,9,11,"03/29/2014, 13:30",Pool F,Final
pool,Pool G
Central Arkansas,Nebraska,13,7,"03/29/2014, 10:30",Pool G,Final
Loyola-Chicago,Western Illinois,13,6,"03/29/2014, 10:30",Pool G,Final
Central Arkansas,Western Illinois,13,11,"03/29/2014, 12:00",Pool G,Final
Loyola-Chicago,Nebraska,7,12,"03/29/2014, 12:00",Pool G,Final
Central Arkansas,Loyola-Chicago,13,8,"03/29/2014, 15:00",Pool G,Final
Nebraska,Western Illinois,13,7,"03/29/2014, 15:00",Pool G,Final
pool,Pool H
Valparaiso,Northern Michigan,9,10,"03/29/2014, 09:00",Pool H,Final
Marquette,Nebraska-Omaha,10,11,"03/29/2014, 09:00",Pool H,Final
Valparaiso,Nebraska-Omaha,8,13,"03/29/2014, 10:30",Pool H,Final
Marquette,Northern Michigan,8,11,"03/29/2014, 10:30",Pool H,Final
Valparaiso,Marquette,6,12,"03/29/2014, 13:30",Pool H,Final
Northern Michigan,Nebraska-Omaha,13,9,"03/29/2014, 13:30",Pool H,Final
pool,Pool I
Wisconsin-La Crosse,Rose-Hulman,11,10,"03/29/2014, 10:30",Pool I,Final
IUPUI,Drake,13,9,"03/29/2014, 10:30",Pool I,Final
Wisconsin-La Crosse,Drake,5,8,"03/29/2014, 12:00",Pool I,Final
IUPUI,Rose-Hulman,13,11,"03/29/2014, 12:00",Pool I,Final
Wisconsin-La Crosse,IUPUI,8,9,"03/29/2014, 15:00",Pool I,Final
Rose-Hulman,Drake,3,13,"03/29/2014, 15:00",Pool I,Final
pool,Pool J
Michigan (B),Northern Illinois,13,7,"03/29/2014, 09:00",Pool J,Final
Toledo,Creighton,11,9,"03/29/2014, 09:00",Pool J,Final
Michigan (B),Creighton,10,7,"03/29/2014, 13:30",Pool J,Final
Toledo,Northern Illinois,11,12,"03/29/2014, 13:30",Pool J,Final
Michigan (B),Toledo,12,5,"03/29/2014, 15:00",Pool J,Final
Northern Illinois,Creighton,13,8,"03/29/2014, 15:00",Pool J,Final
pool,Pool K
Elgin CC,Carthage,13,10,"03/29/2014, 09:00",Pool K,Final
Washington University (B),Dupage,3,13,"03/29/2014, 09:00",Pool K,Final
Elgin CC,Dupage,8,11,"03/29/2014, 12:00",Pool K,Final
Washington University (B),Carthage,12,10,"03/29/2014, 12:00",Pool K,Final
Elgin CC,Washington University (B),13,7,"03/29/2014, 13:30",Pool K,Final
Carthage,Dupage,8,13,"03/29/2014, 13:30",Pool K,Final
pool,Pool L
Bradley,Missouri (B),13,5,"03/29/2014, 10:30",Pool L,Final
Loras,Michigan Tech,13,5,"03/29/2014, 10:30",Pool L,Final
Bradley,Michigan Tech,13,7,"03/29/2014, 12:00",Pool L,Final
Loras,Missouri (B),13,0,"03/29/2014, 12:00",Pool L,Final
Bradley,Loras,13,4,"03/29/2014, 15:00",Pool L,Final
Missouri (B),Michigan Tech,6,11,"03/29/2014, 15:00",Pool L,Final
pool,Pool M
Southern Illinois,Bethel,8,10,"03/29/2014, 09:00",Pool M,Final
Milwaukee School of Engineering,Michigan State (B),13,5,"03/29/2014, 09:00",Pool M,Final
Southern Illinois,Michigan State (B),11,10,"03/29/2014, 10:30",Pool M,Final
Milwaukee School of Engineering,Bethel,10,12,"03/29/2014, 10:30",Pool M,Final
Southern Illinois,Milwaukee School of Engineering,12,9,"03/29/2014, 13:30",Pool M,Final
Bethel,Michigan State (B),13,4,"03/29/2014, 13:30",Pool M,Final
pool,Pool N
St Mary's (Minnesota),North Texas,10,9,"03/29/2014, 10:30",Pool N,Final
DePaul,Wisconsin (B),10,9,"03/29/2014, 10:30",Pool N,Final
St Mary's (Minnesota),Wisconsin (B),8,13,"03/29/2014, 12:00",Pool N,Final
DePaul,North Texas,11,10,"03/29/2014, 12:00",Pool N,Final
St Mary's (Minnesota),DePaul,13,12,"03/29/2014, 15:00",Pool N,Final
North Texas,Wisconsin (B),8,11,"03/29/2014, 15:00",Pool N,Final
pool,Pool O
Notre Dame (B),Illinois (B),13,8,"03/29/2014, 09:00",Pool O,Final
Illinois State (B),Wisconsin (C),5,13,"03/29/2014, 09:00",Pool O,Final
Notre Dame (B),Illinois State (B),11,5,"03/29/2014, 13:30",Pool O,Final
Illinois (B),Wisconsin (C),11,9,"03/29/2014, 13:30",Pool O,Final
Notre Dame (B),Wisconsin (C),10,6,"03/29/2014, 15:00",Pool O,Final
Illinois (B),Illinois State (B),11,8,"03/29/2014, 15:00",Pool O,Final
pool,Pool P
Wisconsin-Milwaukee (B),Purdue (B),8,3,"03/29/2014, 10:30",Pool P,Final
Indiana (B),Purdue (B),13,10,"03/29/2014, 12:00",Pool P,Final
Wisconsin-Milwaukee (B),Indiana (B),11,8,"03/29/2014, 13:30",Pool P,Final
b,r,e,a,k
brackets,Special
bracket,Special #2
Wisconsin-Milwaukee (B),Milwaukee School of Engineering,3,10,"03/29/2014, 12:00",Special #2,Final
bracket,Special #3
Purdue (B),Loras,6,9,"03/29/2014, 13:30",Special #3,Final
b,r,e,a,k
clusters,Play-In Games
cluster,Play-In Games
Michigan State University,Case Western Reserve,3,13,"03/29/2014, 16:30",,Final
Oregon State,Purdue,10,12,"03/29/2014, 16:30",,Final
Ohio Wesleyan,North Park,3,11,"03/29/2014, 16:30",,Final
Kansas,Olivet Nazarene University,11,6,"03/29/2014, 16:30",,Final
Illinois State,Central Arkansas,13,12,"03/29/2014, 16:30",,Final
Wisconsin-Whitewater,Northern Michigan,2,13,"03/29/2014, 16:30",,Final
North Dakota State,IUPUI,8,10,"03/29/2014, 16:30",,Final
Western Michigan,Michigan (B),12,9,"03/29/2014, 16:30",,Final
Western Illinois,Dupage,5,13,"03/29/2014, 18:00",,Final
Valparaiso,Bradley,12,3,"03/29/2014, 18:00",,Final
Rose-Hulman,Bethel,13,10,"03/29/2014, 18:00",,Final
Creighton,Wisconsin (B),4,13,"03/29/2014, 18:00",,Final
Carthage,Notre Dame (B),6,13,"03/29/2014, 18:00",,Final
Missouri (B),Wisconsin-Milwaukee (B),7,9,"03/29/2014, 18:00",,Final
Michigan State (B),Indiana (B),6,13,"03/29/2014, 18:00",,Final
North Texas,Illinois (B),10,11,"03/29/2014, 18:00",,Final
b,r,e,a,k
clusters,Crossover Games
cluster,Crossover Games
St John's,Indiana Wesleyan,7,10,"03/29/2014, 16:30",,Final
Winona State,Wheaton (Illinois),1,13,"03/29/2014, 16:30",,Final
American,Wisconsin-Parkside,11,7,"03/29/2014, 16:30",,Final
Missouri S&T,Eastern Illinois,11,9,"03/29/2014, 16:30",,Final
Nebraska,Marquette,13,11,"03/29/2014, 16:30",,Final
Nebraska-Omaha,Loyola-Chicago,12,11,"03/29/2014, 16:30",,Final
Drake,Toledo,13,4,"03/29/2014, 16:30",,Final
Northern Illinois,Wisconsin-La Crosse,5,9,"03/29/2014, 18:00",,Final
Elgin CC,Michigan Tech,F,W,"03/29/2014, 18:00",,Final
Loras,Washington University (B),10,11,"03/29/2014, 18:00",,Final
Southern Illinois,St Mary's (Minnesota),6,13,"03/29/2014, 18:00",,Final
DePaul,Milwaukee School of Engineering,11,10,"03/29/2014, 18:00",,Final
Purdue (B),Illinois State (B),13,2,"03/29/2014, 18:00",,Final
b,r,e,a,k
brackets,Brackets
bracket,Championship Bracket
Missouri,Purdue,13,8,"03/30/2014, 11:20",Champ Quarters,Final
Notre Dame,Kansas,15,8,"03/30/2014, 11:20",Champ Quarters,Final
Washington University,Case Western Reserve,13,14,"03/30/2014, 11:20",Champ Quarters,Final
Wright State,North Park,15,14,"03/30/2014, 11:20",Champ Quarters,Final
Missouri,Notre Dame,14,11,"03/30/2014, 13:00",Champ Semis,Final
Case Western Reserve,Wright State,15,5,"03/30/2014, 13:00",Champ Semis,Final
Missouri,Case Western Reserve,14,11,"03/30/2014, 14:40",Champ Finals,Final
bracket,3rd Place
Notre Dame,Wright State,15,7,"03/30/2014, 14:40",3rd Place,Final
bracket,5th Place Bracket
Purdue,Kansas,7,9,"03/30/2014, 13:00",5th Place Semis,Final
Washington University,North Park,14,10,"03/30/2014, 13:00",5th Place Semis,Final
Kansas,Washington University,6,11,"03/30/2014, 14:40",5th Place Finals,Final
bracket,7th Place
Purdue,North Park,11,13,"03/30/2014, 14:40",7th Place,Final
bracket,9th Place Bracket
Michigan State University,Western Michigan,15,11,"03/30/2014, 08:00",9th Place Pre-Quarters,Final
Missouri S&T,St John's,10,13,"03/30/2014, 08:00",9th Place Pre-Quarters,Final
Olivet Nazarene University,Illinois State,13,14,"03/30/2014, 08:00",9th Place Pre-Quarters,Final
Indiana Wesleyan,Eastern Illinois,11,8,"03/30/2014, 08:00",9th Place Pre-Quarters,Final
Oregon State,IUPUI,14,12,"03/30/2014, 08:00",9th Place Pre-Quarters,Final
American,Winona State,14,15,"03/30/2014, 08:00",9th Place Pre-Quarters,Final
Ohio Wesleyan,Northern Michigan,14,15,"03/30/2014, 08:00",9th Place Pre-Quarters,Final
Wheaton (Illinois),Wisconsin-Parkside,13,14,"03/30/2014, 08:00",9th Place Pre-Quarters,Final
Michigan State University,St John's,11,10,"03/30/2014, 09:40",9th Place Quarters,Final
Illinois State,Indiana Wesleyan,13,12,"03/30/2014, 09:40",9th Place Quarters,Final
Oregon State,Winona State,11,13,"03/30/2014, 09:40",9th Place Quarters,Final
Northern Michigan,Wisconsin-Parkside,14,5,"03/30/2014, 09:40",9th Place Quarters,Final
Michigan State University,Illinois State,15,12,"03/30/2014, 13:00",9th Place Semis,Final
Winona State,Northern Michigan,11,15,"03/30/2014, 13:00",9th Place Semis,Final
Michigan State University,Northern Michigan,15,13,"03/30/2014, 14:40",9th Place Finals,Final
bracket,11th Place
Illinois State,Winona State,11,3,"03/30/2014, 14:40",11th Place,Final
bracket,13th Place Bracket
St John's,Indiana Wesleyan,9,8,"03/30/2014, 13:00",13th Place Semis,Final
Oregon State,Wisconsin-Parkside,6,15,"03/30/2014, 13:00",13th Place Semis,Final
St John's,Wisconsin-Parkside,7,11,"03/30/2014, 14:40",13th Place Finals,Final
bracket,17th Place Bracket
Western Michigan,Missouri S&T,14,8,"03/30/2014, 09:40",17th Place Quarters,Final
Olivet Nazarene University,Eastern Illinois,11,8,"03/30/2014, 09:40",17th Place Quarters,Final
IUPUI,American,5,15,"03/30/2014, 09:40",17th Place Quarters,Final
Ohio Wesleyan,Wheaton (Illinois),11,10,"03/30/2014, 09:40",17th Place Quarters,Final
Western Michigan,Olivet Nazarene University,14,10,"03/30/2014, 13:00",17th Place Semis,Final
American,Ohio Wesleyan,13,8,"03/30/2014, 13:00",17th Place Semis,Final
Western Michigan,American,8,13,"03/30/2014, 14:40",17th Place Finals,Final
bracket,25th Place Bracket
Central Arkansas,Wisconsin (B),12,14,"03/30/2014, 08:00",25th Place Pre-Quarters,Final
Wisconsin-La Crosse,Marquette,9,15,"03/30/2014, 08:00",25th Place Pre-Quarters,Final
Michigan (B),Dupage,10,15,"03/30/2014, 08:00",25th Place Pre-Quarters,Final
Nebraska,Northern Illinois,15,7,"03/30/2014, 08:00",25th Place Pre-Quarters,Final
Wisconsin-Whitewater,Rose-Hulman,15,5,"03/30/2014, 08:00",25th Place Pre-Quarters,Final
Drake,Loyola-Chicago,15,14,"03/30/2014, 08:00",25th Place Pre-Quarters,Final
North Dakota State,Valparaiso,11,13,"03/30/2014, 08:00",25th Place Pre-Quarters,Final
Nebraska-Omaha,Toledo,14,13,"03/30/2014, 08:00",25th Place Pre-Quarters,Final
Wisconsin (B),Marquette,8,12,"03/30/2014, 09:40",25th Place Quarters,Final
Dupage,Nebraska,10,15,"03/30/2014, 09:40",25th Place Quarters,Final
Wisconsin-Whitewater,Drake,15,14,"03/30/2014, 09:40",25th Place Quarters,Final
Valparaiso,Nebraska-Omaha,13,9,"03/30/2014, 09:40",25th Place Quarters,Final
Marquette,Nebraska,8,15,"03/30/2014, 11:20",25th Place Semis,Final
Wisconsin-Whitewater,Valparaiso,6,15,"03/30/2014, 11:20",25th Place Semis,Final
Nebraska,Valparaiso,0,1,"03/30/2014, 14:40",25th Place Finals,Final
bracket,27th Place
Marquette,Wisconsin-Whitewater,14,12,"03/30/2014, 14:40",27th Place,Final
bracket,29th Place Bracket
Wisconsin (B),Dupage,1,0,"03/30/2014, 11:20",29th Place Semis,Final
Drake,Nebraska-Omaha,11,15,"03/30/2014, 11:20",29th Place Semis,Final
Wisconsin (B),Nebraska-Omaha,1,0,"03/30/2014, 14:40",29th Place Finals,Final
bracket,33rd Place Bracket
Central Arkansas,Wisconsin-La Crosse,13,12,"03/30/2014, 09:40",33rd Place Quarters,Final
Michigan (B),Northern Illinois,15,12,"03/30/2014, 09:40",33rd Place Quarters,Final
Rose-Hulman,Loyola-Chicago,6,13,"03/30/2014, 09:40",33rd Place Quarters,Final
North Dakota State,Toledo,0,1,"03/30/2014, 09:40",33rd Place Quarters,Final
Central Arkansas,Michigan (B),0,1,"03/30/2014, 11:20",33rd Place Semis,Final
Loyola-Chicago,Toledo,12,6,"03/30/2014, 11:20",33rd Place Semis,Final
Michigan (B),Loyola-Chicago,11,7,"03/30/2014, 14:40",33rd Place Finals,Final
bracket,41st Place Bracket
Western Illinois,Illinois (B),12,13,"03/30/2014, 08:00",41st Place Pre-Quarters,Final
DePaul,Elgin CC,14,13,"03/30/2014, 08:00",41st Place Pre-Quarters,Final
Creighton,Notre Dame (B),14,10,"03/30/2014, 08:00",41st Place Pre-Quarters,Final
Michigan Tech,Milwaukee School of Engineering,9,14,"03/30/2014, 08:00",41st Place Pre-Quarters,Final
Bradley,Indiana (B),15,10,"03/30/2014, 08:00",41st Place Pre-Quarters,Final
St Mary's (Minnesota),Loras,15,4,"03/30/2014, 08:00",41st Place Pre-Quarters,Final
Bethel,Wisconsin-Milwaukee (B),15,8,"03/30/2014, 08:00",41st Place Pre-Quarters,Final
Washington University (B),Southern Illinois,11,10,"03/30/2014, 08:00",41st Place Pre-Quarters,Final
Illinois (B),DePaul,11,10,"03/30/2014, 11:20",41st Place Quarters,Final
Creighton,Milwaukee School of Engineering,15,13,"03/30/2014, 11:20",41st Place Quarters,Final
Bradley,St Mary's (Minnesota),13,14,"03/30/2014, 11:20",41st Place Quarters,Final
Bethel,Washington University (B),15,9,"03/30/2014, 11:20",41st Place Quarters,Final
Illinois (B),Creighton,7,15,"03/30/2014, 13:00",41st Place Semis,Final
St Mary's (Minnesota),Bethel,11,12,"03/30/2014, 13:00",41st Place Semis,Final
Creighton,Bethel,12,14,"03/30/2014, 14:40",41st Place Finals,Final
bracket,43rd Place
Illinois (B),St Mary's (Minnesota),8,9,"03/30/2014, 14:40",43rd Place,Final
bracket,45th Place Bracket
DePaul,Milwaukee School of Engineering,12,9,"03/30/2014, 13:00",45th Place Semis,Final
Bradley,Washington University (B),8,9,"03/30/2014, 13:00",45th Place Semis,Final
DePaul,Washington University (B),4,8,"03/30/2014, 14:40",45th Place Finals,Final
bracket,49th Place Bracket
Western Illinois,Elgin CC,13,15,"03/30/2014, 11:20",49th Place Quarters,Final
Notre Dame (B),Michigan Tech,15,14,"03/30/2014, 11:20",49th Place Quarters,Final
Indiana (B),Loras,13,14,"03/30/2014, 11:20",49th Place Quarters,Final
Wisconsin-Milwaukee (B),Southern Illinois,5,12,"03/30/2014, 11:20",49th Place Quarters,Final
Elgin CC,Notre Dame (B),10,15,"03/30/2014, 13:00",49th Place Semis,Final
Loras,Southern Illinois,1,0,"03/30/2014, 13:00",49th Place Semis,Final
Notre Dame (B),Loras,0,0,"03/30/2014, 14:40",49th Place Finals,Scheduled
bracket,59th Place
Carthage,Michigan State (B),9,4,"03/30/2014, 13:00",59th Place,Final
b,r,e,a,k
clusters,Sunday Bonus Games
cluster,Sunday Bonus Games
Michigan (B),Nebraska-Omaha,13,12,"03/30/2014, 11:20",,Final
Michigan (B),Wisconsin-La Crosse,15,3,"03/30/2014, 13:00",,Final
b,r,e,a,k
