The Culture 2020,College - Men ,7,3,2020
Vineland,NJ,2020-03-07,2020-03-08
https://play.usaultimate.org/events/The-Culture-2020/schedule/Men/CollegeMen/
SUNY-Buffalo,5
0,Tyler Wheelwright
0,William Kimberly
0,Zane Thompson-Bradley
2,Tyler Hallowell
5,Matt Mancuso
12,Brian  Petrovic
13,Josh Camacho
14,Joshua Simpson
16,Alexander  Mitchell
17,Tyler Caston
19,Brian Slack
22,Brian Nigro
28,Robert Anderson
33,Elliott Nguyen
34,Brandon Reynoso
36,Kaleb Yuen
42,Daniel Sullivan
47,Glen Warner
69,Krzysztof Piskorski
77,Zachary Johnson
87,Jacob Willsey
b,r,e,a,k
Delaware (B),8
teamInfo,Sideshow,"Newark, Delaware",,,https://twitter.com/sideshow_b
0,Brandon Perez
0,Derek Alford
0,Eric Jansson
0,Gideon Berman
0,Jacob Lampert
0,Jacob Herz
0,James Spucches
0,Jeffrey  Lin
0,Kevin Khov
0,Michael Savas
0,Stefan Haroldsson
3,Chris Remley
4,Chor In Lam
5,Brandon Hunter
6,Nathan Abbe
14,Henry Ackroyd
17,Zach Roy
36,Patrick O'Brien
46,Vincent Sargeni
86,Kevin Kurzeja
b,r,e,a,k
Colgate,2
teamInfo,Jabberwock,"Hamilton, New York",,https://www.facebook.com/Jabbervibe,https://twitter.com/jabberwockult
4,Matthew Littleton
5,Jeffrey Ran
7,Jack McGrath
09,Caio Brighenti
13,Teddy Campbell
18,Justin Moore
20,Ryan Ewanow
22,Ian Wehrly
25,Jonathan Heitner
28,Sam Markowitz
33,Hua Zheng
35,Elijah Yadidi
36,Sam Rowland
37,Patrick  May
39,Charles Huemmler
61,Ethan Paasche
b,r,e,a,k
SUNY-Stony Brook,3
teamInfo,Panic,"Stony Brook, New York",,https://www.facebook.com/SBUUltimateFrisbee/,
0,Devlin Donnelly
0,Geoffrey Zheng
0,Ryan Wales
0,Sean O'Sullivan
0,Spencer Cona
0,Philip Iaccarino
4,Johnny Jiang
12,Oliver Voorhees
13,Cody Brady
17,Rocco Amorosso
25,Avery Ball
26,Martin Kurtz
36,James Quiroz
38,Will Burks
87,Brandon Chan
b,r,e,a,k
Maryland (B),7
teamInfo,Astro Quakers,"College Park, Maryland",,,https://www.twitter.com/umdfub
0,Casey Fuller
0,Christopher Olin
0,Colin Doscher
0,Ethan Winters
0,Evan Johnson
0,Jacob Russnogle
0,Alexander Apasov
0,Patrick Little
0,Sam Wenner
0,Sanjay Subramanian
0,Sean Costello
0,Seth  Gleaner
0,Zach Eisner
0,Zachary Rabin
11,Nischal Shah
12,Max Xuan
15,Alec Goodman
15,Daniel Niezelski
19,Kevin Kruger
37,Andrew Nash
43,Mark Schlining
45,Rudra Menon
56,William Dacey
69,Natan Rapaport
b,r,e,a,k
Tufts (B),6
teamInfo,Tufts B,"Medford, Massachusetts",modules/common/www.tuftsmensultimate.org,,
0,Danny Nguyen
0,Elias Benghiat
0,Francis Straceski
0,Gus Meyer
0,Isaac Wilde
0,Max Woolf
0,Jonah Zuckerman
0,Matthew Bresler
0,Matthew Werenski
0,Maxwell Kaye
0,Mikael Hadeshian
0,Ben Santaus
0,Benjamin Cole
0,Christopher  Garcia
0,Daniel Plotkin
0,Noah Schwartz
0,Philip Sprague
0,Russell Ruffolo
0,Teagan Hart
0,Varun Shah
7,Brian Strothman
23,Samuel Wilk
27,Daniel Alderman
76,Neal Chan
b,r,e,a,k
Edinboro,10
teamInfo,Haggis,"Edinboro, Pennsylvania",,https://www.facebook.com/HaggisUltimate/,https://twitter.com/haggisultimate
1,Sarah Figueroa
4,Simon Gadley
10,Noah Wilson
14,Josh Maifeld
19,Austin Jones
20,Adam Rhine
25,Robbie Matan
33,Troy Beauchat
35,Kesean Newkirk
66,Jonathan Rowell
74,Joseph Honeychuck
b,r,e,a,k
Penn State (B),11
teamInfo,LoveTap,"University Park, Pennsylvania",,,https://twitter.com/LovetapDisc
0,Carter Monroe
0,Chris Alderfer
0,Hong Yu Wong
0,Jose Santana
0,Josh Reyer
0,Lucas Forest
0,Noah Droege
0,Richard Sodeinde
0,Thomas Meinert
0,William Szeliga
1,Michael Battisti
4,Jason Ehrich
6,Kyle Schmauk
7,Bruce Gonzaga
11,Jacob Moyer
12,Patrick Walker
13,Uriah Frederick
17,Cameron Tickerhoof
25,Michael Willis
26,Mateo Lupinetti
31,Jordan Chen
32,Matt Delmar
34,Kevin Noonan
48,Matthew Boyle
91,John Haser
b,r,e,a,k
Jefferson,16
teamInfo,Ram Riders,"Philadelphia, Pennsylvania",,,
0,Andre' Davis
01,Nicholas Hammerschmidt
02,Thomas Buonanno
05,Evan Schwarzmann 
07,Zachary Winton
09,Ethan Thatcher
11,Timothy Skill
12,Michael Klepfer
15,Ryan Hough
18,Adrian Antunez
22,Isaac Savinese
40,Austin Planer
42,Peter Krpata
53,Adam King
69,Andrew Pavelik
77,Scott Cousens
99,matt kotula
b,r,e,a,k
Rowan  (B),21
teamInfo,Ruf Riders B,"Glassboro, New Jersey",,,
0,Stephen Burner
7,Christian Zalegowski
02,Adam Becker
05,Michael Teitelman
11,Christopher Mahoney
15,Troy Goodman
21,Robert Huegel
33,Jake Zitterman
37,John Lemly
50,Mark Butler
51,Ethan Ryan-Kubis
55,Joseph D'Intino
69,Jake Grossman
99,Joseph Prancl
b,r,e,a,k
SUNY-Stony Brook-B,22
teamInfo,Brick,"Stony Brook, New York",,,
0,Daniel Chao
0,David Lavigne
0,Eric Paez
0,Guillermo Martinez
0,Matthew Collins
0,Syed  Gillani
0,Timothy Werkmeister
0,WeiBang Huang
0,Alvaro Maseda
0,Andrew Hempel
11,Blake Reino
30,Andy  Zheng
b,r,e,a,k
Yale (B),17
teamInfo,Friends of Gravity,"New Haven, Connecticut",http://superfly.sites.yale.edu/,https://www.facebook.com/SuperflyUltimate/,
0,Allen Ryu
0,Andrew Kornfeld
0,Daniel Lu
0,Daniel Liu
0,Gabriel Broome
0,John Kuszmaul
0,Matthew Zhang
0,Neal Ma
0,Tai Michaels
14,Ryan Fuentes
32,Yichen Hao
b,r,e,a,k
Hofstra,12
teamInfo,Flying Dutchmen,"Hempstead, New York",,,@HUFDUltimate
coaches,Tyler McCarthy
0,Joseph Campagna
6,Justin Alvarez
8,Joshua Garatti
01,Aidan Henry
05,Matthew DiDomenico
07,Diante Ferguson
11,Frank Larkin
12,Benjamin Rudgayzer
13,Maxwell Underhill
14,Donald Kelly
15,Sean Boody
16,Evan Blake
19,Jason Valverde
20,Ricardo Lopez
21,Joshua Rudgayzer
22,Brian Kreidberg
23,Justin Basdeo
24,Anthony Muscarello
25,Bohdan Fostakovskyy
25,Andrew Muscarello
27,Tyler Martineau
28,Kyle Joshua Ozo
32,Corey Dalmedo
37,Kyle Sommerlad
47,Stephen Wood
59,CJ Colombaris
64,Jake Santangelo
77,Chima Odume
99,Max Milstein
b,r,e,a,k
Cornell (B),15
teamInfo,Shake),"Ithaca, New York",https://cornell.campusgroups.com/shake/home/,,https://twitter.com/shakeultimate
0,Jacob Walter
0,Jake Beckman
0,Joseph Horwitz
0,Marcus  Johnson
0,Max Siragusa
0,Maximilian Griner
0,Mitchell Leung
0,Aaron Berman
0,Benji Hofing
0,Reynold Gao
2,Sam Fuchs
7,Amrit Hingorani
12,Toby Lidov
18,Elliot Hare
28,Nelson Liu
b,r,e,a,k
SUNY-Albany (B),18
teamInfo,SCAM,"Albany, New York",,,
0,Alexander Blake
0,Edwin Rodriguez
0,Gabriel Wersebe
3,Aidan Mclaren
4,Mike  Bonjolo
5,Kyle Dillon
6,Matthew O'Brien
7,Joshua Parlapiano
8,Jefferson Huang
9,Evan Alaimo
18,Preston Paige
21,William Vasoll Jr.
23,Griffin Ghiraldini
27,Kyle  Behrenfeld
31,Eric Riemer
33,Brian Ma
50,Joseph Regan
55,Logan Stone
64,Kevin Salvador
67,Greg Hemmes
69,Gabriel Olufade
70,Craig Beach
84,Max Weissman
b,r,e,a,k
SUNY-Buffalo (B),20
teamInfo,Grinch,"Buffalo, New York",,https://www.facebook.com/groups/1108177739215445/,https://twitter.com/grinchultimate
0,Andrew Frost
0,Andrew Ralicki
0,Bryson Nieves
0,Charles VanNess
0,Matthew Carr
0,Ryan Doyle
0,Ryan Cortazzo
0,Saul Wlasowicz
0,Tyler Mathis
3,Zackary Dubel
4,Joe Gambino
9,Charles Harten
13,Mathew Goodwin
13,Rodrigo Tjan
25,Joe  Bachraty
26,David Harning
34,Sean Cudia
42,Joshua-Paul Atkinson
69,Stephen Klein
73,Kyle Heneveld
87,Jay Pierce
99,Ryan Yam
b,r,e,a,k
Slippery Rock,13
teamInfo,SRU Lion Pride,"Slippery Rock, Pennsylvania",,,
0,Donivan Mouck
0,Dylan Forrester
0,Evan Hilk
0,Ian Swartz
0,Jacob Jenis
0,Jon dePoutiloff
0,Lucas Saunders
0,Matthew Gill
0,Nathan Grande
0,Nick Uba
0,Patrick Inman
0,Petryl Starks
0,Robert Maddox
0,Samuel Miloser
0,Martin Zender
9,Luke Pedersen
10,Devon Lorance
10,Matthew Rechenberg
11,Nicholas Nagel
11,Joseph Proper
21,Daiquan Skinner
22,eliot manns
22,William Davis
32,Nicholas Carter
66,Eric Nero
69,Leyth Smith
b,r,e,a,k
Goucher,14
teamInfo,Gophbusters,"Baltimore, Maryland",,,
0,Jackson Penner
0,Jonathan Jefferson
0,Khari Wilkins
0,Kyle Conway
0,Liam McDonald
0,Michael Wink
0,Richard Rubin
0,Zachary Wennik
0,Brian Barger
0,Cameron Riley
0,Colby Smith
0,Crockett Macnie
0,Andrew Kobee
10,Antonio  Rodriguez
11,Ethan Staple
13,Hugh MacConvery
b,r,e,a,k
Stevens Tech (B),19
teamInfo,Stevens Tech,"Hoboken, New Jersey",,,
0,Brandon Ponna
0,Byron Panrudkevich
0,Caleb Choy
0,Caroline Moore
0,Connor Eggert 
0,Daniel Pekata
0,David Smolyak
0,Hunter Lederman
0,Jackson Hudgins
0,Jared Bridges
0,Jordan Wang
0,Joshua Mimer
0,Joshua Schmidt
0,Kevin Perez
0,Liam Nagel
0,Luke Bowyer
0,Matthew Zecca
0,Matthew Biehl
0,Michael Zylka
0,Nicholas Matranga
0,Sabin Thapa
0,Trevor Dameika
0,Tudor Rus
0,Vincent  Andrade 
0,Weiliang Sun
0,Wyatt Gerber
30,Johnny Wong
58,Tyler Curtis
b,r,e,a,k
s,t,a,g,e,s
pools,Pool
pool,Pool A
Yale,College of New Jersey,6,4,"03/07/2020, 10:30",Pool A,Final
SUNY-Buffalo,Delaware (B),9,6,"03/07/2020, 10:30",Pool A,Final
Delaware (B),College of New Jersey,1,11,"03/07/2020, 12:00",Pool A,Final
SUNY-Albany,SUNY-Buffalo,5,11,"03/07/2020, 12:00",Pool A,Final
Yale,Delaware (B),13,1,"03/07/2020, 13:30",Pool A,Final
SUNY-Albany,College of New Jersey,11,2,"03/07/2020, 13:30",Pool A,Final
Yale,SUNY-Albany,4,8,"03/07/2020, 15:00",Pool A,Final
SUNY-Buffalo,College of New Jersey,13,1,"03/07/2020, 15:00",Pool A,Final
Yale,SUNY-Buffalo,7,11,"03/07/2020, 16:30",Pool A,Final
SUNY-Albany,Delaware (B),9,4,"03/07/2020, 16:30",Pool A,Final
pool,Pool B
Colgate,Edinboro,13,2,"03/07/2020, 10:30",Pool B,Final
Tufts (B),Maryland (B),4,8,"03/07/2020, 10:30",Pool B,Final
Colgate,Tufts (B),9,2,"03/07/2020, 12:00",Pool B,Final
SUNY-Stony Brook,Maryland (B),9,4,"03/07/2020, 12:00",Pool B,Final
Maryland (B),Edinboro,12,8,"03/07/2020, 13:30",Pool B,Final
SUNY-Stony Brook,Tufts (B),8,7,"03/07/2020, 13:30",Pool B,Final
Colgate,Maryland (B),11,4,"03/07/2020, 15:00",Pool B,Final
SUNY-Stony Brook,Edinboro,13,4,"03/07/2020, 15:00",Pool B,Final
Colgate,SUNY-Stony Brook,10,7,"03/07/2020, 16:30",Pool B,Final
Tufts (B),Edinboro,13,5,"03/07/2020, 16:30",Pool B,Final
pool,Pool C
Penn State (B),SUNY-Stony Brook-B,13,2,"03/07/2020, 10:30",Pool C,Final
Yale (B),Rowan  (B),1,7,"03/07/2020, 10:30",Pool C,Final
Penn State (B),Yale (B),13,0,"03/07/2020, 12:00",Pool C,Final
Jefferson,Rowan  (B),10,8,"03/07/2020, 12:00",Pool C,Final
Rowan  (B),SUNY-Stony Brook-B,9,5,"03/07/2020, 13:30",Pool C,Final
Jefferson,Yale (B),13,4,"03/07/2020, 13:30",Pool C,Final
Penn State (B),Rowan  (B),12,9,"03/07/2020, 15:00",Pool C,Final
Jefferson,SUNY-Stony Brook-B,13,2,"03/07/2020, 15:00",Pool C,Final
Penn State (B),Jefferson,9,7,"03/07/2020, 16:30",Pool C,Final
Yale (B),SUNY-Stony Brook-B,4,8,"03/07/2020, 16:30",Pool C,Final
pool,Pool D
Hofstra,SUNY-Albany (B),11,3,"03/07/2020, 12:00",Pool D,Final
Cornell (B),SUNY-Buffalo (B),9,2,"03/07/2020, 12:00",Pool D,Final
Hofstra,SUNY-Buffalo (B),12,3,"03/07/2020, 13:30",Pool D,Final
Cornell (B),SUNY-Albany (B),8,6,"03/07/2020, 13:30",Pool D,Final
Hofstra,Cornell (B),8,4,"03/07/2020, 15:00",Pool D,Final
SUNY-Albany (B),SUNY-Buffalo (B),9,4,"03/07/2020, 15:00",Pool D,Final
pool,Pool E
Goucher,Stevens Tech (B),9,6,"03/07/2020, 10:30",Pool E,Final
Slippery Rock,Stevens Tech (B),13,4,"03/07/2020, 12:20",Pool E,Final
Slippery Rock,Goucher,13,1,"03/07/2020, 14:10",Pool E,Final
b,r,e,a,k
brackets,Bracket
bracket,Championship
Yale,SUNY-Albany,12,7,"03/08/2020, 14:00",Championship,Final
SUNY-Buffalo,Yale,8,9,"03/08/2020, 12:20",Semis,Final
SUNY-Albany,Colgate,10,7,"03/08/2020, 12:20",Semis,Final
Slippery Rock,SUNY-Buffalo,11,12,"03/08/2020, 10:40",Quarters,Final
Yale,SUNY-Stony Brook,10,8,"03/08/2020, 10:40",Quarters,Final
SUNY-Albany,Maryland (B),11,6,"03/08/2020, 10:40",Quarters,Final
Colgate,Penn State (B),12,11,"03/08/2020, 10:40",Quarters,Final
Edinboro,Slippery Rock,4,15,"03/08/2020, 09:00",Play In,Final
Yale,Tufts (B),9,8,"03/08/2020, 09:00",Play In,Final
Maryland (B),College of New Jersey,12,11,"03/08/2020, 09:00",Play In,Final
Penn State (B),Delaware (B),15,6,"03/08/2020, 09:00",Play In,Final
bracket,13th Bracket
Hofstra,Jefferson,11,8,"03/08/2020, 12:20",13th Place,Final
Cornell (B),Jefferson,8,10,"03/08/2020, 10:40",13th - Semis,Final
Rowan  (B),Cornell (B),8,13,"03/08/2020, 09:00",13th - Quarters,Final
SUNY-Albany (B),Jefferson,0,15,"03/08/2020, 09:00",13th - Quarters,Final
bracket,15th Bracket
Yale (B),Rowan  (B),0,15,"03/08/2020, 14:00",15th Place,Final
Yale (B),Cornell (B),1,0,"03/08/2020, 12:20",15th - Semis,Final
SUNY-Stony Brook-B,Rowan  (B),5,15,"03/08/2020, 12:20",15th - Semis,Final
Yale (B),Goucher,10,6,"03/08/2020, 10:40",15th - Play In,Final
Rowan  (B),SUNY-Albany (B),11,5,"03/08/2020, 10:40",15th - Play In,Final
bracket,9th Place
Tufts (B),College of New Jersey,13,6,"03/08/2020, 14:00",9th Place,Final
Edinboro,Tufts (B),5,12,"03/08/2020, 12:20",9th - Semis,Final
College of New Jersey,Delaware (B),14,8,"03/08/2020, 12:20",9th - Semis,Final
bracket,5th Place
SUNY-Stony Brook,Maryland (B),11,5,"03/08/2020, 14:00",5th Place,Final
Slippery Rock,SUNY-Stony Brook,4,11,"03/08/2020, 12:20",5th - Semis,Final
Maryland (B),Penn State (B),12,11,"03/08/2020, 12:20",5th - Semis,Final
bracket,3rd Place
SUNY-Buffalo,Colgate,1,0,"03/08/2020, 14:00",3rd Place,Final
bracket,7th Place
Slippery Rock,Penn State (B),8,14,"03/08/2020, 14:00",7th Place,Final
bracket,19th Place Bracket
Stevens Tech (B),SUNY-Albany (B),13,5,"03/08/2020, 15:35",19th Place,Final
SUNY-Buffalo (B),SUNY-Albany (B),0,1,"03/08/2020, 14:00",19th - Semis,Final
Goucher,Stevens Tech (B),0,1,"03/08/2020, 12:20",19th - Semis,Final
SUNY-Buffalo (B),Stevens Tech (B),13,12,"03/08/2020, 10:40",19th - Play In,Final
bracket,11th Place
Edinboro,Delaware (B),3,15,"03/08/2020, 14:00",11th Place,Final
b,r,e,a,k
clusters,Pool D/E CO
cluster,Pool D/E
Hofstra,Slippery Rock,6,10,"03/07/2020, 16:30",,Final
Cornell (B),Goucher,7,5,"03/07/2020, 16:30",,Final
SUNY-Albany (B),Stevens Tech (B),W,F,"03/07/2020, 16:30",,Final
Yale (B),Hofstra,3,13,"03/08/2020, 10:40",,Final
Goucher,SUNY-Stony Brook-B,6,9,"03/08/2020, 10:40",,Final
SUNY-Stony Brook-B,Hofstra,5,13,"03/08/2020, 12:20",,Final
b,r,e,a,k
