Queen City Tune-Up 2020 (Open),College - Men ,8,2,2020
Charlotte,NC,2020-02-08,2020-02-09
https://play.usaultimate.org/events/Queen-City-Tune-Up-2020-Open/schedule/Men/CollegeMen/
Georgia,4
20,Matthew Bonini
21,Eli Mock
30,Mike Benner
31,Matthew VanDokkenburg
33,Erik Rundlett
34,Ray Ye
36,Robert Miller
37,Paul Braun
50,Nicholas Dayton
76,Chandler Moy
87,Chris Vitagliano
89,Adam Whitton
b,r,e,a,k
Tennessee,15
teamInfo,Tennessee,"Knoxville, Tennessee",http://web.utk.edu/~ultimate/,http://facebook.com/TennUltimateM/,https://twitter.com/TennUltimateM
coaches,William Brotman
0,Alex Greenhalgh
0,Andre Johnson
0,Cameron Davis
0,Gannon Tissot
0,Harrison Barrett
0,Jeffrey Flanagan
0,Philip Throckmorton
0,Samuel Henderson
0,Nilai Sheth
0,Will Dorsey
2,Jonathan Conricode
5,Samuel Good
8,John Ransburgh
10,Peter Olson
15,Coleman Davis
17,Eric Rosson
18,Jacob Flowers
30,Ethan Baughman
32,Caleb Texeira
33,Cole Hudgin
40,Skyler Swafford
44,Kyle Dolwick
80,William Fleming
91,Tanner Cook
b,r,e,a,k
Penn State,14
teamInfo,Spank,"University Park, Pennsylvania",http://clubs.psu.edu/up/ultimate/,,https://twitter.com/spank_ultimate
1,Dominic Capaci
3,Casey Rispoli
4,Casey Mann
5,Connor Moss
6,Ridge Bachman
8,Michael Dzelzgalvis 
10,Travis Terrell
11,Mohnish Umashankar
12,Zach Laubscher
13,Jack Rosenthal
14,Max Ramstad
15,Joseph Snider
19,Christian Piccioni
21,Patrick O'Brien
23,Jordan Capuani
25,Parker Lewis
31,Ryan Bullotta
32,Joshua Kopasko
33,Kyle Larsen
36,Boris Li
47,Lawson Fisher
55,Nicholas Santana
91,Shane Donaher
b,r,e,a,k
Carnegie Mellon,10
teamInfo,Mr. Yuk,"Pittsburgh, Pennsylvania",,,https://twitter.com/mryukultimate
coaches,Andrew Willig
0,Alden Pritchard
0,Wyatt Brooks
1,Alain Saal-Dalma
2,Ryan Hoffman
2,Manav Anand
3,Kaizad Taraporevala
5,Scott Harvey-Arnold
7,Theo Gonzales-Tapley
7,Mani Jahani
9,Kyle Jannak-Huang
11,Joel Miller
12,Eric Ricci
13,Amos Fishman-Resheff
15,Nick Amano
20,Peter Zaccardi
21,David Chao
26,Ryan Harty
28,Brandon Rishi
29,JJ McMonigal
35,Alton Olson
56,Jonny Wu
61,Eric Li
b,r,e,a,k
Temple,20
teamInfo,Alert,"Philadelphia, Pennsylvania",,,https://twitter.com/templeultimate
coaches,Brett Wall
0,Austin Quinn
0,Avery Campbell
0,Benjamin Stankovic
0,Brad Predmore
0,Craig  Gerard
0,Donovan Hugel
0,Dylan Moreno
0,Ethan Crutchley
0,Jake Butrica
0,James Maurer
0,Leonid Smola
0,Michael Sheldon
0,Wilson Dodds
2,Gunnar Jackson
3,Joshua Fieseher
3,Brandon Lamberty
5,Erik Elvig
9,Sam Gilden-Weiner
10,Jack Maynard
13,Jeremy Eland
13,Luke Greenley
14,Dylan Fritz
16,Patrick Kelly
17,Andrew Ngo
21,Paul Anouna
23,Joshua Cadwallader
24,Vanshil Thakkar
35,Matthew Wilson
35,Adam Weingast
80,Benjamin Cozzolino
89,Joshua Heacock
b,r,e,a,k
Rutgers,18
teamInfo,Machine,"New Brunswick, New Jersey",,,
coaches,Shashank Alladi,Dmitry Suvorov
0,Jake Roy
0,Oscar Sucre
0,Will Padilla
3,Will DiSturco
8,Brian DiNicola
9,Dean  Klimek
12,Bobby Puhak
13,Summer Zheng
16,Isaac Duan
19,Matthew Amster
32,Kalman Carmel
56,William Wu
67,Christopher McLaughlin
b,r,e,a,k
Duke,12
teamInfo,Brimstone,"Durham, North Carolina",,https://www.facebook.com/dukeBrimstoneUltimate/,https://twitter.com/Duke_Brimstone
0,Edward Zhuang
0,Jaliwa Albright
0,Jeffrey He
0,Kyle Newman
0,Martin Lesueur
0,Matthew Herbst
0,Max Fleischer
3,Albert Yuan
6,Zachary Burd
9,Aidan Rogers
11,Drew Peterson
12,Benjamin Williams
13,Ryan Mecca
24,Matthew Bloom
25,Matthew Wang
29,William Lopez
31,Junmo Ryang
32,Jack Cohen
38,Alex Zhuang
75,Jason Tran
b,r,e,a,k
Appalachian State,19
teamInfo,Nomads,"Boone, North Carolina",,,https://twitter.com/Nomads_Ultimate
00,Daniel Johnson
00,Harrison Karlok
00,Hunter Loftin
00,Jacob Louie
00,Jeffrey Wilson
00,Joseph Cugliari
00,Malachai Gupta-Leary
00,Michael Parker
00,Miles Phillippi
00,Quinn Teddy
00,Sam Cheatham
00,Trey Jansen
00,Troy Miller
00,Tyler Morse
00,Bella Way
00,Zachary Angerson
00,Zachary  Lewis
00,Aidan Todd
00,Alec McCleary
00,Andrew Peters
00,Chase Parks
26,Matthew McDaniel
44,Christopher Ferguson
b,r,e,a,k
Ohio University,17
teamInfo,Trout,"Athens, Ohio",,https://www.facebook.com/ohioultimate/,https://twitter.com/OUultimate
03,Michael Allen
04,Drew Oyer
05,Benjamin Routh
06,Marshall Eippert
07,Mike Kline
08,Michael Kromer
09,Christopher Wohl
10,Kyle Henn
12,Zachary Wigington
13,Nic Gill
14,Jack Lazenby
15,Andrew Thompson
20,Stanton Olson
21,Jack Matonis
22,Joseph Nurre
23,Ryan DeGeeter
24,Clayton Moore
25,John Piaskowski
34,Ryan Francis
42,Gabriel Moss
51,Jake Kaylor
63,Zach Cartwright
b,r,e,a,k
Maryland,8
teamInfo,Maryland Ultimate,"College Park, Maryland",http://umd.orgsync.com/org/ultimate,,https://twitter.com/spacebastards?lang=en
0,Brandon Yao
0,Christopher Scalzi
0,Frederick Farah
0,Jeremy Hess
0,Jimmy Alderisio
0,Michael He
2,Jacob  Sheedy
9,Colin McLaughlin
00,Ari Cacopardo
05,Jonathan Gong
06,Luke Pascale
08,Joel Maiman
11,Justin Argauer
12,Jacob Schwartz
19,Jacob Mannes
22,Jack Hermann
24,Ethan Tsirulik
25,Aaron Lavitsky
32,Austin Chau
57,Daniel Oxman
58,Ryan Low
59,Drew Herring
67,Theodore Kerr
69,Aaron Zheng
72,Sam Klueter
91,Mason Banner
b,r,e,a,k
Emory,16
teamInfo,Emory Juice,"Atlanta, Georgia",,,https://twitter.com/EmoryJuice
0,Daniel Sperling
0,Dustin Rosenfeld
0,Eric Zhang
0,Casey Cancilla
0,Ethan Jampel
0,Gustavo Capo
0,Jack Grubman
0,Jiahong Yang
0,Joshua Manuel
0,Kai Pylkkanen
0,Sibo Wang
0,Sreekar Bommireddy
0,Tate Jodoin
0,Varun Gupta
0,Will Theodore
0,Nick Robinson
11,Matthew Shu
21,Isaac Gittleman
22,Ethan Heiss
33,Sawyer Steinmiller
44,Connor Genschaw
50,William Johnson
71,Houston Shrader
73,Justin Montalbano
96,Andrew Taber
99,Xavier Stevens
b,r,e,a,k
s,t,a,g,e,s
brackets,Championship Bracket
bracket,First Place
Georgia,North Carolina,7,13,"02/09/2020, 13:00",First Place Finals,Final
North Carolina State,Georgia,9,11,"02/09/2020, 10:00",First Place Semis,Final
North Carolina,Ohio State,11,8,"02/09/2020, 10:00",First Place Semis,Final
bracket,5th Place Bracket
Notre Dame,William & Mary,0,0,"02/09/2020, 13:00",5th Place Finals,Cancelled
North Carolina-Wilmington,Notre Dame,11,12,"02/09/2020, 10:00",5th Place Semis,Final
William & Mary,Alabama,12,9,"02/09/2020, 10:00",5th Place Semis,Final
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place Bracket
Virginia,Purdue,0,0,"02/09/2020, 13:00",9th Place Finals,Cancelled
Virginia,Tennessee,9,8,"02/09/2020, 10:00",9th Semis,Final
Purdue,Penn State,13,8,"02/09/2020, 10:00",9th Semis,Final
bracket,13th Place Bracket
Carnegie Mellon,Temple,0,0,"02/09/2020, 13:00",13th Place Finals,Cancelled
Rutgers,Carnegie Mellon,3,12,"02/09/2020, 10:00",13th Semis,Final
Duke,Temple,7,9,"02/09/2020, 10:00",13th Semis,Final
b,r,e,a,k
brackets,17th Place Bracket
bracket,17th Place Bracket
Appalachian State,Ohio University,0,0,"02/09/2020, 13:00",17th Place Finals,Cancelled
Appalachian State,Maryland,12,10,"02/09/2020, 10:00",17th Semis,Final
Emory,Ohio University,8,13,"02/09/2020, 10:00",17th Semis,Final
b,r,e,a,k
pools,Pool Play
pool,Pool A
North Carolina,Purdue,13,8,"02/08/2020, 09:30",Pool A,Final
Carnegie Mellon,Temple,10,11,"02/08/2020, 09:30",Pool A,Final
North Carolina,Temple,13,2,"02/08/2020, 11:00",Pool A,Final
Carnegie Mellon,Purdue,10,11,"02/08/2020, 11:00",Pool A,Final
North Carolina,Carnegie Mellon,13,4,"02/08/2020, 12:30",Pool A,Final
Purdue,Temple,12,11,"02/08/2020, 12:30",Pool A,Final
pool,Pool B
Ohio State,Duke,12,5,"02/08/2020, 14:00",Pool B,Final
Virginia,Appalachian State,13,11,"02/08/2020, 14:00",Pool B,Final
Ohio State,Appalachian State,13,4,"02/08/2020, 15:30",Pool B,Final
Virginia,Duke,11,8,"02/08/2020, 15:30",Pool B,Final
Ohio State,Virginia,13,8,"02/08/2020, 19:30",Pool B,Final
Duke,Appalachian State,12,11,"02/08/2020, 19:30",Pool B,Final
pool,Pool C
North Carolina State,Notre Dame,13,5,"02/08/2020, 13:00",Pool C,Final
Maryland,Rutgers,4,8,"02/08/2020, 13:00",Pool C,Final
North Carolina State,Rutgers,13,4,"02/08/2020, 14:30",Pool C,Final
Maryland,Notre Dame,7,13,"02/08/2020, 14:30",Pool C,Final
North Carolina State,Maryland,13,4,"02/08/2020, 16:30",Pool C,Final
Notre Dame,Rutgers,10,7,"02/08/2020, 16:30",Pool C,Final
pool,Pool D
Georgia,Penn State,13,9,"02/08/2020, 17:00",Pool D,Final
Alabama,Ohio University,13,7,"02/08/2020, 17:00",Pool D,Final
Georgia,Ohio University,13,7,"02/08/2020, 18:30",Pool D,Final
Alabama,Penn State,12,10,"02/08/2020, 18:30",Pool D,Final
Georgia,Alabama,13,7,"02/08/2020, 20:00",Pool D,Final
Penn State,Ohio University,10,8,"02/08/2020, 20:00",Pool D,Final
pool,Pool E
North Carolina-Wilmington,Tennessee,10,7,"02/08/2020, 12:00",Pool E,Final
William & Mary,Emory,11,8,"02/08/2020, 12:00",Pool E,Final
North Carolina-Wilmington,Emory,10,5,"02/08/2020, 13:30",Pool E,Final
William & Mary,Tennessee,12,4,"02/08/2020, 13:30",Pool E,Final
North Carolina-Wilmington,William & Mary,11,9,"02/08/2020, 15:00",Pool E,Final
Tennessee,Emory,10,5,"02/08/2020, 15:00",Pool E,Final
b,r,e,a,k
