Huck Finn 2025,College - Men ,29,3,2025
Saint Louis,MO,2025-03-29,2025-03-30
https://play.usaultimate.org/events/Huck-Finn-2025/schedule/Men/CollegeMen/
Notre Dame,17
68,Emmett Broustis 
b,r,e,a,k
Washington University,1
teamInfo,Contra,"St. Louis, Missouri",contra.wustl.edu,,twitter.com/wucontra
coaches,Blake Larson
0,Campbell Tucker-Hill
0,Cole Segal
0,Cyrus Beauvais
0,Eddie Zhao
0,Finn Hanson
0,Jackson Freeman
0,Jake Bender
0,Michael Coyne
0,Nico Rose
0,Ronak Agarwal
1,Noah Stovitz
2,Rohan Patel
3,Cameron Freeman
5,Mitchell O'Keefe
6,Bennett Schwartz
8,Joel Brown
9,Nicholas Jeschke
15,Jack Wellons
15,Jacob Tindall
17,Isaac Trommer
24,Seth Fisher-Olvera
25,Dillon Lee
28,Elie Weitzman
33,Nicolas Sprague
35,Benjamin Reimler
44,Isaac Fenster
96,Joe Hess
99,Oliver Every
b,r,e,a,k
Colorado State,5
teamInfo,Hibida,"Fort Collins, Colorado",,,https://twitter.com/csuhibida
0,Charlie Knott
0,Daniel Lucas
0,Davis Cutforth
0,Dexter Luecke
0,Dexter Shafer-White
0,Flynn Nyman
0,Fraser Hills
0,Griffin Geving
0,Hunter Cunningham
0,Jacob Evans
0,Markus Olson
0,Nathaniel Goodwin
0,Nolan Pardyjak
0,Paul McKinley
0,Rory Lenny
0,Ryan McCorrison
0,Samuel Marek
0,Theo Kim
0,Timothy Elliott
0,Will Roessmann
0,Aidan Williams
7,Sam Ruiz Harding
19,Drew Grant
26,Hayden  Daley
28,Zane Tschirhart
46,Axel Williams
80,Cade Colston
b,r,e,a,k
Oklahoma Christian,8
teamInfo,Eagles,"Edmond, Oklahoma",https://oceagles.com/sports/ultimate,,
0,Alex Santai
0,Caleb Lance
0,Joshua Gill
0,Milton Adina
0,Samuel Roberts
0,Surafel Sharpe
4,Brendon Mersincavage
10,Cameron White
10,David Peterson
11,Ian Hammersmith
12,Isaiah Platt
15,TJ Lee
17,logan krehbiel
20,Yuto Hiraki
21,Alex Babler
22,Luke Norby
23,Andrew Sullivan
24,Kong Hui Lim
32,Bowen Bigby
37,Logan Hammersmith
60,Emmanuel Kameri
69,Couper Kerns
b,r,e,a,k
Emory,4
teamInfo,Emory Juice,"Atlanta, Georgia",,,https://twitter.com/EmoryJuice
0,Daniel Monterroso
0,Grayson Stone
0,Jacob Sencer
0,Jason Evans
0,Lucas Kim
0,Sean lin
2,Isaac Huntington
7,Cooper Deschenes-Worboy
8,Gabriel Hall
9,Nolan Baxendell
12,Jerry  Hong
14,Toby Fuller
15,Daniel Kotelanski
16,Ricky Davis
19,Krish Patel
20,Ammon Longenecker
21,Reece Davidman
22,Warren Chang
26,Lucas Gunzberg
26,Jesse Rider
28,Daniel Nickas
29,Kai Diez
81,Joel Lee
b,r,e,a,k
Davenport,6
teamInfo,Panthers,"Grand Rapids, Michigan",https://dupanthers.com/sports/ultimate-frisbee,,
coaches,Mike Zaagman,Melissa Witmer
0,Connor Concannon
0,Connor Lodholtz
0,Darren Dyer
0,Ian Neal
0,Jacob Felton
0,Jahiem Upchurch
0,James Pekel
0,Aidan Williams 
0,Alex Ballentine
0,Amir Sims
0,Jonathan Newman
0,Juraj Hurny
0,Kai Creed
0,Miguel  Suarez
0,Noah Schade
0,Noah Callewaert
0,Richard Dragicevich 
0,Rowan Jamieson
0,Samuel Rysko
0,Tyler Shanahan
0,Collin Colegate
1,John Peterson
2,Kale Peterson 
25,Collin Hill
30,Conner Millison
88,Andrzej Porter
b,r,e,a,k
Chicago,2
teamInfo,Fission,"Chicago, Illinois",http://junkultimate.weebly.com/,https://www.facebook.com/UChicagoUltimate/,https://twitter.com/UChi_Fission
0,Han Zhang
0,Joseph Sifakis
0,Joseph Kaplan
0,Josh Edington
0,Kevin Yuan
0,Leon Tan
0,Mason Wright
0,Maxwell Devine
0,Michael Hlavaty
0,Nathaniel Alden
0,Nicholas Rose
0,Quinn Hauck
0,Suhaas Katikaneni
0,Tom Dupor
0,Trevor Ung
0,Tuhin Ghosh
0,Ben Brink
0,Benjamin O'Donnell
0,Caleb Friedman
0,Christopher Nowak
0,Cory McCormack
0,Derek Hsu
0,Duncan Fuehne
0,Emmanuel Abayev
0,Garrett White
0,Gavin Kelly
28,Grant Harris
b,r,e,a,k
Stanford,3
teamInfo,Stanford Men's Ultimate Team,"Stanford, California",,,
0,Alex Ecker
0,Alexander Belfiore
0,Benjamin Fernandez
0,Brooks Modesitt
0,Declan Murphy Zink
0,Delfino Li
0,Denzel Cofie 
0,Jackson Moyer
0,Julian Schultz
0,Keane Haesle
0,Leo Jacoby
0,Aidyn Rivera
0,Morgan Wyatt
0,Ryder Fried
10,Charles Shi
12,Charlie Shors
26,Max Vandervelden
34,Toby Frager
40,Alex Storrer
89,Jerred Smith
b,r,e,a,k
Indiana,7
teamInfo,HoosierMama?s,"Bloomington, Indiana",hoosiermamas.org,https://www.facebook.com/HoosierMamas/,https://twitter.com/Hoosier_Mamas?lang=en
coaches,Connor Regan
0,Chris Azar
0,Collin Rassel
0,Conner Blalack
0,Daniel Messe
0,Ethan Uribe
0,Ethan  Teske
0,Evan Taylor
0,Henry Vahl
0,Jack Galle
0,Jake Rabinowitz
0,Jeremy Weese
0,John Tyndall
0,Mario Bellavia
0,Nicky Walker
0,Noah Rowland 
0,Rahul R
0,Camilo Santiago
0,Grayson  Irwin
0,Samuel Greenfield
0,Will Quigley
3,Aidan Ball
12,George Peterson
13,Charlie Riedel
23,Hayden Bosch
66,Sam Berebitsky
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool C
Iowa State,Notre Dame,9,15,"03/29/2025, 09:00",Pool C,Final
Alabama,Saint Louis,13,8,"03/29/2025, 09:00",Pool C,Final
Iowa State,Saint Louis,14,6,"03/29/2025, 10:45",Pool C,Final
Alabama,Notre Dame,7,14,"03/29/2025, 10:45",Pool C,Final
Iowa State,Alabama,12,7,"03/29/2025, 12:30",Pool C,Final
Notre Dame,Saint Louis,15,6,"03/29/2025, 12:30",Pool C,Final
pool,Pool D
Cincinnati,Missouri S&T,15,10,"03/29/2025, 09:00",Pool D,Final
Southern Illinois-Edwardsville,Kentucky,12,7,"03/29/2025, 09:00",Pool D,Final
Cincinnati,Kentucky,15,8,"03/29/2025, 10:45",Pool D,Final
Southern Illinois-Edwardsville,Missouri S&T,15,11,"03/29/2025, 10:45",Pool D,Final
Cincinnati,Southern Illinois-Edwardsville,15,8,"03/29/2025, 12:30",Pool D,Final
Missouri S&T,Kentucky,12,8,"03/29/2025, 12:30",Pool D,Final
pool,Pool E
Missouri,Texas A&M,10,12,"03/29/2025, 09:00",Pool E,Final
Ohio State,Macalester,14,11,"03/29/2025, 09:00",Pool E,Final
Missouri,Macalester,10,12,"03/29/2025, 10:45",Pool E,Final
Ohio State,Texas A&M,12,9,"03/29/2025, 10:45",Pool E,Final
Missouri,Ohio State,0,0,"03/29/2025, 12:30",Pool E,Scheduled
Texas A&M,Macalester,13,10,"03/29/2025, 12:30",Pool E,Final
pool,Pool F
Purdue,Northwestern,15,8,"03/29/2025, 09:00",Pool F,Final
St Olaf,Mississippi State,10,11,"03/29/2025, 09:00",Pool F,Final
Purdue,Mississippi State,13,6,"03/29/2025, 10:45",Pool F,Final
St Olaf,Northwestern,14,9,"03/29/2025, 10:45",Pool F,Final
Purdue,St Olaf,13,8,"03/29/2025, 12:30",Pool F,Final
Northwestern,Mississippi State,10,9,"03/29/2025, 12:30",Pool F,Final
b,r,e,a,k
pools,Power Pools
pool,Pool A
Washington University,Colorado State,15,7,"03/29/2025, 09:00",Pool A,Final
Emory,Oklahoma Christian,10,14,"03/29/2025, 09:00",Pool A,Final
Washington University,Oklahoma Christian,11,7,"03/29/2025, 10:45",Pool A,Final
Emory,Colorado State,10,12,"03/29/2025, 10:45",Pool A,Final
Washington University,Emory,11,8,"03/29/2025, 12:30",Pool A,Final
Colorado State,Oklahoma Christian,10,8,"03/29/2025, 12:30",Pool A,Final
pool,Pool B
Chicago,Davenport,8,12,"03/29/2025, 09:00",Pool B,Final
Stanford,Indiana,14,11,"03/29/2025, 09:00",Pool B,Final
Chicago,Indiana,15,6,"03/29/2025, 10:45",Pool B,Final
Stanford,Davenport,6,14,"03/29/2025, 10:45",Pool B,Final
Chicago,Stanford,8,6,"03/29/2025, 12:30",Pool B,Final
Davenport,Indiana,14,7,"03/29/2025, 12:30",Pool B,Final
b,r,e,a,k
clusters,Crossovers
cluster,Crossovers
Washington University,Chicago,15,7,"03/29/2025, 14:30",,Final
Colorado State,Davenport,8,12,"03/29/2025, 14:30",,Final
Oklahoma Christian,Purdue,0,0,"03/29/2025, 14:30",,Scheduled
Indiana,Cincinnati,9,10,"03/29/2025, 14:30",,Final
Emory,Notre Dame,10,14,"03/29/2025, 14:30",,Final
Southern Illinois-Edwardsville,Alabama,15,6,"03/29/2025, 14:30",,Final
Iowa State,Missouri S&T,14,13,"03/29/2025, 14:30",,Final
Northwestern,Saint Louis,0,0,"03/29/2025, 14:30",,Scheduled
Missouri,Kentucky,9,10,"03/29/2025, 14:30",,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place
Washington University,Cincinnati,0,0,"03/30/2025, 08:30",Quarterfinals,Scheduled
Chicago,Notre Dame,0,0,"03/30/2025, 08:30",Quarterfinals,Scheduled
bracket,Third Place
bracket,Fifth Place
bracket,Seventh Place
b,r,e,a,k
brackets,Ninth Place
bracket,Ninth Place
Emory,Southern Illinois-Edwardsville,0,0,"03/30/2025, 08:30",Ninth Place Quarterfinals,Scheduled
Indiana,Iowa State,0,0,"03/30/2025, 08:30",Ninth Place Quarterfinals,Scheduled
bracket,Eleventh Place
bracket,Thirteenth Place
bracket,Fifteenth Place
b,r,e,a,k
brackets,Seventeenth Place
bracket,Seventeenth Place
Missouri S&T,Missouri,0,0,"03/30/2025, 08:30",Seventeenth Place Quarterfinal,Scheduled
bracket,Ninteenth Place
bracket,Twenty-first Place
bracket,Twenty-Third Place
b,r,e,a,k
