2025 Southeast Men's Regional Championship,Club - Men ,20,9,2025
Winston-Salem,NC,2025-09-20,2025-09-21
http://play.usaultimate.org/events/2025-Southeast-Mens-Regional-Championship/schedule/Men/Club-Men/
Chain Lightning,1
28,Charles Cianciolo
33,Charles Wheeler
80,William Fleming
95,Jared Beazley
b,r,e,a,k
Lost Boys,12
teamInfo,,"Columbia, South Carolina",mailto:lbfrisbee@gmail.com,https://www.facebook.com/lbultimate/,https://twitter.com/TheLostBoysUlti
0,Andrell Caldwell
0,Michael Miller
1,Nicholas Hocking
2,Hunter Taylor
5,Aaron Crockett
6,Hussain Bhagat
6,David VanAuker
7,William Carmichael
8,Matthew Hogue
10,Colin Sauls
11,Joel Wooten
11,Nicholas Headden
12,Logan McMillen
15,Matt Green
15,Corey Bennett
18,Chris Wilson
20,Johnnie Lynch
22,Matthew Herbst
23,Gavin Russell
24,Stephen Trello
26,Christian Gaeta
29,Daniel Ouk
64,Jacob Blackman
83,Cleve Fisher
84,Jacob McClary
88,Nathan Palmer
b,r,e,a,k
WOMP,13
teamInfo,,"Centennial Park, Tennessee",,,
00,Charles Kidd
01,Daniel Gerregano
03,Cameron Thompson
04,Jacob Wickey
06,Will McAfee
07,Ryan Barrett
08,Cameron Guidry
09,Adam Wang
11,Kai Mehra
11,Liam Savona
12,Philip Throckmorton
14,Jack Wellons
15,Jake Shoyer
16,Marius Schueller
17,Aaron Jolly
18,Collin Dabbieri
19,William Dickens
20,Mikeie Reiland
21,Brian Greenbaum
31,Jack Barrow
33,Jordan Hill
34,Daniel Lynch
37,David Evans
85,Aaron Wilder
87,Spencer Matonis
99,Giri Peters
b,r,e,a,k
Raleigh-Durham United,3
teamInfo,,"Raleigh, North Carolina",https://www.instagram.com/rduultimate/,,https://twitter.com/rduultimate
0,Aiden Fields
0,Keller Fraley
1,Reed Burkert
2,Bailey Laberteaux
3,Myles Grady
4,Houston Parks
5,Samuel Good
8,Cam Bellando
10,Jacob Louie
13,John Wellers
22,Luke Duan
22,Angelo Olcese
25,Min Lim
30,Ethan Baughman
34,Noah Bush
35,Xander Wilcox
41,Neal Zeng
42,Christopher Nelson
44,Dillon Bruer
45,Nathan Lyle
49,Daniel Ferriter
58,Arthur Feller
71,Clint McSherry
72,Nathaniel Donaher
73,Andrew Vande Berg
81,William Basden
b,r,e,a,k
baNC,9
teamInfo,,"Charlotte, North Carolina",,,
0,Addison Carnow
0,Alex Ballentine
0,Clayton Carey
0,Michael Sweeney
0,Nick Talone
0,Quinn Scott
0,John Shelley
0,Jordan Perry
0,Robert Scott-Williams
0,Tejas Sivarajakumar
0,Wesley Dudas
0,Zachary Clark
0,Samuel Lee
0,Sathvik Avulapati
8,Ryan Manuel
11,Atharv Patil
11,Zachary Abbott
12,Jeff Wiltgen
14,Simon Jenkins
15,David Chalmers
24,Carter Rathur
24,Ransome Martin
29,Mason Cary
51,Damian Delgado
81,Dylan Lipps
88,Samuel Dunlap
b,r,e,a,k
Gang Of Disc,16
teamInfo,,"New Orleans, Louisiana",,,
0,Daniel Veneracion
0,Diego Villamizar
0,Kevin Schexnayder
0,Miles Wachsteter
02,Jeffrey Greenblatt
03,Joseph Wagner
06,Kyle Sands
07,Jonah Yurman
08,Roman Spears
11,Cooper Bruce
12,Alexander Antrum
13,Phillip Wagner
14,Hudson DeGroff
15,Elijah Newbrun-Mintz
17,Andre Dumez
18,Kush Parmar
23,Shamit Dua
28,George Flynn
33,Jack Edwards
48,"Gregory Plaia, Jr"
55,Talon Spears
66,Jaylon Boone
71,Zack Renick
73,Derek Martin
76,Matthew Burris
77,Destin Tate
b,r,e,a,k
Little Red Wagon,6
teamInfo,,"Atlanta, Georgia",,,
coaches,Frederic Perivier
0,Alex Liu
0,Andrew Chung
0,Caleb Myatt
0,Jackson Knox
0,Jacques Perivier
0,Ethan Niedzwiedz
0,José  Caetano
0,Kolbie Carrell
2,Grover Grendzinski
3,Matthew Knowles
5,David Baker
5,Ethan Austin-Cruse
7,Christopher Zuo
10,Adam Burgess
10,Mikey Curtis
17,Nicholas Huffman
18,Patrick Ufer
20,Bryce Jackson
33,Devon Rogers
39,Jarrett Swanson
42,Jon Fey
69,Garrett Anderson
72,Rylan Gordon
81,Joseph Burns
87,Trenton Spinks
b,r,e,a,k
Alliance,5
teamInfo,,"Alabama, Alabama",,,
0,Noah Angles
1,Shane  Denman 
2,Caleb Byers
3,Tyler  Menix
4,Jacob Lipford
5,Cam Copeland
5,Tyler Riemer
7,Benjamin Forton
9,James  Poe
11,Joseph Sucgang
12,Josh Bowers
12,Jeffrey Martin
20,Mitchell Parker
21,Matthew Green
23,Luke Thomas
25,Blake Stratton
26,Isaiah Rutledge
27,Cross Jenkins
33,Drew Laird
42,Fletcher Hare
44,Taylor Hide
49,Grayson Smith
59,Brandon Beers
71,Justin Weaver
83,Ryan Landry
89,Joshua Reed
b,r,e,a,k
Florida Untied,4
teamInfo,,"Ocala, Florida",https://www.instagram.com/untiedultimate?igsh=MWVmYTJtcDJ2YjB4cQ==,,https://twitter.com/UntiedUltimate
01,Brendan Keith
02,William OBryan
03,Ricardo DeLeon
04,August Specht
05,Justin Montalbano
06,Daniel McNamara
07,Ryan Hiser
08,Jaime Perez
09,Clayton Partlow
10,Michael Arbutine
12,Bradley  Paul
13,Bhagya Patel
15,Dustin Travaglini
18,Jacob Gaines
19,Bodie Cole
20,Joshua Webb
24,Stephen Krajeski
25,Unmil Patel
26,Scott Sakow
28,Ryan Thomas
29,Andy Chiang
32,Jonathan Holladay
53,Wazan Hoshino
55,Moses Jaffa
85,Cody Coates
91,Garrett Knobel
b,r,e,a,k
Atlanta Arson,10
teamInfo,,"Atlanta, Georgia",,,https://twitter.com/atlantaarson
0,Adam Goodwin
0,Austin Thomas
0,Christian  Montufar
0,Deven Bender
0,Evan Amon
0,Galen Ramsey
0,Garrett Pellan
0,Grayson Stone
0,Hamilton Mebius
0,Jaden Medley-Fowlkes
0,Jason Evans
0,Lucas Kim
0,Maxwell Lopez
2,Krishan Chib
3,Harrison  Briggs 
4,Vinny Nguyen
9,Foster Boales
11,Lee Phan
16,Tanjid Mitul
20,Dacree Harden
20,Ammon Longenecker
36,Eric Frega
50,Oscar Patterson
69,John Broling
89,Jordan Leslie
91,Matthew Allan
b,r,e,a,k
Psychedelic,15
teamInfo,,"Jacksonville, Florida",,,
0,Brett Knowles
0,Jonah Hagstad
0,Samuel Williams
2,Steven Seibler
2,Ian Gray
3,Joshua Hostetler
4,Grant Michael Cashin Jr
7,John Laurie
7,Sean Chaney
8,Troy Bogle
10,Adrian Arreaza
10,Chris Seibler
11,Robert Lewis
14,Robert Lovelace
16,Mathew Johnson
20,Marc Rosenfeld
22,Daniel Pickens
25,Dalton Edwards
33,Caleb Vargo
42,Chase Kennedy
54,Jonny Rudolph
66,Daniel Conrad
69,James Burkett
73,Dayton Newman
87,Matthew Seibler
88,Michael Shore
b,r,e,a,k
s,t,a,g,e,s
pools,Clipped Pools
pool,Pool A
Chain Lightning,El Niño,13,3,"09/20/2025, 09:00",Pool A,Final
Triumph,Elysium,13,10,"09/20/2025, 09:00",Pool A,Final
Chain Lightning,Triumph,13,3,"09/20/2025, 11:00",Pool A,Final
Elysium,El Niño,13,10,"09/20/2025, 11:00",Pool A,Final
pool,Pool B
Ring of Fire,WOMP,13,2,"09/20/2025, 09:00",Pool B,Final
Tanasi,Lost Boys,13,11,"09/20/2025, 09:00",Pool B,Final
Ring of Fire,Tanasi,13,4,"09/20/2025, 11:00",Pool B,Final
Lost Boys,WOMP,13,8,"09/20/2025, 11:00",Pool B,Final
pool,Pool C
Raleigh-Durham United,Gang Of Disc,13,6,"09/20/2025, 09:00",Pool C,Final
Little Red Wagon,baNC,12,13,"09/20/2025, 09:00",Pool C,Final
Raleigh-Durham United,baNC,13,8,"09/20/2025, 11:00",Pool C,Final
Little Red Wagon,Gang Of Disc,12,13,"09/20/2025, 11:00",Pool C,Final
pool,Pool D
Florida Untied,Psychedelic,13,5,"09/20/2025, 09:00",Pool D,Final
Alliance,Atlanta Arson,13,8,"09/20/2025, 09:00",Pool D,Final
Florida Untied,Alliance,9,10,"09/20/2025, 11:00",Pool D,Final
Atlanta Arson,Psychedelic,13,10,"09/20/2025, 11:00",Pool D,Final
b,r,e,a,k
clusters,Saturday Crossovers
cluster,Pool Crossovers
Chain Lightning,Raleigh-Durham United,13,15,"09/20/2025, 13:00",,Final
Ring of Fire,Alliance,15,3,"09/20/2025, 13:00",,Final
Triumph,Gang Of Disc,15,8,"09/20/2025, 13:00",,Final
Tanasi,Atlanta Arson,13,9,"09/20/2025, 13:00",,Final
baNC,Elysium,15,11,"09/20/2025, 13:00",,Final
Florida Untied,Lost Boys,15,12,"09/20/2025, 13:00",,Final
El Niño,Little Red Wagon,4,15,"09/20/2025, 13:00",,Final
WOMP,Psychedelic,13,2,"09/20/2025, 13:00",,Final
b,r,e,a,k
brackets,Brackets
bracket,Championship
Raleigh-Durham United,Alliance,0,0,"09/21/2025, 09:00",Semis,Scheduled
Chain Lightning,Ring of Fire,0,0,"09/21/2025, 09:00",Semis,Scheduled
Raleigh-Durham United,Tanasi,15,10,"09/20/2025, 15:00",Quarters,Final
Triumph,Alliance,8,15,"09/20/2025, 15:00",Quarters,Final
Chain Lightning,Florida Untied,15,9,"09/20/2025, 15:00",Quarters,Final
baNC,Ring of Fire,6,15,"09/20/2025, 15:00",Quarters,Final
bracket,Third: Game-to-Go
Tanasi,Triumph,0,0,"09/21/2025, 09:00",3rd Quarters,Scheduled
Florida Untied,baNC,0,0,"09/21/2025, 09:00",3rd Quarters,Scheduled
bracket,Fifth Place
bracket,Seventh - Select Flight Play-in
bracket,Ninth Place
Lost Boys,El Niño,0,0,"09/21/2025, 09:00",9th Quarters,Scheduled
WOMP,Elysium,0,0,"09/21/2025, 09:00",9th Quarters,Scheduled
Atlanta Arson,Little Red Wagon,0,0,"09/21/2025, 09:00",9th Quarters,Scheduled
Psychedelic,Gang Of Disc,0,0,"09/21/2025, 09:00",9th Quarters,Scheduled
bracket,Eleventh Place
bracket,Thirteenth Place
bracket,Fifteenth Place
b,r,e,a,k
