2025 USA Ultimate D-III College Championships,College - Men ,17,5,2025
Burlington,WA,2025-05-17,2025-05-19
https://play.usaultimate.org/events/2025-USA-Ultimate-D3-College-Championships/schedule/Men/CollegeMen/
Davenport,1
Lewis & Clark,4
teamInfo,Bacchus,"Portland, Oregon",https://www.instagram.com/bacchusultimate/?hl=en,https://www.facebook.com/bacchusultimate/,https://twitter.com/BacchusUltimate?lang=en
coaches,Sam Franer,Benjamin Whitenack,Jack Hochberg
01,Orlando Impas
02,Toby Rivera
03,Leo Farley
04,Charlie Wagner
05,Jericho Stern
06,Sam London
07,Max Zwerin
08,Joniah Helperin-Lange
09,Ben Eichel
10,Jonas Bray
11,Zach Hungerford
13,Akshay Bhatia
14,Levi Stahl
17,Uri Boaz
18,David Allen
21,James Fishman-Morren
26,Aiden Jacobs
28,Jonas Kra-Caskey
44,Tyler Shelton
45,Topher Olson
66,Rowan Simoni
71,William Ahlstrom
b,r,e,a,k
Wesleyan,9
teamInfo,Nietzsch Factor,"Middletown, Connecticut",,https://www.facebook.com/nietzschfactor/,https://twitter.com/nietzschfactor
coaches,Bryan Jones
00,Denis Cha
01,Malen Cheung
02,Sy Schoen
04,Ezekiel Appel
08,Joe Finkelstein
09,Trevor Gold
10,Aran Sheehan
13,Amit Piryatinsky
16,Jake Klasky
18,Alex Files
19,Daniel Becker
20,Jack Noble
21,Thomas Kan
22,Dash Merrill
23,Isaac Janiak Stein
24,Judah Hoffenberg
25,James Giokaris
27,Jonah  Yas
29,Daniel Gessel
30,Daniel Glickman
32,Julian Fried
33,Jack Pagano
36,Ethan King
37,Cole Pepin
52,Eli Fellus
64,Ethan Qu
77,Dylan McCaleb
86,Jackson Barber-Just
88,Will Clemans
99,Sam Korenbaum
b,r,e,a,k
Hillsdale,16
teamInfo,Chargers,"Hillsdale, Michigan",https://hcstudentfederation.com/?page_id=2128,https://www.instagram.com/hillsdale_ultimate/,
coaches,Nick Akers
00,Stephen Plopper
03,Eden Ryan
04,Judah  McDowell
05,Lance Lintereur
06,Gregory Moreno
07,Eliana  Plopper
09,Jacob LaBonte
10,Jedidiah Hamilton
11,James Hamilton
14,Nick Rutkoski
18,Daniel Lo
19,Caleb Ostella
20,William Hart
21,Anna Coln
23,Ineka  Pastermack
24,Robert Sutton
27,Anders Moody
28,Michael Choe
32,Maggie Phillips
37,Gabriel Dobrozsi
45,Mason Settergren
63,Madeline Blake
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Davenport,Missouri S&T,15,6,"05/17/2025, 08:30",Pool A,Final
Franciscan,Bowdoin,6,15,"05/17/2025, 08:30",Pool A,Final
Davenport,Bowdoin,15,9,"05/17/2025, 10:45",Pool A,Final
Franciscan,Missouri S&T,12,14,"05/17/2025, 10:45",Pool A,Final
Davenport,Franciscan,15,5,"05/17/2025, 13:00",Pool A,Final
Missouri S&T,Bowdoin,14,15,"05/17/2025, 13:00",Pool A,Final
pool,Pool B
Elon,Rochester,13,9,"05/17/2025, 08:30",Pool B,Final
Carleton College-CHOP,Berry,12,8,"05/17/2025, 08:30",Pool B,Final
Elon,Berry,14,7,"05/17/2025, 10:45",Pool B,Final
Carleton College-CHOP,Rochester,14,10,"05/17/2025, 10:45",Pool B,Final
Elon,Carleton College-CHOP,0,0,"05/17/2025, 15:15",Pool B,Scheduled
Rochester,Berry,0,0,"05/17/2025, 15:15",Pool B,Scheduled
pool,Pool C
Whitman,Richmond,15,6,"05/17/2025, 08:30",Pool C,Final
Oklahoma Christian,Claremont,9,10,"05/17/2025, 08:30",Pool C,Final
Whitman,Claremont,15,8,"05/17/2025, 10:45",Pool C,Final
Oklahoma Christian,Richmond,14,13,"05/17/2025, 10:45",Pool C,Final
Whitman,Oklahoma Christian,0,0,"05/17/2025, 15:15",Pool C,Scheduled
Richmond,Claremont,0,0,"05/17/2025, 15:15",Pool C,Scheduled
pool,Pool D
Lewis & Clark,Wesleyan,15,12,"05/17/2025, 08:30",Pool D,Final
Middlebury,Hillsdale,15,5,"05/17/2025, 08:30",Pool D,Final
Lewis & Clark,Hillsdale,15,6,"05/17/2025, 10:45",Pool D,Final
Middlebury,Wesleyan,15,9,"05/17/2025, 10:45",Pool D,Final
Lewis & Clark,Middlebury,9,15,"05/17/2025, 13:00",Pool D,Final
Wesleyan,Hillsdale,15,12,"05/17/2025, 13:00",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place
Lewis & Clark,Missouri S&T,0,0,"05/18/2025, 08:30",Prequarterfinal,Scheduled
Bowdoin,Wesleyan,0,0,"05/18/2025, 08:30",Prequarterfinal,Scheduled
bracket,5th Place
bracket,5th Place
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place
bracket,11th Place
b,r,e,a,k
pools,13th Place Round Robin
pool,Pool E
Franciscan,Hillsdale,0,0,"05/18/2025, 10:45",Pool E,Scheduled
b,r,e,a,k
