Dust Bowl 2025,College - Men ,22,2,2025
Tulsa,OK,2025-02-22,2025-02-23
https://play.usaultimate.org/events/Dust-Bowl-2025/schedule/Men/CollegeMen/
Oklahoma Christian,1
0,Joseph Fambro
0,Joshua Fambro
0,Kristoff Boor
0,Michael Ajayi
0,Paul Galletti
0,Ryan Munoz
1,Kyle Kwezani
4,Oakley Armstrong
7,Samuel Garza
9,Victor Garza
13,Thomas Avery
88,Pratik Pednekar
b,r,e,a,k
Truman State,3
teamInfo,JujiTSU,"Kirksville, Missouri",https://ultimate.truman.edu,https://facebook.com/pages/JujiTSU-Ultimate/159311880755819,https://twitter.com/JujiTSUltimate
1,Levon Muradyan
5,Stuart Whitmer
6,Blake Anderson
7,Aiden Wahrenbrock
8,Alexander Lee
11,Tegan Haer
12,Isaac Paronto
14,Braden Klipsch
15,Nathen Poe
17,Jeffrey Laubscher
20,Samuel Willoughby
26,Joseph Till
28,Anthony Payne
42,Jonas Beckham
44,Thomas Schmidt
55,Joe Regina
57,Cade Steinborn
69,Isaac Vilchis
b,r,e,a,k
Oklahoma State,11
teamInfo,Ultimato,"Stillwater, Oklahoma",,,
0,Benjamin Reed
0,Brody Ward
0,Caleb McCombs
0,Christian Fair
0,Danielle Athens
0,Jacob Raulie
0,James LeFils
0,Lucas Funaro
0,Luke Cradduck
0,Macormick Lyne
0,Nate Riley
0,Samuel Barney
0,Will Jones
0,William Faust
5,Matthew Greene
22,Justin Arney
b,r,e,a,k
Dallas,19
teamInfo,Vortex,"Irving, Texas",,https://www.facebook.com/University-of-Dallas-Ultimate-UDU-1659704877590309/,@udallasultimate
0,John Dougherty
04,Brodie Decuir
09,Luke Robbins
12,Nicholas Guerin
13,Isaac Kelly
21,Zachary Boor
27,Thomas Waterman
32,Elias Sullivan
35,Maximilian Muth
40,William Hopfensperger
43,Andrew Arlinghaus 
95,William Spaeder
99,Michael Dougherty
b,r,e,a,k
John Brown,5
teamInfo,Ironfist,"Siloam Springs, Arkansas",,https://www.facebook.com/jbultimate,https://twitter.com/JBUIronfist
0,Aaron Spangler
0,Aaron Hart
0,Andrew Ragsdale
0,Andrew Headley
0,Caleb Trippe
0,Colin Graham
0,Luke Preedy
0,Luke Fields
0,Nathan Snell
0,Rustin Shirley
1,Davison  Page
8,Luke Dishman
10,Ethan Tolley
17,Andrew Graham
33,John LaFrance
38,Nathaniel Moffatt
47,Jackson Macdonald
57,Matthew Alberg
97,Theodore Stegall
b,r,e,a,k
Saint Louis,4
teamInfo,Archangel,"St. Louis, Missouri",,,https://twitter.com/Archangel_SLU
0,Adam Zabel
0,Alex Davis
0,Biraj Pokhrel
0,Brian Weigus
0,Brian Leesman
0,Carson Enge
0,Conor Corcoran
0,Daniel Juergens
0,Derian Ryker
0,Gavin Martin
0,Grant Gorman
0,Grant Thornberry
0,Ian Roudebush
0,Martín Olmedo
0,Samuel Liu
0,Shane Grippi
0,Tamish Sapkota
17,Matthew Kolnik
22,Jared Thornberry
35,Max Yue
b,r,e,a,k
Nebraska,12
teamInfo,Cornfed Ultimate,"Lincoln, Nebraska",https://unl.campuslabs.com/engage/organization/men-s-ultimate-club,,https://twitter.com/cornfedultimate
0,Alex Bjorman
0,Austin Phinney
0,Jack Drobny
0,James Head
0,Nathan McCoy
0,Owen Weiche
0,Riley Bry
0,Samuel Malick
0,Zane Mrozla-Mindrup
5,Ian Tuck
11,Jordan Johnson
16,Julian Jay
19,Bryce Endecott
21,John Wehrman
24,Kobe  Bray
27,Myles Wedic
31,Matthew Mikitka
32,Luke Walsdorf
40,Jackson Dathe
54,Eamon  Sughroue
85,Peyton Thurman
88,Evan Brown
b,r,e,a,k
Oklahoma,13
teamInfo,Apes of Wrath,"NORMAN, Oklahoma",oklahomaultimate.com,https://www.facebook.com/OklahomaUltimate/,@wrathfulapes
0,Cooper Forejt
0,Jackson Morton
3,Akul Kadyan
4,Tyler Van Horn
7,Samuel Crapitto
12,Andrew Kenny
24,Aidan Callahan
30,William Wilson
39,Grey Lashbrook
47,Sebastian Puerta
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Washington University (B),Kansas State,12,7,"02/22/2025, 10:45",Pool A,Final
Texas-Dallas,Northern Iowa,10,12,"02/22/2025, 10:45",Pool A,Final
Oklahoma Christian,Northern Iowa,13,9,"02/22/2025, 12:10",Pool A,Final
Texas-Dallas,Washington University (B),10,9,"02/22/2025, 12:10",Pool A,Final
Oklahoma Christian,Kansas State,13,0,"02/22/2025, 13:35",Pool A,Final
Northern Iowa,Washington University (B),13,7,"02/22/2025, 13:35",Pool A,Final
Oklahoma Christian,Texas-Dallas,9,7,"02/22/2025, 15:00",Pool A,Final
Northern Iowa,Kansas State,13,8,"02/22/2025, 15:00",Pool A,Final
Oklahoma Christian,Washington University (B),1,1,"02/23/2025, 09:30",Pool A,Cancelled
Texas-Dallas,Kansas State,1,1,"02/23/2025, 09:30",Pool A,Cancelled
pool,Pool B
Texas Tech,Wichita State,6,9,"02/22/2025, 10:45",Pool B,Final
Grinnell,Harding,9,5,"02/22/2025, 10:45",Pool B,Final
Kansas,Harding,9,3,"02/22/2025, 12:10",Pool B,Final
Grinnell,Texas Tech,11,2,"02/22/2025, 12:10",Pool B,Final
Kansas,Wichita State,8,12,"02/22/2025, 13:35",Pool B,Final
Harding,Texas Tech,7,8,"02/22/2025, 13:35",Pool B,Final
Kansas,Grinnell,8,10,"02/22/2025, 15:00",Pool B,Final
Harding,Wichita State,7,12,"02/22/2025, 15:00",Pool B,Final
Kansas,Texas Tech,1,1,"02/23/2025, 09:30",Pool B,Cancelled
Grinnell,Wichita State,1,1,"02/23/2025, 09:30",Pool B,Cancelled
pool,Pool C
North Texas,Dallas,13,1,"02/22/2025, 10:45",Pool C,Final
Missouri S&T,Oklahoma State,10,8,"02/22/2025, 10:45",Pool C,Final
Truman State,Oklahoma State,11,8,"02/22/2025, 12:10",Pool C,Final
Missouri S&T,North Texas,10,9,"02/22/2025, 12:10",Pool C,Final
Truman State,Dallas,13,4,"02/22/2025, 13:35",Pool C,Final
Oklahoma State,North Texas,4,8,"02/22/2025, 13:35",Pool C,Final
Truman State,Missouri S&T,8,13,"02/22/2025, 15:00",Pool C,Final
Oklahoma State,Dallas,12,7,"02/22/2025, 15:00",Pool C,Final
Truman State,North Texas,1,1,"02/23/2025, 09:30",Pool C,Cancelled
Missouri S&T,Dallas,13,2,"02/23/2025, 09:30",Pool C,Final
pool,Pool D
John Brown,Nebraska,7,6,"02/22/2025, 10:45",Pool D,Final
Saint Louis,Oklahoma,9,5,"02/22/2025, 10:45",Pool D,Final
Saint Louis,Nebraska,13,5,"02/22/2025, 12:10",Pool D,Final
John Brown,Oklahoma,10,9,"02/22/2025, 12:10",Pool D,Final
Nebraska,Oklahoma,10,6,"02/22/2025, 13:35",Pool D,Final
Saint Louis,John Brown,8,9,"02/22/2025, 13:35",Pool D,Final
b,r,e,a,k
brackets,Sunday Bracket
bracket,Championship Bracket
John Brown,North Texas,0,0,"02/23/2025, 10:45",Quarters,Scheduled
Missouri S&T,Saint Louis,0,0,"02/23/2025, 10:45",Quarters,Scheduled
bracket,9th Place Bracket
Nebraska,Oklahoma State,0,0,"02/22/2025, 10:45",Round 1,Scheduled
Truman State,Oklahoma,0,0,"02/22/2025, 10:45",Round 1,Scheduled
bracket,3rd Place
bracket,5th Place
bracket,7th Place
bracket,11th Place
bracket,13th Place
bracket,15th Place
b,r,e,a,k
pools,Sunday Consolation Pool
pool,Pool E
Harding,Dallas,0,0,"02/23/2025, 10:30",Pool E,Scheduled
b,r,e,a,k
