HoDown Showdown 2025,Club - Men ,9,8,2025
Asheville; Waynesville,NC,2025-08-09,2025-08-10
https://play.usaultimate.org/events/HoDown-Showdown-2025/schedule/Men/Club-Men/
Crypt,6
29,Daniel Ouk
47,Achilles Hahn
64,Jacob Blackman
84,Jacob McClary
88,Nathan Palmer
b,r,e,a,k
Hooch,8
teamInfo,,"Atlanta, Georgia",,,https://twitter.com/HoochUltimate
0,Christian  Hardin 
0,JULIAN CUELLAR
0,Zachary Hart
01,Ashton HIll
02,Skyler Pitts
04,Bradley Seuntjens
07,Reece Overholt
08,Trip Crowley
08,Tyler Butterfield
09,Joseph Griffing
10,Logan Ogletree
11,Johnny Griffing
12,Jeffrey Oravic
17,Alexander (Sascha) Vogel
22,Brock Billings
23,Austin Poole
25,Kevin Halprin
33,Edward Stephens
47,David van Pelt
50,Charles Huff
52,Phillip Clifford
57,Joseph Cicione
69,Michael Catucci
71,Héctor  Segovia 
b,r,e,a,k
NC Brickhouse,11
teamInfo,,"Raleigh, North Carolina",,,
0,Aanand Yu
0,Alex Fischer
0,Arjun Deshmukh
0,Finley Bray
0,Gabriel Gehtland
0,Isaac King
0,Isaac Castiglione
0,Benjamin Armstrong
0,Joshua Hester
0,Keaton Barish
0,Matthew Bain
0,Milo Ciccone
0,Mustafa Hamed
0,Noah Lennon
0,Ryan Chen
0,Theodore Aspinwall
7,Justin Wieties
18,Sebastian Boccieri
22,John Bradley
25,Caleb Hofheinz
30,Asher Wallen
69,Alexander Tayyeb
95,Jack Hartingh
b,r,e,a,k
Atlanta Arson,5
teamInfo,,"Atlanta, Georgia",,,https://twitter.com/atlantaarson
0,Adam Goodwin
0,Carlo Vanni
0,Christian  Montufar
0,Deven Bender
0,Dominic Nguyen
0,Evan Amon
0,Garrett Pellan
0,Hamilton Mebius
0,Jaden Medley-Fowlkes
0,Jason Evans
0,Lennox Whitaker
0,Lucas Kim
2,Krishan Chib
3,Harrison  Briggs 
4,Vinny Nguyen
9,Foster Boales
11,Lee Phan
16,Tanjid Mitul
20,Dacree Harden
24,Elliott Park
36,Eric Frega
50,Oscar Patterson
69,John Broling
72,Matthew Dacey-Koo
b,r,e,a,k
Nocturnal,14
teamInfo,,"Nashville, Tennessee",,,https://x.com/NashNocturnal
0,Beema Rajan
0,Christian Strom
0,Colin Knapp
0,Davis Camp
0,Evan Denny
0,Ian Wise
0,Jack Walton
0,Joshua Rampy
0,Kris Miller
0,Luke Rubin
0,Michael Novarese 
0,Nathan Bielecki
0,Spencer Kerch
0,William Huser
4,Brian Vilayphanh
7,Nate Niles
8,Jack Waite
21,Tanner Niles
51,Christian Cendrowski
64,Emerson Smith
83,Collin Temple
96,Dillon Knight
b,r,e,a,k
Triumph,4
teamInfo,,"Morrisville, North Carolina",https://rb.gy/6knme4,,
0,Benjamin Kinnaird
0,Bobby Patterson
0,Christopher Heim
0,Dillon Lesniak
0,Luke Cornelius
0,Ryan Norris
0,Samson Bienstock
0,Stefan Isaza
0,Tanner Plentl
0,Tate Wilson
0,Quinlan Collier
0,Robert Locke
3,Michael Paniagua
5,Jason Zwierzynski
6,Harrison Karlok
7,Brian Dahlben
11,Josh Louie
13,Jacob Luksik
13,Eric Feigin
13,Christopher Byrd
14,Zachary Baldwin
19,Robert Castaneda
25,Daniel Huggins
31,David Tulin
86,Connor Norris
87,Benj Thomsen
b,r,e,a,k
Charleston Heat Stroke,10
teamInfo,,"Charleston, South Carolina",charlestonopenulty@gmail.com,https://www.instagram.com/heatstroke_ultimate,
0,Blake Paulson
0,Cannon Yarborough
0,Chai Kirshtein
0,Jett Kirshtein
0,Joseph DiPaula
0,Justin Morrison
0,Aaron Baymiller
0,Logan Johnston
0,Ryan Saffa
0,Shane Kearney
0,Tanner Martin
1,Robert OBrien
3,Adam Bailey
4,Lane Hudson
11,Hunter Poe
13,Ryan Wartenberg
18,Oddom Vong
25,Andrew Zavada
25,Sambath Vong
95,Tyler Myers
b,r,e,a,k
Little Red Wagon,3
teamInfo,,"Atlanta, Georgia",,,
coaches,Frederic Perivier
0,Alex Liu
0,Andrew Chung
0,Caleb Myatt
0,Ethan Niedzwiedz
0,Jackson Knox
0,Jacques Perivier
0,José  Caetano
0,Kolbie Carrell
0,Matthew Hardman
0,Michael Price
2,Grover Grendzinski
3,Matthew Knowles
7,Christopher Zuo
10,Adam Burgess
10,Mikey Curtis
12,Jeremy Sanders
17,Nicholas Huffman
18,Patrick Ufer
20,Bryce Jackson
33,Devon Rogers
39,Jarrett Swanson
42,Jon Fey
69,Garrett Anderson
72,Rylan Gordon
81,Joseph Burns
87,Trenton Spinks
b,r,e,a,k
Gambit,15
teamInfo,,"Charlotte, North Carolina",https://www.instagram.com/cltgambit/,,
0,Spencer Brotherton
04,Keion Owen
07,Drew Scott
12,Jeremy McDavid
13,David Sandoval
20,Caleb Kincaid
21,Ben Armstrong
22,Nicholas White
25,Joel Holder
26,Nathaniel Evans
27,Mike Duffy
28,Patrick Ireland
30,Logan Brummett
33,Ryan Malone
36,Robert Johnson
42,Jacob Kincaid
69,Christopher Chen
80,Ammar Dossaji
99,Cameron Lopez
b,r,e,a,k
Queen City Kings,9
teamInfo,,"Charlotte, North Carolina",,,
0,Cris Gallo
0,Dan Papazian
0,Gautam Das
0,Austin Maidene
0,Avery Dunham
0,Juan Mancera
0,Max Povejsil
0,Ty Yandle
0,Tyler Strenk
1,Hunter Frederick
5,Rocky Morris
8,Connor Wood
9,Enzo Arcuri
11,Timothy Rees
12,Nathan Silvestri
13,Brandon Cousar
14,Matthew Lundstrom
16,Jaren Robbins
19,Jordan Knox
24,Nate Sutherland
27,Marcos Collazo
33,Evan Miller
77,Sean Kiser
92,John Colyer
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
baNC,PARLAY,W,F,"08/09/2025, 09:00",Pool A,Final
GVL Trout,Tennessee Folklore,13,8,"08/09/2025, 09:00",Pool A,Final
baNC,GVL Trout,13,7,"08/09/2025, 10:40",Pool A,Final
Crypt,Tennessee Folklore,13,4,"08/09/2025, 10:40",Pool A,Final
Tennessee Folklore,PARLAY,13,8,"08/09/2025, 12:20",Pool A,Final
Crypt,GVL Trout,13,7,"08/09/2025, 12:20",Pool A,Final
baNC,Tennessee Folklore,0,0,"08/09/2025, 14:00",Pool A,Scheduled
Crypt,PARLAY,0,0,"08/09/2025, 14:00",Pool A,Scheduled
baNC,Crypt,0,0,"08/09/2025, 15:40",Pool A,Scheduled
GVL Trout,PARLAY,0,0,"08/09/2025, 15:40",Pool A,Scheduled
pool,Pool B
Lost Boys,Nocturnal,13,4,"08/09/2025, 09:00",Pool B,Final
Hooch,NC Brickhouse,13,4,"08/09/2025, 09:00",Pool B,Final
Lost Boys,Hooch,12,9,"08/09/2025, 10:40",Pool B,Final
Atlanta Arson,NC Brickhouse,0,0,"08/09/2025, 10:40",Pool B,Scheduled
NC Brickhouse,Nocturnal,13,9,"08/09/2025, 12:20",Pool B,Final
Atlanta Arson,Hooch,0,0,"08/09/2025, 12:20",Pool B,Scheduled
Lost Boys,NC Brickhouse,0,0,"08/09/2025, 14:00",Pool B,Scheduled
Atlanta Arson,Nocturnal,0,0,"08/09/2025, 14:00",Pool B,Scheduled
Lost Boys,Atlanta Arson,0,0,"08/09/2025, 15:40",Pool B,Scheduled
Hooch,Nocturnal,0,0,"08/09/2025, 15:40",Pool B,Scheduled
pool,Pool C
Little Red Wagon,Gambit,0,0,"08/09/2025, 09:00",Pool C,Scheduled
Queen City Kings,Charleston Heat Stroke,8,12,"08/09/2025, 09:00",Pool C,Final
Little Red Wagon,Queen City Kings,13,5,"08/09/2025, 10:40",Pool C,Final
Triumph,Charleston Heat Stroke,13,9,"08/09/2025, 10:40",Pool C,Final
Charleston Heat Stroke,Gambit,13,5,"08/09/2025, 12:20",Pool C,Final
Triumph,Queen City Kings,13,5,"08/09/2025, 12:20",Pool C,Final
Little Red Wagon,Charleston Heat Stroke,3,4,"08/09/2025, 14:00",Pool C,In Progress
Triumph,Gambit,0,0,"08/09/2025, 14:00",Pool C,Scheduled
Little Red Wagon,Triumph,0,0,"08/09/2025, 15:40",Pool C,Scheduled
Queen City Kings,Gambit,0,0,"08/09/2025, 15:40",Pool C,Scheduled
b,r,e,a,k
brackets,Championship
bracket,Championship
bracket,3rd place
bracket,5th Place
bracket,7th place
b,r,e,a,k
brackets,9th place
bracket,9th place
bracket,11th place
b,r,e,a,k
pools,Sunday Pool
pool,Pool D
b,r,e,a,k
