Filling the Void (Men's & Women's) 2025,Club - Men ,12,7,2025
Hickory,NC,2025-07-12,2025-07-13
https://play.usaultimate.org/events/Filling-the-Void-Mens--Womens-2025/schedule/Men/Club-Men/
baNC,1
0,Campbell Tucker-Hill
0,Colin Daines
0,Daniel Tometich
0,Paul Michael Healy
0,William Litchholt
4,Joshua Morton
9,Joe Dosch
12,Max Sprigg-Dudley
17,Chris Chang
18,Elliot Hare
25,Graham Barton
29,Everitt Meer
56,James Alzona
72,Jake Sperry
b,r,e,a,k
Town Hall Stars,7
teamInfo,,"College Park, Maryland",,,
0,Adel Al-Awadhi
0,Ben Slade
0,Ethan Lay
0,Jeremy Allen
0,Ryan Low
0,Rye Strand
0,Theodore Kerr
0,Kyle Williamson
4,Benjamin Andersen-Taylor
6,Jonathan Gong
6,Liam Allen
7,Alexander Kerr
8,Joel Maiman
12,Jacob Schwartz
14,Blake Pahlavan
16,Thomas Maloney
21,Kevin Jiang
25,Aaron Lavitsky
32,Austin Chau
44,Austin Paynter
99,John Walden
b,r,e,a,k
Lost Boys,2
teamInfo,,"Columbia, South Carolina",mailto:lbfrisbee@gmail.com,https://www.facebook.com/lbultimate/,https://twitter.com/TheLostBoysUlti
0,Andrell Caldwell
0,Michael Miller
1,Nicholas Hocking
2,Hunter Taylor
4,Nicholas Lopez
6,Hussain Bhagat
6,David VanAuker
7,William Carmichael
8,Matthew Hogue
9,Gray Fisher
10,Colin Sauls
11,Joel Wooten
11,Nicholas Headden
15,Matt Green
15,Corey Bennett
20,Johnnie Lynch
22,Matthew Herbst
24,Stephen Trello
29,Daniel Ouk
47,Achilles Hahn
64,Jacob Blackman
83,Cleve Fisher
84,Jacob McClary
b,r,e,a,k
Tennessee Folklore,14
teamInfo,,"Knoxville, Tennessee",,,
0,Ben Epstein
0,Benjamin Sayre
0,Benjamin Cooper
0,Brady Terechenok
0,Charles Wilt
0,Corey Crawford
0,Dalton Densel
0,Eli Duncan
0,Emmett Lee
0,Gabriel Weber
0,Jackson Lange
0,Adam Abdelrahman
0,Mark Filer
0,Patrick Barlow
7,Eugene Michael Campos
7,Caleb Batchelder
8,Brandon Clackum
28,John Fang
44,Kyle Dolwick
55,Austin Lillis
b,r,e,a,k
Queen City Kings,11
teamInfo,,"Charlotte, North Carolina",,,
0,Austin Maidene
0,Avery Dunham
0,Brooks Fleming
0,Cris Gallo
0,Dan Papazian
0,Gautam Das
0,Graden  O’Connor
0,Juan Mancera
0,Liam Eident
0,Patrick Kennes
0,Tyler Strenk
0,Max Povejsil
0,Michael Duda
0,Ty Yandle
1,Hunter Frederick
5,Rocky Morris
8,Connor Wood
9,Enzo Arcuri
12,Nathan Silvestri
14,Matthew Lundstrom
16,Jaren Robbins
19,Jordan Knox
24,Nate Sutherland
33,Evan Miller
77,Sean Kiser
92,John Colyer
b,r,e,a,k
Black Lung,6
teamInfo,,"Lexington, Kentucky",,,https://twitter.com/blacklungulti?lang=en
0,Cole Bernstein
0,Daniel Swastek
0,Garrett Hamilton
0,Jack DeLong
0,Jackson Hollander
0,Joseph Neuzel
0,Mason Montgomery
0,Nathan Riffell
0,Nicholas Riffell
0,Sifaan Amanu
0,Isaac Madill
0,Christopher Padgett
0,David Diddle
1,Adam Houk
8,Nathan Meade
10,Larry Farmer Jr
23,Reid Gouge
27,Wyatt Driskell
42,Josiah Cutts
45,Nate Knowles
53,Jacob Gowan
61,Chris Bauer
63,Ezekiel Miller
b,r,e,a,k
Little Red Wagon,3
teamInfo,,"Atlanta, Georgia",,,
coaches,Frederic Perivier
0,Alex Liu
0,Andrew Chung
0,Caleb Myatt
0,Ethan Niedzwiedz
0,Jackson Knox
0,Michael Price
0,José  Caetano
0,Kolbie Carrell
2,Grover Grendzinski
3,Matthew Knowles
10,Mikey Curtis
10,Adam Burgess
12,Jeremy Sanders
17,Nicholas Huffman
18,Patrick Ufer
20,Bryce Jackson
33,Devon Rogers
39,Jarrett Swanson
42,Jon Fey
69,Garrett Anderson
85,Conner Gabriel
87,Trenton Spinks
b,r,e,a,k
NC Brickhouse,10
teamInfo,,"Raleigh, North Carolina",,,
0,Aiden Fields
0,Alex Fischer
0,Benjamin Armstrong
0,Dylan Edwards
0,Finley Bray
0,Gabriel Gehtland
0,Isaac King
0,Isaac Castiglione
0,Kyler Wieties
0,Matthew Bain
0,Milo Ciccone
0,Mustafa Hamed
0,Noah Lennon
0,Joshua Hester
0,Ryan Chen
0,Sassan Fahim
0,Theodore Aspinwall
0,Aanand Yu
7,Justin Wieties
16,Daniel Rabinovich
22,John Bradley
24,Parker Shahdad
25,Caleb Hofheinz
69,Alexander Tayyeb
88,Henry Goller
95,Jack Hartingh
b,r,e,a,k
PARLAY,15
teamInfo,,"Charlotte, North Carolina",,,
0,Allen Meese
0,Dane  Crandall
0,JAMES NIETERING
0,Logan Eidell
0,Nathan Skinner
0,Scott Keen
2,Josh Holder
5,Michael Gentry
8,Jackson  Dye
25,Adrian Martinez
52,Jackson Danley
69,Cliff Totherow
77,Nino Paraiso
80,Michael Farnham
b,r,e,a,k
Triumph,5
teamInfo,,"Morrisville, North Carolina",https://rb.gy/6knme4,,
0,Benjamin Kinnaird
0,Bobby Patterson
0,Adam Luthman
0,Christopher Heim
0,Dillon Lesniak
0,Luke Cornelius
0,Ryan Norris
0,Samson Bienstock
0,Stefan Isaza
0,Tanner Plentl
0,Tate Wilson
0,Quinlan Collier
3,Michael Paniagua
5,Jason Zwierzynski
6,Harrison Karlok
7,Brian Dahlben
11,Josh Louie
13,Jacob Luksik
13,Eric Feigin
13,Christopher Byrd
14,Zachary Baldwin
19,Robert Castaneda
21,Andrew Clegg
31,David Tulin
86,Connor Norris
b,r,e,a,k
UpRoar,9
teamInfo,,"Tampa Bay, Florida",,https://www.facebook.com/TampaBayUpRoar,https://twitter.com/TampaBayUpRoar
0,James Sanders
0,Jon Drawdy
0,Joseph Dininger
0,Kyle Krukowski
0,Mohammed Judeh
0,Roger King
0,Ronald Peterman
0,Dario Milano
0,Sam Bonillas
0,Thomas Kiefer
0,Tyler Hebert
1,Christopher Pitillo
10,Ryan Watson
11,Dustin McKee
12,Howard Le
15,Donovan Murphy
29,Acero Liang Li
42,Clayton Marshall
81,Sean Messer
b,r,e,a,k
John Doe,4
teamInfo,,"Washington, District of Columbia",,https://www.facebook.com/johndoeultimate,@JohnDoeUlti
0,Christopher King
0,Connor McCartney
0,Cooper Glavin
0,Devin Holland
0,Emmett Brosowsky
0,Andres Huenneke
0,Evan Moss
0,Marius Orentas
0,Micah Craine
0,Michael Richards
0,Nicholas Roller
0,Niko Paulson
0,Owen Edwards
1,Gunnar Biebighauser
2,Justin Fang
4,Jonah Golder
9,George Liacouras
10,Erik Anaya
14,Chad Rahtz
22,Ethan Heiss
22,Ryan Kelly
26,Joshua Datz
40,Phillip Bader
42,Daniel Slesinski
51,Thomas Schmitt
88,Thomas Richards
b,r,e,a,k
Gambit,16
teamInfo,,"Charlotte, North Carolina",https://www.instagram.com/cltgambit/,,
0,Rashid Moreau
02,Ammar Dossaji
05,Cameron Lopez
05,Ryan Wu
09,Drew Scott
10,Matthew Tortorich
12,Joel Holder
13,Keion Owen
13,David Sandoval
15,Mike Duffy
16,Jeremy McDavid
17,Jacob Suchman
24,Patrick Ireland
28,Ben Armstrong
35,Robert Johnson
42,Nathaniel Evans
42,Jacob Kincaid
72,Ryan Malone
80,Andre Phillips
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
baNC,Pittsburgh Stealers,13,4,"07/12/2025, 08:30",Pool A,Final
Hooch,GVL Trout,8,13,"07/12/2025, 08:30",Pool A,Final
baNC,Hooch,0,0,"07/12/2025, 10:25",Pool A,Scheduled
Pittsburgh Stealers,GVL Trout,0,0,"07/12/2025, 10:25",Pool A,Scheduled
baNC,GVL Trout,0,0,"07/12/2025, 12:20",Pool A,Scheduled
Hooch,Pittsburgh Stealers,0,0,"07/12/2025, 12:20",Pool A,Scheduled
pool,Pool B
Lost Boys,Queen City Kings,13,6,"07/12/2025, 08:30",Pool B,Final
Town Hall Stars,Tennessee Folklore,13,6,"07/12/2025, 08:30",Pool B,Final
Lost Boys,Town Hall Stars,0,0,"07/12/2025, 10:25",Pool B,Scheduled
Queen City Kings,Tennessee Folklore,0,0,"07/12/2025, 10:25",Pool B,Scheduled
Lost Boys,Tennessee Folklore,0,0,"07/12/2025, 12:20",Pool B,Scheduled
Town Hall Stars,Queen City Kings,0,0,"07/12/2025, 12:20",Pool B,Scheduled
pool,Pool C
Little Red Wagon,NC Brickhouse,13,6,"07/12/2025, 08:30",Pool C,Final
Black Lung,PARLAY,13,4,"07/12/2025, 08:30",Pool C,Final
Little Red Wagon,Black Lung,0,0,"07/12/2025, 10:25",Pool C,Scheduled
NC Brickhouse,PARLAY,0,0,"07/12/2025, 10:25",Pool C,Scheduled
Little Red Wagon,PARLAY,0,0,"07/12/2025, 12:20",Pool C,Scheduled
Black Lung,NC Brickhouse,0,0,"07/12/2025, 12:20",Pool C,Scheduled
pool,Pool D
John Doe,UpRoar,0,0,"07/12/2025, 08:30",Pool D,Scheduled
Triumph,Gambit,13,1,"07/12/2025, 08:30",Pool D,Final
John Doe,Triumph,0,0,"07/12/2025, 10:25",Pool D,Scheduled
UpRoar,Gambit,0,0,"07/12/2025, 10:25",Pool D,Scheduled
John Doe,Gambit,0,0,"07/12/2025, 12:20",Pool D,Scheduled
Triumph,UpRoar,0,0,"07/12/2025, 12:20",Pool D,Scheduled
b,r,e,a,k
clusters,Crossover / Play-In Games
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
bracket,3rd Place Game
bracket,5th Place Bracket
bracket,7th Place Game
b,r,e,a,k
brackets,Consolation Bracket
bracket,Consolation Bracket
bracket,11th Place Game
bracket,13th Place Bracket
bracket,15th Place Game
b,r,e,a,k
