TCT Select Flight Invite - East 2019,Club - Men ,27,7,2019
Columbus,OH,2019-07-27,2019-07-28
https://play.usaultimate.org/events/TCT-Select-Flight-Invite-East-2019/schedule/Men/Club-Men/
Furious George,1
0,David Nester
0,Liam McDonald
0,Matthew Grinde
0,Robert Lyke
4,Henry Goldenberg
5,Jeff Maskalunas
7,Andrew Ericson
8,Ryan Sokup
11,Nico Ranabhat
13,Shane Otis 
17,Sean Treacy
19,Andrew Everts
42,Matthew Berkholtz
42,Kevin Tan
44,Darren Yu
49,John Tan
55,Ben Kishter
66,Ted Schewe
69,Isaac Fine
88,Jonah Jossart
99,Zane Stein
b,r,e,a,k
Nain Rouge,14
teamInfo,,"Ferndale, Michigan",,,https://twitter.com/NainRougeUlti
coaches,Parker Howard
0,James Baker Jr
0,John (Jack) Dowling
0,Joshua Osinski
0,Kenneth Debacker
0,Max Teener
0,Nicholas Colucci
0,Travis Compo
1,Andrew Sjogren
3,Elijah Scherz
6,Ashwin Pothukuchi
8,Jared Schwallie
13,David Yu
14,Maxton Fil
17,Brendan McCann
18,Jeffrey Gao
20,Adam Stautberg
21,Jake Blankemeier
25,Ryan Yergin
29,Ashton Hoffman
33,Daniel Dodge
35,Kevin Anthony
59,Nicholas Gerber
69,Evan Parizot
87,Pavel Mazza
99,Joshua Venegas
b,r,e,a,k
Garden State Ultimate,7
teamInfo,,"Princeton, New Jersey",http://gardenstateultimate.com/,,https://twitter.com/gardenstateulti
coaches,Gregory Stolowski
6,Miles Eckardt
02,Wesley Chen
05,Brian Magerr
07,Kevin Lin
08,Russell Moy
09,Kevin Wang
10,Shashank Alladi
12,Bobby Puhak
13,Eli Weaver
15,Casey Zhu
17,David Maniloff
22,John Sickles
23,Angelo Olcese
24,Isaac Duan
32,David Perry
39,Xavier McCormick
41,Harry McNamara
64,Benjamin Levy
77,Bo Li
84,Daniel Friedman-Brown
b,r,e,a,k
Pittsburgh Temper,3
teamInfo,,"Pittsburgh, Pennsylvania",,https://www.facebook.com/pghtemper/,https://twitter.com/pghtemper
coaches,Andrew Willig,Ari Weitzman
1,Max Sheppard
2,Jonathan Mast
4,Ben Banyas
5,Ryan Hoffman
6,Anson Reppermund
9,Patrick McMullen
03,Patrick Earles
07,Mark Fedorenko
08,Thomas Edmonds
10,Max Thorne
11,Alex Spenceley
12,Kevin Tsui
15,Dylan Best
18,Kyle Hartley
22,Owen Watt
24,Alexander Thomas
25,Adam Burgess
27,Jasper Tom
29,Hafeez Shams
34,Casey Mann
35,Dan Goldstein
45,Brett Matzuka
48,Jimmy Towle
49,Sam VanDusen
55,Chris Graber
77,Mohamadou Diatta
81,Tyler DeGirolamo
b,r,e,a,k
Red Circus,15
teamInfo,,"Halifax, Nova Scotia CA",,https://www.facebook.com/rcultimate/,https://twitter.com/rcultimate?lang=en
coaches,Luke Martelli
0,Greer Hunt
0,Nicholas House
01,Tyler Smith
05,David Archibald
09,Grant MacDonald
11,John Snow
16,Martin James
17,John Brown
19,Sam Cameron
21,Felix Zhou
27,Brent Wallace
28,Brett Chiasson
30,James McKenna
37,Greg Dennis
54,Luke Pitts
56,Dennis Trainor
80,Hannes Becker
81,Casper Macaulay
83,Garrett Jung
89,Stephen Snow
91,Andrew Johnston
99,Evan Mercer
b,r,e,a,k
NexGen All-Star Tour,10
teamInfo,,"Durham, North Carolina",,https://www.facebook.com/Brickhouse-Ultimate-150509632158835/,https://twitter.com/BrickhouseUlti
0,Avery Acierno
0,Bailey Laberteaux
0,Conor Chickos
0,James Lockamy
0,Jordan Perry
0,Rhys Gretsch
0,Michael Sweeney
3,Kevin Huerta
4,Suraj Madiraju
10,Caleb Avery
11,Andrew Li
14,Peter Barry
20,Thomas Williams
24,Michael Lee
26,Troy Miller
52,Kamron Daftari
71,Clint McSherry
96,Ethan Ylizarde
99,Matt Tucker
b,r,e,a,k
Black Market I,6
teamInfo,,"Lombard, Illinois",https://www.BlackMarketUltimate.com,https://www.facebook.com/BlackMarketUltimate,https://twitter.com/blackmarketulti
00,Cal Tornabene
00,Daniel Miller
00,Dylan Power
00,Evan Haug
00,Evan Swiatek
00,Jeff Robinson
00,Joseph Conerty
00,Johan  Viafara 
00,Johnny Saniat
00,Josh Van Cleave
00,Justin Forman
00,Reid Martin
00,Reno Brinn
01,Daniel Vockeroth
03,Michael Armstrong
05,Zach Kieffer
15,Jeremy Burril
22,Brian Rathunde
23,Ryan Smith
31,Nicholas Golini
40,Canaan Murray
45,Chris Santiago
59,Brett Ploussard
66,Jacob  Cuthbert
76,Girolamo S Kelly
79,Aiden Frank
85,Matthew Lemaitre
b,r,e,a,k
CLE Smokestack,9
teamInfo,,"Cleveland, Ohio",,,https://twitter.com/CLE_Smokestack
0,Andrew Ball
0,Anthony Davis
0,Brad Kotecki
0,Bryan Dunbar
0,Cole Osborn
0,David Picone
0,Evan Howey
0,Griffin Binkley
0,John Marotta
0,Jonathon Grgat
0,Nic Gill
0,Nick Longo
0,Zach Cartwright
3,Joseph Marmerstein
4,Zach Byrnes
5,Nolan Howard
5,Amir Kaghazwala
6,Ben Krumpelman
10,Eric Zarobila
12,Mitch Cihon
26,Zach Johnston
27,Felipe Delgado
34,Daniel Lynch
35,Joshua Swanson
55,Adnan Raslan
82,Dutch Kirkman
99,Robert Strohmeyer
b,r,e,a,k
General Strike,5
teamInfo,,"Winnipeg, Manitoba CA",,https://www.facebook.com/WinnipegGeneralStrike,https://twitter.com/strikeultimate
0,Brodie Goertzen
0,Cameron Burden
0,Jacob Meiklejohn
0,Jeffrey Boris
0,Jordan Warren
0,Justin Kelly
0,Matthew Mcdonald
0,Nathan Gooi
0,Ryan McDonald
0,Tyler Ganes
0,Zach Tottle
4,Jesse Greenberg
5,Mathew Ladyman
8,Stephen Crew
9,Joshua Ewert
22,David Ladyman
23,Gil Binnun
29,Brendan Wilson
35,Alan Scarth
36,Matthew Loxley
55,Quinn Tays
90,Zach Goldberg
94,Hugh Wichenko
b,r,e,a,k
UpRoar,16
teamInfo,,"Tampa Bay, Florida",,https://www.facebook.com/TampaBayUpRoar,https://twitter.com/TampaBayUpRoar
03,Andrew Roney
05,Peyton Brooks
06,Bobby Patterson
07,Danny Bumgarner
10,Brian Shinners
11,Kellen Gray
12,Paden Hestorff
21,John Holk
24,Stephen Ierardi
25,Robert Matthew Hankin
27,Anthony Gutierrez
28,Josh McKisic
29,Hayden Chappel
37,Corey Bennett
75,Ryan Chard
87,Daniel Miller
88,Matt Chandler
b,r,e,a,k
Big Wrench,4
teamInfo,,"Somerville, Massachusetts",http://bigwrenchultimate.com,https://www.facebook.com/BigWrenchUlt,https://twitter.com/BigWrenchUlt
0,Albert Lee
0,Andy Yu
0,Ben Simmons
0,Jack Facey
0,Jacob Marsh
0,John Wellers
0,Joseph Min
0,Luke Diorio
0,Mark Kharakh
0,Tomaso Mukai
0,Walden Ng
2,Colby Jacques
3,Brian Wyer
4,Ryan Woodhouse
7,Alexander Roche
11,Samuel Letcher
12,Phillip Joyce
14,Kai DeLorenzo
17,Andrew Zaccardi
17,Ben Goossen
33,Conor Eckert
33,Nick Jewell
50,Harrison Greene
51,Jared Kannel
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Furious George,CITYWIDE Special,13,5,"07/27/2019, 10:50",Pool A,Final
Nitro,MKE,13,11,"07/27/2019, 10:50",Pool A,Final
Nitro,CITYWIDE Special,13,11,"07/27/2019, 12:40",Pool A,Final
Furious George,MKE,13,4,"07/27/2019, 12:40",Pool A,Final
CITYWIDE Special,MKE,13,8,"07/27/2019, 14:30",Pool A,Final
Furious George,Nitro,13,8,"07/27/2019, 14:30",Pool A,Final
pool,Pool B
GOAT,Mad Men,13,7,"07/27/2019, 09:00",Pool B,Final
Garden State Ultimate,Nain Rouge,11,12,"07/27/2019, 09:00",Pool B,Final
GOAT,Nain Rouge,13,7,"07/27/2019, 10:50",Pool B,Final
Garden State Ultimate,Mad Men,11,13,"07/27/2019, 10:50",Pool B,Final
GOAT,Garden State Ultimate,13,9,"07/27/2019, 14:30",Pool B,Final
Mad Men,Nain Rouge,13,8,"07/27/2019, 14:30",Pool B,Final
pool,Pool C
Pittsburgh Temper,NexGen All-Star Tour,13,8,"07/27/2019, 09:00",Pool C,Final
Black Market I,Red Circus,11,12,"07/27/2019, 09:00",Pool C,Final
Pittsburgh Temper,Red Circus,13,7,"07/27/2019, 10:50",Pool C,Final
Black Market I,NexGen All-Star Tour,7,13,"07/27/2019, 10:50",Pool C,Final
Pittsburgh Temper,Black Market I,13,7,"07/27/2019, 12:40",Pool C,Final
NexGen All-Star Tour,Red Circus,9,13,"07/27/2019, 12:40",Pool C,Final
pool,Pool D
Big Wrench,CLE Smokestack,8,13,"07/27/2019, 09:00",Pool D,Final
General Strike,UpRoar,13,7,"07/27/2019, 09:00",Pool D,Final
Big Wrench,UpRoar,8,13,"07/27/2019, 12:40",Pool D,Final
General Strike,CLE Smokestack,8,13,"07/27/2019, 12:40",Pool D,Final
Big Wrench,General Strike,7,13,"07/27/2019, 14:30",Pool D,Final
CLE Smokestack,UpRoar,13,10,"07/27/2019, 14:30",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Furious George,GOAT,13,7,"07/28/2019, 12:40",Finals,Final
Furious George,CLE Smokestack,13,7,"07/28/2019, 10:50",Semifinals,Final
General Strike,GOAT,7,13,"07/28/2019, 10:50",Semifinals,Final
Furious George,NexGen All-Star Tour,13,10,"07/28/2019, 09:00",Quarters,Final
CLE Smokestack,Red Circus,13,7,"07/28/2019, 09:00",Quarters,Final
Pittsburgh Temper,General Strike,14,15,"07/28/2019, 09:00",Quarters,Final
GOAT,Nitro,13,2,"07/28/2019, 09:00",Quarters,Final
Mad Men,NexGen All-Star Tour,9,13,"07/27/2019, 16:20",Pre-Quarters,Final
Red Circus,Nain Rouge,13,10,"07/27/2019, 16:20",Pre-Quarters,Final
General Strike,CITYWIDE Special,13,8,"07/27/2019, 16:20",Pre-Quarters,Final
Nitro,UpRoar,11,8,"07/27/2019, 16:20",Pre-Quarters,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,3rd Place
CLE Smokestack,General Strike,13,10,"07/28/2019, 12:40",3rd Place,Final
bracket,5th Place
Nitro,Pittsburgh Temper,10,13,"07/28/2019, 12:40",5th Place,Final
NexGen All-Star Tour,Nitro,11,13,"07/28/2019, 10:50",5th Place Semifinals,Final
Red Circus,Pittsburgh Temper,4,13,"07/28/2019, 10:50",5th Place Semifinals,Final
bracket,7th Place
NexGen All-Star Tour,Red Circus,0,1,"07/28/2019, 12:40",7th Place,Final
bracket,9th Place
Mad Men,Nain Rouge,13,10,"07/28/2019, 10:50",9th Place,Final
Mad Men,UpRoar,13,8,"07/28/2019, 09:00",9th Place Semifinals,Final
Nain Rouge,CITYWIDE Special,13,10,"07/28/2019, 09:00",9th Place Semifinals,Final
bracket,11th Place
UpRoar,CITYWIDE Special,11,13,"07/28/2019, 10:50",11th Place,Final
b,r,e,a,k
pools,13th-16th Place Round Robin
pool,Pool E
Garden State Ultimate,Big Wrench,15,6,"07/27/2019, 16:20",Pool E,Final
MKE,Black Market I,8,13,"07/27/2019, 16:20",Pool E,Final
MKE,Big Wrench,13,6,"07/28/2019, 12:40",Pool E,Final
Black Market I,Garden State Ultimate,13,9,"07/28/2019, 12:40",Pool E,Final
MKE,Garden State Ultimate,10,13,"07/28/2019, 14:30",Pool E,Final
Black Market I,Big Wrench,13,5,"07/28/2019, 14:30",Pool E,Final
b,r,e,a,k
