Mardi Gras XXXII,College - Men ,2,3,2019
https://play.usaultimate.org/events/Mardi-Gras-XXXII/schedule/Men/CollegeMen/
LSU,1
0,Andrew Waldrep
0,Kyler Krause
0,Leighton Rampulla
0,Matthew Quarnstrom
0,Nick McMillan
0,Seth Newton
0,Tyriq Cash
1,Cross Jenkins
2,Kaleb Frames
5,Ronnie Piccini
5,Joseph Wood
8,Duncan Carville
9,Jacob Meredith
10,Joseph Varghese
10,Abhay Thottassery
12,James Meredith
15,Ben Cockrell
21,Sean Williamson
21,Justin Eads
23,Prateek Mishra
27,Jospeh Spears
31,John Bateman
33,Chase Thigpen
49,Deston Bailey
60,Hunter Davis
63,Brian Acton
66,Hrithik Praveen
88,Thomas O'Donnell
b,r,e,a,k
Minnesota State-Mankato,7
0,Adam Recknagel
0,Andrew Floersch
0,Jack Owen
0,John Barton
0,Philip Gramer
2,Parker Erickson
3,Jeremy Leonard
7,Benjamin Doeden
11,Patrick La Course
13,Nolan Bessler
15,Kyle Moreau
16,Jacob Chamberland
20,Adam Riley
26,Ryan Hiller
27,Daniel Bates
34,Hayden Ohlemacher-Lonetti
36,Jameson Bernhagen
69,Nathan Atkinson
84,Gavin Kritzeck
89,Isaac  Leonard
98,Cody Castonguay
99,Austin Clifford
b,r,e,a,k
Texas-San Antonio,15
1,Skye Knight
3,Harrison Greaves
4,William Miller
5,Austin Barr
9,Donnell Cartwright
10,Luis Javier Espinoza
12,Belisario Garza
13,George Tharakan
16,Steven Glatt
17,John Breen
18,Antonio Sagar
20,David Pratter
21,Stuart Hanson
23,Adam Regan
28,Carter Dodson
30,Tyler Zinck
32,Seamus Moreno
33,Benjamin Hanson
37,Stanley Ngo
39,Antonio Reyes
44,Kevin Brown
53,Giovanni Calisto
69,Cameron Brown
89,Anthony  Tedesco 
b,r,e,a,k
Texas A&M (C),22
0,Bailey Bennett
0,Victoriano Garcia lll
2,Peter Evans
3,Brennan Karr
9,Carson Fronefield
15,Satish Vadivelu
20,Andy Tang
20,Kevin Tang
47,Alan Rodriguez
81,David Turlip
99,John Abel
b,r,e,a,k
North Florida,8
0,Jake Gritter 
3,Ian Smith
5,Courtney Brening
5,Curtis Landry
14,Cameron Paul
16,Riley Clark
81,Daniel Silva
b,r,e,a,k
Texas Christian,13
7,Andra Land Jr.
03,Andrew Gillogly
05,Ryan Salters
06,David Hudson
08,Jared Fox
11,Conner Berger
13,Adam Gonzales 
14,Ryan Bunnell
17,Reagan McMann
19,Grant Restel
22,Garrett Groppell
23,Jason Eisdorfer
24,Bobby Neil
25,Hunter Massey
27,Daniel Hooks
28,Andrew Fletcher
32,JT Riley
33,Michael  Hellmer
34,Caleb Ellison
35,Kyle Wanda
37,Ethan Waterman
42,Emerson Wolf
50,Bryan Delgado 
b,r,e,a,k
Mississippi,16
0,Alexander Lazzara
0,Austin Uhl
0,Matthew DeMatteo
0,Noah McKone
0,Owen Barry
0,Robert Hosemann
0,Jason Dao
0,William  Smith
1,Terrence Newson
6,Clayton King
9,Stroud Tolleson
36,Joseph Branson
69,Ethan Derby
b,r,e,a,k
Texas State  (B),21
0,Brandon Watkins
0,Tyler Kotwitz
2,Jonathan Silverman
7,James McKechnie
10,En Emerson
18,Michael Bourne
19,Tanner Hughes
77,Sheamus Flanagan
83,Israel Medina
88,Reid Pannell
99,Ethan Shirey
b,r,e,a,k
Georgia State,9
0,Adam Goodwin
0,Ahmaad Daniel
0,Andrew Korn
0,Arin Akkent
0,David Ordway
0,Julian Alvarez-Lobo
0,Laurence Perivier
0,Matthew Wheeler
0,Nathan Heckman
0,Paul Nkengasong
0,Samuel Smith
0,Teddy Cole
4,Vinny Nguyen
6,Alex Jackson
7,Austin Hegmon
10,Quinn Roberts
11,Robert Roper
14,Krishan Chib
17,Zach Bronstorph
21,Joshua Kimbell
22,Hal Robinson
32,Zo Lightfoot
42,Jon Fey
b,r,e,a,k
Sul Ross State,17
03,pierce parmer
05,Michael  Solis 
21,Javier Flores
27,Brian Titus
29,Roby George
31,Seth Ramsey
33,Antonio Rivera
41,Coby McGonagill
b,r,e,a,k
Florida State (B),12
0,Brett Stade
0,Henry Marcille
0,Luke Berces
2,Alexander Claffey
5,Trevor Stade
14,Joseph Sandy
21,Kevin Rooney
b,r,e,a,k
Sam Houston State,20
5,Devon Peterson
7,Bryce Nunciato
9,Rhyan Miller
9,Marcos Rodriguez
13,Travis Trochesset
13,Zachary Paige
18,Alexander Tett
18,Ben Dawson
24,Tristen Fay
28,Quinton Butler
b,r,e,a,k
Trinity,18
01,Galen Curtis
02,Axel Anderson
03,David Gralla
07,Miles Fuqua
10,Bryan Granizo
12,Maxwell Bogue
13,Cole Williams
14,Nicholas Demonteverde
17,Joe Williams
22,Jack Parker
23,Nathan Benson
74,Peter Shaffer
80,Anthony Abshire
81,Breton Smith
82,Garrison Meeks
b,r,e,a,k
Mississippi State,10
0,Ben Wright
0,Chris Walls
0,Jared Bennett
0,Sean Toellner
2,Landon Hunter
8,Jordan Burks
9,Kaden Rowell
11,Dalton Clark
13,Brett Prill
17,Andrew Byers
18,Trey  Leonard
19,William Dickens
20,Hayden Lehman
21,Cameron  Boswell 
22,Dustin Loftin
88,Maclaren Tobin
b,r,e,a,k
Texas A&M (B),11
0,Alec Myers
0,Alex Rzasnicki
0,Chase Skweres
0,Curtis Sims
0,Hayden Pfaff
0,Josh Hein
0,Robert Credeur
0,Tae Jung Yang
5,Joseph  Moore
7,Robert Hendrix
12,Sam Whitworth
14,Rohan Agnihotri
17,Samuel Park
19,Jonathan Tran
33,Matthew Bunker
48,Alexander Laskey
68,Braden Winklepleck
73,Jonathan Rought
b,r,e,a,k
LSU (B),19
0,Thomas Hannie
0,Thomas Ackman
10,Jacques Pecquet
27,Damith Gunasingha
36,Evan Young
53,Brandon Magazine
64,Cullen Williamson
69,Nate Stewart
99,Glenn Lorio
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
LSU,Texas State,11,13,"03/02/2019, 08:00",Pool A
Florida,Texas State,13,10,"03/02/2019, 09:45",Pool A
LSU,Florida,13,10,"03/02/2019, 12:00",Pool A
pool,Pool B
Alabama,Wisconsin-Whitewater,13,6,"03/02/2019, 08:00",Pool B
Texas Tech,Wisconsin-Whitewater,13,10,"03/02/2019, 09:45",Pool B
Texas Tech,Alabama,8,13,"03/02/2019, 12:00",Pool B
pool,Pool C
Minnesota State-Mankato,Texas-San Antonio,11,3,"03/02/2019, 08:00",Pool C
Alabama-Birmingham,Texas A&M (C),11,4,"03/02/2019, 08:00",Pool C
Minnesota State-Mankato,Texas A&M (C),11,2,"03/02/2019, 09:45",Pool C
Alabama-Birmingham,Texas-San Antonio,11,5,"03/02/2019, 09:45",Pool C
Minnesota State-Mankato,Alabama-Birmingham,9,11,"03/02/2019, 12:00",Pool C
Texas-San Antonio,Texas A&M (C),11,4,"03/02/2019, 12:00",Pool C
pool,Pool D
North Florida,Mississippi,11,7,"03/02/2019, 08:00",Pool D
Texas Christian,Texas State  (B),13,4,"03/02/2019, 08:00",Pool D
North Florida,Texas State  (B),11,4,"03/02/2019, 09:45",Pool D
Texas Christian,Mississippi,11,7,"03/02/2019, 09:45",Pool D
North Florida,Texas Christian,11,7,"03/02/2019, 12:00",Pool D
Mississippi,Texas State  (B),11,3,"03/02/2019, 12:00",Pool D
pool,Pool E
Georgia State,Sul Ross State,11,5,"03/02/2019, 08:00",Pool E
Florida State (B),Sam Houston State,11,7,"03/02/2019, 08:00",Pool E
Georgia State,Sam Houston State,11,3,"03/02/2019, 09:45",Pool E
Florida State (B),Sul Ross State,7,11,"03/02/2019, 09:45",Pool E
Georgia State,Florida State (B),11,5,"03/02/2019, 12:00",Pool E
Sul Ross State,Sam Houston State,11,5,"03/02/2019, 12:00",Pool E
pool,Pool F
Mississippi State,Trinity,9,11,"03/02/2019, 08:00",Pool F
Texas A&M (B),LSU (B),11,8,"03/02/2019, 08:00",Pool F
Mississippi State,LSU (B),11,8,"03/02/2019, 09:45",Pool F
Texas A&M (B),Trinity,4,11,"03/02/2019, 09:45",Pool F
Mississippi State,Texas A&M (B),11,4,"03/02/2019, 12:00",Pool F
Trinity,LSU (B),11,1,"03/02/2019, 12:00",Pool F
b,r,e,a,k
clusters,Saturday Crossover
cluster,Crossover
LSU,Alabama,10,13,"03/02/2019, 14:00",
Florida,Texas Tech,9,13,"03/02/2019, 14:00",
Texas State,Wisconsin-Whitewater,13,11,"03/02/2019, 14:00",
Alabama-Birmingham,Georgia State,6,11,"03/02/2019, 14:00",
North Florida,Trinity,7,11,"03/02/2019, 14:00",
Minnesota State-Mankato,Sul Ross State,12,10,"03/02/2019, 14:00",
Texas Christian,Mississippi State,5,11,"03/02/2019, 14:00",
Texas-San Antonio,Florida State (B),8,9,"03/02/2019, 14:00",
Mississippi,Texas A&M (B),13,10,"03/02/2019, 14:00",
Texas A&M (C),Sam Houston State,6,11,"03/02/2019, 14:00",
Texas State  (B),LSU (B),9,11,"03/02/2019, 14:00",
b,r,e,a,k
brackets,Sunday Bracket Play
bracket,1st Place Bracket
Alabama,Texas Tech,0,0,"03/03/2019, 11:30",Finals
Alabama,Mississippi,13,2,"03/02/2019, 16:00",Pre-Quarters
Trinity,Alabama-Birmingham,7,13,"03/02/2019, 16:00",Pre-Quarters
Texas State,Minnesota State-Mankato,13,7,"03/02/2019, 16:00",Pre-Quarters
Florida,Texas Christian,13,1,"03/02/2019, 16:00",Pre-Quarters
Texas Tech,Sul Ross State,15,9,"03/02/2019, 16:00",Pre-Quarters
Wisconsin-Whitewater,Mississippi State,4,13,"03/02/2019, 16:00",Pre-Quarters
Georgia State,North Florida,12,9,"03/02/2019, 16:00",Pre-Quarters
LSU,Florida State (B),13,6,"03/02/2019, 16:00",Pre-Quarters
Alabama,Alabama-Birmingham,13,4,"03/03/2019, 08:00",Quarterfinals
Texas State,Florida,13,12,"03/03/2019, 08:00",Quarterfinals
Texas Tech,Mississippi State,13,7,"03/03/2019, 08:00",Quarterfinals
Georgia State,LSU,11,10,"03/03/2019, 08:00",Quarterfinals
Alabama,Texas State,12,8,"03/03/2019, 09:45",Semifinals
Texas Tech,Georgia State,13,2,"03/03/2019, 09:45",Semifinals
bracket,3rd Place Bracket
Texas State,Georgia State,0,0,"03/03/2019, 11:30",3rd Place Finals
bracket,5th Place Bracket
Alabama-Birmingham,Florida,1,11,"03/03/2019, 09:45",5th Place Semis
Mississippi State,LSU,2,13,"03/03/2019, 09:45",5th Place Semis
Florida,LSU,0,0,"03/03/2019, 11:30",5th Place Finals
bracket,7th Place Bracket
Alabama-Birmingham,Mississippi State,0,0,"03/03/2019, 11:30",7th Place Finals
bracket,9th Place Bracket
Mississippi,Trinity,8,13,"03/03/2019, 08:00",9th Place Quarters
Minnesota State-Mankato,Texas Christian,12,9,"03/03/2019, 08:00",9th Place Quarters
Sul Ross State,Wisconsin-Whitewater,12,14,"03/03/2019, 08:00",9th Place Quarters
North Florida,Florida State (B),11,7,"03/03/2019, 08:00",9th Place Quarters
Trinity,Minnesota State-Mankato,12,10,"03/03/2019, 09:45",9th Place Semis
Wisconsin-Whitewater,North Florida,13,9,"03/03/2019, 09:45",9th Place Semis
Trinity,Wisconsin-Whitewater,0,0,"03/03/2019, 11:30",9th Place Finals
bracket,11th Place Bracket
Minnesota State-Mankato,North Florida,0,0,"03/03/2019, 11:30",11th Place Finals
bracket,13th Place Bracket
Mississippi,Texas Christian,6,12,"03/03/2019, 09:45",13th Place Semis
Sul Ross State,Florida State (B),13,9,"03/03/2019, 09:45",13th Place Semis
Texas Christian,Sul Ross State,0,0,"03/03/2019, 11:30",13th Place Finals
bracket,15th Place Bracket
Mississippi,Florida State (B),0,0,"03/03/2019, 11:30",15th Place Finals
bracket,17th Place Bracket
Sam Houston State,Texas State  (B),0,1,"03/03/2019, 08:00",17th Place Quarters
LSU (B),Texas A&M (C),10,3,"03/03/2019, 08:00",17th Place Quarters
Texas-San Antonio,Texas State  (B),8,13,"03/03/2019, 09:45",17th Place Semis
LSU (B),Texas A&M (B),7,8,"03/03/2019, 09:45",17th Place Semis
Texas-San Antonio,LSU (B),0,0,"03/03/2019, 11:30",17th Place Finals
bracket,19th Place Bracket
Texas State  (B),Texas A&M (B),0,0,"03/03/2019, 11:30",19th Place Finals
bracket,21st Place Bracket
Sam Houston State,Texas A&M (C),0,0,"03/03/2019, 09:45",21st Place Finals
b,r,e,a,k
