Huck Finn XXIII,College - Men ,30,3,2019
St. Charles,MO,2019-03-30,2019-03-31
https://play.usaultimate.org/events/Huck-Finn-XXIII/schedule/Men/CollegeMen/
Texas Tech,3
13,Zach Friedman
15,Jesse Strod
19,Joshua Gabella
20,Ryan Roach
24,Sam Gittleman
30,Russell Tan
41,Cole Atkins
63,Gage Sears
b,r,e,a,k
Kansas,10
teamInfo,Horrorzontals,"Lawrence, Kansas",,,
0,Aaron Johnson
0,Alex Smith
0,Andre Coates
0,Andrew Tochtrop
0,Andrew Kelly
0,Bret Bergmeier
0,Brett Voth
0,Brooks Hidaka
0,Daniel Stahlhut
0,Hayden Smith
0,Joseph Rall
0,Max  Irvine 
0,Noah Fogel
0,Travis bohannan
0,William  Ruhe
6,Gavin Walker
7,Isaiah  Moore
10,Hua Deng
15,Neil Newsome
19,Robert Castaneda
21,Matt Kennedy
28,David Vu
82,Spencer Carey
89,David Stierwalt
b,r,e,a,k
Florida State,7
teamInfo,DUF,"TALLAHASSEE, Florida",,https://www.facebook.com/FSUltimate,https://twitter.com/DUFtrainroll
0,Austin Saunders
0,Clayton Partlow
0,Evan Rochelle
0,Grason Cain
0,Jared Lawrence
0,John Holk
0,John Kern
0,John Andrade
0,Justin Chau
0,Nicholas LoPresti
0,Travis Ward
1,Nathaniel Wilson
2,Eli Knezevich
2,Jack Powell
3,Peyton Brooks
4,Gabe Azarcon
6,Rob Leeds
8,Riley Olsen
10,Seth Hibel
10,Kellen Gray
11,Connor Howell
12,Jacob Bell
17,Garrett Coleman
18,Liam McConnell
32,Jonathan Locke
36,Stephen  Muir
50,Driss Ziane
94,Sean Kaiser
b,r,e,a,k
Chicago,15
teamInfo,Junk,"Chicago, Illinois",http://junkultimate.weebly.com/,https://www.facebook.com/UChicagoUltimate/,https://twitter.com/UChiUltimate
0,William Jaffe
2,Hiro Schmidt
3,Kaden Han
4,Matthias Ling
5,Michael Thew
9,Robin Erdakos
10,Mateo Garcia
11,Shravan Ravishankar
14,Eric Weine
18,Dale Decatur
19,Dylan Petiprin
21,Guilherme Soares
25,Hayden Mans
27,Alexander Franzese
27,Milan Rivas
29,Isaac Harris
32,Sean McSweeney
34,Marc Gerdin
40,Alan Countess
43,Will Stone
45,Will Clay
56,DeAngelo Barragan
94,Jason  Vallee
b,r,e,a,k
Arizona State,18
teamInfo,Prime,"Tempe, Arizona",http://www.arizonastateultimate.com/,https://www.facebook.com/ASUPRIME,https://twitter.com/ASU_Ultimate
03,Daniel Childress
05,Julien Hartmann
07,Jacob Mumme
08,Tanner Knoop
10,Ben Nagele
11,Felix Herbst
12,Ethan Gaiser
13,Jeremy Harris
17,Sam Maness
19,Matt Reilly
21,Cole Schmidt
24,Andrew Doe
29,Rafael Solis
42,Christopher Sowards
44,Danny Holton
52,Oliver Artus
69,Andrew Trichak
b,r,e,a,k
Carnegie Mellon,9
teamInfo,Mr. Yuk,"Pittsburgh, Pennsylvania",,,https://twitter.com/mryukultimate
0,ADAM VILLAFLOR
0,Alden Pritchard
0,James Crews
0,Wyatt Brooks
2,Manav Anand
2,Ryan Hoffman
3,Kaizad Taraporevala
5,Scott Harvey-Arnold
7,Theo Gonzales-Tapley
7,Mani Jahani
8,Clifford Ressel
9,Kyle Jannak-Huang
11,Joel Miller
12,Eric Ricci
12,Foster Boales
15,Nick Amano
17,Jasper Tom
20,Peter Zaccardi
26,Ryan Harty
29,JJ McMonigal
30,ThomasJae Garcia
35,Alton Olson
61,Eric Li
b,r,e,a,k
Purdue,8
teamInfo,Undue Ultimate,"West Lafayette, Indiana",https://purduemensultimate.wordpress.com/2016/05/28/about-undue-ultimate/,https://www.facebook.com/pages/Purdue-Ultimate-Frisbee/128269583915564,https://twitter.com/UndueUltimate
2,Jacob Just
3,Patrick Dunn
6,Jacob Mock
7,Shane Bonness
10,Tucker Born
10,Kole Pempek
12,Joseph Byerly
14,Matthew Viscido
17,Griffin Snead
21,Eli Mock
23,Sam Ellison
24,Elliott Eve
26,Jack Havey
30,Mike Benner
31,Matthew VanDokkenburg
36,Robert Miller
44,Ryan Kissane
50,Nicholas Dayton
51,Jack Walter
76,Chandler Moy
87,Chris Vitagliano
b,r,e,a,k
John Brown,16
teamInfo,Ironfist,"Siloam Springs, Arkansas",,https://www.facebook.com/jbultimate,https://twitter.com/JBUIronfist
03,David Belvardi
04,Aaron Thorne
05,Nolan Campbell
06,Seth Eben
12,Josiah Heikes
13,Alexander Brown
16,Maxwell Steele
19,Sam Phipps
22,Jonathan Hinerman
25,Carlson Wakefield
26,Brandon Estes
28,Garrit Headley
41,Brady Collard
42,Ian Staalsen
67,Spencer Patterson
74,Clinton Carroll
81,Joel Stennett
88,Peyton Hughes
99,Harrison  Kretzer
b,r,e,a,k
Arkansas,17
teamInfo,Ludicrous Speed ,"Fayetteville, Arkansas",,,
0,Derek Brandon
5,Sheldon Shinn
11,Trent Woessner
57,Jared Hines
69,Kenneth Cole
69,Nolyn Coughlin
69,Pierce Teeuwen
69,William Bellamy
69,Steele Ruelle
69,Timothy McMullen
69,Grant  Wilmes
69,Ian Kyle Antonio
69,James Genova
69,Andrew Hall
69,Andrew Watson
69,Asa Brown
69,Benjamin Rogers
69,Caleb Vines
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Power Pool
Michigan,Texas A&M,9,8,"03/30/2019, 10:30",Power Pool,Final
Vermont,Texas Tech,5,11,"03/30/2019, 10:30",Power Pool,Final
Michigan,Texas Tech,9,10,"03/30/2019, 12:00",Power Pool,Final
Vermont,Texas A&M,10,9,"03/30/2019, 12:00",Power Pool,Final
Michigan,Vermont,0,0,"03/30/2019, 13:30",Power Pool,Cancelled
Texas Tech,Texas A&M,0,0,"03/30/2019, 13:30",Power Pool,Cancelled
pool,Pool B
Cincinnati,Illinois State,10,8,"03/30/2019, 10:30",Pool B,Final
Iowa State,Illinois State,11,5,"03/30/2019, 12:00",Pool B,Final
Iowa State,Cincinnati,0,0,"03/30/2019, 13:30",Pool B,Cancelled
pool,Pool C
Illinois,Washington University,11,2,"03/30/2019, 10:30",Pool C,Final
Tulane,Marquette,6,7,"03/30/2019, 10:30",Pool C,Final
Illinois,Tulane,0,0,"03/30/2019, 12:00",Pool C,Cancelled
Washington University,Marquette,0,0,"03/30/2019, 12:00",Pool C,Cancelled
Illinois,Marquette,11,4,"03/30/2019, 13:30",Pool C,Final
Tulane,Washington University,7,2,"03/30/2019, 13:30",Pool C,Final
pool,Pool D
Florida State,Chicago,8,7,"03/30/2019, 10:30",Pool D,Final
Kansas,Arizona State,11,7,"03/30/2019, 10:30",Pool D,Final
Florida State,Arizona State,7,5,"03/30/2019, 12:00",Pool D,Final
Kansas,Chicago,11,8,"03/30/2019, 12:00",Pool D,Final
Florida State,Kansas,0,0,"03/30/2019, 13:30",Pool D,Cancelled
Chicago,Arizona State,0,0,"03/30/2019, 13:30",Pool D,Cancelled
pool,Pool E
Purdue,John Brown,11,9,"03/30/2019, 10:30",Pool E,Final
Carnegie Mellon,Arkansas,11,2,"03/30/2019, 10:30",Pool E,Final
Purdue,Arkansas,11,2,"03/30/2019, 12:00",Pool E,Final
Carnegie Mellon,John Brown,11,1,"03/30/2019, 12:00",Pool E,Final
Purdue,Carnegie Mellon,0,0,"03/30/2019, 13:30",Pool E,Cancelled
John Brown,Arkansas,0,0,"03/30/2019, 13:30",Pool E,Cancelled
b,r,e,a,k
brackets,Bracket Play
bracket,Championship Bracket
Michigan,Illinois,11,5,"03/31/2019, 12:50",Final,Final
Michigan,Purdue,10,8,"03/31/2019, 11:45",Semi-Finals,Final
Illinois,Texas Tech,8,7,"03/31/2019, 11:45",Semi-Finals,Final
Michigan,Vermont,9,6,"03/31/2019, 10:40",Quarterfinals,Final
Purdue,Texas A&M,11,7,"03/31/2019, 09:35",Quarterfinals,Final
Illinois,Carnegie Mellon,6,5,"03/31/2019, 09:35",Quarterfinals,Final
Kansas,Texas Tech,4,7,"03/31/2019, 10:40",Quarterfinals,Final
Purdue,Iowa State,9,7,"03/31/2019, 08:30",Pre-Quarterfinals,Final
Cincinnati,Illinois,6,10,"03/31/2019, 08:30",Pre-Quarterfinals,Final
bracket,3rd Place Bracket
Purdue,Texas Tech,9,10,"03/31/2019, 12:50",3rd Place Final,Final
bracket,5th Place Bracket
Texas A&M,Carnegie Mellon,9,6,"03/31/2019, 12:50",5th Place Final,Final
Vermont,Texas A&M,7,9,"03/31/2019, 11:45",5th Place Semi-Finals,Final
Carnegie Mellon,Kansas,9,5,"03/31/2019, 11:45",5th Place Semi-Finals,Final
bracket,7th Place Bracket
Vermont,Kansas,7,3,"03/31/2019, 12:50",7th Place Final,Final
bracket,9th Place Bracket
Cincinnati,Iowa State,11,7,"03/31/2019, 12:50",9th Place Final,Final
Marquette,Cincinnati,5,7,"03/31/2019, 10:40",9th Place Semi-Finals,Final
Iowa State,John Brown,6,4,"03/31/2019, 10:40",9th Place Semi-Finals,Final
Marquette,Arizona State,10,5,"03/31/2019, 09:35",9th Place Quarterfinals,Final
Iowa State,Illinois State,7,3,"03/31/2019, 09:35",9th Place Quarterfinals,Final
Washington University,John Brown,6,7,"03/31/2019, 09:35",9th Place Quarterfinals,Final
Cincinnati,Arkansas,9,5,"03/31/2019, 10:40",9th Place Quarterfinals,Final
Arizona State,John Brown,11,10,"03/31/2019, 08:30",9th Place Quarterfinal Seeding Round,Final
Illinois State,Washington University,6,7,"03/31/2019, 08:30",9th Place Quarterfinal Seeding Round,Final
Marquette,Arkansas,9,6,"03/31/2019, 09:35",9th Place Quarterfinal Seeding Round,Final
bracket,11th Place Bracket
Marquette,John Brown,8,11,"03/31/2019, 12:50",11th Place Final,Final
bracket,13th Place Bracket
Washington University,Arkansas,6,5,"03/31/2019, 11:45",13th Place Final,Final
Arizona State,Washington University,3,6,"03/31/2019, 10:40",13th Place Semi-Finals,Final
Illinois State,Arkansas,6,8,"03/31/2019, 10:40",13th Place Semi-Finals,Final
bracket,15th Place Bracket
Arizona State,Illinois State,0,0,"03/31/2019, 11:45",15th Place Final,Cancelled
b,r,e,a,k
