The Incident 2019: Age of Ultimatron,Club - Mixed ,24,8,2019
Bronx,NY,2019-08-24,2019-08-25
https://play.usaultimate.org/events/The-Incident-2019-Age-of-Ultimatron/schedule/Mixed/Club-Mixed
HVAC,1
13,Christina Holgado
17,Robert Vander Meulen
18,Elizabeth Cravens
19,Aly Goldberg
22,Keith Zuckerman
28,Matthew Newman
33,Zachary Jacobs
42,Michael Grzybowski
44,Melissa Frankil
55,Timothy Brubaker
56,Lauren Feder
70,Jackie Weiss
79,Matt Ferreri
80,Christopher Cruz
88,Christine Siebels-Lindquist
b,r,e,a,k
Rat City,2
teamInfo,,"Baltimore, Maryland",http://ratcityultimate.org/,,
0,Britta Schaffmeyer
0,Dylan Leighton
0,Dylan McDonough
0,Edgar Kunz
0,Jessie Walter
0,Kelly Wallace
0,Kelsey Dennis
0,Kristen Mitsinikos
0,Lex Overholt
0,Gabrielle Aufderheide
0,Golsa Yazdy
3,Matthew Maclay
5,Eva Fury
7,Daniel Paoletti
8,Bridget Gallagher
13,Christopher Schulze
13,Echo Presgraves
27,Edward Speyer
31,Christopher Cahoon
33,Jesse Goldstein
38,Sophia Rosenfeld
41,Gabriel Kaptchuk
61,Carlos Lalimarmo
b,r,e,a,k
I-79,15
teamInfo,,"Pittsburgh, Pennsylvania",,,
0,Charles Kammerer
0,Chloe Chen
0,Connor Dickey
0,Cory Ruff
0,Evan Johnson
0,Anna Romanova
0,Bryan Heim
0,Gregory Close
0,Kira Harbourne
0,Matthew Huber
0,Paige Creo
0,Phil Martone
0,Sophie Paul
0,Tony Thomas
0,Xin Mak
2,Janie DeWoody
13,Evan Gross
17,Kimberly Gomboz
37,Nick Bozich
41,Jacob DeWoody
43,Katherine Barrington
61,Niko Jarema
73,Kelly Kuzemchak
95,Calvin Szewczyk
b,r,e,a,k
Baltimore BENCH,18
teamInfo,,"Baltimore, Maryland",,,
0,Carla Tilchin
0,Christopher Murray
0,Grant Sullivan
0,Hannah Brown
0,Jackson Hickey
0,Janeanne Levenstein
0,Joshua Adler
0,Michael Mooney
0,Molly (Meredith) Finch
0,Nathan Hetzler
0,Patrick Leavey
0,Rebecca Hazany
0,Taylor Binnix
0,Thomas Brown
0,Victoria Lee
4,Robin Gilmore
6,Zanne Gogan
7,Kai Inoki
11,Travis Kneen
18,Rebecca Nicacio
29,Cameron Avelis
34,Benjamin DeForest
45,Ben Saeks
b,r,e,a,k
Birds,3
teamInfo,,"Long Island, New York",,https://www.facebook.com/pages/Frisbee-of-Long-Island-FLI/389689407841902,https://twitter.com/fliultimate
0,Allison Dowling
0,Brandon Hughes
0,Brian Walsh
0,Brigett Echeverria
0,Christianna Wilbert
0,Christopher Kizis
0,Evan Greenberg
0,Jack Pica
0,Danica Vasa
0,Elizabeth Kuzman-McRae
0,Leanne Beyel
0,Lindsey Stevens
0,Philip Iaccarino
0,Sarah Cotter
0,Scott Mulderig
0,Stacey Ng
1,May Patino
10,Patricia Burks
15,James Green
21,Christopher Cabot
28,Matthew Bartell
30,Jessica Jolley
31,Collin Bartoldus
38,Will Burks
96,Eric Cannella
99,Ryan Benincase
b,r,e,a,k
Stoke,6
teamInfo,,"West Chester, Pennsylvania",,,
coaches,Charles Harrity
0,Ben Crescenzo
0,Chris Schauble
0,Clerisse Lardieri
0,Eric Lachance
0,Hannah Short
0,James Roop
0,Richard Barrett
0,Stephanie Coward
0,Stephen Magerr
0,Tate Gugino
4,Joseph Corcoran
18,Sumi Onoe
19,Iris Wang
20,Austin Doucette
29,Calvin Green
35,Daniel Arnold
36,Alison Joyce
42,Edwin Finley
45,Emily Smulowitz
72,Justin Creighton
74,Andrew Creighton
b,r,e,a,k
Nautilus,11
teamInfo,,"Newington, Connecticut",,https://www.facebook.com/nautilusultimate,https://twitter.com/NautilusUlti
0,Erin O'Neill
03,Renee deLisser
07,Terese Rogers
08,David Rundio
08,Drew Woods
09,Michael Cuan
11,Leo White
12,Allyse Fazio
13,Lesley Bickford
18,Mark Nixon
22,Christopher Kozey
24,Melissa Ostendorf
24,Tate Molaghan
26,Mary Cuan
34,Alex Kennedy
37,Aiden Coutin
47,Jason Ellis
49,Sumon Chattopadhyay
69,Mitchell Marois
73,Adam Morgan
93,Anna Sivinski
b,r,e,a,k
Pandatime,19
teamInfo,,"Towson, Maryland",,,
0,Amanda Abell
0,Anne Saba
0,Gabriella Garza
0,Jack Mountain
0,Jessica  Oh
0,Joseph Davis
0,Connie Anagnostou
0,Laurel Wenzel
0,Madison Mulherin
0,Phillip Bloxsom
0,Tyler Lance
0,Tyler New
3,Christopher Haslbeck
6,Stephanie Rolek
8,Mykiah Ashley
15,Marissa Hauser
15,Xavier Stewart
23,Samantha Elliott
25,Colby Agar
31,Josue Reyes
72,Derek Frazer
78,Samuel Butler
b,r,e,a,k
Albany Airbenders,14
teamInfo,,"Albany, New York",,https://www.facebook.com/groups/456908004516415/,
0,Anna Quartararo
0,Ariel Walter
0,Ciara Cullen
0,Dan Priddle
0,Jon Stephan
0,Max Morse
0,Mike Montaruli
0,Sherry Sebesta
0,Steven Miraglia
0,Thomas Horvath
0,Thomas von Allmen
2,Marijella Collins
2,Casimir Wills
5,Reid Slingerland
7,Joeie Lum
9,Kayla Hutchinson (Stephan)
11,Adam Mihalek
12,Kathleen Bemis
13,Kathryn Olds
42,Mitchell Wohl
b,r,e,a,k
Soft Boiled,4
teamInfo,,"Philadelphia, Pennsylvania",,,
01,Francesca Corna
02,Zoe Lewis
03,Scott Neupauer
04,Michael Moses
06,Jacob Doss
07,Katherine Neupauer
10,Daniel Stokes
13,Devin Malanaphy
14,Courtney Dougherty
20,Annie Want
23,Gabriel Webster
26,Alden Daniel
31,Samuel Wedegaertner
36,Charlotte Edelstein
51,Victoria Spofford
64,Adam Alper
73,Faith Geating
77,Jez Dunnett
80,Tara Peng
87,Matt Kerrigan
b,r,e,a,k
Funk,5
teamInfo,,"Newburgh, New York",,https://www.facebook.com/HudsonValleyFunk/,https://twitter.com/HVFunk
0,Douglas Silverman
0,Gary Chasteen
0,Holly Phillips
0,Marisa Gargaro
0,Matthew Sabato
0,Justin Lamarche
0,Katharine Bedrossian
0,Noam Fisherman
0,Zachary Schiff
1,Isaiah Casiano
4,Caroline Turner
8,Kimsun Barber
8,Olivia Ryder
9,Victoria Robustello
10,Robert (Bobby) Owens
11,Mei Reffsin
14,Nicholas Rompala
16,Matthew Keegan
16,James  O'Connell
17,Christina Pacella
21,Briana Chanowitz
77,Meghan MacEnroe
80,Anthony Coppola
91,Ben Phillips
b,r,e,a,k
Unlimited Swipes,12
teamInfo,,"New York, New York",http://www.swipesultimate.com,https://www.facebook.com/swipesultimate/,https://www.twitter.com/swipesultimate
0,Alex Solomon
0,Angel Weng
0,Anthony Havens
0,Benjamin Raudabaugh
0,Greg Hulet
0,Hope Lorah
0,Kelsey McDermott
0,Kimin Fox
0,Mazahidul Islam
0,Phillip Hou
0,Zev Kaufman
3,Allie Hinsberg
12,Jonathan Bobkov
12,Terence To
13,Antonio Valentin
14,Anjile An
17,Kevin Lai
21,Benjamin Korman
24,Matt Norden
25,Patrick Sheil
26,Michole Vergeire
26,Arianna Munro
34,William Suitt
50,Caitlyn Horgan
73,Bohao Liu
76,Andrew Warner
95,Connor Dougherty
b,r,e,a,k
TBD,13
teamInfo,,"NYC, New York",,,
0,Amy Orellana
0,Brett Carr
0,Brian Ball
0,Christiana Chang
0,Eva Liou
0,Haleigh Cavalier
0,Jaime Kwok
0,Leila Selchaif
0,Manuel Fergus
0,Marcos  Jimenez
0,Maryann Platt
0,Matthew Silver
0,Sharon Chiu
0,Thomas Binghi
0,Jeanney Liu
0,Jessica Rosenqvist
0,John Mosho
0,Joseph Cirnigliaro
0,Joshua Arocho
0,Julian Schwartz
0,Whitney Choo
8,Jasmine Xie
12,David Knight
16,Lawrence Luo
17,Dylan Zeigler
25,TJ Dingco
74,Edward Tang
b,r,e,a,k
Turnstyle,20
teamInfo,,"New York, New York",https://turnstyleultimate.weebly.com/,https://www.facebook.com/turnstyleultimate/,https://twitter.com/TurnstyleUlti
0,Evan Pliskin
0,Jing Wang
0,Keith Dobson
0,Linus Koepfer
0,Noam Newberger
0,Rachel Tornheim
7,Khunsa Amin
11,Josh Koh
40,Sora Kim
42,Marguerite Daw
71,Jonathan Wong
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
HVAC,Varsity,13,1,"08/24/2019, 09:00",Pool A,Final
Superstition,Espionage,11,9,"08/24/2019, 09:00",Pool A,Final
HVAC,Superstition,11,7,"08/24/2019, 10:45",Pool A,Final
HAOS,Espionage,11,12,"08/24/2019, 10:45",Pool A,Final
Espionage,Varsity,8,9,"08/24/2019, 12:30",Pool A,Final
HAOS,Superstition,8,12,"08/24/2019, 12:30",Pool A,Final
HVAC,Espionage,13,8,"08/24/2019, 14:15",Pool A,Final
HAOS,Varsity,10,12,"08/24/2019, 14:15",Pool A,Final
HVAC,HAOS,13,5,"08/24/2019, 16:00",Pool A,Final
Superstition,Varsity,13,7,"08/24/2019, 16:00",Pool A,Final
pool,Pool B
Rat City,Baltimore BENCH,13,1,"08/24/2019, 09:00",Pool B,Final
Philly Twist,I-79,13,5,"08/24/2019, 09:00",Pool B,Final
Rat City,Philly Twist,9,10,"08/24/2019, 10:45",Pool B,Final
Eat Lightning,I-79,13,1,"08/24/2019, 10:45",Pool B,Final
I-79,Baltimore BENCH,9,7,"08/24/2019, 12:30",Pool B,Final
Eat Lightning,Philly Twist,13,7,"08/24/2019, 12:30",Pool B,Final
Rat City,I-79,13,5,"08/24/2019, 14:15",Pool B,Final
Eat Lightning,Baltimore BENCH,13,2,"08/24/2019, 14:15",Pool B,Final
Rat City,Eat Lightning,5,13,"08/24/2019, 16:00",Pool B,Final
Philly Twist,Baltimore BENCH,13,2,"08/24/2019, 16:00",Pool B,Final
pool,Pool C
Birds,Pandatime,11,3,"08/24/2019, 09:00",Pool C,Final
Nautilus,Albany Airbenders,13,7,"08/24/2019, 09:00",Pool C,Final
Birds,Nautilus,10,5,"08/24/2019, 10:45",Pool C,Final
Stoke,Albany Airbenders,13,1,"08/24/2019, 10:45",Pool C,Final
Albany Airbenders,Pandatime,7,11,"08/24/2019, 12:30",Pool C,Final
Stoke,Nautilus,12,2,"08/24/2019, 12:30",Pool C,Final
Birds,Albany Airbenders,13,5,"08/24/2019, 14:15",Pool C,Final
Stoke,Pandatime,13,5,"08/24/2019, 14:15",Pool C,Final
Birds,Stoke,12,9,"08/24/2019, 16:00",Pool C,Final
Nautilus,Pandatime,13,2,"08/24/2019, 16:00",Pool C,Final
pool,Pool D
Soft Boiled,Turnstyle,13,1,"08/24/2019, 09:00",Pool D,Final
Unlimited Swipes,TBD,11,7,"08/24/2019, 09:00",Pool D,Final
Soft Boiled,Unlimited Swipes,10,6,"08/24/2019, 10:45",Pool D,Final
Funk,TBD,11,6,"08/24/2019, 10:45",Pool D,Final
TBD,Turnstyle,13,0,"08/24/2019, 12:30",Pool D,Final
Funk,Unlimited Swipes,10,7,"08/24/2019, 12:30",Pool D,Final
Soft Boiled,TBD,11,7,"08/24/2019, 14:15",Pool D,Final
Funk,Turnstyle,13,1,"08/24/2019, 14:15",Pool D,Final
Soft Boiled,Funk,13,8,"08/24/2019, 16:00",Pool D,Final
Unlimited Swipes,Turnstyle,13,3,"08/24/2019, 16:00",Pool D,Final
b,r,e,a,k
brackets,The Battle of New York
bracket,1st Place
Soft Boiled,Eat Lightning,11,10,"08/25/2019, 12:30",1st Finals,Final
HVAC,Soft Boiled,9,10,"08/25/2019, 10:45",1st Semis,Final
Funk,Eat Lightning,10,12,"08/25/2019, 10:45",1st Semis,Final
HVAC,Philly Twist,9,5,"08/25/2019, 09:00",1st Quarters,Final
Soft Boiled,Stoke,11,7,"08/25/2019, 09:00",1st Quarters,Final
Birds,Funk,3,11,"08/25/2019, 09:00",1st Quarters,Final
Eat Lightning,Superstition,10,3,"08/25/2019, 09:00",1st Quarters,Final
bracket,3rd Place
HVAC,Funk,5,13,"08/25/2019, 12:30",3rd Finals,Final
bracket,5th Place
Stoke,Birds,3,11,"08/25/2019, 12:30",5th Finals,Final
Philly Twist,Stoke,9,10,"08/25/2019, 10:45",5th Semis,Final
Birds,Superstition,10,9,"08/25/2019, 10:45",5th Semis,Final
bracket,7th Place
Philly Twist,Superstition,10,8,"08/25/2019, 12:30",7th Finals,Final
bracket,9th Place
Unlimited Swipes,Rat City,6,10,"08/25/2019, 12:30",9th Finals,Final
Varsity,Unlimited Swipes,7,9,"08/25/2019, 10:45",9th Semis,Final
TBD,Rat City,3,10,"08/25/2019, 10:45",9th Semis,Final
Varsity,I-79,13,2,"08/25/2019, 09:00",9th Quarters,Final
Unlimited Swipes,Pandatime,12,4,"08/25/2019, 09:00",9th Quarters,Final
Nautilus,TBD,6,9,"08/25/2019, 09:00",9th Quarters,Final
Rat City,Espionage,11,10,"08/25/2019, 09:00",9th Quarters,Final
bracket,11th Place
Varsity,TBD,8,7,"08/25/2019, 12:30",11th Finals,Final
bracket,13th Place
Pandatime,Espionage,8,13,"08/25/2019, 12:30",13th Finals,Final
I-79,Pandatime,7,11,"08/25/2019, 10:45",13th Semis,Final
Nautilus,Espionage,3,9,"08/25/2019, 10:45",13th Semis,Final
bracket,15th Place
I-79,Nautilus,4,13,"08/25/2019, 12:30",15th Finals,Final
b,r,e,a,k
clusters,Consolation
cluster,Consolation
HAOS,Turnstyle,13,3,"08/25/2019, 09:00",,Final
Baltimore BENCH,Albany Airbenders,12,6,"08/25/2019, 09:00",,Final
HAOS,Albany Airbenders,11,7,"08/25/2019, 10:45",,Final
Baltimore BENCH,Turnstyle,11,5,"08/25/2019, 10:45",,Final
HAOS,Baltimore BENCH,11,4,"08/25/2019, 12:30",,Final
Albany Airbenders,Turnstyle,13,5,"08/25/2019, 12:30",,Final
b,r,e,a,k
