Revolution 2026,Club - Mixed ,11,7,2026
San,Francisco,2026-07-11,2026-07-12
https://play.usaultimate.org/events/Revolution-2026/schedule/Mixed/Club-Mixed
Donuts,1
29,Isabella Zaragoza
55,Eva York
b,r,e,a,k
Landsharks,15
teamInfo,,"Santa Barbara, California",https://www.instagram.com/sblandsharks/#,,
0,Adeleen Khem
0,Aliyah Latham
0,Cameron Lay
0,Christian Van Stralen
0,Cindy Yang
0,Kelly Christina Tursick
0,Emma (Riley) Fink
0,Gage Minne
0,Gabby Wang
0,Cora Reese
0,Rhys Gretsch
0,Marlaina Lascano
0,Ricky Brokaw
0,Max de Visser
0,Theo Mahaffey
0,Liam Jay
0,Mikayla Seidler
0,Taj Federbusch
8,Juliette Delany
14,Keaton Viadro
16,Isaac Duan
23,Ariana O'Shea
33,Liam Yaroschuk
34,Maya Roma
87,Luke Tursick
b,r,e,a,k
Classy,3
teamInfo,,"San Francisco, California",,https://www.facebook.com/classyultimate/,
0,Brendan Willerford
0,Cappy Pitts
0,Chris Wilen
0,Hannah Marr
0,Joseph Gu
0,Caledonia Krieger
0,Kayli Stowe
0,Jayna Wu
0,Lili Gu
0,Malachi Wickman
0,Lauren Byrne
0,Nathaniel Henning
0,Monica Donegan
0,Mitch Frauenheim
6,Laura Dale
8,Jenna Ray
11,Joel Miller
13,Robert Barron
13,Miles Burnette
16,Sarah Kaufman
20,Owen Zuidema
21,Anthony Zasada
26,Mackenzie Smith
33,Nicolas Sprague
36,Caleb Sherman
80,Joseph Ricks
b,r,e,a,k
Family Style,6
teamInfo,,"Los Angeles, California",https://www.instagram.com/playfamilystyle/,,https://twitter.com/playfamilystyle
0,Adam Park
0,Addison Marsh
0,Eric Owens
0,Carmen Fann
0,Andrew Singer
0,Hana Effron
0,Peter Van Esch
0,Parker McLaughlin
0,Junzhe (Jimmy) Feng
0,Thomas Gartman
0,Uniss Tan
0,Sam Fossa
0,Taylor Ford
0,Sadie Abernathy
2,Paul Klinger
13,Kyle Conniff
21,Patrick Krantz
24,Jackie Hall
46,Sarah Kibler
99,Kristen Harmon
b,r,e,a,k
Grit City,11
teamInfo,,"Tacoma, Washington",https://gritcityultimate.carrd.co/,https://www.facebook.com/profile.php?id=100090202771262,https://twitter.com/GritCityUlti?s=20
0,Eve  Goddard
06,Nathalie Belmonte
07,Hailey Olafson
11,Maya Kaizuka-Smith
13,Josiah Colby
14,Steven Villa
17,Kendrick Elliott
20,Ryan Cote
24,Bethany  Forward
25,Savannah Cobb
26,Claire Su
31,Kerry Dolan
33,Naren Fuller
35,Jeffrey Abeshima
41,Joseph Cannistraro
42,Terence Moultrie
44,Dylan Rivers
49,Sean Bocher
77,Elijah Grow-Hanson
88,Eleanor Hoekman
92,Jacob Keister
99,Tiara Laurenne Manalo
b,r,e,a,k
Moonlight Ultimate,14
teamInfo,,"Sunnyvale, California",https://discord.com/invite/8swKNEGjpt,https://www.facebook.com/MoonlightUltimate,
0,Deepta Gupta
0,Di Qian
0,Francisco Echavarria
0,Graham Freifeld
0,Ethan Davis
0,Ethan Chen
0,Dillon Einck
0,James Talbot
0,Emily Nguyen
0,Felix Liu
0,Semona Igama
0,Zinnia Cooperrider
0,Sam Chen
0,Achinthya Poduval
0,Alex Klein
0,Stephen Holman
0,Viviana Moreno
0,Yan Pan
0,Shareen Rodrigues
0,Varuna Manevannan
30,Desiree Minkler
31,Chetan Gomatam
73,Matthew Luu
b,r,e,a,k
American Barbecue,4
teamInfo,,"San Francisco, California",www.abbq.org,www.facebook.com/ABBQfamily/,http://@ABBQfamily
0,Alex Parikh-Briggs
0,Amelia Farinas
0,Colin Baylis
0,Danika Lee Heaney
0,Liam Kreiss
0,Drew Vetteth
0,Katryn Heine
0,Luca Davis
0,Wenqian Deng
0,Sophie Mullaney
0,Simone Ong
0,Samuel Du
0,Shaili Mathur
0,Ruby Gates
0,Ruby Li
0,Olivia Kim
3,Jasmine Der
8,Chenxi Sun
22,Warren Chang
23,Trevor Aquino
24,Drew Palmer
26,Liam Kilbridge
28,Jamie Miller
33,Vincent Fan
33,Sorika Weir
36,Jenna Weiner
b,r,e,a,k
Hive,5
teamInfo,,"Portland, Oregon",https://www.instagram.com/hiveultimate?igsh=dnFmbXR2c2loOGZv,,
0,Pete Overright
3,Ian Fouts
8,Jeremy Randolph-Flagg
01,Paul Telford
04,Katelyn Osborne
05,Kathryn Fowler
07,Devon Graham
10,Morgan Wilbur
11,Jonah Goldberg
12,Sierra Gray
13,Abby VanLeuven
14,Haley Bollier
15,Cameron Lamont
17,Mira Larrance
18,Katherine Schauer
20,Reilly Aldrich
22,Timothy Wood
23,Elizabeth Kolb
27,Noah Martin
28,Marissa Bertuccio
29,Dean Romine
40,Jake Sessler
77,Mikah Keetch
90,Samuel Perreth
92,Brian Paulus
b,r,e,a,k
Goose Chase,12
teamInfo,,"Berkeley, California",https://www.instagram.com/goosechaseulti/,,
0,Allison Pfaendler
0,Jules Fogarty
0,Jacob Buckley
0,Elvys Dang
0,Scott Beamer
0,Yevanit Reschechtko
0,Maya Bruguera
0,Sarah Sommer
0,Lara Lancaster
0,Tommy Wang
3,Halleh Balch
8,Joseph Gorelik
9,Matthew Weymer
10,Jackson Pilisuk
16,Brendan Champlin
16,Vishal Yadav
17,Eli Weiss
24,David Whiteneck
24,Joey Durkin
37,Bennett Christoffersen
76,Annie Joss
81,Tian Qing Yen
98,Kiana Hu
b,r,e,a,k
VU,13
teamInfo,,"San Francisco, California",https://www.instagram.com/vampireultimatefrisbee?igsh=MzRlODBiNWFlZA==,,
0,Abigail Henderson
0,Adam Berman
0,Amelia Meles
0,Ian Brown
0,Emily Lieberman
0,Spencer Herrick
0,Matthew Burton
0,Javier Baluyut
0,Jovahn Cruz
0,Marley Standard
0,Kavya Anbarasu
0,Tamsin Stringer
0,kira baker
0,Sophia Yang
3,Aldyn Markle
10,Dominique Frideger
10,Sarah Wright
12,William Baskin
15,Dina Carpenter-Graffy
31,Samantha Hirsch
36,Jake Wellins
44,Daniel Rabinovich
51,Anthony McCahill
77,Andres Barnola
97,Julian Baldwin
b,r,e,a,k
s,t,a,g,e,s
pools,Revolution Pool Play
pool,Pool A
Donuts,Robot,0,0,"07/11/2026, 10:00",Pool A,Scheduled
Sin Nombre,Takeout,0,0,"07/11/2026, 10:00",Pool A,Scheduled
Donuts,Takeout,0,0,"07/11/2026, 12:00",Pool A,Scheduled
Sin Nombre,Robot,0,0,"07/11/2026, 12:00",Pool A,Scheduled
Donuts,Sin Nombre,0,0,"07/11/2026, 14:00",Pool A,Scheduled
Robot,Takeout,0,0,"07/11/2026, 14:00",Pool A,Scheduled
pool,Pool B
Mango,Birds of Paradise,0,0,"07/11/2026, 10:00",Pool B,Scheduled
Spoiler Alert,Landsharks,0,0,"07/11/2026, 10:00",Pool B,Scheduled
Mango,Landsharks,0,0,"07/11/2026, 12:00",Pool B,Scheduled
Spoiler Alert,Birds of Paradise,0,0,"07/11/2026, 12:00",Pool B,Scheduled
Mango,Spoiler Alert,0,0,"07/11/2026, 14:00",Pool B,Scheduled
Birds of Paradise,Landsharks,0,0,"07/11/2026, 14:00",Pool B,Scheduled
pool,Pool C
Classy,Grit City,0,0,"07/11/2026, 10:00",Pool C,Scheduled
Family Style,Moonlight Ultimate,0,0,"07/11/2026, 10:00",Pool C,Scheduled
Classy,Moonlight Ultimate,0,0,"07/11/2026, 12:00",Pool C,Scheduled
Family Style,Grit City,0,0,"07/11/2026, 12:00",Pool C,Scheduled
Classy,Family Style,0,0,"07/11/2026, 14:00",Pool C,Scheduled
Grit City,Moonlight Ultimate,0,0,"07/11/2026, 14:00",Pool C,Scheduled
pool,Pool D
American Barbecue,Goose Chase,0,0,"07/11/2026, 10:00",Pool D,Scheduled
Hive,VU,0,0,"07/11/2026, 10:00",Pool D,Scheduled
American Barbecue,VU,0,0,"07/11/2026, 12:00",Pool D,Scheduled
Hive,Goose Chase,0,0,"07/11/2026, 12:00",Pool D,Scheduled
American Barbecue,Hive,0,0,"07/11/2026, 14:00",Pool D,Scheduled
Goose Chase,VU,0,0,"07/11/2026, 14:00",Pool D,Scheduled
b,r,e,a,k
brackets,Revolution Brackets
bracket,Championship Bracket
bracket,3rd Place Bracket
bracket,5th Place Bracket
bracket,7th Place Bracket
bracket,9th Place Bracket
bracket,11th Place Bracket
bracket,13th Place Bracket
bracket,15th Place Bracket
b,r,e,a,k
