Great Lakes D-I College Men's Regionals,College - Men ,25,4,2026
Grand Haven,MI,2026-04-25,2026-04-26
https://play.usaultimate.org/events/Great-Lakes-D-I-College-Mens-Regionals-2026/schedule/Men/CollegeMen/
Michigan,1
teamInfo,Panthers,"Grand Rapids, Michigan",https://dupanthers.com/sports/ultimate-frisbee,,
coaches,Mike Zaagman
0,Bryan Lopez-Juarez
0,Gregory Moreno
0,Mitchell Savage
0,Mikush Malimban
00,Richard Dragicevich
00,Rowan Jamieson
00,Noah Schade
00,Noah Callewaert
00,Juraj Hurny
00,Ian Neal
00,Kai Creed
00,Kale Peterson
00,Jacob Felton
00,Aidan Williams
00,Andrzej Porter
00,Collin Hill
00,Connor Concannon
00,Connor Lodholtz
52,Ian VanOrder
77,James Thomas
b,r,e,a,k
Kentucky,11
teamInfo,KULT,"Lexington, Kentucky",http://www.kyultimate.com/,,https://twitter.com/KYUltimate
0,Matthew Martin
0,Matthew King
0,Sawyer Arbogast
00,Nathan Ogilvie
00,A. J. Witheril
00,Colin Winter
00,Darius Jackson
00,John Blair
00,Jacob Gowan
04,Nicholas Wood
07,Reed Brixey
18,Henry Walke
21,Noel Houser
22,Jacob Vejar
23,Andrew Bacarella
23,Reid Gouge
26,Owen Woodward
30,Ethan Gutberlet
45,Nate Knowles
47,Jacob Culver
72,Andrew Blair
85,Dominic Gates
b,r,e,a,k
Northwestern,7
teamInfo,Lake Effect,"Evanston, Illinois",https://www.nutultimate.com,,
0,Albert Luo
0,Alexander Patt
0,Joss Meir
0,Isidore Donnelly
0,Dillon Astudillo
0,Jack Spector
0,Myles Levine
0,Xander Senechal
0,Lucas Hurtado
00,Tyler Zarybnisky
00,Keuyrbel Zewedu
00,Tony Cheng
00,Mateo Liguori
00,Miki Ling
00,Jesse Hart
00,Truman Margolies
00,Nathan Rachwalski
00,Taye Bradford
00,Hari Maheswaran
00,Ethan Weiss
00,Benjamin  Fried
02,Bernie Waldman
08,Ian Falck
20,Kevin Ji
37,Ezra Danzig
68,Emmett Broustis
b,r,e,a,k
Illinois (B),14
teamInfo,Boomland,"Champaign, Illinois",,,https://twitter.com/boomlandulti?lang=en
0,Andrew Ma
0,Bryce Kurfman
0,Anyu Tian
0,Jeffrey Lefkovitz
0,Jacob Ellens
0,Nathan Thomas
00,Sujay Subramanian
00,Jeff Gao
04,Andrew Brown
09,JT DeLongchamp
11,Ryan Hof
16,Michael Hu
19,Declan Delgado
21,Kevin Tanner
23,Erik Rothenberger
24,Rohil Saxena
30,Gang Xu
35,Gautam Kothavade
67,Robert Skrentny
78,Patrick Huang
84,Ben Lareau
88,Eric Ho
89,Luca Iasinschi
b,r,e,a,k
Illinois,3
teamInfo,Rise,"Champaign, Illinois",https://illinoisrise.com/#/home,,https://twitter.com/Illinois_Rise
0,Alex Paulauskas
0,Joe Pozen
0,Logan Lambright
0,Judah Kim
0,Mehlum Anjarwala
0,Matthew Conroy
0,Leron Wu
00,Jackson Kiedaisch
00,Eric Cai
00,Eli Artemakis
00,Aadit Bhatia
00,Abe Palmer
02,Nathaniel Astrom
05,Arjun Samudrala
08,Andrew Chen
09,Kai Tang
10,Kaidan Mavros
10,Carter Rodgers
14,Shea Sturtevant
15,Evan Sebastian
17,William Voss
19,Griffin Kelley
22,Spencer Sadler
26,Kushal Kothapalli
27,Jake Fujiwara
29,Sean Hickey
34,Carson Splear
b,r,e,a,k
Purdue,6
teamInfo,Undue Ultimate,"West Lafayette, Indiana",https://purduemensultimate.wordpress.com/2016/05/28/about-undue-ultimate/,https://www.facebook.com/pages/Purdue-Ultimate-Frisbee/128269583915564,https://twitter.com/UndueUltimate
0,Finley Bray
0,Jacob Hoffman
0,Dominic Romeo
0,Jacob Lukose
0,Varad Sant
0,Nickolas Azanov
8,Andrew Voelkerding
00,Benjamin Spergel
00,Christiaan Sengers
00,Chase Fehrenbacher
00,Arda Fazla
00,Grant White
00,Henry Cooper
00,Cian Flaherty
00,Spencer Walsh
00,Jake Hanson
00,Owen Edwards
00,Matthew Imm
00,Kevin Asaro de Douglaston
00,Rohit Aralikar
00,Tristan Ferguson
00,William Lilegdon
00,Andrew Gasson
00,John Hanish
28,Zander Rafferty
36,Grayson  Friedman
69,Luke Hedlund
b,r,e,a,k
Indiana,10
teamInfo,HoosierMama?s,"Bloomington, Indiana",http://hoosiermamas.org,https://www.facebook.com/HoosierMamas/,https://twitter.com/Hoosier_Mamas?lang=en
0,Benjamin Rimington
00,John Tyndall
01,Noah Rowland
02,Nicky Walker
03,Aidan Ball
04,Henry Vahl
06,Camilo Santiago
07,Blake Fraley
09,Truman Daleke
11,Ethan Uribe
12,Nathaniel Oldham
15,Evan Hauser
16,Ethan  Teske
18,Ryan George
20,Conner Blalack
21,Evan Bananis
22,Adam Brown
23,Hayden Bosch
24,Colin Dybdahl
31,Rahul R
33,Mario Bellavia
34,James  Mozden
38,Drew Galle
42,Chris Azar
63,Matthew Adams
64,Samuel Greenfield
66,Sam Berebitsky
69,Gavin Smith
b,r,e,a,k
Michigan State (B),15
teamInfo,Riot Control,"East Lansing, Michigan",,,
0,Ran Zheng
9,Trenton O'Dea
00,Sam Ebihara
02,Gavin  Gutiérrez
02,Hung Nguyen
04,Callum Mellish
05,Gavin Lee
12,Nathan Hansen
14,Lucas Venegas Cabrera
18,Tristan Bakker
20,Cameron Black
22,Mason Dreizen
24,Landon Gardella
27,Jude Badreddine
28,Nicklas Geraci
41,John Eaton
52,Andrew Denney
64,Cameron Dick
81,Finn Weinstein
87,Naythan McKuras
b,r,e,a,k
Chicago,4
teamInfo,Fission,"Chicago, Illinois",http://junkultimate.weebly.com/,https://www.facebook.com/UChicagoUltimate/,https://twitter.com/UChi_Fission
coaches,Rutledge Smith
0,Noah Peters
0,Sean Chew
00,Aiden Tandiono
00,Michael Hlavaty
00,Kevin Yuan
00,Mason Wright
00,Ben Brink
00,Christopher Nowak
00,Caleb Friedman
00,Benjamin O'Donnell
00,Han Zhang
00,Gavin Kelly
00,Emmanuel Abayev
00,Garrett White
00,Derek Hsu
00,Duncan Fuehne
00,Tom Dupor
00,Nicholas Rose
00,Joseph Sifakis
00,Tuhin Ghosh
00,Joseph Kaplan
00,Maxwell Devine
00,Nathaniel Alden
00,Trevor Ung
04,Loren Pope
07,Javier Emilio Henriquez
08,Aston Tandiono
11,Daniel Ruskay-Kidd
21,Willy Gu
24,Dashiel Cockrill
35,Xander Wilcox
b,r,e,a,k
Notre Dame,5
teamInfo,Papal Rage,"Notre Dame, Indiana",https://ndultimate.wordpress.com/,,http://@ndultimate
0,Caedmon Kelley
0,Mark Valenzuela
0,Walker Laitala
0,Ian Bamford
00,Henry Lytle
00,Isaac Howk
00,Seth Green
00,Luke Fowler
00,Ethan Stack
00,Dylan Greco
00,Anders Butsch
00,Frazier Dougherty
00,Christian Maynard
00,Dominic D'Onofrio
00,William Richardson
00,Paul Fletcher
03,Colin Knapp
05,Zachary Koh
11,Daniel Harrison
14,Carson Nickel
23,Danny Hobday
25,Alfredo Huete
50,Colin Stevens
59,Camden Wozniak
67,Sam Kingston
78,Kevin Wakakuwa
b,r,e,a,k
Michigan State,9
teamInfo,ARC,"East Lansing, Michigan",,https://www.facebook.com/michiganstateultimate,https://www.twitter.com/MSUARCUltimate
0,Alexander Scholl
0,Cooper  Boekeloo
0,Andrew Crosby
0,Jake Adcock
0,Matteo Capodivacca
0,Langston King
0,Shane Mclaughlin
0,Rocco Barbera
0,Truth Young
0,Robert Wisniewski
0,Turner Strickland
0,Spencer Melms
00,Lucas Wade
00,Sayato Henney
00,Tomokai Timmer
00,Noah Sawyer
00,Marc Canellas-Salles
00,Harrison Keathley
00,Aiden Rudy
00,Jacob Crosby
00,Connor Griffin
00,Jaden Hanold
00,Hayden Monk
00,Elton Howard
02,Drew Scznsny
32,Elliot Davis
86,Carter Petzke
b,r,e,a,k
Purdue (B),16
teamInfo,CTRL-Z,"West Lafayette, Indiana",,,
0,Benjamin Feuer
0,Maaz Zubair
0,Jonathan Peng
0,Jason Sullivan
0,Nicklaus Leong
0,Tony Chen
0,Tyler Schmitt
0,Michael Cassano
0,William Olsen
0,Philip Rosen
00,Scott Gilden
00,Nolan Matthews
00,Miles Cohen
00,Sam Singh
00,Noah Burkhardt
00,Samuel Zipes
00,Samuel Yager
00,Max Barish
00,Justin Tate
00,Jake Altom
00,Evan Washo
00,Caden Jarausch
00,Daniel Kelley
00,Chengen Tsan
00,Charles Behrman
14,Diego Morales
69,Joseph  McLoughlin
99,Indra Sokol-Snyder
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Michigan,Grand Valley,15,3,"04/25/2026, 10:00",Pool A,Final
Southern Illinois-Edwardsville,Michigan (B),15,11,"04/25/2026, 10:00",Pool A,Final
Michigan,Michigan (B),15,2,"04/25/2026, 12:00",Pool A,Final
Southern Illinois-Edwardsville,Grand Valley,15,10,"04/25/2026, 12:00",Pool A,Final
Michigan,Southern Illinois-Edwardsville,15,9,"04/25/2026, 14:00",Pool A,Final
Grand Valley,Michigan (B),15,10,"04/25/2026, 14:00",Pool A,Final
pool,Pool B
Davenport,Kentucky,15,9,"04/25/2026, 10:00",Pool B,Final
Northwestern,Illinois (B),15,8,"04/25/2026, 10:00",Pool B,Final
Davenport,Illinois (B),15,2,"04/25/2026, 12:00",Pool B,Final
Northwestern,Kentucky,11,13,"04/25/2026, 12:00",Pool B,Final
Davenport,Northwestern,15,2,"04/25/2026, 14:00",Pool B,Final
Kentucky,Illinois (B),15,9,"04/25/2026, 14:00",Pool B,Final
pool,Pool C
Illinois,Indiana,15,9,"04/25/2026, 10:00",Pool C,Final
Purdue,Michigan State (B),15,2,"04/25/2026, 10:00",Pool C,Final
Illinois,Michigan State (B),15,3,"04/25/2026, 12:00",Pool C,Final
Purdue,Indiana,12,9,"04/25/2026, 12:00",Pool C,Final
Illinois,Purdue,15,9,"04/25/2026, 14:00",Pool C,Final
Indiana,Michigan State (B),15,6,"04/25/2026, 14:00",Pool C,Final
pool,Pool D
Chicago,Michigan State,15,8,"04/25/2026, 10:00",Pool D,Final
Notre Dame,Purdue (B),15,0,"04/25/2026, 10:00",Pool D,Final
Chicago,Purdue (B),15,5,"04/25/2026, 12:00",Pool D,Final
Notre Dame,Michigan State,14,13,"04/25/2026, 12:00",Pool D,Final
Chicago,Notre Dame,15,11,"04/25/2026, 14:00",Pool D,Final
Michigan State,Purdue (B),15,2,"04/25/2026, 14:00",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship Bracket
Michigan,Davenport,12,11,"04/26/2026, 13:00",Championship,Final
Michigan,Chicago,12,10,"04/26/2026, 11:00",SemiFinals,Final
Illinois,Davenport,12,15,"04/26/2026, 11:00",SemiFinals,Final
Michigan,Indiana,15,4,"04/26/2026, 09:00",QuarterFinals,Final
Purdue,Chicago,10,13,"04/26/2026, 09:00",QuarterFinals,Final
Illinois,Notre Dame,13,9,"04/26/2026, 09:00",QuarterFinals,Final
Michigan State,Davenport,8,15,"04/26/2026, 09:00",QuarterFinals,Final
Kentucky,Indiana,11,14,"04/25/2026, 16:00",Pre-Quarterfinals,Final
Purdue,Northwestern,13,10,"04/25/2026, 16:00",Pre-Quarterfinals,Final
Grand Valley,Notre Dame,9,15,"04/25/2026, 16:00",Pre-Quarterfinals,Final
Michigan State,Southern Illinois-Edwardsville,15,13,"04/25/2026, 16:00",Pre-Quarterfinals,Final
bracket,5th Place Tie
Indiana,Michigan State,8,15,"04/26/2026, 11:00",5th Place Tie (1),Final
bracket,5th Place Tie (2)
Notre Dame,Purdue,10,14,"04/26/2026, 11:00",5th Place Tie (2),Final
bracket,9th Place Bracket
Kentucky,Southern Illinois-Edwardsville,15,11,"04/26/2026, 11:00",9th Place,Final
Kentucky,Northwestern,14,13,"04/26/2026, 09:00",9th Place Semis,Final
Grand Valley,Southern Illinois-Edwardsville,12,15,"04/26/2026, 09:00",9th Place Semis,Final
bracket,11th Place
Northwestern,Grand Valley,15,8,"04/26/2026, 11:00",11th Place,Final
bracket,13th Place
Michigan (B),Illinois (B),14,11,"04/26/2026, 11:00",13th Place,Final
Michigan (B),Purdue (B),15,4,"04/26/2026, 09:00",13th Place Semis,Final
Illinois (B),Michigan State (B),1,0,"04/26/2026, 09:00",13th Place Semis,Final
bracket,15th Place
Purdue (B),Michigan State (B),1,0,"04/26/2026, 11:00",15th Place,Final
b,r,e,a,k
