Midwest Throwdown 2026,College - Men ,28,2,2026
"Edwardsville, IL & Warrenton,",MO,2026-02-28,2026-03-01
https://play.usaultimate.org/events/Midwest-Throwdown-2026/schedule/Men/CollegeMen/
Southern Illinois-Edwardsville,1
0,Joe Pozen
0,Judah Kim
0,Leron Wu
0,Logan Lambright
0,Matthew Conroy
0,Mehlum Anjarwala
0,Jackson Kiedaisch
2,Nathaniel Astrom
5,Arjun Samudrala
8,Andrew Chen
9,Kai Tang
10,Kaidan Mavros
10,Carter Rodgers
11,Aadit Bhatia
15,Evan Sebastian
17,William Voss
19,Griffin Kelley
21,Eli Artemakis
22,Spencer Sadler
26,Kushal Kothapalli
27,Jake Fujiwara
29,Sean Hickey
34,Carson Splear
b,r,e,a,k
Washington University,3
teamInfo,Contra,"St. Louis, Missouri",contra.wustl.edu,,twitter.com/wucontra
0,Cash Budlong
0,Christopher Heron
0,Evan Tompkins
0,Hashim Benlhabib
0,Ivan Riley
0,Jared Buckman
0,Joshua Rifkin
0,Justin Lee
0,Nickolas Regas
0,Noah Kaller
3,Sykes Carlson
4,Jackson Freeman
4,Ben Fuguet
7,Campbell Tucker-Hill
12,Eddie Zhao
13,Mitchell O'Keefe
14,Jack Wellons
23,Finn Hanson
25,Dillon Lee
27,Nico Rose
32,Jake Bender
36,Jakob Ayala
77,Cyrus Beauvais
b,r,e,a,k
Marquette,7
teamInfo,Birdhouse,"Milwaukee, Wisconsin",https://www.birdhouseultimate.com/home,https://www.facebook.com/marquetteultimate,https://twitter.com/BirdhouseMU
0,Robert Sedlack
2,Patrick Steichen
3,Robbie McChesney
4,Reid Lancaster
6,Aidan Rosser
10,Matt Kuntaras
11,Jonathan Snell
13,Cade Neubauer
17,Aaron Nicol
20,Isaac  Shimek
27,Ben Hanson
29,Matthew Munson
30,Sean Habash
31,Henry Dukowitz
33,Nathan Shannon
50,Kaden Christiansen
51,Tom Budka
55,AJ Jurss
56,Ryan Laughlin
66,Noah Anders
67,Robbie Winter
87,Paul Kamin
99,Mark Hug
b,r,e,a,k
Missouri S&T,6
teamInfo,Miner Threat,"Rolla, Missouri",https://www.minerthreatultimate.com/,https://www.facebook.com/groups/8025742180/,https://mobile.twitter.com/minerclub_ulti
0,Jack  Reiter
0,Jack  Moylan
0,Jacob Mathew
0,Jonathan Clayton
0,Bjorn Peterson
0,Kevin Wyle
0,Samuel Faust
0,Theodore Guidry
0,Thomas Clayton
5,Sean  Sharp
15,Mason Schiefer
40,Clifton Ruh
55,Dylan Brewer
79,Joseph Hubenschmidt
b,r,e,a,k
Northwestern,9
teamInfo,Lake Effect,"Evanston, Illinois",https://www.nutultimate.com,,
coaches,Seokhee Burningham
0,Albert Luo
0,Alexander Patt
0,Dillon Astudillo
0,Ethan Weiss
0,Hari Maheswaran
0,Isidore Donnelly
0,Jack Spector
0,Jesse Hart
0,Joss Meir
0,Lucas Hurtado
0,Myles Levine
0,Nathan Rachwalski
0,Tony Cheng
0,Truman Margolies
0,Xander Senechal
2,Bernie Waldman
3,Taye Bradford
4,Tyler Zarybnisky
8,Ian Falck
9,Keuyrbel Zewedu
20,Kevin Ji
21,Benjamin  Fried
29,Mateo Liguori
37,Ezra Danzig
51,Miki Ling
68,Emmett Broustis
b,r,e,a,k
Nebraska,16
teamInfo,Cornfed Ultimate,"Lincoln, Nebraska",https://unl.campuslabs.com/engage/organization/men-s-ultimate-club,,https://twitter.com/cornfedultimate
0,Austin Phinney
0,Dylan Donahue
0,Grant Schieffer
0,Jack Drobny
0,Owen Weiche
0,Samuel Malick
0,Taylor Ablott
0,Zane Mrozla-Mindrup
5,Ian Tuck
11,Benjamin Dyar
16,Julian Jay
19,Bryce Endecott
24,Kobe  Bray
27,Myles Wedic
31,Matthew Mikitka
32,Luke Walsdorf
69,Jordan Johnson
88,Evan Brown
b,r,e,a,k
Wisconsin (B),17
teamInfo,Fauxdags,"Madison, Wisconsin",,,https://twitter.com/FauxdagLove
0,William Noguera
5,Eli Denenberg
01,Alexander Yu
02,Aidan Garvey
03,Aidan Euclide
13,Dimitri Nevers
17,Braeden Rebarchik
18,Max Dinkin
21,Zachary Cestkowski
22,Asher Gottlieb
26,Elliot Tutaj-Blaz
31,Aaron Casey-Fix
35,Lachlan Barber
39,Max Ginsburg
45,Adam  Jasensky
64,Jacob Manor
80,August Rundlet
91,Adam Venton
98,Aiden Schmiedlin
b,r,e,a,k
Wisconsin-Platteville,24
teamInfo,Udderburn,"Platteville, Wisconsin",,https://www.facebook.com/uwpultimate,https://twitter.com/udderburn
03,Alex Friede
07,Brody Behrens
09,Colin Ashdown
10,Matthew Montano
11,Daniel Montano
17,Ben Nuchikat
20,Claytin Fish
22,Samuel Schumacher
28,Tony Kaseman
29,Will Knueve
54,Jack Hutchison
56,Joe Friede
72,Aidan Dreger
87,Jackson Vondrak
97,Lucas Conard
b,r,e,a,k
Wisconsin-Milwaukee,10
teamInfo,Black Cat,"Milwaukee, Wisconsin",,https://www.facebook.com/BlackCatUltimate?ref=br_tf,@BlaCkatUltimate
0,Aaron George
0,Drew Dederich
0,Gabriel Nass
0,Hayden West
0,Logan WileyMatusen
3,Gwen Johnson
6,Colin Szczap
8,Asa Hatcher
10,Ian Treacy
12,Liam VandeZande
13,Xavier Schultz
16,Joseph Mueller
19,Ryan Waller
22,Dylan Heater
23,Zach Vosberg
26,Cooper Kleibor
30,Ray Wheaten
34,Eric Swartz
36,Sam Stocklein
67,Samuel Huettl
69,Benjamin Michalak
b,r,e,a,k
Minnesota (B),15
teamInfo,Minnesota B,"Minneapolis, Minnesota",,,
coaches,Timothy Opdahl
0,Alex Newton
0,Austin Tranowski
0,Beck Bjella
0,Clayton Horstman Olson
0,Conner Matuza
0,Dillon Steeves
0,Gannon Jefcoat
0,Grant Hietpas
0,Henry Dickinson
0,Kelly McFarren
0,Malakai Golben
0,Nate Benishek
0,Neale Grage
0,Jack Larson
0,Jeremy Sanborn
0,Wyatt Mackenthun
5,Sebastian Blue
5,Henry Wineberg
9,Quinn Nelson
14,Riley Vang
22,Dylan Morrissette
24,Jonathan Ip
96,Gavriel Olson
b,r,e,a,k
St Thomas,18
teamInfo,Purple Reign,"Saint Paul, Minnesota",,,
0,Brendan Klaphake
0,Colin Fruechte
0,Dominick Navarre
0,Drew Bartle
0,Drew Mast
0,Everett Coran
0,Jackson Geibig
0,Keaton Wall
0,LuccusCage Linton
0,Lukas Andrle
0,Marcus Forsythe
0,Owen Dam
0,Reichen Sosinski
9,Jack Karlen
10,Leo Klein
11,Thomas Liechty
11,Joel Thomas
14,Talen Greeson
14,Odin Lee
16,Stephen Halva
18,Brendan Kelley
32,Gavin Storms
42,Michael Vogel
46,Nathan Kostynick
69,Albert Dohrer
74,Kenneth Richards
87,Alex  Cahill
b,r,e,a,k
Iowa State (B),23
teamInfo,BSUC,"Ames, Iowa",,,
0,Charles McGuire
0,Eliot Bognich
0,John Symeonidis
0,John Kuharik
0,Lars Olson
0,Benjamin Oak
0,Matthew Beierschmitt
0,Nick Lehmann
4,Noah Brooks
11,Marshal Groves
13,Nathaniel Ferguson
28,Alexander Ireland
31,Liam Ryan
76,Brayden Schmitz
95,Mitchell Wood
b,r,e,a,k
Minnesota-Duluth,14
teamInfo,Northern Lights,"Duluth, Minnesota",,https://www.facebook.com/lights33,https://twitter.com/UMD_Lights
01,Maximus Gaffney
02,Joseph Carland
03,Thomas Donahue
04,Garrett Erickson
05,Charlie Johnson
06,Ben Blahosky
07,Alexander Vasil
10,Stuart Milne
11,Zachary Huffaker
12,Tyler McBride
17,Joe Hendrickson
19,James Swisher
21,Sawyer Swartz
23,Kameron Jaenicke
26,Jack Fritschel
28,Owen Keepers
30,Trever Shellum
39,Spencer Wahlstrom
42,Yunchan Hur
44,Brady Gumz
45,Ben Donahue
59,Henry Molepske
81,Hayden Buss
87,Gunnar Moore
91,Tommy Walsh
97,Caleb Sahlin
b,r,e,a,k
Illinois (B),19
teamInfo,Boomland,"Champaign, Illinois",,,https://twitter.com/boomlandulti?lang=en
0,Andrew Ma
0,Anyu Tian
0,Bryce Kurfman
0,Gautam Kothavade
0,Jacob Ellens
0,Jeffrey Lefkovitz
0,Nathan Thomas
4,Andrew Brown
8,Sujay Subramanian
9,JT DeLongchamp
11,Ryan Hof
14,Shea Sturtevant
16,Michael Hu
19,Declan Delgado
21,Kevin Tanner
23,Erik Rothenberger
24,Rohil Saxena
29,Jeff Gao
67,Robert Skrentny
78,Patrick Huang
84,Ben Lareau
88,Eric Ho
89,Luca Iasinschi
b,r,e,a,k
Wisconsin-La Crosse,11
teamInfo,BadLUC,"La Crosse, Wisconsin",https://uwlmyorgs.collegiatelink.net/organization/mensultimate,https://www.facebook.com/UWLaCrosseUltimateClub/?ref=aymt_homepage_panel,https://twitter.com/ultimateluc?lang=en
0,Ben Buchmann
0,Ben Harvey
0,Canaan Lese
0,Declan Dahm
0,Elijah Binder
0,Ethan Ishaug
0,Griffin Wierzba
0,Jack Weibeler
0,Alex Eilers
0,Sam Elliott
0,Scott Heroux
6,Owen Anderson
18,Alex Fifield
22,Lucas Strauss
69,Joey Kratzer
b,r,e,a,k
Marquette (B),22
teamInfo,Birdfeeder,"Milwaukee, Wisconsin",,,
0,Elliott Schultz
0,Luke Garvan
0,William Pettis
8,Brady Landsbergis
12,Matthew Bergman
15,George Mulenga
19,Jerzy Tutaj
24,Alexander Jardine
26,Zach Litvak
34,Holden Forgette
38,Liam Bahrmasel
43,Alexander Giattino
45,Auston Duchemin
48,Landon Vance
52,Noah Burnett
72,Henry Andersen
77,Drew Loutsis
96,Lucio Buccelli
98,Connor Richards
b,r,e,a,k
Kansas,12
teamInfo,Horrorzontals,"Lawrence, Kansas",https://www.instagram.com/horrorzontals/,,https://twitter.com/HorrorZontals
0,Christian Nola
0,Gavin Littlejohn
0,Keenan Dooley
0,Kevin Tiernan
0,Luke Wirtz
0,Luke Dahlen
0,Nathan Roxas
0,Nickolas Krehbiel
0,Ryan Klahr
0,Ryan Looney
0,Zach Voloch
2,Connor Looney
5,Curtis Criswell
8,Ryley Ballard
17,Elijah Ditto
20,Oscar Sanchez Christensen
21,Manu Redd
22,Benjamin Abell
40,Liam Marsh
61,Aiden Jacobs
b,r,e,a,k
Truman State,13
teamInfo,JujiTSU,"Kirksville, Missouri",https://ultimate.truman.edu,https://facebook.com/pages/JujiTSU-Ultimate/159311880755819,https://twitter.com/JujiTSUltimate
2,Stuart Whitmer
02,Cade Steinborn
04,Benjamin Reddekopp
11,Alexander Lee
12,Isaac Paronto
13,David Fitzgerald
15,Nathen Poe
16,Lucas Johnson
21,Chris Cortes-Lopez
26,Joseph Till
28,Anthony Payne
29,Brooks Haden
42,Jonas Beckham
44,Thomas Schmidt
51,Andrew Block
55,Joe Regina
95,Timothy Fry
b,r,e,a,k
Washington University (B),21
teamInfo,Contraband,"St. Louis, Missouri",https://sites.wustl.edu/contraband/,,https://www.twitter.com/wucontraband
0,Brian Fan
0,David van Wingerden
0,Donovan Gillen
0,Doug Wagner
0,Ethan Engelman
0,Jaden Jin
0,Joseph Gabel
0,Luke Jacobsen
0,Quinn Meadows
0,Theodor Martin
0,Weldon Smith
0,William Preston
0,Yeabi Kehm
0,Zachary Lew
0,Andrew Parks
6,Benjamin Modiano
43,JP Torack
b,r,e,a,k
Carleton College (C),20
teamInfo,Karls,"Northfield, Minnesota",,,https://twitter.com/KarlsAreOK
0,Cameron Tillou
0,Gabriel Zerhouni
0,Jeremy Mische-Gibson
0,Lucas Picher
02,Kumail Akram
03,Seth Grauer
05,Cyrus Shields
06,Evan Cabrams
06,Jackson Gutman
10,Cyrus Anderson
11,Per Johnson
14,Cole Edlin
15,Alek Pochan
17,Ryan Soli
23,Austin Flamm
24,Saul Zis
27,Theodore Zimmerman
29,Ben Jerris
37,Tristan Hahn
42,Henry Reppun
44,Lee Li
55,Nathaniel McDermott
57,Joey Baker
67,Theo Demetriades
77,Landon Wannebo
b,r,e,a,k
s,t,a,g,e,s
pools,Midwest Throwdown 2026
pool,Pool A
Southern Illinois-Edwardsville,Iowa State,13,7,"02/28/2026, 08:30",Pool A,Final
St Olaf,Iowa,0,0,"02/28/2026, 08:30",Pool A,Scheduled
Southern Illinois-Edwardsville,St Olaf,0,0,"02/28/2026, 10:00",Pool A,Scheduled
Iowa State,Iowa,0,0,"02/28/2026, 10:00",Pool A,Scheduled
Southern Illinois-Edwardsville,Iowa,0,0,"02/28/2026, 11:30",Pool A,Scheduled
Iowa State,St Olaf,0,0,"02/28/2026, 11:30",Pool A,Scheduled
pool,Pool B
Illinois,Missouri S&T,13,1,"02/28/2026, 10:00",Pool B,Final
Washington University,Marquette,12,8,"02/28/2026, 10:00",Pool B,Final
Illinois,Marquette,0,0,"02/28/2026, 13:00",Pool B,Scheduled
Washington University,Missouri S&T,0,0,"02/28/2026, 13:00",Pool B,Scheduled
Illinois,Washington University,0,0,"02/28/2026, 14:30",Pool B,Scheduled
Missouri S&T,Marquette,0,0,"02/28/2026, 14:30",Pool B,Scheduled
pool,Pool C
Northwestern,Wisconsin (B),9,5,"02/28/2026, 10:00",Pool C,Scheduled
Northwestern,Wisconsin-Platteville,0,0,"02/28/2026, 11:30",Pool C,Scheduled
Nebraska,Wisconsin (B),13,4,"02/28/2026, 11:30",Pool C,Scheduled
Nebraska,Wisconsin-Platteville,0,0,"02/28/2026, 13:00",Pool C,Scheduled
Northwestern,Nebraska,0,0,"02/28/2026, 14:30",Pool C,Scheduled
Wisconsin (B),Wisconsin-Platteville,0,0,"02/28/2026, 14:30",Pool C,Scheduled
pool,Pool D
St Thomas,Iowa State (B),13,0,"02/28/2026, 08:30",Pool D,Final
Wisconsin-Milwaukee,St Thomas,11,6,"02/28/2026, 10:00",Pool D,Final
Minnesota (B),Iowa State (B),13,2,"02/28/2026, 10:00",Pool D,Final
Wisconsin-Milwaukee,Minnesota (B),0,0,"02/28/2026, 11:30",Pool D,Scheduled
Wisconsin-Milwaukee,Iowa State (B),0,0,"02/28/2026, 13:00",Pool D,Scheduled
Minnesota (B),St Thomas,0,0,"02/28/2026, 13:00",Pool D,Scheduled
pool,Pool E
Wisconsin-La Crosse,Illinois (B),4,11,"02/28/2026, 11:30",Pool E,Final
Minnesota-Duluth,Marquette (B),13,3,"02/28/2026, 11:30",Pool E,Final
Wisconsin-La Crosse,Minnesota-Duluth,0,0,"02/28/2026, 13:00",Pool E,Scheduled
Illinois (B),Marquette (B),0,0,"02/28/2026, 13:00",Pool E,Scheduled
Wisconsin-La Crosse,Marquette (B),0,0,"02/28/2026, 14:30",Pool E,Scheduled
Minnesota-Duluth,Illinois (B),0,0,"02/28/2026, 14:30",Pool E,Scheduled
pool,Pool F
Kansas,Truman State,6,9,"02/28/2026, 08:30",Pool F,Final
Kansas,Carleton College (C),13,5,"02/28/2026, 10:00",Pool F,Final
Truman State,Washington University (B),0,0,"02/28/2026, 11:30",Pool F,Scheduled
Carleton College (C),Washington University (B),0,0,"02/28/2026, 13:00",Pool F,Scheduled
Kansas,Washington University (B),0,0,"02/28/2026, 14:30",Pool F,Scheduled
Truman State,Carleton College (C),0,0,"02/28/2026, 14:30",Pool F,Scheduled
b,r,e,a,k
brackets,Bracket Play
bracket,Championship
bracket,Third Place
bracket,5th Place Bracket
bracket,7th Place
bracket,9th Place Bracket
bracket,11th Place
bracket,13th Place Bracket
bracket,15th Place
b,r,e,a,k
clusters,Sunday Round Robin
b,r,e,a,k
