Stanford Open 2026,College - Men ,7,2,2026
Palo Alto,CA,2026-02-07,2026-02-08
https://play.usaultimate.org/events/Stanford-Open-2026/schedule/Men/CollegeMen/
Simon Fraser,1
0,Marcus Hinderman
0,Max Scheer
0,Mercer Mann
0,Noah Droker
0,Noam Avrahami
0,Sevens Baertsch Kovalchick
0,Skye Pratley
0,Varun Iyer
0,William Yik
9,Nicholas Wyatt
12,Etai Nehushtan
15,Jonah Lin
b,r,e,a,k
British Columbia  (B),3
teamInfo,B-Birds,"Vancouver, British Columbia CA",,,
coaches,Shintaro Tsukamoto
0,Beck Morissette
0,Brendan Fellows
0,Colin Byler
0,Eric Zhang
0,Graeme Hanks
0,Nicholas Shum
0,Ryan Wong
0,Shilin Gao
0,Tim Yang
3,Caleb Lee
5,Ding-Han Yan
6,Duncan Murch
7,Peter Riegle
8,Justin Rao
10,Mu Han Li
12,Stanford Hu
18,Connor Guy
22,Owen Cook
23,Leven Saunders
25,Eleazar Leyson
42,Maxim Chouinard
43,Tyler Yue
87,Ethan  Low
88,Gil Rowe
b,r,e,a,k
Cal Poly-SLO (B),6
teamInfo,SLOB,"San Luis Obispo, California",,,
0,Claes James
0,Daniel Monge
0,Garrett Kunkler
0,Aaron Shelton
0,Isaac Tsai
0,Jack Karpinski
0,Jack Pearson
0,Mackenzie Stogner
0,Mason Mikeska
0,Mason James
0,Neelie Fisher
0,Sawyer Freer
0,Vayden Bayross
1,Jack Toyama
2,Jayson Sisco
3,Paul Nassar
14,Greyson Ballesteros
16,Zachary Wallpe
19,Tyler Kinney
20,Josh Hall
20,Jay Tugend
22,Carson Ingalls
27,Landon Block
28,Wyatt Barnes
30,Joe Chiappetta
61,Lucas Calaff
99,Owen Peay
b,r,e,a,k
Loyola Marymount,11
teamInfo,Lions,"Los Angeles, California",,https://www.facebook.com/groups/1146553248769383/,https://twitter.com/UltimateLMU
7,Joseph Rhee
09,Jacob Walter
11,Justin Shelton
17,Stephen Cummings
20,Joshua Amador
34,Palmer Alig
63,Ethan Rehg
85,Otis Tripp Wisehaupt
95,Julius Rockczar
99,Nathan Walter
b,r,e,a,k
Nevada-Reno,14
teamInfo,Elevation Ultimate,"Reno, Nevada",https://nevadaultimate.weebly.com/,https://www.facebook.com/NevadaUltimate/,https://twitter.com/nevadaultimate
0,Brody Moreno-McClure
0,Malachite Nelson
0,Jonathan Dayton
01,Marcus Fredrickson
14,Steven Suzuki
19,Nicholas Corr
21,Logan Beffort
22,Chase Norton
24,Jalen Chan
27,Dylan Lopes
27,Solomon Winer
33,William Kupper
93,Andrew Gonzalez
b,r,e,a,k
California-Davis (B),19
teamInfo,Beagles,"Davis, California",https://davisdogsultimate.weebly.com/,,
0,Arlo Blackman-McGrew
0,Brandon Garcia
0,Eric Johnson
0,Ewan Boumenot
0,Gabriel Colmenares
0,Ilan Eliashberg
0,Jackson Brown
0,Jonathan Chang
0,Julian Levitt
0,Kaz Johnson
0,Sachit Parekh
0,Zaipeng Huang
1,Oliver Bray
3,Lucas Elms Kim
7,Esai Melendres Munoz
28,John Kekoa Olive
b,r,e,a,k
Denver,4
teamInfo,Sourdough,"Denver, Colorado",https://denversourdough.wixsite.com/du-sourdough,,
0,Andrew Lukasewycz
0,Jacob Russell
0,Jonah Perlman
0,Nathan Smith
0,Phillip Wigoda
0,Piers  Mcgowin
0,Zachary Thomas
4,Lucien Heilman
6,Daniel Meekin
9,Jack Sanda
01,Justin Blake
12,Cooper Antin
14,Dalton Ward
15,Campbell Willmuth
16,Noam Halpern
22,Arthur Madsen
25,Ian Rosenshine
45,Zac Wise
66,Travis Herink
67,Jude Brumbaugh
95,Noah Alleman
b,r,e,a,k
San Jose State,5
teamInfo,Spartans,"San Jose, California",https://sjsusports.com/sports/ultimate,https://www.facebook.com/SJSUUltimate/,
0,Carsten Wuerl
0,Douglas Goodwin
0,Joshua Krone
0,Porter Seiwald
0,Skyler  Martin
0,Wiley Thrift
0,William Bahou
1,Ryan Novinsky
3,Jacob Linares
7,Jake Dapiran
8,Joseph Faso
9,Evan Kandell
10,Daniel Thompson
11,Tanner Yue
14,Jakob  Lail
15,Roman Leigh
16,Isaac Thongthap
19,Christopher Pantaleon
21,Kevin Camelin
23,Sakhin Anooj Selvamani
42,Vincent Cook
b,r,e,a,k
Brigham Young (B),20
teamInfo,CHI B,"Provo, Utah",www.byuchiultimate.com,facebook.com/byumensultimate,
0,Ammon Brock
0,Bennett Olson
0,Clayton Dunford
0,Ethan McEntire
0,Indiana Ivie
0,Jay Orchard
0,Abraham Alton
0,Adam Rose
0,Luke Stovall
0,Russell Ridd
0,Spencer Morgan
0,Steven Olson
0,Tyler Anderson
7,Alexander Gerber
8,Joshua Nielsen
12,Matthew Ashton
27,Trevor Wai
62,Spencer Boyer
b,r,e,a,k
Portland,13
teamInfo,Uprise,"Portland, Oregon",,,
0,Alex Kersell
0,Alex Contreras
0,Joshua Greenbaum
0,Kenneth Taylor
0,Kian Craig
0,Mason Choy
0,Matthew Boland
0,Diego Basham
0,Eric Duong
0,Remington Reinking
0,Wyatt Ashley
7,Brennen Gibbins
10,Nick Jacobsen
11,Jonah Talmadge
18,Quinn Grove
42,Troy Carpenter
51,Charlie DeKlotz
b,r,e,a,k
Oregon State (B),12
teamInfo,Oregon State B,"Corvallis, Oregon",https://www.instagram.com/osu_mens_ultimate_b/,,
0,Isaiah Manewitz
01,Caleb Snider
03,Silas Markey
07,Carter Cripe
10,Jackson Woodbury
11,Jack Weinberg
12,Samuel Nguyen
13,Jonas Welter
15,Armstrong Davidson
17,William Morton
19,Haven Christison
21,Jonah Brochard
24,Ethan Quesada
27,John Haas
28,Egan Wong
29,Emmet Rohweder
39,Benjamin Forkner
51,William Scherle
57,Logan Krolikowski
72,Ben Kogot
77,Boston Clark
85,Cole Heckman
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Simon Fraser,California-Davis,13,8,"02/07/2026, 08:00",Pool A,Final
California-Santa Cruz (B),Cal State-Long Beach,13,2,"02/07/2026, 08:00",Pool A,Final
Simon Fraser,Cal State-Long Beach,13,2,"02/07/2026, 09:30",Pool A,Final
California-Santa Cruz (B),California (B),8,12,"02/07/2026, 09:30",Pool A,Final
Simon Fraser,California-Santa Cruz (B),13,5,"02/07/2026, 12:30",Pool A,Final
California-Davis,California (B),10,12,"02/07/2026, 12:30",Pool A,Final
California (B),Cal State-Long Beach,13,4,"02/07/2026, 14:00",Pool A,Final
California-Davis,California-Santa Cruz (B),9,11,"02/07/2026, 14:00",Pool A,Final
Simon Fraser,California (B),13,7,"02/07/2026, 15:30",Pool A,Final
California-Davis,Cal State-Long Beach,13,4,"02/07/2026, 15:30",Pool A,Final
pool,Pool B
Claremont,Santa Clara (B),13,0,"02/07/2026, 08:00",Pool B,Cancelled
Cal Poly-Humboldt,Chico State,11,7,"02/07/2026, 08:00",Pool B,Final
Claremont,Cal Poly-Humboldt,13,6,"02/07/2026, 09:30",Pool B,Final
Washington (B),Chico State,5,13,"02/07/2026, 09:30",Pool B,Final
Chico State,Santa Clara (B),13,0,"02/07/2026, 11:00",Pool B,Cancelled
Washington (B),Cal Poly-Humboldt,10,11,"02/07/2026, 11:00",Pool B,Final
Claremont,Chico State,13,4,"02/07/2026, 12:30",Pool B,Final
Washington (B),Santa Clara (B),13,0,"02/07/2026, 12:30",Pool B,Cancelled
Cal Poly-Humboldt,Santa Clara (B),13,0,"02/07/2026, 14:00",Pool B,Cancelled
Claremont,Washington (B),13,5,"02/07/2026, 15:30",Pool B,Final
pool,Pool C
British Columbia  (B),California-Davis (B),13,1,"02/07/2026, 08:00",Pool C,Final
Loyola Marymount,Nevada-Reno,13,1,"02/07/2026, 08:00",Pool C,Final
British Columbia  (B),Loyola Marymount,13,4,"02/07/2026, 09:30",Pool C,Final
Cal Poly-SLO (B),Nevada-Reno,13,0,"02/07/2026, 09:30",Pool C,Final
Nevada-Reno,California-Davis (B),13,7,"02/07/2026, 11:00",Pool C,Final
Cal Poly-SLO (B),Loyola Marymount,13,12,"02/07/2026, 12:30",Pool C,Final
British Columbia  (B),Nevada-Reno,13,1,"02/07/2026, 14:00",Pool C,Final
Cal Poly-SLO (B),California-Davis (B),13,1,"02/07/2026, 14:00",Pool C,Final
British Columbia  (B),Cal Poly-SLO (B),11,10,"02/07/2026, 15:30",Pool C,Final
Loyola Marymount,California-Davis (B),13,3,"02/07/2026, 15:30",Pool C,Final
pool,Pool D
Oregon State (B),Portland,11,13,"02/07/2026, 08:00",Pool D,Final
Denver,Brigham Young (B),13,9,"02/07/2026, 09:30",Pool D,Final
Denver,Oregon State (B),11,9,"02/07/2026, 11:00",Pool D,Final
San Jose State,Portland,13,11,"02/07/2026, 11:00",Pool D,Final
Denver,San Jose State,11,10,"02/07/2026, 15:30",Pool D,Final
Oregon State (B),Brigham Young (B),10,11,"02/07/2026, 15:30",Pool D,Final
Portland,Brigham Young (B),0,13,"02/07/2026, 17:00",Pool D,Final
San Jose State,Oregon State (B),9,7,"02/07/2026, 17:00",Pool D,Final
Denver,Portland,11,8,"02/07/2026, 18:30",Pool D,Final
San Jose State,Brigham Young (B),13,12,"02/07/2026, 18:30",Pool D,Final
b,r,e,a,k
brackets,1st-8th
bracket,Championship Bracket
Simon Fraser,British Columbia  (B),13,8,"02/08/2026, 11:00",Finals,Final
Simon Fraser,Denver,13,8,"02/08/2026, 09:30",Semifinals,Final
Claremont,British Columbia  (B),8,11,"02/08/2026, 09:30",Semifinals,Final
Simon Fraser,Cal Poly-SLO (B),12,10,"02/08/2026, 08:00",Quarterfinals,Final
Cal Poly-Humboldt,Denver,5,11,"02/08/2026, 08:00",Quarterfinals,Final
Claremont,San Jose State,13,9,"02/08/2026, 08:00",Quarterfinals,Final
British Columbia  (B),California (B),13,7,"02/08/2026, 08:00",Quarterfinals,Final
bracket,Third Place
Denver,Claremont,9,12,"02/08/2026, 12:30",Third Place Final,Final
bracket,Fifth Place Bracket
Cal Poly-SLO (B),San Jose State,13,5,"02/08/2026, 12:30",Fifth Place Final,Final
Cal Poly-SLO (B),California (B),9,6,"02/08/2026, 09:30",Fifth Place Semifinals,Final
Cal Poly-Humboldt,San Jose State,8,9,"02/08/2026, 09:30",Fifth Place Semifinals,Final
b,r,e,a,k
brackets,9th-16th
bracket,9th-16th
Portland,Oregon State (B),11,12,"02/08/2026, 12:30",Ninals,Final
California-Santa Cruz (B),Portland,9,11,"02/08/2026, 09:30",Ninals Semifinals,Final
Oregon State (B),California-Davis,12,8,"02/08/2026, 11:00",Ninals Semifinals,Final
California-Santa Cruz (B),Nevada-Reno,13,3,"02/08/2026, 08:00",Ninals Quarterfinals,Final
Washington (B),Portland,5,13,"02/08/2026, 08:00",Ninals Quarterfinals,Final
Chico State,Oregon State (B),4,13,"02/08/2026, 09:30",Ninals Quarterfinals,Final
Loyola Marymount,California-Davis,7,10,"02/08/2026, 09:30",Ninals Quarterfinals,Final
bracket,Thirteenth Place Bracket
Loyola Marymount,Chico State,7,9,"02/08/2026, 12:30",Thirteenth Place Finals,Final
Nevada-Reno,Loyola Marymount,4,10,"02/08/2026, 11:00",Thirteenth Place Semifinals,Final
Washington (B),Chico State,9,10,"02/08/2026, 11:00",Thirteenth Place Semifinals,Final
b,r,e,a,k
brackets,Consolation Play
bracket,Consolation Game 1
Cal State-Long Beach,California-Davis (B),13,4,"02/08/2026, 08:00",Game 1,Final
bracket,Consolation Game 2
Cal State-Long Beach,California-Santa Cruz (B),1,13,"02/08/2026, 11:00",Game 2,Final
bracket,Consolation Game 3
California-Davis (B),Washington (B),4,13,"02/08/2026, 12:30",Game 3,Final
b,r,e,a,k
