HoDown Showdown 2026,Club - Men ,8,8,2026
Asheville,NC,2026-08-08,2026-08-09
https://play.usaultimate.org/events/HoDown-Showdown-2026/schedule/Men/Club-Men/
baNC,1
1,Ryan Rodriguez
4,Justin Spence
8,Chase Kennedy
9,Ransom Staszak
11,David Brainard
12,Jacob Spiegel
13,Eric VanLoon
17,Ethan Dagostino
20,Thomas Lewis
25,Ryan Schoenfeld
37,Samuel Fong
43,Benjamin Burke
47,Caio Rudloff
50,Austin VanLoon
69,Colton Turner
74,Lucas Rudloff
91,Ayden Moran
99,Owen Peronto
b,r,e,a,k
Tanasi,2
teamInfo,,"Tennessee, Tennessee",,,https://twitter.com/TanasiUltimate
0,Alex Stevenson
0,Braden Beebe
0,Graham Barrett
0,Neil Taylor
0,Timothy Lumsdaine
0,Sterling Grant
0,Matthew Peterson
7,Daniel Robinson
9,Luca Duclos-Orsello
10,Zeke Plewniak
13,Asher Daniels
14,Colin Flowers
17,Tobin Beichler
18,Yanni Killebrew
20,David Wilkins
21,Teveraishe  Mushayamunda
24,Jacob Guzi
25,Christian Stevenson
27,Mason Myler
28,Shae Parsons
33,Charles Wheeler
64,Conley Brooks
80,William Fleming
95,Jared Beazley
b,r,e,a,k
Queen City Kings,7
teamInfo,,"Charlotte, North Carolina",,,
0,Andrew West
0,Austin Maidene
0,Avery Dunham
0,Ben Armstrong
0,Dan Papazian
0,Connor OReilly
0,John Wenger
0,Ty Yandle
1,Hunter Frederick
4,Nicholas Lopez
5,Rocky Morris
8,Connor Wood
9,Enzo Arcuri
11,Atharv Patil
11,Timothy Rees
12,Nathan Silvestri
13,Sean Tamboer
13,Brandon Cousar
14,Matthew Lundstrom
16,Jaren Robbins
16,Derek Raufeisen
19,Jordan Knox
19,Thomas Wray
23,Micah Peeler
24,Nate Sutherland
92,John Colyer
b,r,e,a,k
UpRoar,11
teamInfo,,"Tampa Bay, Florida",,https://www.facebook.com/TampaBayUpRoar,https://twitter.com/TampaBayUpRoar
0,Bradley Gonzalez
0,Dario Milano
0,Dane Utley
0,Jon Drawdy
0,Dominic Monafo
0,Derryck Dailey
0,Roger King
0,Shane Voshell
0,Tyler Hebert
0,Mohammed Judeh
0,Kyle Krukowski
0,Joseph Dininger
0,Thomas Theunissen
4,Christian DiGioia
12,Howard Le
21,Trevorn Hodge
22,Jacob Lane
22,Gavin Klancnik
41,Andrew Wyatt
42,Clayton Marshall
42,Kerrick Klancnik
74,John Fonte
81,Sean Messer
85,Eric Tumelty
b,r,e,a,k
Tennessee Folklore,18
teamInfo,,"Knoxville, Tennessee",,,
0,Benjamin Sayre
0,Corey Crawford
0,Dalton Densel
0,Dodd Sledge
0,Dane Lynch
0,Mark Filer
0,Gabriel Weber
0,Daniel Hasso
0,Laken Johnson
0,Nathanael Parsons
0,Ben Epstein
4,Mikl Wang
6,Zachary Steffey
8,Brandon Clackum
33,Eli Duncan
45,Luke Buckner
51,Ryan Perry
55,Austin Lillis
b,r,e,a,k
Space Cowboys,14
teamInfo,,"Greenville, South Carolina",https://www.instagram.com/spacecowboysulti/?hl=en,,
0,Adam Fleury
0,Aidan Sauls
0,Andrew Sentell
0,Allen Meese
0,Arnulfo Navarro
0,Corey Bennett
0,Daniel Sargent
0,Cameron Ramsey
0,Carl Brandenburg
0,Logan Storts
0,Nicholas Borchich
0,Michael Cote
0,Jaxon Wilkins-Graham
0,James Bartlett
1,Isaac Esuary
6,Brandon Wider
11,Nicholas Headden
13,Christopher Chen
14,Brian Carbon
17,Nathan Donaldson
22,Ammar Dossaji
27,Jacob Goyne
66,George Cerimele
b,r,e,a,k
Whittz Boyz,23
teamInfo,,"Asheville, North Carolina",,,
0,Adam Reader Lalor
0,Eli Oldenburg
0,Graham Hodge
0,Nick Hardin-Nieri
0,Simon Segovia-Welsh
0,Roman Chmura
0,Noah Goldblatt
0,Joey Houser
0,Spencer Brotherton
3,Forrest Nottingham
10,Noah Shearer
33,Spencer Chandler
44,Adam Pohl
47,Ethan Rhodes
71,John Deaver
b,r,e,a,k
Mint,3
teamInfo,,"Atlanta, Georgia",,,
1,Jeremy Langdon
2,Grover Grendzinski
3,Matthew Knowles
4,Bradley Seuntjens
7,Jacques Perivier
8,Johnny Griffing
9,Joseph Griffing
10,Skyler Pitts
11,Arjun Samudrala
12,Andrew Chung
14,Matthew Greenberg
15,Alex Liu
17,Nicholas Huffman
19,Tannon Hedges
22,José  Caetano
25,Collin Hill
26,Zachary Hart
39,Jarrett Swanson
42,Jon Fey
47,David van Pelt
52,Kevin Halprin
58,John Baggenstoss
72,Rylan Gordon
77,Noah Sullivan
87,Trenton Spinks
b,r,e,a,k
Harvest Moon,15
teamInfo,,"Cumming, Georgia",,,
0,Collin Cassidy
0,George Bennett Clark
0,Caleb McKenna
0,Christian  Hardin
0,Jonhenry Allen
0,Kaden Wittig
0,Josiah Richards
0,Sam Diffin
0,Owen Mork
0,Vincent Gazzo
0,Owen Reynolds
0,Moses McNutt
0,Trevor Foster
0,Reid Hawkins
3,Sam Merritt
9,Madison Head
17,Ryan Cross
19,Lyle Caballes
20,Austin Poole
33,James Clark
57,Joseph Cicione
69,Michael Catucci
80,Nikko Llena
90,Ben Llena
b,r,e,a,k
Romulus,10
teamInfo,,"Rome, Georgia",,,
02,Robert Strickland
04,Noah  Stolpe
05,Ben Noerager
07,Malikye Isaiah
09,Rory Strickland
10,Elliot Green
11,Tyner Rowley
12,Josh Zielke
14,Tiernan Whytock
17,Jackson Knox
18,Michael  Johnson
19,Caleb Coons
22,Eli Hoshide
23,Ivan Khoo
24,Domenic Ciavarro
25,David  Luna
26,Nathan Williams
30,Beckett Yelton
32,Wilson Hollis
34,Stephen Kise
42,Ian VanOrder
47,Adriel Kershner
72,Isaac  Hoshide
83,Ty  Louis
b,r,e,a,k
Touch of Grey,22
teamInfo,,"Asheville, North Carolina",,,
0,Eric Siegmund
0,Dixon Oates
0,Cole Staats
0,Lucius Howell Sr.
0,Mark Strazzer
0,James Mangum
0,Alex Stuckey
0,Jeff Nowiski
0,Jack Poteet-Bell
0,Sean Geran
0,Stephen Poulos
0,Ryan Stokes
0,Ty Stevens
1,Brandon Malecek
11,Colin Cox
15,Phil Mantel
16,True McCall
16,Ryan Bell
17,Max Williams
27,Linden Blaisus
64,Sam Boyarsky
99,George Bumgardner
b,r,e,a,k
Savannah Wild,19
teamInfo,,"Savannah, Georgia",,,
0,Ethan Greeley
0,Charles Salmons
0,Joseph (Wayne) Slaydon
1,Christopher Scalzi
7,Kevin Allen
12,Gil Robinson
13,Alex Gronau
22,Alexander Laney
29,Austin Tippett
30,Ryan Hoger
32,James Dusenbury
35,Richard Murphy
36,Thomas Kirk
43,Riley Hughes
67,Spencer Olejniczak
69,Josh Warner
b,r,e,a,k
Psychedelic,6
teamInfo,,"Jacksonville, Florida",,,
0,Austin Aldrich
0,Carter Gonzalez
0,Darren Bradley
0,Ronald Peterman
0,Timothy Moore
0,Sean Nguyen
1,Matthew Seibler
1,Nicholas Hocking
2,Ian Gray
2,Steven Seibler
3,Joshua Hostetler
4,Grant Michael Cashin Jr
7,John Laurie
8,Troy Bogle
10,Chris Seibler
10,Adrian Arreaza
11,Patrick (Paddy) Gardner
11,Robert Lewis
20,Marc Rosenfeld
22,Daniel Pickens
25,Andrew Geisel
42,Seth Tracy
50,Larry Wineman
66,Daniel Conrad
69,James Burkett
73,Dayton Newman
b,r,e,a,k
Dynasty,4
teamInfo,,"Cincinnati, Ohio",,,
0,Nihaal Sidhu
0,Westley  Laughton
2,Clark Seese
3,Nate Berman
4,Sam Moushey
5,Jake Sherwood
7,Andrew Enneking
9,Brady Smith
10,Andrew Voelkerding
12,Benjamin Sherwood
13,AJ Dickerson
17,Andrew Gasson
18,Cannon Spelman
20,Colsten Spelman
21,Tyson Neff
22,Trevor Hirsch
23,Ian Hailey
25,Bradley Caldwell
26,Matthew Piszcz
28,Thomas Brockhoff
37,Kyle Gromen
96,Aidan Sommer
b,r,e,a,k
Atlanta Arson,5
teamInfo,,"Atlanta, Georgia",,,https://twitter.com/atlantaarson
0,Cole Flournoy
0,Deven Bender
0,Christian  Montufar
0,Jaden Medley-Fowlkes
0,Galen Ramsey
0,Grady Freeman
0,Garrett Pellan
0,Lucas Maurer
0,Lennox Whitaker
0,Maxwell Lopez
0,Will Roberts
0,Nour Nazim
1,Lee Phan
2,Krishan Chib
3,Harrison  Briggs
9,Foster Boales
16,Tanjid Mitul
20,Dacree Harden
23,Jatin Kayasth
36,Eric Frega
44,Benjamin Lamport
83,Billy Wallace
91,Matthew Allan
b,r,e,a,k
Hydra,20
teamInfo,,"Winston-Salem, North Carolina",,,
0,Brayden SanGeorge
0,Dustin Barton
0,Derek Chen
0,Scott SanGeorge
0,Rowan Sedgwick-Bufter
0,Luca SanGeorge
0,Griffin Lamphier
0,Ulysses Cunningham
0,Vincent  Frungillo
1,Donovan DeWitt
11,Austin Simpson
15,Jackson Carawan
18,Christopher Grisom
40,Joe Redmond
83,Michael Ridge
b,r,e,a,k
L.U.T $ack,9
teamInfo,,"Lynchburg, Virginia",,,
0,Eli Lanter
0,Josh Pill
01,Avery Levandoski
02,Ethan Allison
03,Luke Billingsley
04,Keegan McMenamin
05,Jackson Klingenberg
06,Shivansh Shah
08,Shawn Messick
10,Ian Fletcher
20,Benjamin Marshall
21,Harrison  Ohmsieder
29,Joshua Anderson
32,Hector Montemayor
34,Phillip Martin
47,Na’jir Dipasalegne
58,Samuel Pierson
58,Ian Rankin
98,Caedmon Eng
99,Daniel Mills
b,r,e,a,k
Gambit,16
teamInfo,,"Charlotte, North Carolina",https://www.instagram.com/cltgambit/,,
0,Cris Gallo
0,James Tappe
0,Jeremy McDavid
0,Matthew Alexander
0,Nandu Avulapati
0,Levi Pittman
0,Rashaad Saunders
0,Silas Morgan
0,William Tortorich
0,Simon Ohlhaut
0,Keion Owen
0,Trey Uttley
0,Timothy Ohlhaut
8,Jackson  Dye
13,David Sandoval
24,Jeremy Becker
28,Caleb Kincaid
28,Patrick Ireland
42,Nathaniel Evans
42,Jacob Kincaid
81,John Wood
b,r,e,a,k
Flux,21
teamInfo,,"Northeast, Florida",https://www.instagram.com/northfloridaflux,,
1,Malakai Nordquist
3,Derek  Marler
5,Albert Hutchinson
9,Quintin Spanier
14,Syana Guevara
18,Daniel Caplan
23,Jeremy Morris
25,Mackenzie Sturgeon
26,Olivia Senentz
27,Christian Narvios
28,Connor Bushong
48,Solon Marshall
58,Mario LaTorre
72,Pierce Toupin
74,William Hughes
96,Julian Kahn-Steele
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
baNC,Cash Crop 2,13,12,"08/08/2026, 08:30",Pool A,Final
Charleston Heat Stroke,NC Brickhouse,11,8,"08/08/2026, 08:30",Pool A,Final
ElecTriCity,Florida Flo,10,12,"08/08/2026, 08:30",Pool A,Final
baNC,NC Brickhouse,13,3,"08/08/2026, 10:10",Pool A,Final
Charleston Heat Stroke,ElecTriCity,9,10,"08/08/2026, 10:10",Pool A,Final
Cash Crop 2,Florida Flo,13,5,"08/08/2026, 10:10",Pool A,Final
baNC,Florida Flo,13,5,"08/08/2026, 11:50",Pool A,Final
Charleston Heat Stroke,Cash Crop 2,5,13,"08/08/2026, 11:50",Pool A,Final
ElecTriCity,NC Brickhouse,11,13,"08/08/2026, 11:50",Pool A,Final
Cash Crop 2,NC Brickhouse,13,6,"08/08/2026, 13:30",Pool A,Final
baNC,ElecTriCity,13,1,"08/09/2026, 08:30",Pool A,Final
Charleston Heat Stroke,Florida Flo,11,7,"08/09/2026, 08:30",Pool A,Final
baNC,Charleston Heat Stroke,13,1,"08/09/2026, 09:30",Pool A,Final
Cash Crop 2,ElecTriCity,0,0,"08/09/2026, 09:30",Pool A,Scheduled
NC Brickhouse,Florida Flo,0,0,"08/09/2026, 09:30",Pool A,Scheduled
pool,Pool B
Tanasi,UpRoar,13,8,"08/08/2026, 08:30",Pool B,Final
Queen City Kings,Tennessee Folklore,13,7,"08/08/2026, 08:30",Pool B,Final
Space Cowboys,Whittz Boyz,13,11,"08/08/2026, 08:30",Pool B,Final
Tanasi,Tennessee Folklore,13,1,"08/08/2026, 10:10",Pool B,Final
Queen City Kings,Space Cowboys,13,6,"08/08/2026, 10:10",Pool B,Final
UpRoar,Whittz Boyz,13,6,"08/08/2026, 10:10",Pool B,Final
Tanasi,Whittz Boyz,13,2,"08/08/2026, 11:50",Pool B,Final
Queen City Kings,UpRoar,10,12,"08/08/2026, 11:50",Pool B,Final
Space Cowboys,Tennessee Folklore,10,13,"08/08/2026, 11:50",Pool B,Final
Tanasi,Space Cowboys,13,2,"08/09/2026, 08:30",Pool B,Final
Queen City Kings,Whittz Boyz,13,4,"08/09/2026, 08:30",Pool B,Final
UpRoar,Tennessee Folklore,13,9,"08/09/2026, 08:30",Pool B,Final
Tanasi,Queen City Kings,13,1,"08/09/2026, 09:30",Pool B,Final
UpRoar,Space Cowboys,0,0,"08/09/2026, 09:30",Pool B,In Progress
Tennessee Folklore,Whittz Boyz,0,0,"08/09/2026, 09:30",Pool B,Scheduled
pool,Pool C
Mint,Romulus,12,10,"08/08/2026, 08:30",Pool C,Final
Psychedelic,Savannah Wild,12,13,"08/08/2026, 08:30",Pool C,Final
Harvest Moon,Touch of Grey,13,9,"08/08/2026, 08:30",Pool C,Final
Mint,Savannah Wild,13,6,"08/08/2026, 10:10",Pool C,Final
Psychedelic,Harvest Moon,6,13,"08/08/2026, 10:10",Pool C,Final
Romulus,Touch of Grey,13,10,"08/08/2026, 10:10",Pool C,Final
Mint,Touch of Grey,13,9,"08/08/2026, 11:50",Pool C,Final
Psychedelic,Romulus,12,11,"08/08/2026, 11:50",Pool C,Final
Harvest Moon,Savannah Wild,13,6,"08/08/2026, 11:50",Pool C,Final
Mint,Harvest Moon,13,7,"08/09/2026, 08:30",Pool C,Final
Psychedelic,Touch of Grey,10,11,"08/09/2026, 08:30",Pool C,Final
Romulus,Savannah Wild,13,7,"08/09/2026, 08:30",Pool C,Final
Mint,Psychedelic,13,6,"08/09/2026, 09:30",Pool C,Final
Romulus,Harvest Moon,0,0,"08/09/2026, 09:30",Pool C,Scheduled
Savannah Wild,Touch of Grey,6,13,"08/09/2026, 09:30",Pool C,Final
pool,Pool D
Dynasty,L.U.T $ack,13,8,"08/08/2026, 08:30",Pool D,Final
Atlanta Arson,Hydra,13,5,"08/08/2026, 08:30",Pool D,Final
Gambit,Flux,13,1,"08/08/2026, 08:30",Pool D,Final
Dynasty,Hydra,13,6,"08/08/2026, 10:10",Pool D,Final
Atlanta Arson,Gambit,13,5,"08/08/2026, 10:10",Pool D,Final
L.U.T $ack,Flux,13,0,"08/08/2026, 10:10",Pool D,Final
Dynasty,Flux,13,1,"08/08/2026, 11:50",Pool D,Final
Atlanta Arson,L.U.T $ack,13,6,"08/08/2026, 11:50",Pool D,Final
Gambit,Hydra,7,13,"08/08/2026, 11:50",Pool D,Final
Atlanta Arson,Flux,9,2,"08/08/2026, 13:30",Pool D,Final
Dynasty,Gambit,13,4,"08/09/2026, 08:30",Pool D,Final
L.U.T $ack,Hydra,6,5,"08/09/2026, 08:30",Pool D,In Progress
Dynasty,Atlanta Arson,0,0,"08/09/2026, 09:30",Pool D,Scheduled
L.U.T $ack,Gambit,0,0,"08/09/2026, 09:30",Pool D,Scheduled
Hydra,Flux,0,0,"08/09/2026, 09:30",Pool D,Scheduled
b,r,e,a,k
brackets,Championship
bracket,Championship
bracket,3rd Place
b,r,e,a,k
brackets,5th Place
bracket,5th Place
bracket,7th Place
b,r,e,a,k
brackets,9th Place
bracket,9th Place
bracket,11th Place
b,r,e,a,k
brackets,13th Place
bracket,13th Place
bracket,15th Place
b,r,e,a,k
brackets,17th Place
bracket,17th Place
bracket,19th Place
b,r,e,a,k
brackets,21st Place
bracket,21st Place
bracket,23rd Place
b,r,e,a,k
