TCT Select Flight Invite - East 2022,Club - Men ,23,7,2022
Fredericksburg,VA,2022-07-23,2022-07-24
https://play.usaultimate.org/events/TCT-Select-Flight-Invite---East-2022/schedule/Men/Club-Men/
Vault,1
coaches,Kiersten Mailler,Charles Hoppes
0,Allan Michel
0,Andrew Seibert
0,Avery Campbell
0,Brice Dunn
0,Colin Masino
0,Devin Foster
0,Dylan Smith
0,Greg Mohler
0,Ian Dietrich
0,James Pollard
0,Jose Dasilva
0,Justin Keller
0,Kainoa Chun-Moy
0,Luke Greenley
0,Mark Philipson
0,Matthew Hanna
0,Matthew Ellis
0,Max Trifillis
0,Mike Kobyra
0,Nate Long
0,Nicholas DiGiorgio
0,Peter Cauchy
0,Riley Robertson
16,Trevor Griesman
b,r,e,a,k
Mallard,14
teamInfo,,"Minneapolis, Minnesota",https://www.mplsmallard.com/,https://www.facebook.com/Minneapolis-Mallard-Ultimate-406163119932880/?ref=py_c,@MPLSMallard
coaches,Tyler Smith
 ,Benji Keillor
0,Cash Barber
0,Eric Crosby Lehmann
0,Garrett Geib
0,Joe Bosshardt
0,Jordan Wright
0,Joseph Pickens
0,Josh Yira
0,Josh Kautz
0,Kai Bowen
0,Lucas Bulger
0,Luis Caballero
0,Marco Dregni
0,Mark Roos
0,Matt Johnson
0,Michael Merwin
0,Adam Meckstroth
0,Aiden  Lomen
0,Austin King
0,Becker Mathie
0,Sam Kleven
0,Tom Duret
0,Zach Trosvig
12,Ryan Welch
b,r,e,a,k
Omen,4
teamInfo,,"Cincinnati, Ohio",,,https://twitter.com/omen_ultimate
00,Alex Hamilton
01,Elliot Skindzier
02,Nicholas Betsch
03,Nate Berman
05,Joshua Wu
07,Bryan Walsh
08,Tim Settles
10,Benny Rider
12,Mike Finke
13,Kyle Romard
15,Jake Kenniv
16,Dylan Hall
18,Michael Bruggeman
23,Kyle Murray
24,Calvin Caldwell
26,Jack Havey
30,Zachary Ford
32,Matthew Simpson
34,Eric Brinkman
35,Jared Regruth
51,Joseph Cubitt
77,Daniel Khoe
78,Michael Ames
89,Nicholas Kaiser
91,Noah Krumme
99,Ryan Hummel
b,r,e,a,k
Garden State Ultimate,9
teamInfo,,"New Brunswick, New Jersey",http://gardenstateultimate.com/,,https://twitter.com/gardenstateulti
coaches,Bill Sanborn,Gregory Stolowski,Kevin Wang
0,Brian Magerr
0,Donovan Hugel
00,Miles Eckardt
01,Brian DiNicola
02,Cole Stevens
06,Dmitry Suvorov
07,Jack Waxman
08,Alex Greene
14,James Kennelly
14,Dexter Clyburn
16,Luke Barry
18,Vincent Calderon
22,John Sickles
24,Dyllon Jeng
27,Matt Krauss
42,Michael Dzelzgalvis 
44,Benjamin Harris
50,Drew Rasmussen
63,Alec Bakholdin
69,David Hwang
69,Ruari McEwan
77,Alexander Jirele
80,John Irvine
91,Ethan Smith
b,r,e,a,k
Lost Boys,8
teamInfo,,"Columbia, South Carolina",mailto:lbfrisbee@gmail.com,https://www.facebook.com/lbultimate/,https://twitter.com/TheLostBoysUlti
 ,Brandon Wider
 ,Coleman Devaney
 ,Kyle Woodberry
 ,Matthew Hogue
 ,Tucker McMillen
0,Michael Miller
12,Johnnie Lynch
13,Caleb Backstrom
15,Jonah Price
16,Clarence Frady
17,Christopher Church
18,Chris Wilson
21,John (Jack) Dowling
22,Matthew Herbst
23,John Bonas
24,Stephen Trello
25,Jacob Brunson
27,Joseph  Cammarata
29,Daniel Ouk
31,Coleman Maher
33,Jonathan Brennan
55,Carter Hayes
64,Jacob Blackman
b,r,e,a,k
CITYWIDE Special,13
teamInfo,,"Philadelphia, Pennsylvania",,https://www.facebook.com/citywidespecial/,https://twitter.com/cwultimate
0,Alex Howard
0,Andrew Yurchak
0,Cameron Rabinowitz
0,Cole Salomon
0,David Brandolph
0,Drew Loughnane
0,Francesco Russo
0,Giovanni Ruggirello
0,Jeremy Long
0,Joseph Wheeler
0,Luca Stuccio
0,Matt Carter
0,Chris Zaleski
0,Mike Alexander
0,Robert  McLean
0,Samuel Barnett
0,Tim Kreutzfeldt
0,True Hanson
0,Will Zamsky
14,Chris Dixon
19,Brian Carney
23,Jordan Ciccarone
27,Matthew Brenfleck
29,Chris Vanni
47,Nathaniel Hess
80,Christopher Cruz
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Vault,Haymaker,15,2,"07/23/2022, 08:30",Pool A,Final
Raleigh-Durham United,Blueprint,10,8,"07/23/2022, 08:30",Pool A,Final
Vault,Blueprint,13,9,"07/23/2022, 16:00",Pool A,Final
Raleigh-Durham United,Haymaker,13,7,"07/23/2022, 16:00",Pool A,Final
Vault,Raleigh-Durham United,11,8,"07/23/2022, 17:45",Pool A,Final
Haymaker,Blueprint,6,12,"07/23/2022, 17:45",Pool A,Final
pool,Pool B
Mad Men,Phoenix,14,11,"07/23/2022, 08:30",Pool B,Final
Shade,Redwolves,9,11,"07/23/2022, 08:30",Pool B,Final
Mad Men,Redwolves,13,9,"07/23/2022, 16:00",Pool B,Final
Shade,Phoenix,7,10,"07/23/2022, 16:00",Pool B,Final
Mad Men,Shade,12,8,"07/23/2022, 17:45",Pool B,Final
Phoenix,Redwolves,15,5,"07/23/2022, 17:45",Pool B,Final
pool,Pool C
Tanasi,Phantom,13,12,"07/23/2022, 08:30",Pool C,Final
Trident I,Mallard,14,7,"07/23/2022, 08:30",Pool C,Final
Tanasi,Mallard,14,4,"07/23/2022, 16:00",Pool C,Final
Trident I,Phantom,13,9,"07/23/2022, 16:00",Pool C,Final
Tanasi,Trident I,11,8,"07/23/2022, 17:45",Pool C,Final
Phantom,Mallard,12,6,"07/23/2022, 17:45",Pool C,Final
pool,Pool D
Omen,Garden State Ultimate,13,12,"07/23/2022, 08:30",Pool D,Final
Lost Boys,CITYWIDE Special,12,11,"07/23/2022, 08:30",Pool D,Final
Omen,CITYWIDE Special,11,5,"07/23/2022, 16:00",Pool D,Final
Lost Boys,Garden State Ultimate,6,14,"07/23/2022, 16:00",Pool D,Final
Omen,Lost Boys,14,7,"07/23/2022, 17:45",Pool D,Final
Garden State Ultimate,CITYWIDE Special,8,7,"07/23/2022, 17:45",Pool D,Final
b,r,e,a,k
brackets,Championship
bracket,Finals
Vault,Mad Men,10,8,"07/24/2022, 10:30",Finals,Final
Vault,Trident I,13,8,"07/24/2022, 09:00",Semifinals,Final
Tanasi,Mad Men,9,10,"07/24/2022, 09:00",Semifinals,Final
Vault,Phoenix,13,7,"07/24/2022, 07:30",Quarterfinals,Final
Omen,Trident I,9,10,"07/24/2022, 07:30",Quarterfinals,Final
Tanasi,Garden State Ultimate,10,7,"07/24/2022, 07:30",Quarterfinals,Final
Mad Men,Raleigh-Durham United,12,7,"07/24/2022, 07:30",Quarterfinals,Final
bracket,Third Place
Trident I,Tanasi,9,10,"07/24/2022, 10:30",Third Place,Final
bracket,Fifth Place
Phoenix,Raleigh-Durham United,12,9,"07/24/2022, 10:30",Fifth Place,Final
Phoenix,Garden State Ultimate,9,7,"07/24/2022, 09:00",Fifth Place Semis,Final
Omen,Raleigh-Durham United,8,10,"07/24/2022, 09:00",Fifth Place Semis,Final
bracket,Seventh Place
Garden State Ultimate,Omen,7,9,"07/24/2022, 10:30",Seventh Place,Final
b,r,e,a,k
brackets,Ninth Place Brackets
bracket,Ninth Place
Redwolves,Phantom,8,10,"07/24/2022, 22:30",Ninth Place,Final
Redwolves,Lost Boys,10,8,"07/24/2022, 09:00",Ninth Place Semis,Final
Phantom,CITYWIDE Special,10,7,"07/24/2022, 09:00",Ninth Place Semis,Final
Redwolves,Mallard,11,7,"07/23/2022, 07:30",Ninth Place Quarters,Final
Lost Boys,Haymaker,9,8,"07/23/2022, 07:30",Ninth Place Quarters,Final
Phantom,Shade,10,7,"07/23/2022, 07:30",Ninth Place Quarters,Final
Blueprint,CITYWIDE Special,7,8,"07/23/2022, 07:30",Ninth Place Quarters,Final
bracket,Eleventh Place
CITYWIDE Special,Lost Boys,6,9,"07/24/2022, 10:30",Eleventh Place,Final
bracket,Thirteenth Place
Haymaker,Shade,3,10,"07/24/2022, 10:30",Thirteenth Place,Final
Mallard,Haymaker,7,9,"07/24/2022, 09:00",Thirteenth Place Semis,Final
Shade,Blueprint,9,7,"07/24/2022, 09:00",Thirteenth Place Semis,Final
bracket,Fifteenth Place
Mallard,Blueprint,8,11,"07/24/2022, 10:30",Fifteenth Place,Final
b,r,e,a,k
