2022 North Central Men's Regional Championship,Club - Men ,24,9,2022
Hartland,WI,2022-09-24,2022-09-25
https://play.usaultimate.org/events/2022-North-Central-Mens-Regional-Championship/schedule/Men/Club-Men/
Mad Men,1
35,Alex Rafkin
42,Michael Walsh
44,Malachi Raymond
81,Andrew Otterlei
99,Tristan Van De Moortele
b,r,e,a,k
Kansas City Smokestack,7
teamInfo,,"Kansas City, Missouri",http://smokestackultimate.weebly.com/,https://www.facebook.com/smokestackultimate,https://www.twitter.com/kc_smokestack
0,Everett Arruda
01,Stephen Karst
04,Gabriel Valencia
06,John Aucar
07,Darien Parr
10,Brock Hicks
11,Tim Robbins
13,Colin Iglehart
15,Mark Stedem
17,Michael Montesano
19,Branden Schneider
22,Eugene Wentworth
24,Cameron Hunter
25,Anthony Chartier
26,Luke Grieger
28,Andrew Curry
29,Spencer Roberts
33,Karl Kraemer
34,Sam Habel
44,Benton Habel
59,Jordan Becquer
74,Ethan Knobloch
88,Matthew Price
97,Aaron Johnson
98,Matthew Beers
99,Jonah Larsen
b,r,e,a,k
Mallard II,11
teamInfo,,"Minneapolis, Minnesota",https://www.mplsmallard.com/,https://www.facebook.com/Minneapolis-Mallard-Ultimate-406163119932880/?modal=suggested_action&notif_id=1622956459376980&notif_t=page_user_activity&ref=notif,https://twitter.com/mplsmallard/status/1386791009535860747
 ,Austin Gin
 ,Charles Camilli
 ,Dan Wylie
 ,Ethan Barsness
 ,Ishaan Lukhey
 ,Matthew Kompelien
 ,Nate Pascale
 ,Thomas Donahue
0,Timothy Opdahl
0,Paul Liang
0,Peter Helgeson
0,Reese Grailer
0,Owen Gin
0,Maximilian Dewberry
0,Kenji Her
0,Levi Dohman
0,Evan Ellis
0,Drew Bonnabeau
0,Conor Babcock O'Neill
0,Alex Tsvetkov
0,Andrew Barnard
12,Jamel Anderson
13,Owen Cloutier
27,Adam Rothman
28,Anthony Doan
28,Greg Cepuran
b,r,e,a,k
NOx,14
teamInfo,,"Kansas City, Missouri",,,
 ,Cory Green
 ,Handel Aiken
 ,Jacob Rickwa
 ,Kieu Duong
0,Kyle Bauer
0,Galen Wienstroer
0,Geoffrey Cheng
0,Jonathan McClurg
0,Skyler Sprecker
11,John Badgley
12,Mark Yonker
13,Chris Basinski
14,Elijah Ray
15,Joseph Davis
18,Daniel Tixier
19,Sam Phipps
26,Ryan Schroeder
28,Evan Lindsay
29,Matthew Engelbart
44,Brennan Travis
53,Brett Dare
56,Alan O'Brien
69,Tyler Kalm
71,Austin Heineman
87,Brandon Spicer
99,Diego Butron
b,r,e,a,k
STL Lounar,3
teamInfo,,"St. Louis, Missouri",,https://www.facebook.com/STL-Lounar-109283871717037,
coaches,Joseph Barzilai,Matt Delehaunty
 ,Jeff Morrison
 ,Lincoln Grench
 ,Ray Mauntel
0,Rusty McDonald
0,Sandy Gu
0,Sean Eberle
0,Nate Clancy
0,Nicholas Jeschke
0,Brandon Skoba
0,Jesse Strod
0,John Marsh
0,Delmar Tarrago
10,Devin Belvin
11,Drake Hill
12,Landon Evans
13,Ryan Hays
17,Drew Law
19,Joshua Gabella
22,Wesley Groth
24,William (Will) Imming
25,Unmil Patel
27,Sam Jordan-Wood
29,Mason Zetsch
44,Bryan Dunbar
45,Brenton Hard
64,William Johnson
b,r,e,a,k
DeMo,6
teamInfo,,"Des Moines, Iowa",,,https://twitter.com/demoultimate
0,Brad McKeen
0,Brett DeHoogh
0,Brian Goode
0,Camden Boyde
0,Carter Genrick
0,Cody Sevcik
0,Devon Lord
0,Evan Ford
0,Hunter May
0,Jacob Badger
0,Jacob Thomae
0,Jaden Alamsya
0,Joseph Kosterman
0,Justin  Hua
0,Matt Stoker
0,Matt Adams
0,Michael Grant
0,Niko Beauchamp
0,Andrew McCartan
0,Austin DeHoogh
0,Tim Scarrow
0,Timothy Swanson
10,Robert Mitchell McCarthy
11,Ben Ransom
20,Huynh Vo
71,Dayton Wright
b,r,e,a,k
Cryptic,10
teamInfo,,"Iowa City, Iowa",,https://www.facebook.com/CrypticUltimate/,https://twitter.com/CRyptIC_Ulti
0,Oliver Bostian
01,Jacob Arnold
02,Daniel Neese
04,Duncan Shay
05,Dillon Crowell
06,Joshua  Vierke
10,Nathan Bielecki
11,Cade Zschiesche
12,David Lopez
14,Cole Davis
18,Avery Bandstra
19,Michael (Max) Vinyon
20,Tony Abdel-Malek
21,Ben Masterson
22,Kyle Lavrisa
23,Nick Schoon
24,Jason Chen
25,Chase Everett
27,Lucas Boyle
29,Luke Gnatkowski
30,Nolan Cochran
33,Ian Taylor
35,Samson Kimani
36,Ryan Moore
52,Eric  Clifton
91,Thomas Helm
b,r,e,a,k
NOMAD,15
teamInfo,,"Edina / St. Louis Park / Eden Prairie / Mahtomedi , Minnesota",,,
 ,Eli Schmelzer
0,James (Jac) Cullen
01,James Harvey
02,Luke Rubin
07,Isaiah  Klepfer 
09,Nicholas Castro
10,Tyler Berg
11,Eli Lessin Burris
12,Jack Mintz
16,Boden Oelhafen
17,Aaron Casey-Fix
19,Benjamin Klepfer
19,Thomas Shope
21,Mikey Wagner
27,Harris deNeui
33,Brett Duncan
34,James Briscoe
55,Jack McIntyre
69,Charlie Teply
90,Parker Knudson
94,Scott Krueger
95,Dalton Domenighi
96,Henry LeFebvre
98,Bjorn Snyder
99,Jim Shope
99,Ryan Dusaire
b,r,e,a,k
Mallard,4
teamInfo,,"Minneapolis, Minnesota",https://www.mplsmallard.com/,https://www.facebook.com/Minneapolis-Mallard-Ultimate-406163119932880/?ref=py_c,@MPLSMallard
coaches,Tyler Smith
 ,Benji Keillor
0,Cash Barber
0,Eric Crosby Lehmann
0,Erik Aadalen
0,Garrett Geib
0,Joe Bosshardt
0,Jordan Wright
0,Joseph Pickens
0,Josh Yira
0,Josh Kautz
0,Kai Bowen
0,Lucas Bulger
0,Luis Caballero
0,Marco Dregni
0,Mark Roos
0,Matt Johnson
0,Michael Merwin
0,Michael (Mike) Petersen
0,Adam Meckstroth
0,Aiden  Lomen
0,Asa Bowen
0,Austin King
0,Becker Mathie
0,Sam Kleven
0,Tom Duret
12,Ryan Welch
b,r,e,a,k
La Raid S.C.,5
teamInfo,,"Madison, Wisconsin",,,
 ,Henry Goldenberg
 ,Thomas Walker
0,Tim DeByl
0,Zane Stein
0,Donte  Buckingham 
0,Emmet O'Connell
0,Eric Koran
0,Jack Hollander
0,Jadon Scullion
0,Jonathan Schlaefer
0,Joshua Wilson
0,Ken Adams
0,Mac Weber
0,Maxwell Sample
0,Nate Thibedeau
0,Nick Wismans
0,Noah Nicol
0,Oliver Walke
0,Patrick LaVallee
0,Ryan Munger
0,Sam Pieper
0,Sef van Kan
0,Simon Brooks
0,Ted Schewe
0,Thomas Deller
80,Kevin Pettit-Scantling
b,r,e,a,k
Knights of Ni,9
teamInfo,,"Golden Valley, Minnesota",,,https://twitter.com/ulti_ni
 ,Sam Resnick
0,Samuel Bumsted
0,Andrew Dornbush
0,Ashton Robinson
0,Bif Reiser
0,Brendan Gessner
0,Brian LaFrance
0,Charles Lieberman
0,Danny Gollin
0,Grant Kregness
0,Grayson Pangburn
0,Holden Fahnhorst
0,Jake Kretschmer
0,Jakob Yedo
0,Jason Finkelstein
0,Joe Simonelli
0,Justin Wollin
0,Kunal Rath
0,Matthew Racky
0,Max Seffren
0,Max Wolpert
0,Michael Sauer
0,Michael Ruble
0,Michael Seffren
0,Nick  Snyder
0,Noah Fogel
b,r,e,a,k
Timber,16
teamInfo,,"Appleton, Wisconsin",,https://www.facebook.com/TimberUltimate/,https://twitter.com/TimberUltimate
 ,Aaron Lichtenwalner 
 ,Anthony Moore
 ,Brian Ristau
 ,Logan Mueller
 ,Mark Pollard
0,Kirk Prince
0,Avery Diederich
0,Derek McCaslin
0,Timothy Schraufnagel
10,Zach Hendzel
11,Nicholas Tompkins
12,Chad Heldt
13,Cory Ladwig
15,Daniel Rowan
16,Tate Klauck
18,Evan Tellinghuisen
23,Ryan Zdroik
38,Quest Meyer
45,Thomas Mattimiro
69,Logan Roy
76,Caleb Smith
80,Luke Mantel
93,Thomas Doro
94,Jack Spadafore
98,Graham Schneider
99,Daniel Lang
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Mad Men,MKE,15,6,"09/24/2022, 09:00",Pool A,Final
Scythe,Nomads,15,5,"09/24/2022, 09:00",Pool A,Final
Mad Men,Nomads,15,4,"09/24/2022, 11:00",Pool A,Final
Scythe,MKE,15,13,"09/24/2022, 11:00",Pool A,Final
Mad Men,Scythe,15,2,"09/24/2022, 13:00",Pool A,Final
MKE,Nomads,14,15,"09/24/2022, 13:00",Pool A,Final
pool,Pool B
Sub Zero,Mallard II,15,2,"09/24/2022, 09:00",Pool B,Final
Kansas City Smokestack,NOx,15,5,"09/24/2022, 09:00",Pool B,Final
Sub Zero,NOx,15,4,"09/24/2022, 11:00",Pool B,Final
Kansas City Smokestack,Mallard II,15,12,"09/24/2022, 11:00",Pool B,Final
Sub Zero,Kansas City Smokestack,15,8,"09/24/2022, 13:00",Pool B,Final
Mallard II,NOx,15,6,"09/24/2022, 13:00",Pool B,Final
pool,Pool C
STL Lounar,Cryptic,13,11,"09/24/2022, 09:00",Pool C,Final
DeMo,NOMAD,15,4,"09/24/2022, 09:00",Pool C,Final
STL Lounar,NOMAD,15,8,"09/24/2022, 11:00",Pool C,Final
DeMo,Cryptic,15,11,"09/24/2022, 11:00",Pool C,Final
STL Lounar,DeMo,15,8,"09/24/2022, 13:00",Pool C,Final
Cryptic,NOMAD,15,13,"09/24/2022, 13:00",Pool C,Final
pool,Pool D
Mallard,Knights of Ni,15,4,"09/24/2022, 09:00",Pool D,Final
La Raid S.C.,Timber,15,5,"09/24/2022, 09:00",Pool D,Final
Mallard,Timber,15,3,"09/24/2022, 11:00",Pool D,Final
La Raid S.C.,Knights of Ni,14,12,"09/24/2022, 11:00",Pool D,Final
Mallard,La Raid S.C.,15,12,"09/24/2022, 13:00",Pool D,Final
Knights of Ni,Timber,15,9,"09/24/2022, 13:00",Pool D,Final
b,r,e,a,k
clusters,Saturday Crossover
cluster,Saturday Crossover
Scythe,Knights of Ni,12,15,"09/24/2022, 15:00",,Final
La Raid S.C.,Nomads,15,5,"09/24/2022, 15:00",,Final
Kansas City Smokestack,Cryptic,15,9,"09/24/2022, 15:00",,Final
DeMo,Mallard II,15,12,"09/24/2022, 15:00",,Final
b,r,e,a,k
brackets,Sunday Championship Bracket
bracket,Championship Bracket
Mad Men,Sub Zero,13,11,"09/25/2022, 13:00",Finals,Final
Mad Men,Mallard,13,9,"09/25/2022, 11:00",Semi Finals,Final
La Raid S.C.,Sub Zero,11,15,"09/25/2022, 11:00",Semi Finals,Final
Mad Men,Kansas City Smokestack,15,8,"09/25/2022, 09:00",Quarterfinals,Final
Mallard,DeMo,15,7,"09/25/2022, 09:00",Quarterfinals,Final
STL Lounar,La Raid S.C.,13,15,"09/25/2022, 09:00",Quarterfinals,Final
Sub Zero,Knights of Ni,15,5,"09/25/2022, 09:00",Quarterfinals,Final
b,r,e,a,k
brackets,5th Place Bracket
bracket,5th Place Bracket
DeMo,STL Lounar,13,9,"09/25/2022, 13:00",5th Place,Final
Kansas City Smokestack,DeMo,12,14,"09/25/2022, 11:00",5th Place Semi's,Final
STL Lounar,Knights of Ni,14,10,"09/25/2022, 11:00",5th Place Semi's,Final
b,r,e,a,k
brackets,3rd Place Game
bracket,3rd Place Game
Mallard,La Raid S.C.,15,5,"09/25/2022, 13:00",3rd Place Game,Final
b,r,e,a,k
brackets,7th Place Game
bracket,7th Place Game
Kansas City Smokestack,Knights of Ni,8,14,"09/25/2022, 13:00",7th Place Game,Final
b,r,e,a,k
brackets,Sunday Consolation Bracket
bracket,9th Place Bracket
Scythe,Mallard II,15,7,"09/25/2022, 13:00",9th Place Game,Final
MKE,Scythe,12,13,"09/25/2022, 11:00",Consolation Semifinals,Final
Nomads,Mallard II,10,13,"09/25/2022, 11:00",Consolation Semifinals,Final
Cryptic,MKE,12,13,"09/25/2022, 09:00",Consolation Quarterfinals,Final
Scythe,NOx,15,11,"09/25/2022, 09:00",Consolation Quarterfinals,Final
Nomads,NOMAD,13,11,"09/25/2022, 09:00",Consolation Quarterfinals,Final
Mallard II,Timber,15,13,"09/25/2022, 09:00",Consolation Quarterfinals,Final
b,r,e,a,k
brackets,Sunday Consolation Games
bracket,13th Place Bracket
Cryptic,Timber,13,12,"09/25/2022, 13:00",13th Place,Final
Cryptic,NOx,15,5,"09/25/2022, 11:00",13th Place Semi's,Final
NOMAD,Timber,10,14,"09/25/2022, 11:00",13th Place Semi's,Final
b,r,e,a,k
brackets,Sunday Consolation Games
bracket,11th Place Game
MKE,Nomads,15,12,"09/25/2022, 13:00",11th Place Game,Final
b,r,e,a,k
