Boston Invitational 2017,Club - Men ,24,6,2017
Devens,MA,2017-06-24,2017-06-25
https://play.usaultimate.org/events/Boston-Invitational-2017/schedule/Men/Club-Men/
Ironside,1
43,Kevin Goldberg
51,Brayton Maxson
54,Jesse Schwartz
81,ERIC RATHBUN
b,r,e,a,k
Club M - Manic,13
teamInfo,,"Montreal, quebec CA",modules/common/www.multimate.club,https://www.facebook.com/ClubMUltimate/,
0,BASILE LIMOGES
0,Edouard Levesque
0,Emmanuel Verreault
0,Frédéric Lemieux
0,Frédéric Fortin
0,Gabriel St-Jean Timmins
0,Henri Labonté
0,Jakob Brissette
0,Jean-François Morin
0,Jeremy Jacob Lagacé
0,Simon Charette
0,Simon Gauthier 
0,Thomas Faber
0,Vincent Lemieux
0,Vincent Dumas
0,Zakarie Massi
7,Liam  McKeown 
04,Marc-André Duchesneau
10,Jean-Levy Champagne
28,Jordan Faries
69,David Comeau-Cadieux
81,Hugo Paré
84,Etienne Blaszkewycz
b,r,e,a,k
Westchester Magma Bears,16
teamInfo,,"Yorktown Heights, New York",,https://www.facebook.com/WestchesterMagmaBears,https://twitter.com/MagmaBearUlti
0,Anton Boutkov
0,Douglas Silverman
0,Gary Chasteen
0,Gerard Bentley
0,John Maher
0,Joseph Pickens
0,Justin Ondrof
0,Nicolas Dacey
0,Robert (Bobby) Owens
0,Steven Purugganan
2,Timothy Barbella
7,Jeremy Fischer
01,Andrew Purugganan
02,Jeffrey Sload
04,Darren McAuliffe
17,Kevin O'Brien
17,John Walsh
18,John Brancato
20,Philip DiGiacomo
27,James Leonard
31,Justin Forman
33,Andy Mogenson
34,Christopher Novielli
48,Jake Kaufman
62,Chris Bonifati
88,Danny Feinman
88,Michael Lovisa
b,r,e,a,k
Red Circus,12
teamInfo,,"Halifax, Nova Scotia CA",,,
0,Brent Wallace
0,Brett Chiasson
0,Casper Macaulay
0,Greg Webb
0,James McKenna
0,Josh Millard
0,Luke Martelli
19,Sam Cameron
42,Brock Paterson
83,Garrett Jung
88,Scott Hansen
b,r,e,a,k
Deathsquad,9
teamInfo,,"Needham, Massachusetts",,,https://www.twitter.com/Death_SquadUlt
0,Jordan Kaufman
2,Henry Brecher
3,Jonathan Young
4,Drew Davis
4,Matthew Barnes
7,Tom Bassett
10,Jeff Kiel
12,Adam Newman
13,Charlie Holtz
14,Henry Kapp
21,Brendan Chin
24,Brendan Chambers
26,Jackson Gillenwaters
29,Dan Hourigan
33,Jeremy Marcus
36,Ian Girelli
38,Matt Caswell
39,Matthew Cote
42,James Cataldo
45,Jack Kenney
72,Joseph Sadok
b,r,e,a,k
Blueprint,11
teamInfo,,"NYC, New York",,,https://twitter.com/nyc_blueprint
0,Benjamin West
0,Carter Wang
0,Evan Ma
0,Evan Carter
0,PHILIP  RASCONA
0,Rohith Rao
0,Samuel Feder
0,Samuel Pollack
0,Samuel Ross
0,Scott Schwartz
0,Joseph Leo Pepper
0,Josh Imhoff
0,Max Cohen
0,Owen Marschall
0,Zane Friedkin
2,Antonio Vayas
3,Peter Nauffts
9,Victor Kao
10,Andrew Edelman
15,Juleon Robinson
16,Yuval Pearl
17,Nadav Pearl
19,Jesse Rice
37,Noah Weintraub
54,Fawzi Itani
99,Benjamin Zhang
b,r,e,a,k
Shade,15
teamInfo,,"New York, New York",,https://www.facebook.com/shadeulti/,https://www.twitter.com/shadeulti
0,Calvin Vannoy
0,CHARLES PATTON
0,Eric Moore
0,Bennett Taren
0,Samuel Szuflita
0,Samuel Austin
0,William Perry
0,Xaver Kandler
1,Taylor Rasco
1,Nicholas Hocking
3,Brandon Shaw
8,Jason Freedman
13,Jay Sehgal
13,Nicholas Eng
15,Alexander Isik
16,Brett Kaiser
40,Jordan Hupp
99,Stefan Dicker
b,r,e,a,k
Pesterbug,14
teamInfo,,"Pawtucket, Rhode Island",,,@PesterBucket
0,Andrew Fredrickson
0,BARRY COHEN
0,Dylan Marino
0,Jamie Rhodes
0,Matthew Silverman
0,Michael Cardello
0,Ross Littauer
0,Stephen Panasuik
0,TERRY ROTH
0,TOM CONFORT
3,Derek Wiseman
5,Shaun Doherty
5,Jared DiMascio
7,Joe Scully
9,Stephen Banning
12,Michael Carando
15,Daniel Dimascio
18,Jeffrey Dao
19,Isaac Peters
23,TAYLOR STRICKLAND
25,Thomas Dougherty
28,Sam Stefanik
29,Justin Palin
36,Jacob Garfinkel
73,Eric Peters
b,r,e,a,k
Red Tide,10
teamInfo,,"Portland, Maine",,,
00,Alberto Morales
00,Cameron Jack
00,Daniel Butler
00,Elijah Babcock
00,Evan Holliday
00,Jared DeWolfe
00,Jonathan Gilbert
00,Neil Franklin
00,Patrick Kelsey
00,Samuel Shapiro
00,Toby Jacobs
00,Walter Chacon
b,r,e,a,k
Shrike,21
teamInfo,,"Ottawa, Ontario CA",,,
0,Cédrik Labrèche
0,Chad McCausland
0,Colin Scarffe
0,Cory Boucher
0,Habib Atallah
0,HARRISON REED
0,Kelsey Charie
0,Khalid Al-Zahrani
0,Kyle Cantal
0,MARTIAL DESROSIERS DRAINVILLE
0,Mitchell Reid
0,Pierre-Luc Couturier
0,Ryan Wallace
0,TIM AMBERY
0,AMOS LEE
0,ANDREW BARBER
33,Andy Lee
60,ALEX MCCARDLE
b,r,e,a,k
BUDA,20
teamInfo,,"Boston, Massachusetts",,,
coaches,Dan Hourigan
00,Alexander Lerner
00,August Williams
00,Ben Goldman
00,Caleb Ng
00,Chris Padilla
00,Erik Liu
00,Gregory Oreste
00,Harrison Wolff Landau
00,Isaac Appel
00,James Cairn
00,Jared Scheinberg
00,August Alsina
00,Jesse Strod
00,Josh Lane
00,Kai DeLorenzo
00,Liam Hardacker
00,Marcel Oliart
00,Noah Shechtman
00,Orion Cable
00,Samuel Hare Steig
00,Stephen Mock
00,Walden Ng
00,Zach Riley
b,r,e,a,k
Xavier's School for Gifted Youngsters,25
teamInfo,,"Syracuse, New York",,,
0,Anthony Miuccio
0,Christopher Losapio
0,Colin O'Keefe
0,Giyeon Han
0,GREGORY WAKEMAN
0,Paul DeGennaro
0,Ryan Osborn
0,Sean Sweeney
0,Travis Bassano
2,Jonathan Willman
7,CHRISTOPHER VANLANG
12,Xavier Schafer
16,Kevin Gordon
77,Brian Erwin
91,Daniel Vandam
b,r,e,a,k
Club M - Magma,17
teamInfo,,"Montreal, Québec CA",http://www.multimate.club,https://www.facebook.com/ClubMUltimate/,
0,Antoine Lavigne
0,BENOIT RIENDEAU
0,Dylan Lacombe Burgoyne
0,Francis Laviolette
0,Olivier Gamache
0,Raphael Morin
0,Raphael Royer-Rivard
0,Renaud Chouinard
0,Scott Durocher
0,Vathana Len
0,Jean-Philippe Hamel
6,Antony Labrecque
8,Jeremy Chiniara
9,Dany Gallant
13,Yanick Ricard
28,Jonathan Paradis
28,Daniel Vogt
47,Francois Duchesneau
67,Jared Conover
b,r,e,a,k
Allen's Army,24
teamInfo,,"Orono, Maine",,,
0,Anthony Panciocco
0,Camron Olanyk
0,Eugene Wentworth
0,James Arcata
0,Logan Gerchman
0,Peter Strand
0,Robert Arthur
12,Finn Bradenday
42,Mark Lessard
47,Patrick McGrath
b,r,e,a,k
JAWN,22
teamInfo,,"Philadelphia, Pennsylvania",,,https://twitter.com/JAWN_Ultimate
0,Andrew Trinh
0,Andrew Ngo
0,Benjamin Cozzolino
0,Gregory Fallon
0,Igor Smola
0,Matthew Kirk
0,Mitchell Gaylord
0,STEPHEN SCHLATTER
0,William Shutt
0,Zach Klee
0,Zack Eskin
2,Evan Maynard
3,Joshua Fieseher
8,Evan Kashan
10,Adriene Khon
11,JULIAN MAKARECHI
13,Luke Greenley
13,Brice Dunn
18,Adam Novak
21,Francisco Gomez
25,Edward Brakoniecki
32,Robert Walker
37,Ryan Coughlan
94,Ryan Morris
b,r,e,a,k
Somerville Boys and Girls,26
teamInfo,,"Somerville, Massachusetts",,,
0,Brian Barrows
0,Daniel Bronshvayg
0,Daniel Weinstein
0,Eamon Wick
0,Eric Chen
0,Jack (John) Spiva
0,Kyle Flannery
0,Nicholas Adolph
0,Robby Perkins-High
0,Samuel Zuckernik
13,Oliver Newland
22,John Westwig
29,David Leibert
77,Matthew Fasano
77,Walton (Yuito) Lee
b,r,e,a,k
Connecticut Connvicts,18
teamInfo,,"Manchester, Connecticut",modules/common/connvictsultimate@gmail.com,,https://twitter.com/CT_Connvicts
0,Collin McLaughlin
0,EZRA LAGAN
0,Gregory Jositas
0,Kyle Bonvouloir
0,MARK BLOMBERG
0,Mohamed Shaw
0,Nicholas Filippides
0,Remy Gaulin
0,Ryan Baldassario
0,Sebastian Mesa
0,Stephen DeRosa
0,Umang Gangwar
5,Dong Lam
11,Matt Versland
13,JAVIER POZNAR
15,Jacob Schwartz
15,David Valencia
17,Kekeli Afantchao
22,Nathan Getz
23,Logan Edwards
24,Nitesh Desai
24,Stephen Nahorney
29,Ryan Douty
34,Nick DiOrio
37,Judah Ege
42,Matthew Bernocco
69,Daniel Percival
b,r,e,a,k
Sherbrooke Gentlemen's Club,23
teamInfo,,"Sherbrooke, Quebec CA",,,
0,Gabriel Parent
0,JONATHAN PROTEAU
05,DANNY DESBIENS ALARY
06,Jorge Ramirez Ruiz
09,Vincent Sasseville
11,Gabriel St-Hilaire
13,Philippe Gendron
16,Philippe St-Louis
18,Kevin Guillemette
21,Marco Plourde Grenon
23,Philippe  Payeur-Lebeuf
25,Nicolas Vanasse
27,Eric Lampron-Goulet
28,Laurence Ruelens-Lepoutre
34,Karl Thibault
43,Austin-Didier Tran
45,Martin Boulet
48,Matthieu Daniaux
71,Raphael Nadeau
87,Bruno-Pier Demers
88,Theo Laroche
99,Adam Gauvin
b,r,e,a,k
Dredge,19
teamInfo,,"Rhinebeck, New York",https://www.facebook.com/groups/229678604036205/,https://www.facebook.com/groups/229678604036205/,
0,Chris Lavery
0,Christopher Hummel
0,Colin Aldrich
0,Dan Priddle
0,Dane Bush
0,Gabriel Hage
0,Alain Hwang
0,Alex Trass
0,Matt Duffy
0,Michael Keegan
0,Steven Calebrese
0,Thomas Horvath
0,Timothy Stuitje
0,Travis McGrath
7,Walter Roosa
11,Jesse Newman
37,Nick Alfonso
80,Anthony Coppola
94,James  O'Connell
b,r,e,a,k
s,t,a,g,e,s
pools,Elite
pool,Pool A
Ironside,Colt,15,5,"06/24/2017, 09:00",Pool A,Final
Big Wrench,Breakers,15,10,"06/24/2017, 09:00",Pool A,Final
Ironside,Breakers,15,6,"06/24/2017, 10:45",Pool A,Final
Big Wrench,Colt,15,10,"06/24/2017, 10:45",Pool A,Final
Ironside,Big Wrench,15,9,"06/24/2017, 12:30",Pool A,Final
Colt,Breakers,14,11,"06/24/2017, 12:30",Pool A,Final
pool,Pool B
Dig,Bruises,15,2,"06/24/2017, 09:00",Pool B,Final
Garden State Ultimate,Grand Trunk,14,15,"06/24/2017, 09:00",Pool B,Final
Dig,Grand Trunk,15,8,"06/24/2017, 10:45",Pool B,Final
Garden State Ultimate,Bruises,14,11,"06/24/2017, 10:45",Pool B,Final
Dig,Garden State Ultimate,15,7,"06/24/2017, 14:15",Pool B,Final
Bruises,Grand Trunk,9,15,"06/24/2017, 14:15",Pool B,Final
pool,Pool C
Deathsquad,Club M - Manic,10,13,"06/24/2017, 09:00",Pool C,Final
Red Circus,Westchester Magma Bears,10,15,"06/24/2017, 09:00",Pool C,Final
Deathsquad,Westchester Magma Bears,11,12,"06/24/2017, 10:45",Pool C,Final
Red Circus,Club M - Manic,8,15,"06/24/2017, 10:45",Pool C,Final
Deathsquad,Red Circus,9,13,"06/24/2017, 12:30",Pool C,Final
Club M - Manic,Westchester Magma Bears,15,6,"06/24/2017, 12:30",Pool C,Final
pool,Pool D
Red Tide,Pesterbug,4,15,"06/24/2017, 09:00",Pool D,Final
Blueprint,Shade,15,12,"06/24/2017, 09:00",Pool D,Final
Red Tide,Shade,12,15,"06/24/2017, 10:45",Pool D,Final
Blueprint,Pesterbug,12,11,"06/24/2017, 10:45",Pool D,Final
Red Tide,Blueprint,9,13,"06/24/2017, 14:15",Pool D,Final
Pesterbug,Shade,12,13,"06/24/2017, 14:15",Pool D,Final
b,r,e,a,k
pools,Easterns
pool,Pool E
Club M - Magma,Xavier's School for Gifted Youngsters,9,15,"06/24/2017, 09:00",Pool E,Final
Shrike,Allen's Army,15,6,"06/24/2017, 09:00",Pool E,Final
Club M - Magma,Shrike,11,15,"06/24/2017, 10:45",Pool E,Final
BUDA,Allen's Army,15,6,"06/24/2017, 10:45",Pool E,Final
Allen's Army,Xavier's School for Gifted Youngsters,7,15,"06/24/2017, 12:30",Pool E,Final
BUDA,Shrike,11,14,"06/24/2017, 12:30",Pool E,Final
Club M - Magma,Allen's Army,15,8,"06/24/2017, 14:15",Pool E,Final
BUDA,Xavier's School for Gifted Youngsters,13,8,"06/24/2017, 14:15",Pool E,Final
Club M - Magma,BUDA,12,14,"06/24/2017, 16:00",Pool E,Final
Shrike,Xavier's School for Gifted Youngsters,12,11,"06/24/2017, 16:00",Pool E,Final
pool,Pool F
Connecticut Connvicts,Somerville Boys and Girls,14,15,"06/24/2017, 09:00",Pool F,Final
JAWN,Sherbrooke Gentlemen's Club,15,13,"06/24/2017, 09:00",Pool F,Final
Connecticut Connvicts,JAWN,13,15,"06/24/2017, 10:45",Pool F,Final
Dredge,Sherbrooke Gentlemen's Club,12,13,"06/24/2017, 10:45",Pool F,Final
Sherbrooke Gentlemen's Club,Somerville Boys and Girls,7,15,"06/24/2017, 12:30",Pool F,Final
Dredge,JAWN,14,9,"06/24/2017, 12:30",Pool F,Final
Connecticut Connvicts,Sherbrooke Gentlemen's Club,15,11,"06/24/2017, 14:15",Pool F,Final
Dredge,Somerville Boys and Girls,12,13,"06/24/2017, 14:15",Pool F,Final
Connecticut Connvicts,Dredge,13,9,"06/24/2017, 16:00",Pool F,Final
JAWN,Somerville Boys and Girls,14,11,"06/24/2017, 16:00",Pool F,Final
b,r,e,a,k
brackets,Finals
bracket,Elite
Ironside,Dig,14,15,"06/25/2017, 14:15",1st Place,Final
Ironside,Colt,15,6,"06/25/2017, 10:45",Semis,Final
Garden State Ultimate,Dig,9,15,"06/25/2017, 10:45",Semis,Final
Blueprint,Ironside,5,15,"06/25/2017, 09:00",Quarters,Final
Colt,Grand Trunk,15,11,"06/25/2017, 09:00",Quarters,Final
Garden State Ultimate,Big Wrench,14,12,"06/25/2017, 09:00",Quarters,Final
Club M - Manic,Dig,4,15,"06/25/2017, 09:00",Quarters,Final
Bruises,Blueprint,9,14,"06/24/2017, 16:00",Crossover,Final
Colt,Westchester Magma Bears,15,8,"06/24/2017, 16:00",Crossover,Final
Garden State Ultimate,Shade,15,11,"06/24/2017, 16:00",Crossover,Final
Breakers,Club M - Manic,6,15,"06/24/2017, 16:00",Crossover,Final
bracket,Elite
Colt,Garden State Ultimate,15,8,"06/25/2017, 14:15",3rd Place,Final
bracket,Elite
Blueprint,Big Wrench,15,6,"06/25/2017, 12:30",5th Place,Final
Blueprint,Grand Trunk,11,10,"06/25/2017, 10:45",5-8,Final
Big Wrench,Club M - Manic,12,9,"06/25/2017, 10:45",5-8,Final
bracket,Elite
Grand Trunk,Club M - Manic,6,15,"06/25/2017, 12:30",7th Place,Final
bracket,Easterns I
Shade,Bruises,8,11,"06/25/2017, 14:15",9th Place,Final
Red Tide,Shade,14,15,"06/25/2017, 12:30",Semis,Final
Pesterbug,Bruises,10,14,"06/25/2017, 12:30",Semis,Final
Red Tide,Breakers,14,11,"06/25/2017, 10:45",Quarters,Final
Red Circus,Shade,11,12,"06/25/2017, 10:45",Quarters,Final
Pesterbug,Westchester Magma Bears,15,9,"06/25/2017, 10:45",Quarters,Final
Deathsquad,Bruises,11,15,"06/25/2017, 10:45",Quarters,Final
Red Tide,JAWN,15,14,"06/25/2017, 09:00",Crossovers,Final
Red Circus,BUDA,11,9,"06/25/2017, 09:00",Crossovers,Final
Pesterbug,Somerville Boys and Girls,15,9,"06/25/2017, 09:00",Crossovers,Final
Deathsquad,Shrike,15,4,"06/25/2017, 09:00",Crossovers,Final
bracket,Easterns I
Red Tide,Pesterbug,15,12,"06/25/2017, 14:15",11th Place,Final
bracket,Easterns I
Breakers,Deathsquad,7,15,"06/25/2017, 14:15",13th Place,Final
Breakers,Red Circus,14,7,"06/25/2017, 12:30",13-16,Final
Westchester Magma Bears,Deathsquad,11,15,"06/25/2017, 12:30",13-16,Final
bracket,Easterns I
Red Circus,Westchester Magma Bears,0,1,"06/25/2017, 14:15",15th Place,Final
bracket,Easterns II
Shrike,BUDA,15,4,"06/25/2017, 12:30",17th Place,Final
Shrike,Somerville Boys and Girls,11,9,"06/25/2017, 10:45",17-20,Final
BUDA,JAWN,12,10,"06/25/2017, 10:45",17-20,Final
bracket,Easterns II
Somerville Boys and Girls,JAWN,7,15,"06/25/2017, 12:30",19th Place,Final
b,r,e,a,k
clusters,Easterns III
cluster,Easterns III
Xavier's School for Gifted Youngsters,Dredge,11,15,"06/25/2017, 09:00",,Final
Club M - Magma,Sherbrooke Gentlemen's Club,7,15,"06/25/2017, 09:00",,Final
Allen's Army,Connecticut Connvicts,7,15,"06/25/2017, 09:00",,Final
Xavier's School for Gifted Youngsters,Sherbrooke Gentlemen's Club,7,15,"06/25/2017, 10:45",,Final
Club M - Magma,Connecticut Connvicts,8,15,"06/25/2017, 10:45",,Final
Allen's Army,Dredge,4,15,"06/25/2017, 10:45",,Final
Xavier's School for Gifted Youngsters,Connecticut Connvicts,7,9,"06/25/2017, 12:30",,Final
Club M - Magma,Dredge,6,15,"06/25/2017, 12:30",,Final
Allen's Army,Sherbrooke Gentlemen's Club,4,15,"06/25/2017, 12:30",,Final
b,r,e,a,k
