TCT Elite-Select Challenge 2017,Club - Men ,19,8,2017
Appleton,WI,2017-08-19,2017-08-20
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2017/schedule/Men/Club-Men/
HIGH FIVE,1
Chicago Machine,Inception,0,0,"08/20/2017, 10:00",9th Place Finals,Cancelled
Rhino,Chicago Machine,5,13,"08/19/2017, 08:00",9th Place Semis,Final
Inception,Furious George,11,10,"08/20/2017, 08:00",9th Place Semis,Final
bracket,9th Place Finals
Rhino,Inception,8,9,"08/20/2017, 10:00",9th Place ,Final
bracket,9th Place Finals
Chicago Machine,Furious George,13,7,"08/20/2017, 10:00",9th Finals,Final
b,r,e,a,k
pools,13th-16th Place Round-Robin
pool,13th-16th Place Pool
Madison Club,Prairie Fire,13,11,"08/19/2017, 16:00",13th-16th Place Pool,Final
Smokestack,Big Wrench,13,6,"08/19/2017, 16:00",13th-16th Place Pool,Final
Prairie Fire,Big Wrench,13,3,"08/20/2017, 08:00",13th-16th Place Pool,Final
Madison Club,Big Wrench,13,4,"08/20/2017, 12:00",13th-16th Place Pool,Final
Smokestack,Prairie Fire,13,10,"08/20/2017, 12:00",13th-16th Place Pool,Final
Madison Club,Smokestack,13,11,"08/20/2017, 14:00",13th-16th Place Pool,Final
b,r,e,a,k
