Revolution 2017,Club - Mixed ,15,7,2017
Davis,CA,2017-07-15,2017-07-16
https://play.usaultimate.org/events/Revolution-2017/schedule/Mixed/Club-Mixed
Mischief,1
4,Nate Paymer
7,Chenxia Liu
36,Matthew Heffernan
b,r,e,a,k
Argo,19
teamInfo,,"San Francisco, California",,https://www.facebook.com/argoultimate/,https://twitter.com/argoultimate
02,Neil Butler
03,Amber Lombard
04,EMILY APPLEWHITE
05,Alexandra Taipale
08,Jiyeon Choi
09,JACOB SURPIN
10,Nick James
11,Mara Saltzman
14,Alyssa Sayavedra
15,Adah Shih
16,Zach Sabin
17,Tyana Ruiz
22,EDWARD PARSONS
24,Andrew Riggs
32,Christy Cheung
33,Brian Roach
34,Ben Weintraub
35,Joseph Schindler
44,Andrew Rodman
46,Michael West
48,Piotr Behr
52,Megan  Stock
73,Sarah Pihl
77,Sheneth Bell
99,Samuel Dreiman
b,r,e,a,k
Blackbird,2
teamInfo,,"San Francisco, California",,https://www.facebook.com/Blackbird-Ultimate-128109440599257,https://twitter.com/Blackbird_SF
0,Laura Moore
2,Corey Lee
3,Castle Sinicrope
5,Thomas Hendrickson
7,Malina Wiebe
9,Adam Farren
10,Krisztina Finn
12,Alexandra Hasan
13,Sally Mimms
16,Vincenzo Vitiello
17,William Finn
17,John Kolb
19,Ryo Kawaoka
20,Bree Cahn
21,ADAM SCOW
28,Sheeva Slovan
29,VY Chow
30,Megan Schoellhamer
31,Seth Reinhardt
40,Mac Taylor
51,Ryan Scribner
64,Jamie Quella
b,r,e,a,k
BoyShe,11
teamInfo,,"Boise, Idaho",,,
0,Kyle Oldemeyer
1,Chase Mahan
2,Justin Solace
3,Amy Norris
4,MAIA PINSKY
6,Ryan Van Hook
8,Levi Archuleta
9,Thayne Casper
10,Anthony Gossard
11,Brittany Ward
12,Suzie Walter
14,Camron Newton
21,Kelsey Breen
24,Sarah Staller
26,Andrea Kuenzli
29,Jack Kingsley
30,Vespera Aragon
31,Joe Warnecke
34,Reid Spain-Strombom
36,Kevin Farrell
38,Cori Bigham
58,Shannon Montaño
77,Amanda Porter
b,r,e,a,k
Firefly,17
teamInfo,,"San Francisco, California",,facebook.com/fireflydisc,
0,Abigail Karp
0,Amanda Chan
0,COLIN HOY
0,Dana Manochi
0,Andrew Galiger
0,Erica Messner
0,Charles Stratton
0,Jon Schlosberg
0,Kaitlin Marin
0,Paul Kantlehner
0,Peter Zellman
0,Pradeep Nair
0,Sarah Tenpas
5,Suk lyn Lim
6,Bethany Angeliu
9,Rob Ross
10,JAMES O'DONOGHUE
11,Timothy Reilly
16,Sean Hyslop
17,Noelle Nelson
17,Chris Godek
21,FINLEY BABA
27,Alice Walton
44,Shane Tracy
b,r,e,a,k
Mimosas,20
teamInfo,,"Berkeley, California",,https://www.facebook.com/pg/Mimosasultimate/,
0,Angus Kitchell
0,Anusha Nagabandi
0,Sky Poindexter
0,Ashwin Vaidyanathan
0,Emily Cummins
0,Garrett Simpson
0,SJ Kim
0,Lisa Hyndman
0,Max Fuller
0,Megan Nguyen
0,Michael Rowland
0,Sienna Romero
0,Tristan You
1,James Yang
3,Kyra Pesso
5,Valerie Hsieh
8,Anton William Cwik
11,Cynthia Yee
17,Alison Mathews
24,Ian Brown
24,Eric Hytönen
29,Andre Mansour
47,Rafael Castro
66,Stephen Cockerill
69,Jaskaran Singh
77,Matthew Wong
b,r,e,a,k
Polar Bears,3
teamInfo,,"Berkeley, California",http://www.pbrawr.com,https://www.facebook.com/pbrawr/,https://twitter.com/pbrawr
coaches,Bob Madden
2,Molly Munson
03,Ryan Takayama
05,Aaron Shi
06,Cheryl Hsu
07,James Sheridan
08,Anna Liu
09,Gregory Marliave
12,Ziyue Chen
14,Kate Schlag
15,Nick Tolfa
16,Krista Takayama
18,Nicholas Alexander
19,Christopher Cogswell
20,Sean Liston
21,Dulcy Docken
22,Andrew Ouyang
24,Joe Thompson
25,Daniel Naruo
27,Aaron Hom
29,Amanda Meroux
30,Jeremy Kharrazi
33,Ian Sweeney
36,Sara Nolan
44,Marlena Hartman-Filson
52,Samantha Applegate
82,An-Chi Tsou
88,Linh Hoang
b,r,e,a,k
American Barbecue,10
teamInfo,,"San Francisco, California",www.abbq.org,,
0,Brandon Kwock
0,Cory Fauver
0,Alex Pien
0,Alison Main
0,Elise Bruguera
0,Kevin Manss
0,LYUDA GRIGORIEVA
0,Mackensie Smith
0,MAGGIE  KENNY
0,Matthew Kissmann
0,Molica Anderson
0,Nicholas Weiss
0,Noel Arsenault
0,Philip Chang
0,Sophie Lu
0,Teresa Feng
0,THOMAS LASSETTER
0,Isabel Clayter
2,Damian Park
8,Grant Lin
10,Donnya Ajdari
12,Benjamin Scharfstein
16,Jason Seidler
17,Jacob Goyne
33,Hannah Dennis
46,Owen Bell
99,Maxwell Friedmann
b,r,e,a,k
Family Style,16
teamInfo,,"Los Angeles, California",,https://www.facebook.com/FamilyStyleUltimate,https://twitter.com/playfamilystyle
0,Aimee Gerold
0,Charlotte Zhu
0,DANIELLE LEE
0,Eric Owens
0,Erika Ye
0,Jake Rifkin
0,Jason Lee
0,JORDAN MCCORMACK
0,Joseph Bobman
0,KRISTI LIN
0,Sebastian Chen
0,Suzanne Iwanicki
0,Thomas Lin
0,Zachary Sternberger
1,Paul Kempler
3,ALEX CHIN
4,Juan Ocampo
8,Bryce Edwards
10,Brian Leung
12,Josie Ma
19,Andrew Bustle
24,James Chianglin
40,Veronica Yee
42,NOAH TOMASZEWSKI
46,Sarah Kibler
66,Jennifer Norris
b,r,e,a,k
Glitter Bomb,21
teamInfo,,"San Francisco , California",,https://www.facebook.com/GlitterBombUltimate/,
4,Phillip Young
5,Matthew Burton
8,JASON MILLARD
9,MELINDA LEE
00,Eli Menaker
01,Bryant Vergara
02,david livnat
03,Dagney Cooke
07,Patrick Adelstein
11,KAILA POLLART
13,Jeff Siddiqui
15,Audrey De Los Reyes
16,Jeanette Clark
17,Robb Prescott
18,Nicole Neumiller
21,Nicole Love
24,Robert Mills
33,Eric Lauterbach
42,DANIEL SHANKER
49,KAREN BROHARD
b,r,e,a,k
7 Figures,4
teamInfo,,"Los Angeles, California",http://7figuresultimate.com/,https://www.facebook.com/7figuresultimate/,https://twitter.com/la7figures
0,Myisha Tarvin
01,Peter Zhou
02,Daniel Oettinger
04,Gary Molano
05,Joseph Forbes
06,Peter Osseward
08,Alistair McIntyre
10,Emma Frankel
11,Julia Salvacion
12,Amy Halvorsen
14,Lu Wang
15,KATHRYN FOWLER
16,Rachel Chang
17,Sheila Robles
19,Garrett Yung
22,Christopher Feeney
23,Connie Wang
27,Daniel Kwok
29,Sam Cook
33,Adam Bronstein
35,Alison Forbes
45,Michael Sylvester
50,Peter Van Pelt
62,Leanne Go
64,Nathan Warden
66,Joy Kang
88,Alisha Stoun
b,r,e,a,k
Alchemy,9
teamInfo,,"San Francisco, California",,https://www.facebook.com/alchemyultimate,
0,Kate Wagner
00,Jenna Krugler
00,Charlie Capron
00,Melissa Rauch
00,Nadine Levin
00,Nami Sumida
00,NATHAN HALL
00,Rebecca Plotnick
04,Elizabeth Leon
06,Kristina Geddert
07,Emily Paris
09,Eric Shaw
13,Brett Naul
15,Jordan Richmond
16,Thomas Konogeris
20,Eric Hartge
21,Jesse White
26,Daniel Keller
27,CHASE BOWMAN
34,Alex Albright
44,Alexander Lloyd-Evans
51,Brandon Tomlin
54,Nick Riker
64,Chloe Carothers-Liske
80,Nick Petru
99,Amanda Karakoudas
b,r,e,a,k
Sweet Action,15
teamInfo,,"Denver, Colorado",,https://www.facebook.com/SweetActionUltimate,
0,Christopher Drew
0,Emma Boyd
0,Howard Hsu
0,Ian Whitman
0,Melissa Hovanes
0,Patrick Ellsworth
0,Rachael Reddin
1,Andrew Muller
6,Nathan Baker
8,Alicia Stillwell
10,Jake Koplen
13,Adriana Prieto
14,Matt Slowinski
20,Matt Cornish
21,Bradley Cochi
21,Connor Otheim
23,Alexander Abbott
24,Kevin Hamilton
26,Cecily Leahy
33,Lauren Picard
45,Nikki Roth
53,Sarah Nurmi
b,r,e,a,k
DR,22
teamInfo,,"Berkeley, California",,,
0,AMY LEMESSURIER
0,Cong (Carl) Ma
0,Erica Pool
0,Jacob Maynard
0,Jennifer Nan
0,JIE TANG
0,Matthew Sheehan
1,Halleh Balch
2,Katelyn Barrett
2,Marianne Olson
3,Andrew Racle
5,Amy Chou
9,Joshua Rickert
12,Kim Laflin
15,ASHLEIGH WARD
16,Danielle Ngo
21,YASYA GORETSKY
24,David Whiteneck
28,Victoria Kaasa
28,Phillip Hailey
29,Maxwell Jacobs
80,Scott Beamer
89,Kimberly Long
b,r,e,a,k
BW Ultimate,8
teamInfo,,"Sunnyvale, California",,https://www.facebook.com/BW.Ultimate,https://www.twitter.com/bw_ultimate
0,Benjamin Petroski
0,Benjamin Levinsky
0,Cooper Joy
0,Hidemasa Kato
0,Jacob Lohman
0,Jake Tozer
0,Keiko Montenegro
0,Max Herrmannsfeldt
0,Melissa Slaughter
0,Shailie Thakkar
0,Stephane Carlisle
0,Veronica Chan
0,Yvonne Cheng
2,Amy Chang
2,Adam Brown
7,Michelle Slaughter
13,Chris Farina
17,Nicholas Raisch
18,Sayako Uchida
23,Lauren Carden
24,Alireza Mirafzal
27,Sunny Saini
36,Pin-Wen Wang
43,Bettina Chen
60,Xia Liu
b,r,e,a,k
Bozos,5
teamInfo,,"Bozeman, Montana",http://bozemanultimate.ultimatecentral.com/,https://www.facebook.com/pages/The-Bozos/158268574323919?ref=br_tf,
0,ADAM RESTAD
0,Alexis Bressler
0,Alison Shannon-Lier
0,Brian Mitchell
0,BRIAN NOON
0,Emily Smith-Wilson
0,Ethan Yourd
0,Genesea Meha
0,Andrew Shanafelt
0,Nicholas Patterson
0,Shaela Wallen
9,Matt Konen
10,Kyla Crisp
14,Kean Mills
15,LOGAN EATON
17,Justin Myhre
23,Elysia Crockett
24,Craig Harkey
29,Zach Baumann
40,Geoffrey Zath
42,Thomas Walz
45,THOMAS BARRY
47,Juliana Williams
b,r,e,a,k
Pegasus,14
teamInfo,,"Seattle, Washington",,https://www.facebook.com/peggyultimate/,@PegasusUltimate
0,Alex Mathison
0,ALEXANDER PARDES
0,Andrew Bunn
0,Andrew Young
0,Anna Iglitzin
0,Bailey Bonaci
0,Colin Buchanan
0,Ian Buchanan
0,Jonathan Collins
0,Kristina Banner
0,Samuel Stearns
0,Taesan Hose
0,William Whitwell Bailey
1,COLIN FROINES
3,Matthew Bricker-Mounts
5,Eric Soria-Patrick
8,Emily Zukowski
10,Kent Wu
14,Mohammud Tilmo
14,TIANA WU
17,Meaghan Rose Costello
21,Sydney Arndorfer
31,Autumn Tocchi
42,John Quandt
b,r,e,a,k
Buckwild,23
teamInfo,,"Sacramento, California",,https://www.facebook.com/buckwildultimate,https://twitter.com/buckwildulti
0,Alex McCurdy
0,Celeste Havener
0,Danielle Murray
0,DAVID SCHUSTER
0,Thomas Murray
0,Zach Weiss
2,ZACHARY DILLOW
3,Michael Corley
6,Nick Shepard
7,Connor Levesque
8,JANELLE RILEY
9,Nina Vollmer
9,Jonathan Martindill
10,Valorie Smart
11,John Jackson
12,Jaycie Speck
18,Michael Suey
19,Annie Mills
21,Brendan Reed
22,Shane Harris
28,Megan Richter
33,Lucy Campbell
33,Jeffro Valeros
37,Molly Hallweaver
49,Rylan Mattesich
b,r,e,a,k
Birdfruit,6
teamInfo,,"Seattle, Washington",http://birdfruit.weebly.com/,https://facebook.com/seattlebirdfruit,https://twitter.com/bird_fruit
0,Peter Geertz-Larson
01,Sam Landesberg
02,Luke Jesperson
03,Martha Russell
05,Christian Brink
06,Laura Doepker
07,Nicole Bayard
10,Jeff Gayle
11,Laura Manson
14,Sam Pickel
15,Samuel Dinning
17,Gavin McKibben
21,Dylan Harrington
22,Lacy Clark
23,Kyle Ord
24,Andrew Lynch
31,Natalie Jamerson
33,Spencer Sheridan
40,Ky Lewis IV
41,Clay Dewey-Valentine
47,Walker Bohannan
67,Kelley Hall
69,Lillian Bailey
70,Tamara Hass
88,Rebecca Leong
89,Sophia Scofield-Selby
b,r,e,a,k
Platypi,13
teamInfo,,"Chico, California",,,
0,Alyssa Rodriguez
0,Amanda Costa
0,Andrew Matheson
0,Austin Barden
0,Derek Miller
0,Elizabeth Buhler
0,HANNAH DILLARD
0,Jess Kohls
0,Katie Daly
0,Kyle Harper
0,Loren Bloom
0,Michael Beeman
0,Nicholas Jensen
0,Nicholas Dahms
0,Nick McConnell
0,Russell Helms
0,Stephen Nacis
0,Tyler Grenier
2,BRIAN BEEMAN
7,Marié Weverka
13,Henry Whitney
14,Madison Grenier
15,Genevieve Millin
b,r,e,a,k
Classy,7
teamInfo,,"San Francisco, California",,https://www.facebook.com/classyultimate/,
0,Ian Cutler
0,Joseph Bryan
0,Josh Mitts
0,KATRINA SCHWARTZ
0,Matthew Rubashkin
0,Melissa Hassler
0,Melissa Skevington
0,Michael Denevan
0,Andrew Koerner
0,Angela Xiong
0,Cappy Pitts
0,Charlie Hsu
0,Claudia Vasquez
0,Nicholas Davis
0,Nicolas Sayavedra
0,Peter Bonanno
0,Sam Poppe
0,Dhwani Shah
0,Eda Altiok
0,Zachary Bruno
0,Zhimin Xie
9,"Dana ""Zuul"" Nelson"
37,Frances Hamkins-Indik
55,Tyler Condit
64,Michael McGuirk
b,r,e,a,k
Instant Karma,24
teamInfo,,"Tucson, Arizona",,,
coaches,Juan Castro,Joseph Wu
0,Holt Newton
0,JAMIE ROWAN
0,Jordan Harn
0,Joseph Wu
0,Juan Castro
0,Laura Morehouse
0,Lauren Pisani
0,Madeline Maller
0,Nicholas Arnaud
0,Timothy Wood
0,Trevor Smith
2,Colleen Nakanishi
3,James Weinstein
9,Annie Wilson
10,Caroline Riley Winters
10,Christopher Metz
17,Eric Eia
21,Brendon Hudnell
80,Ken Calello
b,r,e,a,k
Cutthroat,29
teamInfo,,"Reno, Nevada",,,https://twitter.com/cutthroatulti
0,Becca Reighard
0,Neicy Sandelin
0,Rebecca Mills
1,Daniel Ortiz
2,R. Miguel Gonzales
2,Tessa Behnke
3,Logan Greenwood
4,Pete Marshall
5,Gabriel Somoza
6,JENNIFER HSUEH
7,Warren Kinson
9,Thomas Fiock
10,Ryley Hill
13,Brent Moore
14,Robert Eardley
17,Trevor Colton
18,Andrew Raynor
21,Kathleen Mills
22,Josh Krieger
27,Morgan Greenwood
29,John Whiting
34,Monica Arienzo
36,Jenna Weiner
45,Michael Colton
65,Eric Rosenfeld
71,Ryan Polka
b,r,e,a,k
Robot,25
teamInfo,,"Santa Barbara, California",,,
0,Amanda Magnuson
0,Andrew Kirchhoff
0,Angela Dong
0,Benjamin LaRoque
0,Christina Klein
0,Dana Patterson
0,Jack Zhang
0,Kalin Hanson
0,Kimberly Schlesinger
0,Neil Pallaver
0,Stephanie Karba
0,Tiana Rangchi
12,Trung Pham
19,Ann Lee
24,Jonathan Chianglin
b,r,e,a,k
Absolute Zero,28
teamInfo,,"Santa Clara, California",,https://www.facebook.com/absolutezeroultimate/?fref=ts,
0,Derek Innes
02,Candace Adelberg
03,Jocelyn Tran
06,Bryan Dang
07,Angela Louh
08,Jonathan Brand
09,Chris Muthig
10,Maria Dumanis
11,Dane Kornasiewicz
12,Jade Bedley
13,BINH TRAN
14,Daniel Krass
17,Marie Muehe
18,Iris Jiang
21,Troy Campbell
22,Sale Rhodes
24,Christopher Hocutt
27,ARIC BICKEL
30,Rachel Roberts
32,Dennis Clement
33,ELLIS BEIER
40,Stephen Guerin
42,Steve Mahoney
69,Nina Horowitz
91,J Ishida
92,HELEN YUAN
98,Emily Loo
b,r,e,a,k
Feral Cows,32
teamInfo,,"Palo Alto, California",feralcows.org,,
0,Sarah Master
01,Ban Kawas
02,Garrett Silski
03,Richard Kim
05,Michael Hotard
07,Titi Doan
08,Albert Liu
10,Jamie Kalb
11,Stephen Chait
12,Jennifer Xia
14,Melinda Wright
17,Neil Chandra
19,Jennifer Wei
20,Julia Huang
21,Jacob Steinhardt
22,Zoe Zaorski
24,Stephanie Chow
25,Alexander Shim
30,Aruna Gomatam
32,Michael Chen
41,Tim Naumovitz
42,Emeric Bisbee
49,Daniel Jeng
65,Tom Nolan
77,Mauricio Bell'Albero
92,Sam Levenberg
99,Delphine Wartelle
b,r,e,a,k
AC Bandits,27
teamInfo,,"Oakland, California",,https://www.facebook.com/acbandits/,
0,Alexis Whitaker
0,Christina Casler
0,Gabrielle Santa-Donato
0,Jenny Wang
0,Jeremy Shiman
0,Joseph Norat
0,Laurel Estes
0,Peter Nachbaur
0,Saadia Massarano
2,Diana Zhang
7,Samuel Miles
7,Jonathan Goldsmith
8,Reilly Brock
9,Tiffany Bucher
13,Jason Estrada
30,Aaron Gemmell
37,Seamus Burpee
81,J Tyler Walker
82,Malcolm Deck
84,Alison Haddad
b,r,e,a,k
Oh My!,30
teamInfo,,"Portland, Oregon",,https://www.facebook.com/ohmyultimate/,
0,Aaron Ho
0,Colleen Scott
0,Edward Titmus
0,Ellen Field
0,Ellen Kalenscher
0,Evan Burrell
0,Huy Bui
0,JED RENDLEMAN
0,Elizabeth Kisch
0,Loyall Harris
0,Mike Armstrong
0,Nathaniel Hobesh
0,RAJU ROLERU
0,Sara Spring
21,David Levcovitz
23,Moira Gion
28,Brandy Turcotte
88,Eric Mooney
b,r,e,a,k
Bulleit Train,26
teamInfo,,"Seattle, Washington",,,https://twitter.com/BulleitTrain
coaches,Samantha Pitman
0,Sachie Hayakawa
00,Michael Ezzo
01,Mary Strehl
02,DANNY BROUDY
06,Benjamin Ardel
07,Allen Rishel
09,Iris Lippert
11,Mangpo Phothilimthana
12,Peter Glennon
20,NASTASSYA WEST
22,Jason Hoffman
24,RYAN MORRIS
33,Kesin Neff
37,Brian Le
42,Chauncey Holland
57,Lena Kuchera
62,Erik Schmidt
88,Erika Keim
99,Alicia Kellogg
b,r,e,a,k
Hot Stix,31
teamInfo,,"San Francisco, California",,https://www.facebook.com/HotStixUltimate/,
0,Cody Cook
0,Emmy Yang
0,James Gallerani Jr
0,Julia Pretsfelder
0,KEVIN FREDRICKSON
0,Kirthi Gomatam
0,Melissa Glass
0,Stefan Kirk
0,Tara Fussell
2,Colan Dray
4,P. N. Raju
13,Frederick Lough
13,Calvin McPhail-Snyder
17,Matthew Burkert
34,Isaac Bortman
47,Eric Dodds
80,Thomas Sorensen
83,John Moore
b,r,e,a,k
s,t,a,g,e,s
pools,Mixed Division 1 Pool Play
pool,Pool A
Mischief,Argo,13,0,"07/15/2017, 07:00",Pool A,Final
Donuts,Lawn Patrol,13,6,"07/15/2017, 07:00",Pool A,Final
Mischief,Lawn Patrol,13,4,"07/15/2017, 08:20",Pool A,Final
Donuts,Argo,10,7,"07/15/2017, 08:20",Pool A,Final
Mischief,Donuts,12,7,"07/15/2017, 09:40",Pool A,Final
Lawn Patrol,Argo,10,7,"07/15/2017, 09:40",Pool A,Final
pool,Pool B
Blackbird,Mimosas,13,5,"07/15/2017, 07:00",Pool B,Final
BoyShe,Firefly,10,8,"07/15/2017, 07:00",Pool B,Final
Blackbird,Firefly,11,2,"07/15/2017, 08:20",Pool B,Final
BoyShe,Mimosas,11,7,"07/15/2017, 08:20",Pool B,Final
Blackbird,BoyShe,11,8,"07/15/2017, 09:40",Pool B,Final
Firefly,Mimosas,10,8,"07/15/2017, 09:40",Pool B,Final
pool,Pool C
Polar Bears,Glitter Bomb,13,0,"07/15/2017, 07:00",Pool C,Final
American Barbecue,Family Style,12,5,"07/15/2017, 07:00",Pool C,Final
Polar Bears,Family Style,12,8,"07/15/2017, 08:20",Pool C,Final
American Barbecue,Glitter Bomb,13,4,"07/15/2017, 08:20",Pool C,Final
Polar Bears,American Barbecue,13,6,"07/15/2017, 09:40",Pool C,Final
Family Style,Glitter Bomb,12,5,"07/15/2017, 09:40",Pool C,Final
pool,Pool D
7 Figures,DR,12,2,"07/15/2017, 07:00",Pool D,Final
Alchemy,Sweet Action,11,10,"07/15/2017, 07:00",Pool D,Final
7 Figures,Sweet Action,13,1,"07/15/2017, 08:20",Pool D,Final
Alchemy,DR,13,5,"07/15/2017, 08:20",Pool D,Final
7 Figures,Alchemy,11,7,"07/15/2017, 11:00",Pool D,Final
Sweet Action,DR,10,8,"07/15/2017, 11:00",Pool D,Final
pool,Pool E
Bozos,Buckwild,11,10,"07/15/2017, 07:00",Pool E,Final
BW Ultimate,Pegasus,9,8,"07/15/2017, 07:00",Pool E,Final
Bozos,Pegasus,10,6,"07/15/2017, 08:20",Pool E,Final
BW Ultimate,Buckwild,10,8,"07/15/2017, 08:20",Pool E,Final
Bozos,BW Ultimate,9,10,"07/15/2017, 09:40",Pool E,Final
Pegasus,Buckwild,10,7,"07/15/2017, 09:40",Pool E,Final
pool,Pool F
Birdfruit,Instant Karma,13,0,"07/15/2017, 07:00",Pool F,Final
Birdfruit,Platypi,13,4,"07/15/2017, 08:20",Pool F,Final
Classy,Instant Karma,12,6,"07/15/2017, 08:20",Pool F,Final
Birdfruit,Classy,11,8,"07/15/2017, 09:40",Pool F,Final
Platypi,Instant Karma,11,6,"07/15/2017, 09:40",Pool F,Final
Classy,Platypi,5,8,"07/15/2017, 11:00",Pool F,Final
b,r,e,a,k
pools,Mixed Division 2 Pool Play
pool,Pool G
Robot,Feral Cows,11,5,"07/15/2017, 11:00",Pool G,Final
Absolute Zero,Cutthroat,6,9,"07/15/2017, 11:00",Pool G,Final
Robot,Cutthroat,6,7,"07/15/2017, 12:20",Pool G,Final
Absolute Zero,Feral Cows,10,7,"07/15/2017, 12:20",Pool G,Final
Robot,Absolute Zero,10,8,"07/15/2017, 13:40",Pool G,Final
Cutthroat,Feral Cows,13,6,"07/15/2017, 13:40",Pool G,Final
pool,Pool H
Bulleit Train,Hot Stix,9,5,"07/15/2017, 11:00",Pool H,Final
AC Bandits,Oh My!,12,6,"07/15/2017, 11:00",Pool H,Final
Bulleit Train,Oh My!,7,8,"07/15/2017, 12:20",Pool H,Final
AC Bandits,Hot Stix,10,6,"07/15/2017, 12:20",Pool H,Final
Bulleit Train,AC Bandits,4,13,"07/15/2017, 13:40",Pool H,Final
Oh My!,Hot Stix,13,2,"07/15/2017, 13:40",Pool H,Final
b,r,e,a,k
clusters,Division 1 Crossovers
cluster,Division 1 P2 vs. P3 Crossovers
BoyShe,Pegasus,11,6,"07/15/2017, 11:00",,Final
Bozos,Firefly,11,4,"07/15/2017, 11:00",,Final
Platypi,Lawn Patrol,8,9,"07/15/2017, 12:20",,Final
Donuts,Classy,10,8,"07/15/2017, 12:20",,Final
Alchemy,Family Style,6,10,"07/15/2017, 12:20",,Final
American Barbecue,Sweet Action,13,1,"07/15/2017, 12:20",,Final
cluster,Division 1 P1 Crossovers
Blackbird,Polar Bears,9,10,"07/15/2017, 11:00",,Final
BW Ultimate,Birdfruit,7,12,"07/15/2017, 12:20",,Final
Mischief,7 Figures,9,7,"07/15/2017, 12:20",,Final
b,r,e,a,k
brackets,Mixed Division 2 Bracket
bracket,Mixed Division 2 Championship Bracket
Cutthroat,Robot,10,11,"07/16/2017, 11:15",Mixed Division 2 Finals,Final
Cutthroat,Absolute Zero,11,9,"07/16/2017, 08:25",MD 2 Semis,Final
Robot,AC Bandits,11,8,"07/16/2017, 08:25",MD 2 Semis,Final
Cutthroat,Hot Stix,13,2,"07/16/2017, 07:00",Mixed Division 2 Quarters,Final
Oh My!,Absolute Zero,6,13,"07/16/2017, 07:00",Mixed Division 2 Quarters,Final
Robot,Bulleit Train,11,6,"07/16/2017, 07:00",Mixed Division 2 Quarters,Final
AC Bandits,Feral Cows,10,9,"07/16/2017, 07:00",Mixed Division 2 Quarters,Final
bracket,Mixed Division 2 5th Place Bracket
Oh My!,Bulleit Train,11,10,"07/16/2017, 11:15",Mixed Division 2 5/6 Place Finals,Final
Oh My!,Hot Stix,13,5,"07/16/2017, 08:25",Mixed Division 2 5th Place Semis,Final
Feral Cows,Bulleit Train,7,11,"07/16/2017, 08:25",Mixed Division 2 5th Place Semis,Final
bracket,Mixed Division 2 7/8 Place Game
Feral Cows,Hot Stix,13,8,"07/16/2017, 11:15",Mixed Division 2 7/8 Place Game,Final
bracket,Mixed Division 2 3/4 Place Game
AC Bandits,Absolute Zero,13,6,"07/16/2017, 11:15",Mixed Division 2 3/4 Place Game,Final
b,r,e,a,k
brackets,MD 1 Championship
bracket,MD 1 Championship
Mischief,Polar Bears,8,7,"07/16/2017, 11:15",MD 1 Finals,Final
7 Figures,Mischief,6,9,"07/16/2017, 10:00",MD 1 Semis,Final
Polar Bears,Blackbird,11,8,"07/16/2017, 10:00",MD 1 Semis,Final
Birdfruit,7 Figures,8,9,"07/16/2017, 08:45",MD 1 Quarters,Final
Bozos,Mischief,5,13,"07/16/2017, 08:45",MD 1 Quarters,Final
Polar Bears,Lawn Patrol,12,6,"07/16/2017, 08:45",MD 1 Quarters,Final
Blackbird,BoyShe,10,9,"07/16/2017, 08:45",MD 1 Quarters,Final
Birdfruit,Donuts,10,7,"07/16/2017, 07:30",MD 1 Pre Quarters,Final
Lawn Patrol,American Barbecue,10,8,"07/16/2017, 07:30",MD 1 Pre Quarters,Final
BW Ultimate,BoyShe,8,11,"07/16/2017, 07:30",MD 1 Pre Quarters,Final
Bozos,Family Style,10,6,"07/16/2017, 07:30",MD 1 Pre Quarters,Final
bracket,Mixed Division 1 3/4 Place Game
Blackbird,7 Figures,8,6,"07/16/2017, 11:15",Mixed Division 1 3/4 Place Game,Final
bracket,Mixed Division 1 Championship Bracket 5th Place Bracket
BoyShe,Birdfruit,7,8,"07/16/2017, 11:15",Mixed Division 1 5th Place Finals,Final
BoyShe,Lawn Patrol,12,4,"07/16/2017, 09:50",Mixed Division 1 5th Place Semis,Final
