PB&J 2017,Club - Men ,29,7,2017
College Station,TX,2017-07-29,2017-07-30
https://play.usaultimate.org/events/PBJ-2017/schedule/Men/Club-Men/
Texas Two Step,7
99,Jack Hornbuckle
b,r,e,a,k
Riverside Ultimate,4
teamInfo,,"Austin, Texas",http://riversideultimate.org,,https://twitter.com/riversideulti
0,Willy Goal
06,Matthew Johnson
07,Travis Wright
09,Zac Chandonnet
10,Garrett Wilson
11,Juan Valle
13,Robert Hausmann
16,Russell Yang
19,Joe Emery
21,Rick Artus
22,Jack Ostrand
26,Jeffrey Burris
31,Paul Lowe
32,Louis Fausak
37,Michael Clark
44,Ethan Banner
47,Johnathan Roniger
54,Stephen Mckinney
55,CASEY GUINN
71,Eric Brodbeck
76,Sean Leeper
b,r,e,a,k
Deaf Fruit,6
teamInfo,,"Lubbock, Texas",,,
0,Benjamin Hodge
0,Keith Urbanski
0,Matthew Speller
0,Montrell Pyron
0,Nathan Poese
0,Ryan Stomp
0,William Fairhurst
0,Yifan Hao
1,Dillon Rathman
3,Michael Paniagua
5,Payton Ardoin
6,John Aucar
9,TREY KEESEE
12,Jason Miller
15,Jessica Hartzer
21,Caleb Schnatz
25,Ryan Welch
35,Alexander Brewster
37,Lucas Meade
44,Junaid Ramzan
49,Michael Wode
69,Ricky Stanfield
71,Brandon Fryer
78,Jace Drennan
81,Davis Samuel
b,r,e,a,k
Rawhide,10
teamInfo,,"Tulsa, Oklahoma",,,
0,Gabriel Sanchez
0,John Woldum
0,Justin Edwards
0,Li Ya Cheng
0,Logan Gilstrap
0,Benjamin Howard
0,David Sanford
0,Tyler Helt
6,Merl Prichard
14,Robert Housh
19,Detrick Bombarger
33,Marcus Smith
96,Austin Gould
b,r,e,a,k
Dallas United: Neato Banditos,15
teamInfo,,"Dallas, Texas",,,
0,Brian Albracht
0,Bryant  Lowry
0,Carlton Kelley
0,Alexander Bacon
0,Daniel Pappas
0,David Lowell
0,Gabriel Valdes
0,Garrett Fish
0,Dillon Cox
0,James Paterson
0,Namoo Han
0,Tim Thimmaiah  Baleyada Ashok 
0,Tyler Shulman
5,Evan Garner
5,Christian Cortes
6,Donovan Bankett
9,Benjamin Meaders
15,Corey Gendron
15,Mark Hill
23,Julian Reyna
29,Charles McNeil
55,Frederick Christen
77,Ian Ambrose
87,Josh Venter
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Rougaroux,Texas Swing,13,2,"07/29/2017, 08:00",Pool A,Final
Austin Amigos,DTH,9,10,"07/29/2017, 08:00",Pool A,Final
Rougaroux,Austin Amigos,10,5,"07/29/2017, 09:30",Pool A,Final
Texas Two Step,DTH,12,9,"07/29/2017, 09:30",Pool A,Final
DTH,Texas Swing,13,2,"07/29/2017, 11:00",Pool A,Final
Texas Two Step,Austin Amigos,11,9,"07/29/2017, 11:00",Pool A,Final
Rougaroux,DTH,11,9,"07/29/2017, 12:30",Pool A,Final
Texas Two Step,Texas Swing,13,4,"07/29/2017, 12:30",Pool A,Final
Rougaroux,Texas Two Step,9,10,"07/29/2017, 14:00",Pool A,Final
Austin Amigos,Texas Swing,13,5,"07/29/2017, 14:00",Pool A,Final
pool,Pool B
Singlewide,SA Spares,13,3,"07/29/2017, 08:00",Pool B,Final
Premium,The Bucket Brigade,13,5,"07/29/2017, 08:00",Pool B,Final
Singlewide,Premium,12,7,"07/29/2017, 09:30",Pool B,Final
Spring Creek Ascension,The Bucket Brigade,13,7,"07/29/2017, 09:30",Pool B,Final
The Bucket Brigade,SA Spares,9,13,"07/29/2017, 11:00",Pool B,Final
Spring Creek Ascension,Premium,10,9,"07/29/2017, 11:00",Pool B,Final
Singlewide,The Bucket Brigade,13,3,"07/29/2017, 12:30",Pool B,Final
Spring Creek Ascension,SA Spares,12,10,"07/29/2017, 12:30",Pool B,Final
Singlewide,Spring Creek Ascension,13,3,"07/29/2017, 14:00",Pool B,Final
Premium,SA Spares,13,5,"07/29/2017, 14:00",Pool B,Final
pool,Pool C
Supercell,Dallas United: Outlaws,10,9,"07/29/2017, 08:00",Pool C,Final
Papa Bear,Riverside Messengers,13,4,"07/29/2017, 08:00",Pool C,Final
Supercell,Riverside Messengers,11,2,"07/29/2017, 09:30",Pool C,Final
Papa Bear,Dallas United: Outlaws,13,3,"07/29/2017, 09:30",Pool C,Final
Supercell,Papa Bear,10,12,"07/29/2017, 11:00",Pool C,Final
Dallas United: Outlaws,Riverside Messengers,11,4,"07/29/2017, 11:00",Pool C,Final
pool,Pool D
Riverside Ultimate,Rawhide,13,4,"07/29/2017, 08:00",Pool D,Final
Deaf Fruit,Dallas United: Neato Banditos,12,11,"07/29/2017, 08:00",Pool D,Final
Riverside Ultimate,Dallas United: Neato Banditos,12,7,"07/29/2017, 09:30",Pool D,Final
Deaf Fruit,Rawhide,12,11,"07/29/2017, 09:30",Pool D,Final
Riverside Ultimate,Deaf Fruit,13,5,"07/29/2017, 11:00",Pool D,Final
Rawhide,Dallas United: Neato Banditos,12,7,"07/29/2017, 11:00",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place Bracket
Texas Two Step,Singlewide,8,10,"07/30/2017, 12:30",1st Place,Final
Texas Two Step,Riverside Ultimate,10,8,"07/30/2017, 11:00",Semis,Final
Papa Bear,Singlewide,6,13,"07/30/2017, 11:00",Semis,Final
Texas Two Step,Spring Creek Ascension,13,3,"07/30/2017, 09:30",Quarters,Final
Riverside Ultimate,Premium,13,8,"07/30/2017, 09:30",Quarters,Final
Papa Bear,DTH,13,6,"07/30/2017, 09:30",Quarters,Final
Singlewide,Rougaroux,8,7,"07/30/2017, 09:30",Quarters,Final
Spring Creek Ascension,Dallas United: Outlaws,11,9,"07/30/2017, 08:00",PreQuarters,Final
Supercell,Premium,9,11,"07/30/2017, 08:00",PreQuarters,Final
Deaf Fruit,DTH,7,13,"07/30/2017, 08:00",PreQuarters,Final
Rougaroux,Rawhide,13,4,"07/30/2017, 08:00",PreQuarters,Final
bracket,3rd Place Game
Riverside Ultimate,Papa Bear,11,8,"07/30/2017, 12:30",3rd Place,Final
bracket,5th Place Bracket
Premium,Rougaroux,7,10,"07/30/2017, 12:30",5th Place,Final
Spring Creek Ascension,Premium,8,12,"07/30/2017, 11:00",5th Semis,Final
DTH,Rougaroux,8,11,"07/30/2017, 11:00",5th Semis,Final
bracket,7th Place Game
Spring Creek Ascension,DTH,8,13,"07/30/2017, 12:30",7th Place,Final
bracket,9th Place Bracket
Supercell,Deaf Fruit,9,6,"07/30/2017, 11:00",9th Place,Final
Dallas United: Outlaws,Supercell,7,9,"07/30/2017, 09:30",9th Semis,Final
Deaf Fruit,Rawhide,10,8,"07/30/2017, 09:30",9th Semis,Final
bracket,11th Place Game
Dallas United: Outlaws,Rawhide,11,8,"07/30/2017, 11:00",11th Place,Final
b,r,e,a,k
brackets,Consolation Bracket
bracket,13th Place Bracket
Dallas United: Neato Banditos,SA Spares,13,6,"07/30/2017, 11:00",13th Place,Final
Austin Amigos,Dallas United: Neato Banditos,5,10,"07/30/2017, 09:30",13th Semis,Final
SA Spares,Riverside Messengers,10,6,"07/30/2017, 09:30",13th Semis,Final
Dallas United: Neato Banditos,The Bucket Brigade,11,9,"07/30/2017, 08:00",13th Quarters,Final
Riverside Messengers,Texas Swing,13,5,"07/30/2017, 08:00",13th Quarters,Final
bracket,15th Place Game
Austin Amigos,Riverside Messengers,11,4,"07/30/2017, 11:00",15th Place,Final
bracket,17th Place Game
The Bucket Brigade,Texas Swing,7,6,"07/30/2017, 09:30",17th Place,Final
b,r,e,a,k
clusters,C/D Crossover
cluster,Crossovers
Papa Bear,Rawhide,13,8,"07/29/2017, 12:30",,Final
Supercell,Dallas United: Neato Banditos,11,6,"07/29/2017, 12:30",,Final
Dallas United: Outlaws,Riverside Ultimate,3,13,"07/29/2017, 12:30",,Final
Riverside Messengers,Deaf Fruit,6,8,"07/29/2017, 12:30",,Final
b,r,e,a,k
