Heavyweights 2016,Club - Men ,23,7,2016
Loves Park,IL,2016-07-23,2016-07-24
https://play.usaultimate.org/events/Heavyweights-2016/schedule/Men/Club-Men/
Black Market,2
0,Scott Wenzel
0,TAYLOR DAVIS
0,Max Palzewicz
0,Nick Wismans
0,Benjamin Compton
3,Jay Kinzel
11,Jacob Scobey-Polacheck
12,Brian Benge
16,Troy Roberts
17,Drew Chapman
22,Alec Lenczner 
25,Sean Andryauskas
27,KIE DRISCOLL
49,Tim Posl
b,r,e,a,k
Mad Men,4
teamInfo,,"Madison, Wisconsin",,,https://twitter.com/MadMenUltimate
4,Nicholas Ladas
9,Peter Walker
00,Branavan Yogarajah
02,Tyler Williams
06,Gordon Peterson
07,Avery Johnson
09,Greg Maddox
10,John Stec
12,Sam Hebert
13,Ian Hahn
16,Rami Paust
17,Thomas Gallagher
18,Patrick Donovan
23,Sef van Kan
24,Andrew Everts
26,Simon Kuran
27,Elliot Mawby
29,David Yu
37,Jan Szmanda
41,Colin Sunde
43,Jeff Maskalunas
57,Austin Reif
86,Graeme Kernick
b,r,e,a,k
Schweingeist,21
teamInfo,,"Cincinnati, Ohio",,,
0,Brennan Kirkpatrick
0,Daniel Brissette
0,Timothy Hale
0,Daniel Latz
0,Joshua Fisher
0,Kyle Romard
0,Grant  Dinan
2,Nicholas Betsch
2,Alex Flamm
3,Elliot Skindzier
3,Justin Latz
4,Bryan Buechner
5,Sophainara Long
6,Ryan Adams
6,Ben Krumpelman
18,Kevin Parker
24,Michael Verma
30,Zachary Ford
33,Liam Holthaus
41,Adam Turner
43,Stephen Moore
43,Stephen Kenny
49,Tanner Segbers
69,Connor Messmore
77,Samuel Kratt
91,Joe White
b,r,e,a,k
Sundowners,5
teamInfo,,"Santa Barbara, California",,https://www.facebook.com/sbsundowners,https://twitter.com/sbsundowners
02,HAAKON ELLINGBOE
04,Victor Smith
08,Peter Raines
09,MARK EVANS
11,CALEB FERGUSON
12,Alexandre Kupelian
13,Stewart Gude
14,William Turner
24,Arthur Pan
25,Ian Ladner
27,Collin Gall
40,Brendan Marshall
74,Andrew Kirchhoff
87,Luke Tursick
88,Bailey Wu
90,Kevin Kirchhoff
b,r,e,a,k
houSE,12
teamInfo,,"Kenosha, Wisconsin",,,
3,Blake Kiefner
9,Donald James
00,Benjamin Tompkins
01,Caleb Brockmann
02,AUSTIN PATTY
04,Ethan Boesch
05,Joseph Vital
05,Shane Mueller
06,Nick Robinson
07,David Ashmore
10,Kyle Dreger
12,David Zickus
18,Mark Robinson
19,Karl Fauerbach
21,Tanner Morgan
27,Joshua Collins
34,Justin Brockmann
46,Kevin LeCaptain
47,Matthew Rodway
b,r,e,a,k
Spoiler,13
teamInfo,,"Ann Arbor, Michigan",,,https://twitter.com/SpoilerUltimate
0,Kenneth Debacker
0,Joe Krieger
0,BRIAN BROWN
0,Max Teener
0,Travis Compo
2,Justin Perticone
4,Jonathan Paruk
7,Jonathan Lee
8,Daniel Brown
13,Ryan Donnelly
17,Brendan McCann
17,Andrew Foldesi
18,David Innis
22,Nathan Adamski
25,Ryan Yergin
31,Scott Hetu
32,Cody Smith
47,Aakar Mehra
50,Ryan Ernst
88,Mark Whitton
b,r,e,a,k
Black Market III,20
teamInfo,,"Lombard, Illinois",,,
0,Sean Freeman
10,Jonathan Alton
11,Rene Quintana
21,Jonathan Yu
32,Jared Schueler
33,Ronald Hensler
35,Walter Jaskowiak
49,Quinn Foley
54,Juan Amador
56,Murray Chen
64,Bennett Bernardoni
67,John Bruehler
71,Emil Broemmelsiek
83,Drake Slater
93,Manan Kothari
99,Bill SooHoo
b,r,e,a,k
Illusion,6
teamInfo,,"Dubuque, Iowa",,,
00,Lucas Boyle
00,Robert Dennis
01,Eric Hart
02,Julian Gallo
03,IAN KOLB
04,Logan Grothus
05,Dillon Crowell
06,Kyle Palmolea
08,Nick Patrum
09,Kegan Wakefield
11,Robert Johnson
13,Payton Burken
14,JOSH PURMAN
15,Matthew Weber
18,Abraham Pepic
19,John Morton
22,Andrew Moore
28,Niko Beauchamp
30,Eric Koo
31,Thomas Jungbluth
33,Matt Axtell
37,Richard Higginbotham
43,Daniel Tarasi
55,Brad Wylam
77,Eric Shomo
91,Jonathan Beavers
97,Tanner Boyle
b,r,e,a,k
Chicago YCC U-19,14
teamInfo,,"Schiller Park, Illinois",,,
coaches,Andrew Neilsen,Michael Shiel
0,Bailey Blum
0,Jordan Ciccarone
0,Colin Macgregor
0,Kyle Krukowski
0,Matthew Kwon
0,Sam Jordan-Wood
0,JACOB SANFORD
2,Ben Sabourin
7,Benjamin Swiatek
10,Jacob Kaindl
12,Zander Leja
13,Reid Martin
18,Steven Tisinai
21,Cal Tornabene
24,John Chirayil
33,Ren Pretkelis
42,Maddox Hill
71,Dylan Power
99,Brandon Parr
b,r,e,a,k
Midnight Meat Train,11
teamInfo,,"Grand Rapids, Michigan",,,
0,Matt Leistra
0,Gabriel Anzivino
0,Kyle Spengler
0,Jared Monsma
0,COLIN SCHUURMAN
0,Sean Rohen
0,Tanner Schut
0,Austin Sroczynski
0,Mike Zaagman
0,Jarrett Skorup
0,Adam Koehler
0,Zachary Paradis
0,Henry Patterson
7,Don Gates
7,Tyler Mitchuson
10,Perry-David van Dillen
10,Gabe Quakkelaar
17,Max Bommarito
19,Luke Rynbrandt
21,Jake Blankemeier
22,Max Carpenter
24,Trevor Deimel
99,Steve Trierweiler
b,r,e,a,k
Cream City Crooks,19
teamInfo,,"Milwaukee, Wisconsin",http://www.creamcitycrooks.com,,https://twitter.com/CreamCityCrooks
02,Oliver Rytman
03,Frank Ontaneda
07,Tyler Holmes
09,Blake Marlowe
10,DEVON ARMSTRONG
11,Kristian Taylor
15,Liam Scobey-Polacheck
17,Dan Laurila
18,Grant Wagner
19,Michael Morrison
21,Jake Leutenegger
24,Jacob Buckley
26,Caleb Giebink
33,Jayd Phelps
36,Madison Olesen
52,Ian Erly
77,Mark David
82,Andrew Czekalski
88,Avery Weishoff
b,r,e,a,k
Old Man Winter,22
teamInfo,,"Chicago, Illinois",,,
0,Doug Meislahn
0,Benjamin Davis
1,Wayne Tang
2,Michael Gwinn
3,David Allocco
9,Bradley Strahan
10,Michael Hixenbaugh
11,Andrew Delorenzo
12,Eric Newman
13,Frank Menendez
14,Buck Schneider
19,Richard Berger
25,Darrin Speegle
29,Ernie Miyashita
31,Samson Sackett
31,Mike Balas
33,Paul Grafing
36,Jim Mshar
41,Mark Olivo
45,Graham Brisben
64,Mark Abney
70,Patrick Alexander
76,Daniel Rubenstein
77,Tim Monahan
80,Jake Stake
88,John Conour
91,Noah Levine
b,r,e,a,k
Renegade,7
teamInfo,,"Los Angeles, California",losangelesrenegade.com,,https://twitter.com/LA_Renegade
0,Satoru Ishii
0,Dylan Patton
0,Matthew Yee
0,Jamison Gorin
0,Geoffrey Iyer
1,Logan Peeples
6,Steven Brooks
10,Marcos Perez
13,Trevor Smith
14,Andrew McRae
23,Evan Soskin
47,Joshua Connelly
69,Jonathan Horton
87,MARK HSU
b,r,e,a,k
Wisconsin Hops,10
teamInfo,,"Stevens Point, Wisconsin",,,@WiscoHops
0,Mike Braunsky
1,Brennan Nelson
2,Graham Schneider
3,Robert Lyke
5,Nathan Daily
12,David Horgan
14,Grant Hellestad
15,Tim Larsen
16,Chance Boley
17,Kirk Prince
18,Nicholas Scheel
20,KYLE KUMBIER
21,Scott Sawinski
22,JAMES LIMA
24,Tyler Hebert
25,Dylan Boucher
39,John Blume
44,TOM HOEFT
87,Kevin Reimer
88,Jeremiah Kramasz
99,Daniel Lang
b,r,e,a,k
Ascension,15
teamInfo,,"Bradley, Illinois",,,
0,Nick Schoon
0,Brett Porter
0,Lovie Garcia
1,REECE STOREY
2,Ryan Murray
4,RYAN BROWN
10,Brock Dunn
15,Zach Kieffer
16,Luke Vihnanek
16,Alex Castillo
21,Kevin Beckstrom
24,Stephen Langyher
28,Patrick Logan
55,CHRIS BRAY
72,Phillip Warren
91,CLAYTON COFFMAN
b,r,e,a,k
ISO Atmo,23
teamInfo,,"Boulder, Colorado",,,
0,Sage Bard-Gilbert
0,David Fridland
0,Angus Kitchell
0,Matthew Loughridge 
0,Ethan Parrish
0,Mats Hanson
0,Vincent Chen
0,Cale Jorgenson
0,Eric Silverman
0,THINH DINH
0,JAMES MAY
0,Avery Nelson
4,Ryan Mehaffey
5,Brendan Dwyer
5,Son Nguyen
6,Joseph Quintana
7,Nicholas Guenther
12,Aaron Zemel
15,Joseph Carrara
16,Conrad Hougen
20,Jay Valdillez
28,Andrew Nelson
29,Zach Baumann
99,Brandon Mestnik
b,r,e,a,k
Hippie Mafia,18
teamInfo,,"Milwaukee, Wisconsin",,https://www.facebook.com/groups/1611728275810620/?ref=br_tf,
0,MITCHELL GRIFFIN
0,MARK MIRESSE
0,ALEC FLYNN
0,David Kaftan
0,Zachary Artz
0,Alonzo Garza
0,JOE SCHLATER
0,Ian Oakes
0,Daniel Kress
7,SHAUN FLEISCHHACKER
17,Elias Magallanes Jr.
19,Austin Johnson
32,Daniel Engsberg
52,Jared Matthews
53,Lucas Stuiber
99,Matt Hulsether
b,r,e,a,k
CaSTLe,9
teamInfo,,"St. Louis, Missouri",,,@CASTLE_ultimate
0,Colin Iglehart
0,Daniel Scribner
0,Ben Krupp
0,Thomas Crockett
0,Brendan Cirillo
0,Nathan Vogt
1,Robert (Bobby) Castille
2,Evan Karson
3,Alex McClure
10,Michael Mills
10,Nirek Sharma
11,E.C. Gibbs
15,Alex Semaca
16,Yuval Pearl
18,Cody Curran
19,John (Christian) Lukas
22,ZACHARY LOU
24,Aaron Bryant
25,Sean Campbell
31,Parker Quinn
31,Ben Aunins
47,Devin Belvin
b,r,e,a,k
Black Market II,16
teamInfo,,"Lombard, Illinois",https://www.youtube.com/BlackMarketUltimate,https://www.facebook.com/BlackMarketUltimate,https://twitter.com/blackmarketulti
13,Daniel Miller
19,Adam Tornheim
24,Jonathan Piech
28,Jeremy Piech
32,Nick Johnson
34,John Hock
44,Mike L'Hommedieu
48,Alex Komisarz
53,Joe Berry
61,Yashas Abbott
63,Michael Wormley
70,Josh Deeman
72,Michael Hamburger
75,Eric Badger
76,Girolamo S Kelly
77,Robert Dreier
81,Chris Buchta
84,Henry Richey
85,Matthew Lemaitre
86,Matthew Michalak
88,Bif Reiser
91,Bradley Johnson-Bice
92,MICHAEL COSMOS
b,r,e,a,k
Haymaker,8
teamInfo,,"Chicago, Illinois",,,
0,Max Trotter
01,Adnan Ahmad
04,Jacob Ward
05,Ryan Shea
07,MICHAEL HULBURT
08,Alex Kim
09,Christopher Asta
10,Eric Swan
11,Michael Hanley
12,Matt Finley
15,Wes Geisenberger
17,Rob Greenberg
18,Ian Blanke
19,KEVIN KOPROWSKI
20,David Lindsey
22,Brandon Deihl
24,Andrew Fischer
28,EVAN SABADO
33,John Malloy
35,Steven Cummings
42,James Sykora
47,Dan Kang
49,Cameron Menezes
50,Adam Klopfenstein
54,Alex Stumphauzer
58,Preston Bailey
94,Jason  Vallee
b,r,e,a,k
Kekionga,17
teamInfo,,"Fort Wayne, Indiana",,https://www.facebook.com/pages/Fort-Wayne-Kekionga/1087642387919357?fref=ts,
0,Andrew Fenstermacher
0,Andrew Warren
0,Andrew Erlandson
0,DYLAN MIHAVICS
0,Jerson Gutierrez
0,Dylan Arango
0,Trevor Lloyd
0,RYAN HAINES
10,Peter Wilhelm
13,Garrett Voss
22,Daniel Sponaugle
31,Brian Wilson
38,Daniel Overstreet
48,Tim Perkey
52,Garrett Fuelling
55,SHANE FEEMSTER
73,Steven Zurawski
b,r,e,a,k
s,t,a,g,e,s
pools,O PP
pool,Pool A
MKE,Beachfront Property,14,16,"07/23/2016, 10:30",Pool A,Final
Black Market,Mad Men,14,13,"07/23/2016, 10:30",Pool A,Final
MKE,Mad Men,13,10,"07/23/2016, 12:30",Pool A,Final
Black Market,Beachfront Property,13,9,"07/23/2016, 12:30",Pool A,Final
MKE,Black Market,8,14,"07/24/2016, 08:00",Pool A,Final
Beachfront Property,Mad Men,F,F,"07/24/2016, 08:00",Pool A,Cancelled
pool,Pool B
Sundowners,Schweingeist,6,11,"07/23/2016, 09:00",Pool B,Final
Spoiler,Black Market III,11,1,"07/23/2016, 09:00",Pool B,Final
Sundowners,Spoiler,11,9,"07/23/2016, 10:30",Pool B,Final
houSE,Black Market III,11,2,"07/23/2016, 10:30",Pool B,Final
Black Market III,Schweingeist,0,11,"07/23/2016, 12:00",Pool B,Final
houSE,Spoiler,11,8,"07/23/2016, 12:00",Pool B,Final
Sundowners,Black Market III,11,0,"07/23/2016, 13:30",Pool B,Final
houSE,Schweingeist,5,9,"07/23/2016, 13:30",Pool B,Final
Sundowners,houSE,11,4,"07/24/2016, 08:00",Pool B,Final
Spoiler,Schweingeist,4,11,"07/24/2016, 08:00",Pool B,Final
pool,Pool C
Illusion,Old Man Winter,11,1,"07/23/2016, 09:00",Pool C,Final
Chicago YCC U-19,Cream City Crooks,11,7,"07/23/2016, 09:00",Pool C,Final
Illusion,Chicago YCC U-19,11,4,"07/23/2016, 10:30",Pool C,Final
Midnight Meat Train,Cream City Crooks,11,9,"07/23/2016, 10:30",Pool C,Final
Cream City Crooks,Old Man Winter,11,5,"07/23/2016, 12:00",Pool C,Final
Midnight Meat Train,Chicago YCC U-19,6,11,"07/23/2016, 12:00",Pool C,Final
Illusion,Cream City Crooks,11,1,"07/23/2016, 13:30",Pool C,Final
Midnight Meat Train,Old Man Winter,6,6,"07/23/2016, 13:30",Pool C,Final
Illusion,Midnight Meat Train,11,5,"07/24/2016, 08:00",Pool C,Final
Chicago YCC U-19,Old Man Winter,11,9,"07/24/2016, 08:00",Pool C,Final
pool,Pool D
Renegade,ISO Atmo,11,9,"07/23/2016, 09:00",Pool D,Final
Ascension,Hippie Mafia,12,11,"07/23/2016, 09:00",Pool D,Final
Renegade,Ascension,11,3,"07/23/2016, 10:30",Pool D,Final
Wisconsin Hops,Hippie Mafia,11,3,"07/23/2016, 10:30",Pool D,Final
Hippie Mafia,ISO Atmo,7,11,"07/23/2016, 12:00",Pool D,Final
Wisconsin Hops,Ascension,11,5,"07/23/2016, 12:00",Pool D,Final
Renegade,Hippie Mafia,11,4,"07/23/2016, 13:30",Pool D,Final
Wisconsin Hops,ISO Atmo,8,7,"07/23/2016, 13:30",Pool D,Final
Renegade,Wisconsin Hops,11,3,"07/24/2016, 08:00",Pool D,Final
Ascension,ISO Atmo,11,10,"07/24/2016, 08:00",Pool D,Final
pool,Pool E
Haymaker,Black Market II,13,15,"07/23/2016, 10:30",Pool E,Final
CaSTLe,Kekionga,15,2,"07/23/2016, 10:30",Pool E,Final
Haymaker,Kekionga,15,2,"07/23/2016, 12:30",Pool E,Final
CaSTLe,Black Market II,15,13,"07/23/2016, 12:30",Pool E,Final
Haymaker,CaSTLe,11,12,"07/24/2016, 08:00",Pool E,Final
Black Market II,Kekionga,15,6,"07/24/2016, 08:00",Pool E,Final
b,r,e,a,k
brackets,O BP
bracket,O BP
Mad Men,Beachfront Property,13,6,"07/24/2016, 15:15",FINALS,Final
Black Market,Mad Men,8,13,"07/24/2016, 13:30",SEMIS,Final
MKE,Beachfront Property,9,13,"07/24/2016, 13:30",SEMIS,Final
Black Market,CaSTLe,13,9,"07/24/2016, 11:45",QUARTERS,Final
Mad Men,Schweingeist,13,10,"07/24/2016, 11:45",QUARTERS,Final
MKE,Renegade,13,5,"07/24/2016, 11:45",QUARTERS,Final
Beachfront Property,Sundowners,13,7,"07/24/2016, 11:45",QUARTERS,Final
CaSTLe,Wisconsin Hops,13,6,"07/24/2016, 10:00",PLAY-IN,Final
Schweingeist,Chicago YCC U-19,13,6,"07/24/2016, 10:00",PLAY-IN,Final
Renegade,Black Market II,11,10,"07/24/2016, 10:00",PLAY-IN,Final
Illusion,Sundowners,12,13,"07/24/2016, 10:00",PLAY-IN,Final
bracket,3RD PLACE
Black Market,MKE,12,8,"07/24/2016, 15:15",3RD PLACE,Final
bracket,5TH PLACE
Schweingeist,Renegade,0,0,"07/24/2016, 15:15",5TH PLACE,Cancelled
CaSTLe,Schweingeist,13,14,"07/24/2016, 13:30",5TH SEMIS,Final
Renegade,Sundowners,9,7,"07/24/2016, 13:30",5TH SEMIS,Final
bracket,7TH PLACE
Sundowners,CaSTLe,0,1,"07/24/2016, 15:15",7TH PLACE,Final
bracket,9TH PLACE
Chicago YCC U-19,Illusion,7,13,"07/24/2016, 13:30",9TH PLACE,Final
Wisconsin Hops,Chicago YCC U-19,8,10,"07/24/2016, 11:45",9TH SEMIS,Final
Black Market II,Illusion,6,11,"07/24/2016, 11:45",9TH SEMIS,Final
bracket,11TH PLACE
Black Market II,Wisconsin Hops,10,4,"07/24/2016, 13:30",11TH PLACE,Final
bracket,13TH PLACE
Haymaker,Spoiler,12,4,"07/24/2016, 13:30",13TH PLACE,Final
Cream City Crooks,Haymaker,5,12,"07/24/2016, 11:45",13TH SEMIS,Final
Spoiler,Ascension,9,3,"07/24/2016, 11:45",13TH SEMIS,Final
houSE,Cream City Crooks,9,10,"07/24/2016, 10:00",13TH QUARTERS,Final
Haymaker,ISO Atmo,10,7,"07/24/2016, 10:00",13TH QUARTERS,Final
Midnight Meat Train,Spoiler,10,12,"07/24/2016, 10:00",13TH QUARTERS,Final
Ascension,Kekionga,10,5,"07/24/2016, 10:00",13TH QUARTERS,Final
bracket,15TH PLACE
Ascension,Cream City Crooks,9,8,"07/24/2016, 13:30",15TH PLACE,Final
bracket,17TH PLACE
houSE,Midnight Meat Train,1,0,"07/24/2016, 15:15",17TH PLACE,Final
houSE,ISO Atmo,9,7,"07/24/2016, 11:45",17TH SEMIS,Final
Midnight Meat Train,Kekionga,6,3,"07/24/2016, 11:45",17TH SEMIS,Final
bracket,19TH PLACE
ISO Atmo,Kekionga,1,0,"07/24/2016, 15:15",19TH PLACE,Final
bracket,PLACEMENT GAME
Old Man Winter,Hippie Mafia,7,11,"07/24/2016, 10:00",PLACEMENT GAME #1,Final
bracket,PLACEMENT GAME
Black Market III,Hippie Mafia,3,15,"07/24/2016, 11:45",PLACEMENT GAME #2,Final
bracket,PLACEMENT GAME
Black Market III,Old Man Winter,1,15,"07/24/2016, 13:30",PLACEMENT GAME #3,Final
b,r,e,a,k
