Club Terminus,Club - Men ,23,7,2016
East Point,GA,2016-07-23,2016-07-24
https://play.usaultimate.org/events/Club-Terminus-2016/schedule/Men/Club-Men/
Turbine,1
0,Michael Alberts
0,Keon Cleary
0,Russell Meade
0,Andrew Hayslip
0,Leekon Wang
0,Jody Packer
0,Daniel Caplan
0,Alex Burns
1,Scott Soule
7,Samuel Turpen
14,NATHAN JUNG
21,Bryan Brooks
23,Christopher Smith
28,Will Mims
35,Byron Head
42,Watson Anderson
52,Ian Mack
54,Tanner Cherry
84,Travis May
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Turbine,UpRoar,13,3,"07/23/2016, 09:00",Pool A,Final
Cerberus,Misfit,13,10,"07/23/2016, 09:00",Pool A,Final
Turbine,Misfit,13,4,"07/23/2016, 10:40",Pool A,Final
Cerberus,UpRoar,12,13,"07/23/2016, 10:40",Pool A,Final
Turbine,Cerberus,13,4,"07/23/2016, 12:20",Pool A,Final
UpRoar,Misfit,13,7,"07/23/2016, 12:20",Pool A,Final
pool,Pool B
Freaks,Shotgun,13,8,"07/23/2016, 09:00",Pool B,Final
BaNC,MS,13,4,"07/23/2016, 09:00",Pool B,Final
Freaks,MS,13,1,"07/23/2016, 12:20",Pool B,Final
BaNC,Shotgun,13,9,"07/23/2016, 12:20",Pool B,Final
Freaks,BaNC,13,9,"07/23/2016, 14:00",Pool B,Final
Shotgun,MS,13,9,"07/23/2016, 14:00",Pool B,Final
pool,Pool C
Ironmen,Smoke,13,9,"07/23/2016, 09:00",Pool C,Final
Kentucky Flying Circus,Shrimp Boat,13,3,"07/23/2016, 09:00",Pool C,Final
Ironmen,Shrimp Boat,13,5,"07/23/2016, 10:40",Pool C,Final
Kentucky Flying Circus,Smoke,13,5,"07/23/2016, 10:40",Pool C,Final
Ironmen,Kentucky Flying Circus,13,2,"07/23/2016, 14:00",Pool C,Final
Smoke,Shrimp Boat,12,10,"07/23/2016, 14:00",Pool C,Final
pool,Pool D
Bullet,Blade,13,3,"07/23/2016, 10:40",Pool D,Final
Right Coast,Black Lung,13,9,"07/23/2016, 10:40",Pool D,Final
Bullet,Black Lung,13,3,"07/23/2016, 12:20",Pool D,Final
Right Coast,Blade,13,3,"07/23/2016, 12:20",Pool D,Final
Bullet,Right Coast,13,11,"07/23/2016, 14:00",Pool D,Final
Blade,Black Lung,8,13,"07/23/2016, 14:00",Pool D,Final
b,r,e,a,k
clusters,Crossovers
cluster,Crossovers
Kentucky Flying Circus,Shotgun,13,10,"07/23/2016, 15:40",,Final
BaNC,Smoke,13,7,"07/23/2016, 15:40",,Final
UpRoar,Black Lung,12,13,"07/23/2016, 15:40",,Final
Right Coast,Cerberus,13,8,"07/23/2016, 15:40",,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship Bracket
Turbine,Freaks,10,12,"07/24/2016, 13:30",Championship,Final
Turbine,Bullet,12,6,"07/24/2016, 10:10",Semis,Final
Ironmen,Freaks,9,13,"07/24/2016, 10:10",Semis,Final
Turbine,BaNC,13,9,"07/24/2016, 08:30",Quarters,Final
Bullet,Kentucky Flying Circus,13,6,"07/24/2016, 08:30",Quarters,Final
Ironmen,Right Coast,13,8,"07/24/2016, 08:30",Quarters,Final
Freaks,Black Lung,13,6,"07/24/2016, 08:30",Quarters,Final
bracket,3rd Place Game
Ironmen,Bullet,12,8,"07/24/2016, 13:30",3rd Place,Final
bracket,5th Place Bracket
Kentucky Flying Circus,Right Coast,13,11,"07/24/2016, 13:30",5th Place,Final
BaNC,Kentucky Flying Circus,7,13,"07/24/2016, 10:10",Semis,Final
Right Coast,Black Lung,13,10,"07/24/2016, 10:10",Semis,Final
bracket,7th Place Game
Black Lung,BaNC,5,11,"07/24/2016, 13:30",7th Place,Final
bracket,9th Place Bracket
Shotgun,UpRoar,9,12,"07/24/2016, 11:50",9th Place,Final
Misfit,Shotgun,9,11,"07/24/2016, 10:10",Semis,Final
Cerberus,UpRoar,8,10,"07/24/2016, 10:10",Semis,Final
Smoke,Misfit,10,13,"07/24/2016, 08:30",Quarters,Final
Shotgun,Blade,12,9,"07/24/2016, 08:30",Quarters,Final
Cerberus,Shrimp Boat,13,8,"07/24/2016, 08:30",Quarters,Final
UpRoar,MS,13,5,"07/24/2016, 08:30",Quarters,Final
bracket,11th Place Game
Misfit,Cerberus,12,10,"07/24/2016, 11:50",11th Place,Final
bracket,13th Place Bracket
Blade,Shrimp Boat,9,13,"07/24/2016, 11:50",13th Place,Final
Smoke,Blade,11,13,"07/24/2016, 10:10",Semis,Final
Shrimp Boat,MS,13,10,"07/24/2016, 10:10",Semis,Final
bracket,15th Place Game
Smoke,MS,0,1,"07/24/2016, 11:50",15th Place,Final
b,r,e,a,k
