Northeast Men's Regionals,Club - Men ,10,9,2016
Devens,MA,2016-09-10,2016-09-11
https://play.usaultimate.org/events/Northeast-Mens-Regionals-2016/schedule/Men/Club-Men/
Ironside,1
20,Jonah Kurman-Faber
21,Misha Herscu
22,Benjamin Tseytlin
24,David Reshef
27,Nicholas Thompson
64,Carl Frederik Brasz
71,Denis Maguire
81,SAMUEL RICHARDSON
83,Alex Dagley
b,r,e,a,k
GOAT,2
teamInfo,,"Toronto, Ontario CA",http://goatultimate.wix.com/main,https://www.facebook.com/GOATultimate,https://twitter.com/GOATultimate
coaches,Scott Hastie
0,BRYAN YUE
0,Jay Boychuk
3,Andrew Carroll
6,Jaret Meron
09,Derek Alexander
10,Paul Tatulea
11,Sam Paiva
12,Remi Ojo
15,Jacky Hau
17,Isaiah Masek-Kelly
18,Toly Vasilyev
19,Thomson McKnight
20,Jeff Lindquist
21,Geoffrey Powell
22,Alec Arsenault
27,Nathan Hirst
30,Greg Ellis
43,Andrew Ouchterlony
45,David Hochhalter
61,Sachin Raina
72,Iain MacKenzie
77,Michael MacKenzie
81,Adrian Yearwood
87,Brett Tan
89,Mark Lloyd
91,Cameron Harris
b,r,e,a,k
Colt,8
teamInfo,,"Southington, Connecticut",,,
0,Jonathan Figueroa
0,Luke Diorio
0,Ross Littauer
0,Corey Danko
0,Gavin Clemmey
0,Christopher Enderby
0,Garrett Bowen
0,Daniel Hartsoe
0,Kyle Saroka
1,Bryan Forman
2,Andrew Thai
7,Ricky Lewandowski
14,Joseph Ouellette
20,Will Percival
25,Richard McFadden
25,Jake Hansen
27,Jeffrey Adams
28,Ben Weyers
32,Zach Grappone
37,David Griffin
50,Brendan Loyot
52,Ryan Strobel
65,Michael Rice
66,Garrett Santi
80,Joseph Kane
99,Timmer Farrell
b,r,e,a,k
Mockingbird,5
teamInfo,,"montréal, Quebec CA",,https://www.facebook.com/mockingbirdultimate?fref=ts,
0,Malik Auger-Semmar
0,LOUIS-PHILIPPE F. DION
0,Nasser Mbae Vogel
0,Charles Bariteau
0,Francis Vallée
0,Antoine Lepagnol
0,samuel Paré
0,JOSEPH GENEST
0,Vincent Lepagnol 
3,RAYNALD NEMOURS
9,Andre Arsenault
10,Jean-Levy Champagne
15,DANNY DESBIENS ALARY
17,ANTOINE GENEST
20,Nicolas Brochu
21,Gabriel Monfette
22,Christian Mathieu
27,MIGUEL GODERRE
29,Simon Ayotte
31,SAMUEL LANGLOIS
35,Pierre-Yves Lavertu
49,Félix-Antoine Daigle
52,Louis-Pierre Lauzon
81,Kevin Quinlan
86,Jean-Philippe Riopel
b,r,e,a,k
Phoenix,6
teamInfo,,"Ottawa, ON, Ontario CA",modules/common/ottawaopenultimate%20AT%20gmail%20DOT%20com,https://www.facebook.com/ottawa.phoenix,https://twitter.com/phoenixultimate
0,Khalid Al-Zahrani
0,Léon Forest-Nault
0,Cooper Brotman
0,Colin Green
0,Paul Mensah
0,Laurent Loiseau
0,Matt O'Brien
0,Kyle Cantal
0,Carson Turner
0,MATT COLE
0,Kinley Gee
0,Russ Nicolls
0,MIKE LEE
0,Patrick Keenan
0,John Snow
0,Kielan Way
0,Nick Boucher
2,Mathew Berg
3,Scott Westwell
4,Luke Phelan
5,Jordan McGregor
8,DAVID JANSSEN
11,Owen Watt
12,Matthew Hogel
19,Bryce Ring
21,Colin Froats
32,Dan Ellenberger
b,r,e,a,k
Big Wrench,7
teamInfo,,"Somerville, Massachusetts",http://bigwrenchultimate.weebly.com/,https://www.facebook.com/BigWrenchUltimate,https://twitter.com/BigWrenchUlt
0,Walker Hatchett
0,Michael Voelpel
0,Jordan Kaufman
0,Carter Thallon
0,Llewellyn Smith
0,Jack Conant
0,DAN FORSETER
0,Jack (John) Spiva
0,Jason Shnipes
0,Matthew Rogers
0,David Lyle
0,Sam Kittross-Schnell
0,Samuel Zuckernik
0,Nicholas Adolph
0,Gene Buonaccorsi
0,Eric Shaw
0,Jacob Saunders
2,LOCK WHITNEY
3,Robby Perkins-High
3,Nicholas Roberts
5,Hansen Yang
12,Mac Hecht
13,JOSH ADLER
17,Andrew Zaccardi
17,Eli Motycka
24,Jesse Wolf
69,Stephen Krajeski
b,r,e,a,k
Fat and Mediocre,16
teamInfo,,"Brooklyn, New York",,,
0,Victor Fandrich
0,Robert (Bobby) Owens
0,Nolan Fahrenkopf
0,Cody Schatzle
0,Jonathan Greenberg
0,EMORY CRANE
0,Zachary Schiff
0,Dylan Bruhns
0,Alex Pinn
0,Mathew Parenti
0,STEPHEN DECHON
0,Eric Russo
4,Ryan Dubowsky
7,Walter Roosa
16,Philip (David) Atwood
24,Steve Stavdal
33,TOM OMALLEY
36,Adam Stern
77,Ben Campbell
81,MICHAEL WOODS
b,r,e,a,k
Breakers,9
teamInfo,,"Providence, Rhode Island",http://breakersultimate.weebly.com/,https://www.facebook.com/groups/907314719307161/,@breakersri
0,Mitch Giroux
0,BARRY COHEN
0,Jared Perkins
0,NICHOLAS LOGLER
0,DANIEL REED
0,MICHAEL HANOLD
0,Eugene L'Heureux
0,Jamie Rhodes
0,Johann Becker
0,Stephen Panasuik
6,Patrick Shea
9,William Seites-Rundlett
10,Ryan Turner
15,Daniel Dimascio
15,Morgan Wilbur
16,David Roussel
20,Donnelly Roberts
28,Alexander Carli-Dorsey
28,Sam Stefanik
34,Gustav Haflin
38,JOSEPH LEIGHTON
40,Alex Jenkins
44,STEPHEN KAHLER
96,Devin Kosowan
b,r,e,a,k
Deathsquad,12
teamInfo,,"Needham, Massachusetts",,,https://www.twitter.com/Death_SquadUlt
0,Alex Caulfield
0,Walker Mayerchak
0,Sam Dushay
0,Henry Brecher
0,BEN DAVIS
0,James Smart
0,Brian Clarkson
0,Matt Bandes
0,Noam Kahn
0,Matthew Cote
0,Dan Hourigan
6,Matthew Barnes
12,Matt Caswell
20,Tom Bassett
21,Brendan Chin
24,Brendan Chambers
26,Jackson Gillenwaters
33,Jeremy Marcus
35,Dan Goldstein
36,Ian Girelli
42,James Cataldo
b,r,e,a,k
Bruises,13
teamInfo,,"Boston, Massachusetts",,https://www.facebook.com/bruisesultimate,https://twitter.com/bruisesultimate
b,r,e,a,k
Red Tide,14
teamInfo,,"Portland, Maine",,,
0,Daniel Pavitt
0,Alberto Morales
6,Zachary Esakof
00,Brandon Morrill
00,Daniel Bullard
00,Andrew (Andy) Aikens
00,Elijah Babcock
00,Henry Babcock
00,Daniel Butler
00,SAWYER WOOD
00,Dex Dremann
00,Ben Field
00,Walter Chacon
00,Justin Fereshetian
00,Cameron Jack
00,Jonathan Gilbert
00,Jared DeWolfe
00,Cole Aaskov
00,Troy Goddu
00,Evan Holliday
00,Andrew Muscadin
00,Chase Baker
00,Patrick Kelsey
00,Alexander Rosati
00,Neil Franklin
00,Toby Jacobs
22,Samuel Shapiro
b,r,e,a,k
Dark or Light,11
teamInfo,,"Amherst, Massachusetts",,,https://twitter.com/DorLultimate
0,Micah Flynn
0,Leland Rege-Colt
0,Wesley Johnson
0,Zachary Dietz
0,Jeremiah Berlin
0,Greg Wobst
0,Brent Anderson
0,Brian Rodriguez
0,Chandler Thoma
0,Timothy Bobrowski
0,Trevor Conners
0,Ryan Dinger
0,Evan Johnson
0,GEORGE MILNE
0,Isaiah Robison
0,Amos Adams
0,Joe Costello
3,Ben Goldman
7,Zach Levitt
7,Gabriel Schmitt
9,Robin Stewart-Demartino
14,Kai DeLorenzo
27,Harrison Wolff Landau
33,William Thornton
41,Oliver Fay
70,Samuel Gagnon
b,r,e,a,k
New Amsterdam,10
teamInfo,,"New York, New York",,,
0,Rohith Rao
0,Keiran Carpen
0,Jonathan Kwan
0,Taylor Rasco
0,Bennett Taren
0,PHILIP  RASCONA
0,Evan Ma
0,Matthew Thomas
0,Zane Friedkin
0,Samuel Pollack
0,Robert Kuster
0,Scott Schwartz
0,Dean Acheson
0,Owen Marschall
0,Samuel Ross
0,Evan Carter
0,Chris Nelson
0,Max Cohen
0,Matthew Mclaughlin
10,Andrew Edelman
13,Jay Sehgal
15,Juleon Robinson
17,Nadav Pearl
19,Jesse Rice
23,Charlie Holtz
94,James  O'Connell
99,Stefan Dicker
b,r,e,a,k
Blackbuck,15
teamInfo,,"Montréal, Quebec CA",,https://www.facebook.com/blackbuckflatball/,
0,Olivier Gamache
00,Emmanuel Verreault
00,Henry Rodriguez
00,Liam  McKeown 
00,Jordan Faries
00,Étienne Favre
00,Vincent Lemieux
00,Thomas Duplaix
00,Christophe Tremblay Joncas
00,Etienne Blaszkewycz
00,Vathana Len
00,JULIEN POITRAS PLANTE
00,Timothy Farthing-Messier
00,Philippe Bisson
00,Jeremie Gabor
00,Thomas Faber
00,Emile Riel-Proulx
00,Hugo Paré
00,Kevin Groulx
13,Frederik Gelin
82,BASILE LIMOGES
b,r,e,a,k
s,t,a,g,e,s
brackets,Bracket Play 
bracket,1st Place Bracket
Ironside,PoNY,15,9,"09/11/2016, 10:30",1st Place Finals,Final
Ironside,Dig,15,8,"09/10/2016, 14:30",1st Place Semis,Final
PoNY,GOAT,15,12,"09/10/2016, 14:30",1st Place Semis,Final
Ironside,Colt,15,7,"09/10/2016, 10:30",1st Place Quarters,Final
Mockingbird,Dig,15,16,"09/10/2016, 10:30",1st Place Quarters,Final
PoNY,Phoenix,15,12,"09/10/2016, 10:30",1st Place Quarters,Final
Big Wrench,GOAT,9,15,"09/10/2016, 10:30",1st Place Quarters,Final
Ironside,Fat and Mediocre,15,2,"09/10/2016, 08:30",1st Place Prequarters,Final
Colt,Breakers,15,11,"09/10/2016, 08:30",1st Place Prequarters,Final
Mockingbird,Deathsquad,15,11,"09/10/2016, 08:30",1st Place Prequarters,Final
Bruises,Dig,13,15,"09/10/2016, 08:30",1st Place Prequarters,Final
PoNY,Red Tide,15,8,"09/10/2016, 08:30",1st Place Prequarters,Final
Dark or Light,Phoenix,4,15,"09/10/2016, 08:30",1st Place Prequarters,Final
Big Wrench,New Amsterdam,15,8,"09/10/2016, 08:30",1st Place Prequarters,Final
Blackbuck,GOAT,3,15,"09/10/2016, 08:30",1st Place Prequarters,Final
bracket,2nd Place Bracket
PoNY,GOAT,12,11,"09/11/2016, 12:30",2nd Place Finals,Final
Dig,GOAT,9,15,"09/11/2016, 10:30",2nd Place Semis,Final
Phoenix,Dig,8,15,"09/11/2016, 08:30",2nd Place Quarters,Final
Mockingbird,GOAT,8,14,"09/11/2016, 08:30",2nd Place Quarters,Final
Big Wrench,Phoenix,12,14,"09/10/2016, 14:30",2nd Place Prequarters,Final
Mockingbird,Colt,15,12,"09/10/2016, 14:30",2nd Place Prequarters,Final
Big Wrench,Breakers,15,10,"09/10/2016, 12:30",2nd Place Play Ins 2,Final
Phoenix,Bruises,15,8,"09/10/2016, 12:30",2nd Place Play Ins 2,Final
Mockingbird,Red Tide,16,14,"09/10/2016, 12:30",2nd Place Play Ins 2,Final
Colt,Blackbuck,15,12,"09/10/2016, 12:30",2nd Place Play Ins 2,Final
Fat and Mediocre,Breakers,9,15,"09/10/2016, 10:30",2nd Place Play Ins 1,Final
Deathsquad,Bruises,9,14,"09/10/2016, 10:30",2nd Place Play Ins 1,Final
Red Tide,Dark or Light,16,14,"09/10/2016, 10:30",2nd Place Play Ins 1,Final
New Amsterdam,Blackbuck,5,15,"09/10/2016, 10:30",2nd Place Play Ins 1,Final
bracket,3rd Place Bracket
GOAT,Dig,13,15,"09/11/2016, 14:30",3rd Place Finals,Final
Dig,Phoenix,14,9,"09/11/2016, 12:30",3rd Place Semis,Final
Phoenix,Mockingbird,15,11,"09/11/2016, 10:30",3rd Place Quarters,Final
bracket,13th Place Bracket
Deathsquad,Dark or Light,15,10,"09/10/2016, 14:30",13th Place Finals,Final
Fat and Mediocre,Deathsquad,9,15,"09/10/2016, 12:30",13th Place Semis,Final
Dark or Light,New Amsterdam,15,10,"09/10/2016, 12:30",13th Place Semis,Final
bracket,15th Place 
Fat and Mediocre,New Amsterdam,0,1,"09/10/2016, 14:30",15th Place,Final
bracket,9th Place A
Breakers,Bruises,10,15,"09/10/2016, 14:30",9th Place A,Final
bracket,9th Place B
Red Tide,Blackbuck,5,15,"09/10/2016, 14:30",9th Place B,Final
bracket,7th Place Bracket
Colt,Big Wrench,9,13,"09/11/2016, 08:30",Sunday 1st Round,Final
b,r,e,a,k
