ATL Classic 2016,Club - Men ,18,6,2016
East Point,GA,2016-06-18,2016-06-19
https://play.usaultimate.org/events/ATL-Classic-2016/schedule/Men/Club-Men/
Freaks,1
0,Andy Wind
0,Paul Nkengasong
0,REUBEN RIVAS
4,Ted Moeller
8,Noah Morris
08,BRETT NELSON
10,Rommel Rana
11,james mitchell
13,Yusuf Abdullah
21,Hunter Sanders
24,Jonathan King
71,BRAD RICHARDS
b,r,e,a,k
Ironmen,2
teamInfo,,"Birmingham, Alabama",,https://www.facebook.com/Ironmenultimate,https://twitter.com/BhamIronMen
0,Christopher McBride
0,Thomas Echols
0,Thomas Ballard
0,Samuel Murphree
01,Carter Rae
03,Blake Galloway
04,Michael Burke
05,Eric Sjostrom
09,James  Poe
10,Scott Stone
11,Kelvin Williams
13,Matthew Hardman
13,Ethan Downs
15,Ray Davenport
17,Jason Russell
18,Dane Jorgensen
22,Tanner Robinson
23,Alexander Hill
24,Travis Midkiff
25,Michael Venezia
26,Payton Garlington
30,Martin Newman
32,JUSTIN THIGPEN
42,Chris Browning
45,Nathan Oaks
b,r,e,a,k
Lost Boys,7
teamInfo,,"South Carolina, South Carolina",mailto:lbfrisbee@gmail.com,https://www.facebook.com/lbultimate/,https://twitter.com/TheLostBoysUlti
0,KEIFER CARNELLI
0,Travis Muthig
0,Johnnie Lynch
1,Nicholas Hocking
7,William Carmichael
9,Thomas Loar
11,Hunter Nadeau
15,Gavin Richards
16,Clarence Frady
18,Oddom Vong
19,KEVIN ANDERSON
20,Robert Perry
21,Stephen Trello
22,Shane Smith
23,Bryan Kohut
24,Robert Huffman
26,Christian Gaeta
33,Nick Jewell
37,Matthew Wright
41,Andrell Caldwell
43,Robert Locke
52,Connor Thompson
71,WILLIAM GORDON
98,Lucas Tarnowski
b,r,e,a,k
Buzzkill,10
teamInfo,,"Atlanta, Georgia",,,
0,Andrew Benton
0,Luke Willis
0,David Egbert
0,Lucas Maurer
0,DANIEL STEVENSON
0,Chidike Iromuanya
0,Andrew Chow
0,Ashwin Anantharaman
0,Karl Staber
0,Leo Warren
0,Logan Bonds
0,Victor Pria
0,Nicholas Chen
0,Brian Walsh
4,Aidan Rogers
17,William Syre
22,Nicholas Button
23,Archer Gordon
23,Brandon Chen
24,Brydan Rogers
24,Conor Brownell
30,PARTHA UNNAVA
44,Michael Tillotson
b,r,e,a,k
BigWheel,15
teamInfo,,"Birmingham, Alabama",,,
0,ERIC FRANCISCO
0,Benjamin Nanny
0,Steven Johnson
0,JOHN MCDONALD
0,MICHAEL WOOD
1,Mark Stuewe
2,Richard Russell
6,Charles Yood
7,Lee Lynch
9,Carlos Nunez
10,Tony Brown
11,Rex Taylor
12,Mo Bunnell
14,Aaron Moredock
15,Peter Winslett
18,Adam Smith
21,Bryan Vance
23,John (Rusty) Sewell
25,Larry Brad Smith
40,Dan Konisky
42,DAVID LEEDLE
43,Richard (Jay) Pigford
44,Brad Schweers
44,Jon Meade
44,Brett Marinelli
60,Kevin Jones
66,Daryl Fefee
88,Christopher Dawson
96,Larry (Butch) Brown
b,r,e,a,k
Smokestack,3
teamInfo,,"Cleveland, Ohio",http://smokestackultimate.com/,,https://twitter.com/CLE_Smokestack
0,Jacob Lunn
0,Jonathon Grgat
0,Nicholas Mathison
0,JACOB HOOKS
0,Erik Lindberg
0,KYLE HONE
0,John Marotta
0,David Picone
0,Tarik Akyuz
0,Jeffrey Brauning
0,Jason Beffel
3,Steven Her
3,Joseph Marmerstein
3,Daniel Young
6,KEVIN WAYNER
05,Amir Kaghazwala
10,Eric Zarobila
17,Adam Davenport
26,Zach Johnston
27,Brandon Thomas
31,Matthew Chin
34,Daniel Lynch
35,Joshua Swanson
43,Jake Rovner
50,Jon DeAmicis
99,Robert Strohmeyer
b,r,e,a,k
Bullet X,6
teamInfo,,"ATL, Georgia",,,
0,Sam Diffin
0,Michael Price
0,Tyler Haskell
0,ANDREW LIBOWSKY
0,NOLAN KLINKE
0,Ryan James
0,Caleb Shorthouse
0,Andrew Francis
0,Blaine Brown
0,Zaki Durry
0,Charles Morris
0,Michael Dillard
0,Jacques Perivier
0,James ONeal (Neal) Hollis
0,Jericho Barbour
0,STEVEN HEDGES
2,Joshua Bush
5,Thomas Rink
5,JOSEPH HANSON
6,Dakota Wellmaker
7,Fernando Ortiz
12,Jeffrey Oravic
14,Charles Loudermilk
17,Logan Ogletree
21,Daniel Jones
24,RYAN RANDALL
25,Robert Hunt
33,Devon Rogers
35,LAWRENCE LAUER
44,WILLIAM GRESCH
87,Gino Mattace
b,r,e,a,k
Cerberus,14
teamInfo,,"Athens, Georgia",,,
0,Sam Batson
0,Patrick Trent
0,Jim Heneghan
0,John Langstaff
0,Rusty Watson
0,Wright (William) Dickerson
0,Devin Gray
0,Jason Jones
6,Kyle Devins
9,Adam Cross
9,Foster Boales
10,Adam Burgess
11,Stephen Cook
16,Hunter Cutts
20,Zach Hsu
22,Jon Ross Ingley
29,Mason Cary
42,Christopher Molnar
48,Andrew Fortier
60,David William Petmecky
90,Ben Llena
b,r,e,a,k
Orlando Citronauts,11
teamInfo,,"Orlando, Florida",,,https://twitter.com/CitronautUlt
0,Jacob Larsen
01,Austin Gaines
02,Kameron Knight
03,Tyler Knowles
04,Thomas Milana
07,JOHN COLLINS
08,Harrison Slate
12,Josias Beaubrun
15,Jonathan Miller
17,Conor Forgey
19,Justin Dos Santos
23,Shannon Mosley
25,Sean Plunkett
32,Austin Malone
39,Alex Warters
57,Kyle Stinson
96,Michael O'Dowd
99,JORGE DE GOUVEIA
b,r,e,a,k
Real Atlanta,5
teamInfo,,"Atlanta, Georgia",,,
0,Gregory Allpow
1,Josh Markette
2,Bryant Depenbrok
4,Asa Wilson
5,Chris Goodson
6,Mark Przybysz
8,Grant Kirby
10,Brandon Perales
10,Joel Wooten
11,JOHN HAMMOND
12,Frank Wooten
13,ADAM STEELE
15,Phil Mantel
17,Christopher Church
18,Alan Reeves
24,Rob Barrett
25,Brendan Cleary
31,ANTHONY (A.J.) TIARSMITH
37,Chris Gwinner
47,Martin Aguilera
51,Mark Driver
52,COLIN BELLAIR
60,DAVID NEDER
78,Dylan Tunnell
88,Calvin Oung
92,Victor Wu
99,JAY HAMMOND
b,r,e,a,k
Chattanooga Gentlemen's Club,12
teamInfo,,"Chattanooga, Tennessee",,,
coaches,Torre Hargett
00,Emilio Craddock
00,Corey Heartfield
00,Garrett Rigsby
00,Jason Raymond
00,Brian Newsom
00,David McKay
00,Dillon Brown 
00,Bryan Sandidge
00,Josh Johnson
00,Peter Vongsayarath
00,Corey Foster
00,Roger King
00,Aaron Hazen
00,Josiah Gamble
00,Matthew Smith
00,Ryan Murphy
00,Ethan Benesh
00,AUSTIN RUNYON
00,Yanni Killebrew
00,Cody Baldwin
00,William Fleming
00,Benjamin  Brown
00,Andrew Mauroner
00,Nicholas Baldwin
00,Hal Robinson
00,DANIEL EHRIG
b,r,e,a,k
GirthQuake,13
teamInfo,,"Pensacola, Florida",,,
1,Charles McCrory
01,Caleb Dickey
02,Quinn Bateman
03,Jonathan Pettis
04,Jacob  Perry
05,James Hudson
06,William Fleming
10,Zane Barber
11,Dustin McKee
12,Andre Bordelon
14,Michael Sellers
19,Riley Robertson
24,Brandon French
25,Naomi Anderson
26,Hamilton  Wasnick
27,John Foeller
88,Samuel Boddie
98,John Habshey
b,r,e,a,k
Southern Hospitality,4
teamInfo,,"Pine Apple, Alabama",,,https://twitter.com/SohoUltimate
0,Hank Womble
0,Jonathan Arrington
0,Wesley Zhang
0,Robert Alongi
0,Mark Garlington
0,Trois White
0,Chase Maze
0,Denis O'Sullivan
0,Mitchell Corder
0,James Hershey
0,Preston Thompson
0,William Thompson
0,Chandler Foster
1,Cameron Elmore
6,Clayton Tylka
9,Dustin Register
18,Chandler Purtle
18,Trey  Leonard
23,Landon Baker
25,Reid Williams
28,Reid Thackerson
30,JACK SMITH
37,Michael Strobel
59,Daniel Conner
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Freaks,ATLiens,13,5,"06/18/2016, 09:00",Pool A,Final
Sour Mash,Skyline,13,6,"06/18/2016, 09:00",Pool A,Final
Freaks,Skyline,13,2,"06/18/2016, 10:40",Pool A,Final
Sour Mash,ATLiens,13,8,"06/18/2016, 10:40",Pool A,Final
ATLiens,Skyline,13,6,"06/18/2016, 12:20",Pool A,Final
Freaks,Sour Mash,13,8,"06/18/2016, 14:00",Pool A,Final
pool,Pool B
Ironmen,Buzzkill,13,6,"06/18/2016, 09:00",Pool B,Final
Lost Boys,BigWheel,13,6,"06/18/2016, 09:00",Pool B,Final
Ironmen,BigWheel,13,4,"06/18/2016, 10:40",Pool B,Final
Lost Boys,Buzzkill,13,4,"06/18/2016, 10:40",Pool B,Final
Buzzkill,BigWheel,12,8,"06/18/2016, 12:20",Pool B,Final
Ironmen,Lost Boys,12,8,"06/18/2016, 14:00",Pool B,Final
pool,Pool C
Smokestack,Orlando Citronauts,13,3,"06/18/2016, 09:00",Pool C,Final
Bullet X,Cerberus,13,4,"06/18/2016, 09:00",Pool C,Final
Smokestack,Cerberus,13,7,"06/18/2016, 10:40",Pool C,Final
Bullet X,Orlando Citronauts,12,6,"06/18/2016, 10:40",Pool C,Final
Orlando Citronauts,Cerberus,7,12,"06/18/2016, 12:20",Pool C,Final
Smokestack,Bullet X,13,6,"06/18/2016, 14:00",Pool C,Final
pool,Pool D
Southern Hospitality,Chattanooga Gentlemen's Club,5,12,"06/18/2016, 09:00",Pool D,Final
Real Atlanta,GirthQuake,13,3,"06/18/2016, 09:00",Pool D,Final
Southern Hospitality,GirthQuake,11,12,"06/18/2016, 10:40",Pool D,Final
Real Atlanta,Chattanooga Gentlemen's Club,10,9,"06/18/2016, 10:40",Pool D,Final
Chattanooga Gentlemen's Club,GirthQuake,11,8,"06/18/2016, 12:20",Pool D,Final
Southern Hospitality,Real Atlanta,6,13,"06/18/2016, 14:00",Pool D,Final
b,r,e,a,k
clusters,Crossover
cluster,Crossover
Lost Boys,Cerberus,13,3,"06/18/2016, 15:40",,Final
Bullet X,Buzzkill,13,8,"06/18/2016, 15:40",,Final
ATLiens,Chattanooga Gentlemen's Club,6,13,"06/18/2016, 15:40",,Final
GirthQuake,Sour Mash,8,12,"06/18/2016, 15:40",,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Freaks,Ironmen,15,13,"06/19/2016, 13:00",Finals,Final
Freaks,Real Atlanta,15,8,"06/19/2016, 11:00",Semi Finals,Final
Smokestack,Ironmen,12,15,"06/19/2016, 11:00",Semi Finals,Final
Freaks,Lost Boys,15,12,"06/19/2016, 09:00",Quarter Finals,Final
Real Atlanta,Bullet X,15,6,"06/19/2016, 09:00",Quarter Finals,Final
Smokestack,Chattanooga Gentlemen's Club,15,4,"06/19/2016, 09:00",Quarter Finals,Final
Ironmen,Sour Mash,15,9,"06/19/2016, 09:00",Quarter Finals,Final
bracket,3rd Place
Real Atlanta,Smokestack,0,1,"06/19/2016, 13:00",3rd Place,Final
bracket,5th Place
Bullet X,Sour Mash,1,0,"06/19/2016, 13:00",5th Place,Final
Lost Boys,Bullet X,13,15,"06/19/2016, 11:00",5th Semis,Final
Chattanooga Gentlemen's Club,Sour Mash,12,13,"06/19/2016, 11:00",5th Semis,Final
bracket,7th Place
Lost Boys,Chattanooga Gentlemen's Club,15,8,"06/19/2016, 13:00",7th Place,Final
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place Bracket
Cerberus,ATLiens,4,15,"06/19/2016, 13:00",9th Place,Final
Cerberus,Buzzkill,15,14,"06/19/2016, 11:00",9th Semi Finals,Final
ATLiens,Orlando Citronauts,15,8,"06/19/2016, 11:00",9th Semi Finals,Final
Skyline,Cerberus,7,15,"06/19/2016, 09:00",9th Quarter Finals,Final
Southern Hospitality,Buzzkill,8,15,"06/19/2016, 09:00",9th Quarter Finals,Final
BigWheel,ATLiens,12,15,"06/19/2016, 09:00",9th Quarter Finals,Final
Orlando Citronauts,GirthQuake,15,12,"06/19/2016, 09:00",9th Quarter Finals,Final
bracket,11th Place
Buzzkill,Orlando Citronauts,0,1,"06/19/2016, 13:00",11th Place,Final
bracket,13th Place
Southern Hospitality,BigWheel,13,4,"06/19/2016, 13:00",13th Place,Final
Skyline,Southern Hospitality,10,11,"06/19/2016, 11:00",13th Semis,Final
BigWheel,GirthQuake,12,9,"06/19/2016, 11:00",13th Semis,Final
bracket,15th Place
Skyline,GirthQuake,0,1,"06/19/2016, 13:00",15th Place,Final
b,r,e,a,k
